date,open,high,low,close,volume
1667005200000,0.6501,0.6503,0.6462,0.6472,446433
1667008800000,0.6471,0.6508,0.6456,0.6497,540126
1667012400000,0.6496,0.6569,0.6477,0.6552,1091936
1667016000000,0.6552,0.6561,0.6503,0.6518,438521
1667019600000,0.6519,0.655,0.6492,0.6511,590622
1667023200000,0.6512,0.6541,0.651,0.6524,703411
1667026800000,0.6527,0.6592,0.652,0.659,788371
1667030400000,0.659,0.6636,0.6563,0.6615,1157857
1667034000000,0.6616,0.664,0.6593,0.6609,669457
1667037600000,0.6608,0.6635,0.6513,0.6528,1012984
1667041200000,0.6529,0.6539,0.6477,0.65,587989
1667044800000,0.65,0.6549,0.6492,0.6546,543378
1667048400000,0.6545,0.655,0.6461,0.6517,711315
1667052000000,0.6518,0.6574,0.6498,0.6508,703964
1667055600000,0.6508,0.6585,0.6507,0.6583,881243
1667059200000,0.6583,0.6762,0.6555,0.6721,2107862
1667062800000,0.672,0.6779,0.6575,0.6605,2070391
1667066400000,0.6605,0.6675,0.6578,0.6642,1593809
1667070000000,0.6643,0.6657,0.6555,0.6629,668528
1667073600000,0.6628,0.6655,0.6596,0.6635,639080
1667077200000,0.6633,0.668,0.6619,0.665,454255
1667080800000,0.6651,0.6667,0.6526,0.6566,908791
1667084400000,0.6565,0.662,0.6524,0.6619,520062
1667088000000,0.6619,0.6625,0.6551,0.6559,547801
1667091600000,0.6559,0.6622,0.6544,0.6618,531821
1667095200000,0.662,0.6632,0.6582,0.661,507635
1667098800000,0.6611,0.6642,0.6598,0.6624,364051
1667102400000,0.6625,0.6637,0.658,0.6581,347810
1667106000000,0.6581,0.6684,0.658,0.6639,700751
1667109600000,0.6638,0.6668,0.6593,0.6653,623828
1667113200000,0.6651,0.7103,0.6636,0.7098,6723270
1667116800000,0.7097,0.7315,0.6883,0.6977,8398986
1667120400000,0.6975,0.72,0.6912,0.698,5125924
1667124000000,0.6979,0.7105,0.6959,0.7057,2676270
1667127600000,0.7056,0.7116,0.6968,0.7042,2256332
1667131200000,0.7043,0.7043,0.6928,0.7034,1706951
1667134800000,0.7033,0.7147,0.6965,0.6998,2973324
1667138400000,0.6997,0.702,0.6815,0.688,2496178
1667142000000,0.6882,0.6898,0.6737,0.6787,1250491
1667145600000,0.6786,0.6831,0.6731,0.6768,920270
1667149200000,0.6768,0.6818,0.6735,0.6816,571667
1667152800000,0.6815,0.684,0.6774,0.6808,623231
1667156400000,0.6811,0.6838,0.6783,0.6796,426610
1667160000000,0.6796,0.6835,0.6778,0.6794,399367
1667163600000,0.6795,0.6848,0.6788,0.6813,361125
1667167200000,0.6816,0.6821,0.6608,0.6699,1147456
1667170800000,0.6697,0.6735,0.6679,0.6715,460976
1667174400000,0.6713,0.68,0.666,0.6667,1565199
1667178000000,0.6665,0.675,0.6636,0.6708,1324874
1667181600000,0.6707,0.6712,0.6606,0.6657,1403150
1667185200000,0.6656,0.6859,0.6651,0.6851,1338222
1667188800000,0.6851,0.6898,0.6793,0.6823,2060589
1667192400000,0.6822,0.6827,0.6728,0.6741,695726
1667196000000,0.6741,0.6758,0.6634,0.6686,1281818
1667199600000,0.6688,0.669,0.6655,0.6675,464771
1667203200000,0.6678,0.668,0.6591,0.6633,618282
1667206800000,0.6632,0.6757,0.6598,0.674,802878
1667210400000,0.674,0.677,0.6708,0.6762,969192
1667214000000,0.6763,0.6801,0.6751,0.6768,694219
1667217600000,0.6768,0.6776,0.6705,0.6735,925468
1667221200000,0.6737,0.6778,0.6561,0.6566,1436259
1667224800000,0.6565,0.6669,0.654,0.663,1803754
1667228400000,0.6627,0.6704,0.6614,0.6661,831700
1667232000000,0.6661,0.6721,0.6617,0.6699,1203771
1667235600000,0.67,0.6741,0.6679,0.6696,995807
1667239200000,0.6698,0.6767,0.6696,0.6738,707223
1667242800000,0.6739,0.6742,0.6702,0.6712,493678
1667246400000,0.6713,0.6771,0.67,0.6718,709267
1667250000000,0.6719,0.673,0.6687,0.6696,282212
1667253600000,0.6694,0.6771,0.6681,0.6757,602448
1667257200000,0.6758,0.6764,0.6717,0.6724,354911
1667260800000,0.6724,0.685,0.6708,0.6839,1601505
1667264400000,0.6839,0.6841,0.6777,0.6788,638399
1667268000000,0.679,0.679,0.6745,0.6759,443622
1667271600000,0.6761,0.6793,0.6747,0.6761,321405
1667275200000,0.6758,0.6772,0.6691,0.6713,464104
1667278800000,0.6713,0.6734,0.6698,0.6721,549368
1667282400000,0.672,0.6774,0.6716,0.6762,421096
1667286000000,0.6762,0.6782,0.6728,0.6736,306982
1667289600000,0.6735,0.6759,0.6715,0.6722,425491
1667293200000,0.6723,0.6781,0.6712,0.6737,677565
1667296800000,0.6742,0.68,0.6716,0.677,626944
1667300400000,0.6773,0.6778,0.6665,0.6685,776504
1667304000000,0.6685,0.6713,0.6647,0.671,482638
1667307600000,0.671,0.6711,0.6572,0.6619,683130
1667311200000,0.6619,0.6624,0.6573,0.6601,666154
1667314800000,0.6599,0.6642,0.6596,0.6617,528982
1667318400000,0.6616,0.6624,0.6546,0.6573,626211
1667322000000,0.657,0.6587,0.6555,0.658,313309
1667325600000,0.658,0.6584,0.6555,0.6576,285105
1667329200000,0.6577,0.6582,0.6551,0.6558,312578
1667332800000,0.6558,0.6559,0.6515,0.6557,562066
1667336400000,0.6556,0.6556,0.6513,0.6519,491695
1667340000000,0.6517,0.6535,0.6509,0.6527,347690
1667343600000,0.6525,0.6549,0.6501,0.6502,404042
1667347200000,0.6501,0.6517,0.6427,0.6494,1110440
1667350800000,0.6496,0.651,0.6477,0.6481,342768
1667354400000,0.6479,0.6479,0.643,0.6472,581755
1667358000000,0.6473,0.6509,0.6466,0.6471,392095
1667361600000,0.647,0.6477,0.6452,0.6468,645681
1667365200000,0.647,0.6492,0.6442,0.645,455252
1667368800000,0.6451,0.6453,0.6405,0.6413,556814
1667372400000,0.6412,0.6425,0.6318,0.6366,1079458
1667376000000,0.6364,0.6422,0.6343,0.6421,419589
1667379600000,0.6423,0.6431,0.6276,0.628,848828
1667383200000,0.6282,0.6315,0.6232,0.6303,1047582
1667386800000,0.6302,0.6328,0.6297,0.6297,248671
1667390400000,0.6296,0.6307,0.6258,0.6265,420208
1667394000000,0.6265,0.6297,0.6244,0.6266,528023
1667397600000,0.6265,0.6307,0.6254,0.6276,897941
1667401200000,0.6276,0.6282,0.6248,0.6252,585405
1667404800000,0.6252,0.6295,0.621,0.6289,820290
1667408400000,0.6291,0.6291,0.6205,0.6247,698092
1667412000000,0.6246,0.6439,0.6214,0.6281,4355656
1667415600000,0.6279,0.6357,0.6168,0.6189,1741717
1667419200000,0.6189,0.6261,0.6079,0.6191,2474227
1667422800000,0.619,0.6219,0.6168,0.6214,628664
1667426400000,0.6216,0.6219,0.6164,0.6186,470510
1667430000000,0.6186,0.6234,0.6173,0.6231,367791
1667433600000,0.6228,0.6308,0.6202,0.6294,485408
1667437200000,0.6298,0.6339,0.6284,0.6336,412299
1667440800000,0.6335,0.6389,0.6329,0.637,706412
1667444400000,0.6373,0.6402,0.6361,0.6395,458164
1667448000000,0.6397,0.6437,0.6381,0.6391,534116
1667451600000,0.6394,0.6476,0.6389,0.6476,629820
1667455200000,0.6475,0.6483,0.6426,0.6467,721539
1667458800000,0.6467,0.6503,0.6416,0.6419,670318
1667462400000,0.6421,0.6451,0.6401,0.644,595999
1667466000000,0.644,0.6477,0.6438,0.6469,447372
1667469600000,0.6469,0.6512,0.6445,0.6452,743523
1667473200000,0.6452,0.6476,0.6345,0.6387,1111181
1667476800000,0.6387,0.6431,0.6333,0.6368,660545
1667480400000,0.6368,0.642,0.6342,0.6346,756573
1667484000000,0.6346,0.6477,0.633,0.6455,889165
1667487600000,0.6454,0.6462,0.6407,0.6416,505846
1667491200000,0.6416,0.6463,0.6414,0.6455,411251
1667494800000,0.6455,0.6463,0.6436,0.6438,472892
1667498400000,0.6437,0.6469,0.6411,0.6455,474586
1667502000000,0.6456,0.6471,0.6432,0.6444,338556
1667505600000,0.6444,0.6475,0.6422,0.6429,439624
1667509200000,0.6427,0.6473,0.6427,0.6454,290904
1667512800000,0.6454,0.6455,0.6354,0.6381,968478
1667516400000,0.638,0.6412,0.6339,0.6374,841055
1667520000000,0.6374,0.6412,0.6329,0.6395,608184
1667523600000,0.6397,0.6428,0.6356,0.6401,367967
1667527200000,0.6402,0.6474,0.6401,0.6451,652591
1667530800000,0.6451,0.6635,0.6451,0.6601,1390325
1667534400000,0.6603,0.663,0.657,0.6589,1018873
1667538000000,0.6591,0.6617,0.6541,0.6576,832196
1667541600000,0.6577,0.667,0.6577,0.6655,796128
1667545200000,0.6656,0.6664,0.6614,0.6654,940855
1667548800000,0.6655,0.6683,0.6633,0.6648,778308
1667552400000,0.6648,0.669,0.6607,0.6661,964951
1667556000000,0.6663,0.6779,0.666,0.6767,1155730
1667559600000,0.6767,0.6824,0.6667,0.6688,2019891
1667563200000,0.6688,0.6792,0.6605,0.6786,1755053
1667566800000,0.6786,0.68,0.6706,0.6745,1195881
1667570400000,0.6746,0.6905,0.6738,0.6857,1557373
1667574000000,0.6858,0.6862,0.6689,0.6694,1322882
1667577600000,0.6694,0.6764,0.6681,0.6751,912222
1667581200000,0.675,0.6798,0.6727,0.6784,762756
1667584800000,0.6783,0.6856,0.6756,0.6841,730238
1667588400000,0.684,0.6884,0.6834,0.6884,463711
1667592000000,0.6884,0.693,0.6864,0.6909,965281
1667595600000,0.6909,0.6964,0.6896,0.6956,952903
1667599200000,0.6955,0.698,0.6925,0.6946,837447
1667602800000,0.6944,0.699,0.6901,0.6959,615347
1667606400000,0.696,0.735,0.696,0.732,7104968
1667610000000,0.7316,0.744,0.7244,0.7298,3219571
1667613600000,0.7299,0.7397,0.7275,0.739,1314690
1667617200000,0.739,0.7392,0.7242,0.7277,2018366
1667620800000,0.7276,0.7312,0.7143,0.7154,1504129
1667624400000,0.7156,0.7198,0.714,0.7171,1171876
1667628000000,0.7171,0.7243,0.7161,0.7215,916146
1667631600000,0.7216,0.7227,0.7181,0.7198,520455
1667635200000,0.7198,0.72,0.7068,0.7125,1326589
1667638800000,0.7124,0.7136,0.7048,0.7101,789938
1667642400000,0.71,0.7238,0.7098,0.7207,1205205
1667646000000,0.7208,0.7309,0.7197,0.7221,3048730
1667649600000,0.7222,0.7241,0.7114,0.7174,1279994
1667653200000,0.7174,0.7188,0.7114,0.7147,582262
1667656800000,0.7147,0.7192,0.7091,0.7136,928488
1667660400000,0.7135,0.7211,0.7126,0.7188,1175355
1667664000000,0.7188,0.7235,0.7158,0.7179,943711
1667667600000,0.7178,0.7186,0.7126,0.717,436525
1667671200000,0.7171,0.7178,0.7061,0.7084,702674
1667674800000,0.7085,0.7122,0.7067,0.711,536323
1667678400000,0.7111,0.7128,0.7094,0.7114,418895
1667682000000,0.7113,0.712,0.7095,0.7118,182098
1667685600000,0.7116,0.7172,0.7113,0.7144,450735
1667689200000,0.7144,0.715,0.6959,0.712,1528241
1667692800000,0.712,0.7152,0.7015,0.7077,909485
