date,open,high,low,close,volume
1667005200000,1.692,1.711,1.645,1.661,716459.8
1667008800000,1.661,1.909,1.658,1.903,1781005.5
1667012400000,1.903,2.097,1.884,1.974,4155484.4
1667016000000,1.972,2.2,1.95,2.068,3599984.7
1667019600000,2.067,2.45,2.046,2.39,2969718.6
1667023200000,2.39,2.69,2.244,2.273,6479032
1667026800000,2.275,2.39,2.176,2.225,3333266.2
1667030400000,2.227,2.298,2.127,2.244,3114737.3
1667034000000,2.245,2.45,2.174,2.384,2955440.8
1667037600000,2.384,2.389,2.089,2.115,2726503.8
1667041200000,2.116,2.185,2.042,2.092,2184370
1667044800000,2.092,2.277,2.085,2.225,2736423.3
1667048400000,2.226,2.309,2.131,2.277,2476722
1667052000000,2.275,2.348,2.18,2.218,2172117.6
1667055600000,2.218,2.317,2.1,2.147,3103780.9
1667059200000,2.148,2.254,2.058,2.182,2145367.1
1667062800000,2.183,3.033,2.165,2.65,10401567.4
1667066400000,2.652,2.838,2.485,2.578,3952099.6
1667070000000,2.58,2.708,2.462,2.586,2839314.8
1667073600000,2.586,2.68,2.535,2.626,1625773.1
1667077200000,2.627,2.679,2.57,2.655,886162.7
1667080800000,2.653,2.654,2.407,2.446,1466581.5
1667084400000,2.446,2.482,2.355,2.455,1428638.7
1667088000000,2.453,2.485,2.261,2.286,2000631.7
1667091600000,2.288,2.468,2.244,2.415,1776658
1667095200000,2.415,2.65,2.384,2.563,1439025.6
1667098800000,2.562,2.571,2.442,2.488,1209720.9
1667102400000,2.489,2.633,2.489,2.505,1147724.3
1667106000000,2.505,2.9,2.494,2.801,2608343.7
1667109600000,2.8,2.848,2.577,2.621,2690104.1
1667113200000,2.622,2.654,2.462,2.489,1839979.3
1667116800000,2.488,2.497,2.307,2.363,1887013.8
1667120400000,2.363,2.43,2.217,2.25,1488086.9
1667124000000,2.255,2.351,2.232,2.318,818389.6
1667127600000,2.319,2.457,2.295,2.399,1482880.9
1667131200000,2.399,2.488,2.331,2.334,1163817.1
1667134800000,2.335,2.356,2.175,2.177,2031958.6
1667138400000,2.176,2.229,2.132,2.193,1370446.8
1667142000000,2.193,2.193,2.103,2.122,973913.3
1667145600000,2.123,2.186,2.107,2.125,798217.6
1667149200000,2.125,2.222,2.116,2.165,723694.7
1667152800000,2.162,2.207,2.151,2.183,279332.9
1667156400000,2.185,2.21,2.173,2.174,250039.9
1667160000000,2.175,2.233,2.175,2.183,405709.2
1667163600000,2.183,2.213,2.154,2.177,370714.7
1667167200000,2.177,2.199,2.117,2.192,531663.4
1667170800000,2.193,2.264,2.186,2.216,675671.4
1667174400000,2.215,2.342,2.179,2.228,2038315.9
1667178000000,2.229,2.265,2.057,2.071,1430700.3
1667181600000,2.07,2.118,1.991,2.107,1087871.5
1667185200000,2.107,2.192,2.107,2.158,750173.7
1667188800000,2.159,2.216,2.148,2.177,463828.5
1667192400000,2.174,2.262,2.147,2.189,790287.8
1667196000000,2.191,2.234,2.126,2.205,891733
1667199600000,2.205,2.32,2.193,2.241,1504127.1
1667203200000,2.242,2.25,2.175,2.231,607124.6
1667206800000,2.231,2.432,2.203,2.424,1185666
1667210400000,2.425,2.431,2.271,2.286,1097543.7
1667214000000,2.286,2.326,2.232,2.266,770683.7
1667217600000,2.266,2.279,2.219,2.25,515315.8
1667221200000,2.251,2.288,2.13,2.138,904961.6
1667224800000,2.138,2.268,2.13,2.261,881198.3
1667228400000,2.263,2.382,2.244,2.316,1400518.6
1667232000000,2.315,2.357,2.219,2.253,1123279.9
1667235600000,2.252,2.308,2.244,2.29,347983.6
1667239200000,2.287,2.339,2.276,2.282,416733.6
1667242800000,2.282,2.308,2.266,2.271,191865.6
1667246400000,2.272,2.29,2.243,2.258,165843.1
1667250000000,2.259,2.313,2.259,2.276,306144.5
1667253600000,2.276,2.32,2.27,2.275,387031.2
1667257200000,2.275,2.285,2.225,2.269,401429.9
1667260800000,2.27,2.29,2.193,2.241,931348.2
1667264400000,2.242,2.337,2.215,2.337,727520.3
1667268000000,2.336,2.349,2.29,2.31,878220.8
1667271600000,2.312,2.328,2.277,2.301,526711.6
1667275200000,2.301,2.524,2.275,2.422,2848853.2
1667278800000,2.422,2.483,2.389,2.448,1536305.5
1667282400000,2.45,2.452,2.381,2.419,982551.2
1667286000000,2.42,2.422,2.363,2.394,808019.9
1667289600000,2.394,2.42,2.376,2.408,512530.9
1667293200000,2.41,2.587,2.402,2.534,2345712.5
1667296800000,2.533,2.64,2.429,2.458,2241439.5
1667300400000,2.458,2.458,2.353,2.383,1045059.9
1667304000000,2.383,2.388,2.297,2.341,747005.6
1667307600000,2.341,2.355,2.277,2.313,862638.1
1667311200000,2.314,2.412,2.312,2.384,1393568.2
