date,open,high,low,close,volume
1667005200000,0.9436,0.9442,0.937,0.9371,1305897.8
1667008800000,0.9371,0.9444,0.9357,0.9432,1675940.5
1667012400000,0.9432,0.9498,0.9415,0.9476,2382583.5
1667016000000,0.9476,0.9493,0.9378,0.9401,1650134.8
1667019600000,0.9401,0.9447,0.9351,0.938,2225198.4
1667023200000,0.938,0.9417,0.938,0.9395,829107.2
1667026800000,0.9395,0.9433,0.9384,0.9431,1847317.5
1667030400000,0.9432,0.9593,0.9406,0.9522,5087596.5
1667034000000,0.9523,0.9531,0.9449,0.9483,2854100.2
1667037600000,0.9483,0.9512,0.9309,0.9337,5266463
1667041200000,0.9336,0.935,0.9274,0.9301,3463532.3
1667044800000,0.9302,0.9339,0.928,0.9323,2144835.9
1667048400000,0.9322,0.9333,0.9257,0.9332,2403353.8
1667052000000,0.9332,0.94,0.9312,0.9326,3070316.1
1667055600000,0.9326,0.9394,0.9312,0.9384,3199434
1667059200000,0.9385,0.9537,0.9364,0.9466,4970060.2
1667062800000,0.9465,0.9572,0.9336,0.935,6196860.6
1667066400000,0.935,0.9414,0.9311,0.9377,4574565.6
1667070000000,0.9378,0.9381,0.9322,0.9369,1879699.5
1667073600000,0.9369,0.9386,0.9344,0.9367,1582532.7
1667077200000,0.9367,0.9407,0.9356,0.9395,991207.9
1667080800000,0.9396,0.9403,0.9281,0.931,2413484.7
1667084400000,0.9309,0.9348,0.9277,0.9336,1227507.2
1667088000000,0.9335,0.9351,0.923,0.9242,4356620.9
1667091600000,0.9242,0.928,0.9219,0.928,1155546.7
1667095200000,0.9281,0.9307,0.9265,0.9298,1108868.7
1667098800000,0.9297,0.9345,0.9297,0.9335,1228590
1667102400000,0.9336,0.9342,0.9284,0.9287,4206225.6
1667106000000,0.9287,0.9336,0.9279,0.9305,5568169.1
1667109600000,0.9305,0.9375,0.9282,0.9366,2446997.3
1667113200000,0.9366,0.946,0.9343,0.9442,3846668.1
1667116800000,0.9442,0.9488,0.9304,0.9378,4579162.5
1667120400000,0.9377,0.9406,0.9236,0.9272,3601633.7
1667124000000,0.9271,0.9293,0.919,0.9228,3189779.3
1667127600000,0.9228,0.9255,0.9189,0.9246,2465291.9
1667131200000,0.9246,0.9246,0.9158,0.9186,2787940.1
1667134800000,0.9185,0.9206,0.9048,0.9113,5526021.7
1667138400000,0.9112,0.9185,0.9088,0.9172,1984071.9
1667142000000,0.9173,0.9183,0.9068,0.9089,2360970.3
1667145600000,0.9089,0.9145,0.9048,0.9079,2449237
1667149200000,0.908,0.9143,0.9061,0.9135,1496832.3
1667152800000,0.9134,0.9146,0.9099,0.9116,1322317.9
1667156400000,0.9116,0.915,0.9106,0.9115,939878.5
1667160000000,0.9114,0.9167,0.911,0.9149,1202678.7
1667163600000,0.9149,0.9178,0.9142,0.9165,809776.4
1667167200000,0.9165,0.917,0.8986,0.9087,4453075.4
1667170800000,0.9087,0.9095,0.9045,0.9084,1329674
1667174400000,0.9084,0.914,0.9055,0.9068,2638754.1
1667178000000,0.9069,0.9108,0.8981,0.9016,3122384.6
1667181600000,0.9016,0.9034,0.8958,0.9018,1949901.7
1667185200000,0.9018,0.9079,0.9003,0.9078,1666189.4
1667188800000,0.9075,0.9123,0.907,0.909,1215182.5
1667192400000,0.9089,0.9128,0.9082,0.9109,1046524
1667196000000,0.9108,0.9123,0.9044,0.9105,1680828.3
1667199600000,0.9106,0.9138,0.9063,0.9136,1052367.3
1667203200000,0.9137,0.9139,0.9048,0.9077,1810789
1667206800000,0.9076,0.9269,0.9054,0.9253,4000307.3
1667210400000,0.9254,0.9287,0.9196,0.9263,3425426.3
1667214000000,0.9263,0.9298,0.9235,0.9243,2501622.8
1667217600000,0.9244,0.9297,0.9201,0.9229,3020556.9
1667221200000,0.9227,0.9271,0.8975,0.8982,5190771.7
1667224800000,0.8982,0.9112,0.8931,0.906,6721823.6
1667228400000,0.9057,0.912,0.902,0.9082,2613416.5
1667232000000,0.9082,0.9145,0.9033,0.9067,3325855.4
1667235600000,0.9063,0.909,0.9025,0.903,1934737.7
1667239200000,0.9029,0.9075,0.9013,0.9049,2239824
1667242800000,0.905,0.9052,0.9011,0.9023,1671477
1667246400000,0.9024,0.9043,0.8987,0.9003,1498193.6
1667250000000,0.9002,0.9014,0.8963,0.8976,1073364.9
1667253600000,0.8976,0.9049,0.8955,0.9036,2062247.3
1667257200000,0.9036,0.9061,0.9004,0.9026,1897673.6
1667260800000,0.9026,0.9058,0.8968,0.9,2955052.8
1667264400000,0.8999,0.9058,0.8986,0.9047,1536663.9
1667268000000,0.9047,0.9092,0.9021,0.9074,1745800.1
1667271600000,0.9074,0.9094,0.9032,0.9034,1522368.3
1667275200000,0.9035,0.9045,0.9006,0.9012,1256330.3
1667278800000,0.9012,0.9032,0.899,0.899,1581997.5
1667282400000,0.899,0.9068,0.897,0.9049,2420163.9
1667286000000,0.9047,0.9067,0.9003,0.902,2257374.4
1667289600000,0.902,0.904,0.9001,0.9006,1215524.8
1667293200000,0.9006,0.9094,0.8992,0.9032,2487873.2
1667296800000,0.9032,0.9059,0.8994,0.9033,2524145.1
1667300400000,0.9032,0.9038,0.8881,0.8947,4667049.5
1667304000000,0.8947,0.8965,0.889,0.8954,2323702
1667307600000,0.8953,0.8954,0.88,0.8852,3336995.2
1667311200000,0.8852,0.8867,0.8794,0.8798,2966209.2
1667314800000,0.8798,0.8849,0.8793,0.8824,1976506.5
1667318400000,0.8824,0.8848,0.8758,0.8778,2379558.5
1667322000000,0.8778,0.8818,0.8761,0.8803,1357322.4
