date,open,high,low,close,volume
1667005200000,0.003208,0.003216,0.003204,0.003209,1585161
1667008800000,0.003209,0.003218,0.0032,0.003218,1245504
1667012400000,0.003212,0.003235,0.003212,0.003235,2240362
1667016000000,0.00323,0.003246,0.003214,0.003214,3585461
1667019600000,0.003216,0.003216,0.003211,0.003214,1060911
1667023200000,0.003214,0.003223,0.003207,0.003222,3689661
1667026800000,0.003214,0.003228,0.003213,0.003228,1110719
1667030400000,0.003228,0.003248,0.003222,0.003236,5732495
1667034000000,0.003237,0.003254,0.003226,0.003237,6821875
1667037600000,0.003237,0.00324,0.003208,0.003221,4536239
1667041200000,0.003217,0.003222,0.003188,0.003199,5633404
1667044800000,0.0032,0.003207,0.003196,0.003206,2339573
1667048400000,0.003209,0.003212,0.003193,0.003205,3827742
1667052000000,0.003202,0.003218,0.002795,0.003198,33097831
1667055600000,0.003199,0.003214,0.003192,0.003214,9937362
1667059200000,0.003214,0.003246,0.003211,0.003235,15494259
1667062800000,0.003233,0.003249,0.003222,0.003223,8868307
1667066400000,0.003219,0.003227,0.0032,0.003217,7126093
1667070000000,0.003221,0.003226,0.0032,0.003215,5640365
1667073600000,0.003216,0.00323,0.003212,0.003218,972174
1667077200000,0.003217,0.003226,0.003208,0.003218,2809242
1667080800000,0.003214,0.003219,0.003201,0.003209,2242788
1667084400000,0.003208,0.003243,0.003208,0.003238,5473255
1667088000000,0.003239,0.003239,0.003201,0.003207,8621802
1667091600000,0.003202,0.003212,0.003196,0.003212,3102402
1667095200000,0.003204,0.003205,0.003194,0.003199,4186454
1667098800000,0.003203,0.003208,0.003197,0.003207,899470
1667102400000,0.003207,0.003213,0.003157,0.003195,22548296
1667106000000,0.003195,0.003208,0.003194,0.003202,3240912
1667109600000,0.003201,0.003216,0.003195,0.003211,2649372
1667113200000,0.003214,0.003236,0.003208,0.003231,6702936
1667116800000,0.003232,0.003239,0.003202,0.003222,8025627
1667120400000,0.003222,0.003228,0.003213,0.003213,4179216
1667124000000,0.003213,0.003214,0.003188,0.003206,5473425
1667127600000,0.003205,0.003211,0.003205,0.003209,1747989
1667131200000,0.003208,0.00322,0.003193,0.003219,6145646
1667134800000,0.003208,0.003208,0.003188,0.003192,1344312
1667138400000,0.00319,0.003212,0.003188,0.003199,2990852
1667142000000,0.003198,0.003207,0.00317,0.003192,6814376
1667145600000,0.003188,0.0032,0.003178,0.003184,1014799
1667149200000,0.003184,0.003199,0.003179,0.003191,1112143
1667152800000,0.003197,0.003206,0.00319,0.003202,1141121
1667156400000,0.003201,0.003212,0.003196,0.003205,1120395
1667160000000,0.003205,0.003211,0.003198,0.003205,299852
1667163600000,0.003211,0.003213,0.003199,0.003199,242146
1667167200000,0.003196,0.003199,0.003169,0.003199,851640
1667170800000,0.0032,0.003201,0.003184,0.003188,326139
1667174400000,0.003191,0.003204,0.003176,0.003184,2732917
1667178000000,0.003184,0.00319,0.00316,0.003174,1469652
1667181600000,0.003159,0.003171,0.003143,0.003147,903447
1667185200000,0.003155,0.00317,0.003155,0.003169,1603715
1667188800000,0.003169,0.003175,0.003156,0.00316,2260828
1667192400000,0.00316,0.00317,0.003156,0.00317,5117160
1667196000000,0.003171,0.003196,0.003171,0.003191,8267705
1667199600000,0.003191,0.0032,0.003184,0.0032,2450601
1667203200000,0.003191,0.003191,0.003179,0.003188,680540
1667206800000,0.003182,0.00319,0.003171,0.00319,4743976
1667210400000,0.003199,0.0032,0.003183,0.003196,5842618
1667214000000,0.003196,0.003204,0.003187,0.003189,3185100
1667217600000,0.003189,0.003198,0.003182,0.003189,1893991
1667221200000,0.003188,0.003211,0.003163,0.003163,9526609
1667224800000,0.003163,0.003175,0.003147,0.003164,3896283
1667228400000,0.00316,0.003186,0.00316,0.003181,1642231
1667232000000,0.003175,0.003183,0.003168,0.003173,3222242
1667235600000,0.003172,0.0032,0.003172,0.003183,3537353
1667239200000,0.003185,0.003196,0.003179,0.003187,1342842
