date,open,high,low,close,volume
1667005200000,0.605,0.606,0.604,0.605,6155.9
1667008800000,0.604,0.606,0.604,0.606,10511.6
1667012400000,0.606,0.617,0.605,0.615,63591.1
1667016000000,0.615,0.617,0.612,0.613,51836
1667019600000,0.613,0.616,0.613,0.615,20163.4
1667023200000,0.614,0.617,0.614,0.615,63012.9
1667026800000,0.615,0.618,0.612,0.617,81006.1
1667030400000,0.617,0.618,0.615,0.618,87443
1667034000000,0.618,0.619,0.616,0.617,70778.3
1667037600000,0.617,0.619,0.61,0.611,63375.7
1667041200000,0.61,0.615,0.607,0.61,54489.4
1667044800000,0.61,0.612,0.608,0.61,21572.3
1667048400000,0.61,0.611,0.605,0.608,39718
1667052000000,0.608,0.614,0.608,0.608,52273.8
1667055600000,0.608,0.612,0.607,0.61,56489.3
1667059200000,0.611,0.62,0.611,0.619,99766.6
1667062800000,0.619,0.668,0.619,0.644,2327723.6
1667066400000,0.644,0.662,0.636,0.651,1019354.8
1667070000000,0.65,0.726,0.648,0.689,3789961.2
1667073600000,0.689,0.7,0.667,0.668,1312713.4
1667077200000,0.668,0.673,0.663,0.665,517308
1667080800000,0.665,0.666,0.653,0.658,334177.5
1667084400000,0.659,0.659,0.652,0.658,126359.6
1667088000000,0.658,0.662,0.654,0.655,107331.3
1667091600000,0.654,0.668,0.654,0.66,317678.9
1667095200000,0.66,0.666,0.659,0.664,62997.8
1667098800000,0.665,0.666,0.655,0.663,148849.4
1667102400000,0.663,0.67,0.655,0.656,162295.8
1667106000000,0.656,0.657,0.651,0.651,144537.7
1667109600000,0.652,0.655,0.646,0.65,226754.1
1667113200000,0.652,0.708,0.649,0.687,1597222.5
1667116800000,0.687,0.688,0.656,0.66,726987.2
1667120400000,0.661,0.672,0.642,0.649,729370
1667124000000,0.65,0.652,0.647,0.649,131881.6
1667127600000,0.649,0.661,0.649,0.66,143938.2
1667131200000,0.661,0.666,0.651,0.653,160580.4
1667134800000,0.653,0.653,0.645,0.647,107770.4
1667138400000,0.646,0.651,0.642,0.648,187519.1
1667142000000,0.647,0.651,0.62,0.637,414569.1
1667145600000,0.637,0.641,0.631,0.636,275853.6
1667149200000,0.636,0.639,0.631,0.633,232020.5
1667152800000,0.633,0.637,0.631,0.635,106888.9
1667156400000,0.634,0.638,0.632,0.637,59153
1667160000000,0.638,0.638,0.635,0.636,39627.3
1667163600000,0.636,0.637,0.633,0.635,24102.6
1667167200000,0.634,0.634,0.628,0.629,130542.6
1667170800000,0.629,0.631,0.629,0.63,27576.2
1667174400000,0.631,0.634,0.631,0.631,40600.5
1667178000000,0.632,0.632,0.629,0.629,22130.4
1667181600000,0.629,0.629,0.624,0.625,42116
1667185200000,0.626,0.631,0.625,0.631,33623.1
1667188800000,0.631,0.632,0.63,0.631,17244.4
1667192400000,0.631,0.64,0.631,0.638,102432.2
1667196000000,0.638,0.639,0.633,0.636,37192.2
1667199600000,0.636,0.638,0.635,0.637,23886.3
1667203200000,0.638,0.638,0.631,0.634,42100.8
1667206800000,0.634,0.661,0.633,0.661,341106.5
1667210400000,0.66,0.661,0.645,0.648,212593.6
1667214000000,0.648,0.653,0.646,0.649,118493.1
1667217600000,0.65,0.668,0.65,0.657,270920.8
1667221200000,0.657,0.659,0.637,0.643,321890.2
1667224800000,0.642,0.651,0.637,0.638,226654.3
1667228400000,0.639,0.644,0.635,0.641,74842.6
1667232000000,0.641,0.645,0.639,0.645,56938.5
1667235600000,0.644,0.648,0.643,0.645,29277.6
1667239200000,0.644,0.65,0.644,0.646,39008.6
1667242800000,0.646,0.647,0.641,0.643,70922.4
1667246400000,0.643,0.643,0.637,0.641,73599.7
1667250000000,0.641,0.641,0.637,0.639,8316.8
1667253600000,0.64,0.644,0.64,0.643,24047
1667257200000,0.643,0.643,0.639,0.64,44876.1
1667260800000,0.639,0.643,0.638,0.641,24426.1
1667264400000,0.642,0.646,0.64,0.644,39318.1
1667268000000,0.645,0.653,0.644,0.651,63231.7
1667271600000,0.651,0.652,0.646,0.647,23833.8
1667275200000,0.647,0.648,0.64,0.642,34842.2
1667278800000,0.642,0.644,0.635,0.637,101904.9
1667282400000,0.637,0.64,0.635,0.64,60998.2
1667286000000,0.639,0.64,0.635,0.637,31101.9
1667289600000,0.636,0.638,0.635,0.636,61419.1
1667293200000,0.635,0.636,0.631,0.634,136714
1667296800000,0.634,0.635,0.631,0.634,52690.7
1667300400000,0.633,0.635,0.629,0.63,35985
1667304000000,0.63,0.631,0.625,0.629,58666.6
1667307600000,0.63,0.63,0.623,0.626,81210.8
1667311200000,0.625,0.625,0.622,0.623,55371.8
1667314800000,0.622,0.627,0.622,0.624,28582.8
1667318400000,0.624,0.626,0.623,0.623,23808.7
1667322000000,0.623,0.626,0.62,0.626,97977.8
1667325600000,0.626,0.626,0.623,0.626,40133.7
1667329200000,0.626,0.627,0.625,0.626,13819.2
1667332800000,0.626,0.627,0.626,0.627,20696.2
1667336400000,0.628,0.63,0.627,0.627,27818.7
1667340000000,0.627,0.628,0.626,0.628,17360.3
1667343600000,0.628,0.629,0.627,0.627,14250.5
1667347200000,0.628,0.628,0.622,0.625,17051.6
1667350800000,0.626,0.627,0.625,0.625,15677.7
1667354400000,0.625,0.626,0.623,0.626,12870.5
1667358000000,0.626,0.629,0.626,0.627,17694.1
1667361600000,0.627,0.629,0.625,0.626,24233.6
1667365200000,0.626,0.627,0.624,0.625,46029.6
1667368800000,0.625,0.625,0.621,0.623,47392.7
1667372400000,0.623,0.624,0.611,0.619,156891.7
1667376000000,0.619,0.62,0.617,0.619,39950.1
1667379600000,0.62,0.621,0.606,0.608,181885.3
1667383200000,0.607,0.608,0.601,0.606,76823.4
1667386800000,0.607,0.609,0.607,0.608,25868.4
1667390400000,0.608,0.608,0.604,0.606,35935.9
1667394000000,0.606,0.607,0.604,0.605,21735.9
1667397600000,0.605,0.606,0.604,0.605,26705.1
1667401200000,0.605,0.607,0.603,0.604,44851.6
1667404800000,0.604,0.616,0.603,0.615,63246.1
1667408400000,0.616,0.616,0.605,0.607,90888.1
1667412000000,0.606,0.631,0.605,0.62,378872.4
1667415600000,0.62,0.624,0.61,0.611,100018.6
1667419200000,0.61,0.612,0.604,0.608,48894.5
1667422800000,0.606,0.61,0.606,0.61,30031.5
1667426400000,0.61,0.611,0.605,0.607,30196.2
1667430000000,0.606,0.609,0.606,0.608,14466.4
1667433600000,0.608,0.613,0.606,0.612,63076
1667437200000,0.612,0.616,0.611,0.616,49561.5
1667440800000,0.616,0.621,0.615,0.62,67667.8
1667444400000,0.619,0.624,0.618,0.622,74907.5
1667448000000,0.623,0.627,0.622,0.624,55345.4
1667451600000,0.624,0.648,0.624,0.632,180049.8
1667455200000,0.632,0.636,0.63,0.635,70476.2
1667458800000,0.634,0.64,0.632,0.634,148837.7
1667462400000,0.633,0.641,0.63,0.634,128452.1
1667466000000,0.633,0.643,0.631,0.637,68538.2
1667469600000,0.636,0.638,0.628,0.629,108892.7
1667473200000,0.63,0.63,0.617,0.62,130249.7
1667476800000,0.62,0.623,0.612,0.618,104334.8
1667480400000,0.618,0.622,0.615,0.615,64790.8
1667484000000,0.615,0.627,0.615,0.625,66910.8
1667487600000,0.625,0.626,0.621,0.622,38728.7
1667491200000,0.623,0.627,0.623,0.626,23619
1667494800000,0.626,0.629,0.622,0.623,115896.8
1667498400000,0.623,0.624,0.618,0.624,112210.5
1667502000000,0.624,0.629,0.62,0.624,254242.9
1667505600000,0.624,0.625,0.618,0.62,63451
1667509200000,0.621,0.627,0.619,0.623,89320.4
1667512800000,0.625,0.63,0.609,0.617,162944.9
1667516400000,0.618,0.618,0.612,0.616,40259.3
1667520000000,0.616,0.631,0.613,0.626,117654.8
1667523600000,0.626,0.634,0.622,0.625,160980.9
1667527200000,0.625,0.635,0.624,0.633,179262.2
1667530800000,0.633,0.661,0.632,0.657,473815.3
1667534400000,0.659,0.659,0.65,0.652,188225.4
1667538000000,0.651,0.653,0.643,0.647,122729.6
1667541600000,0.647,0.657,0.647,0.652,96123.8
1667545200000,0.652,0.667,0.651,0.655,226178.5
1667548800000,0.655,0.659,0.648,0.654,279592.7
1667552400000,0.654,0.657,0.653,0.653,131323
1667556000000,0.655,0.666,0.653,0.665,393079.5
1667559600000,0.665,0.685,0.655,0.655,530496.5
1667563200000,0.655,0.665,0.647,0.665,263957.3
1667566800000,0.665,0.665,0.654,0.656,116545.8
1667570400000,0.656,0.673,0.655,0.664,349391
1667574000000,0.665,0.666,0.649,0.65,195757.4
1667577600000,0.65,0.657,0.647,0.654,113104.7
1667581200000,0.654,0.663,0.649,0.66,152554.9
1667584800000,0.661,0.665,0.659,0.661,39720.5
1667588400000,0.661,0.664,0.656,0.661,119914.1
1667592000000,0.661,0.662,0.658,0.662,45824.3
1667595600000,0.661,0.662,0.658,0.662,45650.3
1667599200000,0.661,0.662,0.656,0.66,46520.1
1667602800000,0.66,0.662,0.66,0.661,48905.3
1667606400000,0.66,0.683,0.66,0.682,389800.6
1667610000000,0.682,0.69,0.681,0.684,207266.8
1667613600000,0.685,0.691,0.681,0.69,97133.8
1667617200000,0.69,0.691,0.679,0.681,143748.7
1667620800000,0.681,0.686,0.679,0.683,60687.2
1667624400000,0.684,0.691,0.681,0.687,60039
1667628000000,0.687,0.688,0.681,0.683,96206.3
1667631600000,0.682,0.684,0.68,0.683,61786
1667635200000,0.683,0.683,0.665,0.668,203985.3
1667638800000,0.668,0.671,0.667,0.668,119614.9
1667642400000,0.668,0.676,0.667,0.675,85168.3
1667646000000,0.675,0.681,0.674,0.677,89481.9
1667649600000,0.677,0.678,0.671,0.673,72734.3
1667653200000,0.673,0.675,0.666,0.671,79857.2
1667656800000,0.671,0.673,0.665,0.665,82259
1667660400000,0.666,0.671,0.665,0.667,144043.8
1667664000000,0.667,0.671,0.666,0.67,42891.2
1667667600000,0.67,0.67,0.666,0.669,41777.2
1667671200000,0.67,0.677,0.662,0.666,228720.9
1667674800000,0.666,0.669,0.66,0.662,117642
1667678400000,0.662,0.663,0.66,0.663,35409.4
1667682000000,0.662,0.668,0.662,0.667,27096.9
1667685600000,0.668,0.669,0.663,0.664,20857
1667689200000,0.664,0.666,0.656,0.659,137603.9
1667692800000,0.658,0.664,0.657,0.661,48329.6
1667696400000,0.661,0.662,0.657,0.657,50240
1667700000000,0.658,0.658,0.656,0.657,10680.6
1667703600000,0.656,0.66,0.656,0.66,16203.2
