date,open,high,low,close,volume
1667005200000,0.735,0.736,0.732,0.733,23792.91
1667008800000,0.733,0.743,0.73,0.739,64745.15
1667012400000,0.739,0.746,0.737,0.744,39364.42
1667016000000,0.746,0.746,0.739,0.74,14786.2
1667019600000,0.74,0.746,0.738,0.738,48216.75
1667023200000,0.74,0.742,0.73,0.735,135955.47
1667026800000,0.735,0.739,0.733,0.738,33508.74
1667030400000,0.736,0.754,0.735,0.748,116393.75
1667034000000,0.748,0.751,0.74,0.747,62528.6
1667037600000,0.746,0.753,0.732,0.735,150938.28
1667041200000,0.735,0.736,0.729,0.731,24609.47
1667044800000,0.731,0.736,0.73,0.731,25918.54
1667048400000,0.731,0.736,0.728,0.732,31062.39
1667052000000,0.733,0.74,0.73,0.73,28445.52
1667055600000,0.732,0.738,0.727,0.731,69740.29
1667059200000,0.732,0.736,0.73,0.733,29541.56
1667062800000,0.733,0.745,0.727,0.727,115849.09
1667066400000,0.727,0.735,0.719,0.734,73293.48
1667070000000,0.734,0.734,0.73,0.732,26900.64
1667073600000,0.733,0.736,0.73,0.734,20835.97
1667077200000,0.733,0.734,0.731,0.731,6954.82
1667080800000,0.732,0.733,0.729,0.731,46742.21
1667084400000,0.73,0.733,0.73,0.731,9034.99
1667088000000,0.731,0.733,0.729,0.731,7456.55
1667091600000,0.731,0.733,0.73,0.733,1629.32
1667095200000,0.733,0.733,0.73,0.733,28622.47
1667098800000,0.733,0.734,0.732,0.734,1287.66
1667102400000,0.734,0.734,0.731,0.732,8019.7
1667106000000,0.732,0.733,0.731,0.732,4980.4
1667109600000,0.732,0.735,0.73,0.735,17594.97
1667113200000,0.734,0.746,0.734,0.744,81627.98
1667116800000,0.743,0.743,0.735,0.735,51735.14
1667120400000,0.735,0.737,0.725,0.728,35105.71
1667124000000,0.727,0.73,0.727,0.73,7420.25
1667127600000,0.729,0.732,0.728,0.73,15910.55
1667131200000,0.731,0.731,0.727,0.729,16185.97
1667134800000,0.727,0.732,0.724,0.724,24262.35
1667138400000,0.724,0.727,0.722,0.726,15507.91
1667142000000,0.726,0.727,0.72,0.721,25582.3
1667145600000,0.721,0.723,0.717,0.719,31755.15
1667149200000,0.719,0.719,0.715,0.717,6815.99
1667152800000,0.717,0.721,0.714,0.719,23592.94
1667156400000,0.721,0.721,0.719,0.72,2725.65
1667160000000,0.721,0.722,0.719,0.719,8576.45
1667163600000,0.719,0.722,0.719,0.719,3977.42
1667167200000,0.72,0.72,0.715,0.717,13323.51
1667170800000,0.718,0.718,0.715,0.717,4154.98
1667174400000,0.716,0.718,0.715,0.715,9720.08
1667178000000,0.716,0.716,0.714,0.714,13566.14
1667181600000,0.714,0.715,0.709,0.711,49317.94
1667185200000,0.711,0.712,0.709,0.711,11017.47
1667188800000,0.712,0.715,0.711,0.713,9085.02
1667192400000,0.714,0.719,0.714,0.716,7737.01
1667196000000,0.717,0.718,0.712,0.713,5693.35
1667199600000,0.713,0.716,0.71,0.712,4345.24
1667203200000,0.714,0.715,0.712,0.713,12023.68
1667206800000,0.712,0.73,0.712,0.73,30262.15
1667210400000,0.73,0.732,0.728,0.73,35209.77
1667214000000,0.73,0.756,0.73,0.739,165297.49
1667217600000,0.739,0.741,0.731,0.732,68564.65
1667221200000,0.732,0.733,0.717,0.723,66758.65
1667224800000,0.721,0.724,0.709,0.714,95269.35
1667228400000,0.713,0.717,0.711,0.716,48485.2
1667232000000,0.715,0.722,0.706,0.713,44256.58
1667235600000,0.713,0.715,0.713,0.714,5696.48
1667239200000,0.714,0.717,0.713,0.715,4575.98
1667242800000,0.715,0.715,0.713,0.713,4801.65
1667246400000,0.714,0.716,0.713,0.714,3613.22
1667250000000,0.715,0.715,0.713,0.714,14251.46
1667253600000,0.714,0.717,0.713,0.716,4463.68
1667257200000,0.716,0.718,0.714,0.717,4984.47
1667260800000,0.717,0.718,0.715,0.715,6353.98
1667264400000,0.717,0.721,0.715,0.72,6744.16
1667268000000,0.719,0.727,0.719,0.726,9843.45
1667271600000,0.725,0.726,0.721,0.721,19710.6
1667275200000,0.721,0.724,0.717,0.719,49932.79
1667278800000,0.72,0.721,0.719,0.72,5327.68
1667282400000,0.72,0.723,0.72,0.723,6920.89
1667286000000,0.723,0.726,0.719,0.721,11757.89
1667289600000,0.721,0.725,0.721,0.722,13157.22
1667293200000,0.722,0.728,0.722,0.725,19933.72
1667296800000,0.725,0.726,0.723,0.725,9721.04
1667300400000,0.724,0.725,0.718,0.718,15061.5
1667304000000,0.719,0.72,0.715,0.717,21711.61
1667307600000,0.717,0.718,0.713,0.714,13446.57
1667311200000,0.713,0.725,0.709,0.711,108695.59
1667314800000,0.711,0.713,0.709,0.712,8759.62
1667318400000,0.711,0.718,0.711,0.714,19511
1667322000000,0.714,0.716,0.713,0.714,4883.61
1667325600000,0.715,0.718,0.714,0.717,8274.52
1667329200000,0.718,0.72,0.715,0.72,8297.38
1667332800000,0.719,0.72,0.716,0.717,6321.41
1667336400000,0.718,0.724,0.717,0.72,21826.75
1667340000000,0.721,0.721,0.718,0.721,6529.8
1667343600000,0.722,0.722,0.718,0.72,7513.28
1667347200000,0.72,0.72,0.716,0.72,4252.88
1667350800000,0.718,0.721,0.718,0.718,1472.64
1667354400000,0.718,0.719,0.714,0.719,15033.71
1667358000000,0.718,0.723,0.718,0.723,5881.74
1667361600000,0.721,0.727,0.718,0.722,23960.45
1667365200000,0.723,0.748,0.723,0.728,265259.13
1667368800000,0.727,0.73,0.721,0.73,49916.14
1667372400000,0.73,0.738,0.719,0.721,104411.16
1667376000000,0.721,0.723,0.718,0.721,26566.24
1667379600000,0.722,0.723,0.708,0.708,75078.8
1667383200000,0.708,0.709,0.69,0.699,148132.7
1667386800000,0.7,0.702,0.699,0.701,43066.29
1667390400000,0.7,0.702,0.698,0.698,28359.6
1667394000000,0.698,0.7,0.695,0.697,10920.73
1667397600000,0.696,0.701,0.694,0.697,43291.63
1667401200000,0.697,0.699,0.696,0.697,9867.72
1667404800000,0.697,0.701,0.695,0.7,16319.52
1667408400000,0.7,0.703,0.697,0.699,42356.67
1667412000000,0.698,0.72,0.693,0.702,295068.58
1667415600000,0.701,0.709,0.69,0.7,62785.99
1667419200000,0.7,0.7,0.682,0.684,74008.21
1667422800000,0.684,0.685,0.681,0.684,18663.06
1667426400000,0.684,0.688,0.682,0.686,14109.35
1667430000000,0.685,0.692,0.685,0.692,29411.71
1667433600000,0.691,0.697,0.69,0.696,10540.9
1667437200000,0.695,0.7,0.695,0.699,7253.62
1667440800000,0.7,0.705,0.699,0.703,16596.92
1667444400000,0.703,0.709,0.702,0.707,22025.74
1667448000000,0.708,0.71,0.707,0.71,12718.08
1667451600000,0.709,0.711,0.706,0.71,36545.63
1667455200000,0.71,0.713,0.706,0.709,18499.15
1667458800000,0.709,0.715,0.708,0.713,27832.8
1667462400000,0.714,0.717,0.711,0.712,15450.68
