date,open,high,low,close,volume
1667005200000,0.1425,0.1426,0.1414,0.1419,826736.8
1667008800000,0.1419,0.1425,0.1414,0.1417,1166167.8
1667012400000,0.1416,0.1417,0.136,0.1368,8048129.2
1667016000000,0.1368,0.1368,0.1304,0.1334,7357295.6
1667019600000,0.1334,0.1353,0.1321,0.1332,3472566
1667023200000,0.1332,0.1337,0.1275,0.1277,6621679.8
1667026800000,0.1279,0.1315,0.1258,0.1268,6084319.1
1667030400000,0.1268,0.127,0.1228,0.1263,7540271.5
1667034000000,0.1262,0.1299,0.1252,0.1297,4566444.1
1667037600000,0.1297,0.1297,0.1268,0.1277,4234562.4
1667041200000,0.1278,0.1294,0.1276,0.1278,2478724.9
1667044800000,0.1278,0.1308,0.1273,0.1304,2767923.9
1667048400000,0.1303,0.1311,0.1273,0.1282,2647157.9
1667052000000,0.1282,0.1284,0.1267,0.1267,2082176.6
1667055600000,0.1268,0.1272,0.1249,0.1263,3671988.8
1667059200000,0.1261,0.128,0.1252,0.1275,4113007
1667062800000,0.1275,0.1277,0.1254,0.1255,2660188.4
1667066400000,0.1255,0.1257,0.124,0.1251,1919923.5
1667070000000,0.125,0.1252,0.1222,0.1224,3244165
1667073600000,0.1224,0.1225,0.1205,0.1208,2142470.9
1667077200000,0.1208,0.1208,0.1197,0.1206,2491849
1667080800000,0.1205,0.1219,0.1201,0.1201,1861669.9
1667084400000,0.1201,0.1222,0.1198,0.1215,2016909.4
1667088000000,0.1215,0.1226,0.1214,0.1222,1757560.3
1667091600000,0.1222,0.1236,0.122,0.1231,1667295.8
1667095200000,0.1231,0.1244,0.1225,0.1243,1941740
1667098800000,0.1244,0.134,0.1239,0.1265,13709604.4
1667102400000,0.1265,0.1286,0.1262,0.1269,2731565.4
1667106000000,0.1268,0.127,0.1225,0.1227,2717720.5
1667109600000,0.1227,0.1269,0.1218,0.1264,3596870.1
1667113200000,0.1265,0.1286,0.1248,0.1256,3592572.3
1667116800000,0.1257,0.1258,0.12,0.1224,3782114
1667120400000,0.1225,0.1227,0.1199,0.1203,1974025.9
1667124000000,0.1205,0.1217,0.1203,0.1217,1144463.9
1667127600000,0.1217,0.122,0.1206,0.1212,1056463.7
1667131200000,0.1213,0.1216,0.1203,0.1216,1194287.5
1667134800000,0.1216,0.123,0.1203,0.1204,2530682.1
1667138400000,0.1204,0.1216,0.1203,0.121,1365338.1
1667142000000,0.1209,0.121,0.118,0.1184,2256776.1
1667145600000,0.1184,0.1186,0.1159,0.1172,2418373.2
1667149200000,0.1172,0.1201,0.1156,0.1199,3464660.5
1667152800000,0.1198,0.1294,0.1182,0.1195,21596986.8
1667156400000,0.1194,0.1206,0.1185,0.1188,1233447.1
1667160000000,0.1188,0.12,0.1181,0.1199,989710
1667163600000,0.1198,0.1209,0.1197,0.1204,1047609.1
1667167200000,0.1204,0.1204,0.1176,0.1183,984857.1
1667170800000,0.1183,0.1192,0.1182,0.1191,733211.1
1667174400000,0.1191,0.1193,0.1175,0.1178,1017866.4
1667178000000,0.1177,0.1179,0.1163,0.1167,1228394.1
1667181600000,0.1167,0.1169,0.1144,0.1157,3243362.1
1667185200000,0.1157,0.1166,0.1153,0.1166,1120403.4
1667188800000,0.1166,0.1174,0.116,0.1168,2127850.7
1667192400000,0.1168,0.1179,0.1166,0.1178,1269715.8
1667196000000,0.1178,0.1205,0.1177,0.1194,3342649.9
1667199600000,0.1194,0.1206,0.1194,0.1202,2185196.3
1667203200000,0.1202,0.1202,0.1161,0.1171,2617230.7
1667206800000,0.1171,0.1202,0.1162,0.1191,3696119
1667210400000,0.119,0.12,0.1185,0.1195,1711917.2
1667214000000,0.1195,0.1212,0.119,0.1195,3440454
1667217600000,0.1194,0.1195,0.118,0.1183,1350943.9
1667221200000,0.1182,0.1184,0.1167,0.1167,1707603.5
1667224800000,0.1167,0.1168,0.1152,0.1162,2100188.9
1667228400000,0.1162,0.1177,0.1159,0.1169,1140583
1667232000000,0.117,0.1195,0.1168,0.1172,2011237.6
1667235600000,0.1174,0.1203,0.1173,0.1199,1893885.3
1667239200000,0.1199,0.1199,0.117,0.1172,1979097
1667242800000,0.1172,0.1175,0.1168,0.1169,362857.2
1667246400000,0.1168,0.1174,0.1163,0.1173,724699.1
1667250000000,0.1173,0.1174,0.1162,0.1168,542252.4
1667253600000,0.1168,0.1179,0.1166,0.1179,440534.3
1667257200000,0.1179,0.1183,0.1169,0.1174,839657.1
1667260800000,0.1174,0.1198,0.1168,0.1192,1893375.3
1667264400000,0.1192,0.1236,0.1182,0.122,3086801.3
1667268000000,0.1222,0.1315,0.1214,0.1248,12596118.7
1667271600000,0.1247,0.1264,0.1223,0.1245,3912984
1667275200000,0.1245,0.1283,0.1207,0.1213,7298197.1
1667278800000,0.1213,0.1254,0.1212,0.1221,4313910.4
1667282400000,0.1219,0.1235,0.1203,0.1218,2406694.8
1667286000000,0.1218,0.1249,0.1217,0.124,2884236
1667289600000,0.124,0.1316,0.1229,0.1281,10141821.7
1667293200000,0.1279,0.1281,0.1237,0.1244,4319543.2
1667296800000,0.1245,0.1247,0.122,0.1234,1883812.6
1667300400000,0.1235,0.1236,0.1211,0.1226,2078310.1
1667304000000,0.1226,0.1231,0.1208,0.1227,1931632.6
1667307600000,0.1227,0.1258,0.1215,0.122,4146093.5
1667311200000,0.1222,0.1226,0.1211,0.1215,1128146.7
1667314800000,0.1216,0.1228,0.1213,0.1216,1042003.4
1667318400000,0.1216,0.1248,0.121,0.1247,1825573
1667322000000,0.1247,0.125,0.1225,0.1237,2076287.3
1667325600000,0.1236,0.1247,0.1232,0.1241,1147198.2
1667329200000,0.1243,0.1286,0.1241,0.1258,5217369.6
1667332800000,0.1256,0.1262,0.124,0.1253,1841972.4
1667336400000,0.1253,0.1278,0.125,0.1253,2217224.2
1667340000000,0.1253,0.1256,0.1234,0.1237,1186697.3
1667343600000,0.1237,0.1241,0.1221,0.1227,987197.9
1667347200000,0.1227,0.1236,0.1218,0.1231,942773.8
1667350800000,0.1231,0.1243,0.1229,0.1234,976710.9
1667354400000,0.1232,0.1236,0.1212,0.1215,1344775.3
1667358000000,0.1213,0.1214,0.1191,0.1194,2688295
1667361600000,0.1194,0.1199,0.1182,0.1188,2472851.8
1667365200000,0.1186,0.1186,0.1177,0.1181,1736057.9
1667368800000,0.1181,0.1182,0.1165,0.1173,1663246.2
1667372400000,0.1173,0.1174,0.1162,0.1168,1129303.1
1667376000000,0.1168,0.1169,0.1159,0.1165,1011729.8
1667379600000,0.1164,0.1169,0.1127,0.1127,2803710.6
1667383200000,0.1128,0.1129,0.111,0.1119,2976043.1
1667386800000,0.1119,0.1126,0.1109,0.1121,2236162.7
1667390400000,0.1121,0.1126,0.1108,0.1113,1441344.7
1667394000000,0.1111,0.1119,0.1111,0.1113,612834.6
1667397600000,0.1113,0.1127,0.1112,0.1126,1767503.9
1667401200000,0.1126,0.1136,0.1124,0.1129,2017142.8
1667404800000,0.1129,0.113,0.1109,0.1122,1330546.3
1667408400000,0.1122,0.1133,0.1118,0.1123,1997636.7
1667412000000,0.1121,0.1153,0.1118,0.1132,4484132.1
1667415600000,0.1132,0.114,0.1121,0.1127,1244611.3
1667419200000,0.1127,0.1128,0.1116,0.1121,875376.8
1667422800000,0.1121,0.1137,0.112,0.1136,727900.9
1667426400000,0.1136,0.1137,0.1128,0.1133,505320.2
1667430000000,0.1134,0.1138,0.1132,0.1135,491899.8
1667433600000,0.1135,0.1147,0.1131,0.1146,886767.6
1667437200000,0.1146,0.1151,0.1142,0.1151,923215.1
1667440800000,0.1151,0.1167,0.1145,0.1163,2774470
1667444400000,0.1163,0.1182,0.1154,0.1159,2899909.5
1667448000000,0.1159,0.1165,0.1155,0.1162,1158360.7
1667451600000,0.1162,0.1171,0.116,0.1163,1364604.6
1667455200000,0.1163,0.1195,0.1161,0.1193,2485094.6
1667458800000,0.1192,0.1199,0.1165,0.1168,4039230.7
1667462400000,0.1168,0.117,0.1141,0.116,3810818.7
1667466000000,0.116,0.1167,0.1158,0.1166,869252.6
1667469600000,0.1167,0.1169,0.1151,0.1153,1445871.2
1667473200000,0.1153,0.1153,0.1118,0.1123,3004475
1667476800000,0.1125,0.1127,0.1116,0.112,1989181.6
1667480400000,0.112,0.1131,0.1102,0.1108,2064316
1667484000000,0.1108,0.114,0.1106,0.1131,2732806
1667487600000,0.1132,0.1173,0.1131,0.1156,5736078.7
1667491200000,0.1156,0.1167,0.1155,0.1157,1223904.7
1667494800000,0.1157,0.1158,0.114,0.1143,1003901.1
1667498400000,0.1142,0.1145,0.1135,0.1144,820271.4
1667502000000,0.1144,0.1154,0.114,0.115,702761.1
1667505600000,0.115,0.1152,0.1129,0.1132,2330444.1
1667509200000,0.1131,0.1134,0.1123,0.1127,1097679.6
1667512800000,0.1127,0.1128,0.1111,0.1113,1049855.1
1667516400000,0.1113,0.1117,0.1086,0.1095,3363590.4
1667520000000,0.1095,0.1102,0.1088,0.1102,1853019
1667523600000,0.1101,0.111,0.1095,0.1101,1986486.4
1667527200000,0.1101,0.1104,0.1071,0.1074,3569672
1667530800000,0.1074,0.1087,0.1064,0.108,2199494
1667534400000,0.1081,0.1084,0.1071,0.1081,1279705.4
1667538000000,0.108,0.1104,0.108,0.1092,3403744.6
1667541600000,0.1092,0.1106,0.1091,0.1102,2692452.4
1667545200000,0.1102,0.1121,0.1091,0.1114,3202279.3
1667548800000,0.1113,0.1118,0.111,0.1114,1283909.2
1667552400000,0.1114,0.1114,0.11,0.1101,2056022.3
1667556000000,0.1101,0.1117,0.1093,0.1112,2489611.5
1667559600000,0.1111,0.1112,0.1105,0.111,1838049.7
1667563200000,0.111,0.1117,0.1095,0.1116,2595615.7
1667566800000,0.1115,0.1125,0.1112,0.1124,2254379.2
1667570400000,0.1123,0.1144,0.1118,0.1131,3153221.3
1667574000000,0.1132,0.1135,0.1118,0.112,2364707
1667577600000,0.112,0.113,0.1116,0.1125,1182598.7
1667581200000,0.1125,0.1174,0.1119,0.1174,4691825.4
1667584800000,0.1173,0.1181,0.114,0.1154,7816370.1
1667588400000,0.1154,0.1154,0.113,0.1135,3517263.1
1667592000000,0.1135,0.1142,0.1133,0.1137,579827.8
1667595600000,0.1138,0.1144,0.1132,0.1141,1658199.8
1667599200000,0.1141,0.1144,0.1133,0.114,622982.3
1667602800000,0.1139,0.1156,0.1137,0.1155,1562160.5
1667606400000,0.1155,0.1157,0.1137,0.1145,1481878.2
1667610000000,0.1144,0.1161,0.1143,0.115,3539697.8
1667613600000,0.1151,0.1151,0.1134,0.1144,2089069
1667617200000,0.1144,0.1154,0.114,0.1148,1782306.2
