date,open,high,low,close,volume
1667005200000,0.633,0.634,0.63,0.634,70678.9
1667008800000,0.634,0.647,0.632,0.645,189488.4
1667012400000,0.645,0.776,0.643,0.761,4478779.2
1667016000000,0.759,0.805,0.714,0.786,5065810.9
1667019600000,0.785,0.815,0.729,0.736,3318346.2
1667023200000,0.736,0.794,0.735,0.758,3347303
1667026800000,0.758,0.771,0.742,0.766,1647338.8
1667030400000,0.767,0.769,0.728,0.738,1588257.3
1667034000000,0.738,0.752,0.728,0.749,1206813.3
1667037600000,0.749,0.759,0.727,0.727,1184264.8
1667041200000,0.727,0.733,0.697,0.708,1668865.4
1667044800000,0.709,0.723,0.706,0.716,449703.1
1667048400000,0.715,0.717,0.696,0.711,689650.7
1667052000000,0.711,0.75,0.701,0.725,2532554.7
1667055600000,0.725,0.747,0.701,0.71,3157962.6
1667059200000,0.711,0.728,0.689,0.723,2199204
1667062800000,0.724,0.773,0.722,0.732,2806213.4
1667066400000,0.732,0.746,0.72,0.726,808798.4
1667070000000,0.726,0.727,0.714,0.722,251574.3
1667073600000,0.721,0.744,0.719,0.741,699870.7
1667077200000,0.741,0.742,0.723,0.733,1100380.4
1667080800000,0.734,0.735,0.699,0.701,561888.5
1667084400000,0.701,0.717,0.7,0.715,338427.7
1667088000000,0.716,0.716,0.678,0.682,1234516.3
1667091600000,0.683,0.695,0.677,0.694,396632
1667095200000,0.694,0.717,0.69,0.708,556236.5
1667098800000,0.708,0.723,0.698,0.699,531518.4
1667102400000,0.699,0.723,0.695,0.712,710791.4
1667106000000,0.712,0.736,0.711,0.726,587559.1
1667109600000,0.726,0.74,0.707,0.709,537130
1667113200000,0.71,0.714,0.699,0.702,612637.1
1667116800000,0.702,0.709,0.678,0.691,1310249.6
1667120400000,0.691,0.696,0.669,0.675,830505.5
1667124000000,0.675,0.695,0.673,0.681,1563990.5
1667127600000,0.68,0.69,0.68,0.689,274655.7
1667131200000,0.688,0.69,0.683,0.683,194414.7
1667134800000,0.683,0.685,0.675,0.677,317772.5
1667138400000,0.677,0.69,0.677,0.688,338977.3
1667142000000,0.689,0.694,0.675,0.679,433649.9
1667145600000,0.679,0.684,0.668,0.668,341911.8
1667149200000,0.669,0.682,0.667,0.677,211665.7
1667152800000,0.676,0.682,0.672,0.682,164546.6
1667156400000,0.681,0.694,0.678,0.685,526504.9
1667160000000,0.685,0.688,0.677,0.687,255455.9
1667163600000,0.687,0.69,0.678,0.681,153403.7
1667167200000,0.681,0.681,0.667,0.674,212035.9
1667170800000,0.674,0.698,0.673,0.691,508909.6
1667174400000,0.691,0.695,0.677,0.678,227171.5
