date,open,high,low,close,volume
1667005200000,907,910,900,901,65.0844
1667008800000,901,906,900,905,52.932
1667012400000,905,919,903,913,301.4464
1667016000000,913,917,907,911,134.367
1667019600000,911,923,908,923,160.2412
1667023200000,923,924,914,918,125.2595
1667026800000,918,923,914,918,74.8122
1667030400000,918,929,914,927,197.8438
1667034000000,927,929,920,922,104.9258
1667037600000,921,922,907,908,152.0574
1667041200000,909,912,906,909,54.2991
1667044800000,908,913,906,911,54.6659
1667048400000,912,913,908,913,58.1457
1667052000000,914,918,909,909,75.0619
1667055600000,909,917,909,916,116.1407
1667059200000,916,921,912,917,169.3279
1667062800000,917,923,911,916,212.3392
1667066400000,916,919,912,916,139.8797
1667070000000,917,919,909,916,63.9978
1667073600000,916,919,914,917,59.6013
1667077200000,917,919,916,917,26.522
1667080800000,917,918,915,916,44.6432
1667084400000,916,917,912,916,38.1705
1667088000000,917,919,914,918,41.3895
1667091600000,918,919,916,918,36.6881
1667095200000,918,922,916,921,57.0296
1667098800000,921,924,919,922,58.5475
1667102400000,922,923,919,919,72.3796
1667106000000,920,923,920,920,30.866
1667109600000,921,924,919,924,45.8075
1667113200000,924,926,920,925,63.159
1667116800000,925,926,918,923,71.7542
1667120400000,923,926,916,919,78.0321
1667124000000,919,923,917,919,55.2676
1667127600000,919,921,916,917,63.1981
1667131200000,917,918,902,913,174.2215
1667134800000,912,913,903,903,44.3495
1667138400000,903,907,901,906,40.1891
1667142000000,906,908,896,899,102.3245
1667145600000,898,906,896,899,63.8419
1667149200000,901,902,897,902,25.7057
1667152800000,902,908,899,906,56.6837
1667156400000,906,909,905,905,26.5208
1667160000000,906,910,906,908,48.2442
1667163600000,908,908,904,906,31.5679
1667167200000,907,908,896,907,51.8857
1667170800000,906,911,905,910,45.5727
1667174400000,910,914,909,911,62.0311
1667178000000,910,915,908,914,61.1154
1667181600000,914,915,907,909,40.8234
1667185200000,910,915,908,914,47.4121
1667188800000,914,917,912,914,49.5071
1667192400000,913,913,910,911,24.7224
1667196000000,910,913,908,912,25.1643
1667199600000,912,914,907,910,60.9242
1667203200000,911,912,907,911,62.4865
1667206800000,911,924,909,920,100.0239
1667210400000,921,923,916,918,45.1161
1667214000000,918,922,914,915,122.4061
1667217600000,915,918,912,916,40.7085
1667221200000,916,920,893,894,157.5595
1667224800000,893,903,893,900,98.8827
1667228400000,899,907,898,903,53.9072
1667232000000,903,908,895,902,105.7675
1667235600000,901,907,901,903,30.6633
1667239200000,904,909,903,906,39.9833
1667242800000,907,908,900,901,83.9765
1667246400000,902,904,897,898,53.6163
1667250000000,898,898,893,894,62.98
1667253600000,894,901,892,901,27.4142
1667257200000,901,902,898,899,19.541
1667260800000,899,903,897,899,32.3014
1667264400000,900,903,900,900,13.1032
1667268000000,901,904,900,902,34.4307
1667271600000,904,904,898,900,23.3528
1667275200000,901,901,893,894,108.4595
1667278800000,893,894,885,889,212.3058
1667282400000,890,900,889,897,60.8126
1667286000000,898,899,896,896,31.5299
1667289600000,897,899,896,897,45.4805
1667293200000,897,906,897,898,114.1013
1667296800000,899,901,896,898,28.2959
1667300400000,899,899,891,892,55.8535
1667304000000,892,894,890,892,71.9583
1667307600000,891,892,881,884,80.0366
1667311200000,884,884,876,882,140.4895
1667314800000,882,885,878,883,114.863
1667318400000,883,885,876,880,118.3538
1667322000000,879,883,878,882,52.1091
1667325600000,882,886,881,884,25.2575
1667329200000,885,886,883,883,52.6945
1667332800000,882,884,880,882,40.6038
1667336400000,882,884,878,880,53.3572
1667340000000,879,880,876,878,28.9179
1667343600000,878,884,878,881,58.3672
1667347200000,880,882,876,881,40.5244
1667350800000,881,885,881,883,21.5774
1667354400000,882,883,879,882,27.6175
1667358000000,883,888,881,885,30.8137
1667361600000,886,886,878,881,72.2007
1667365200000,881,884,877,878,52.9334
1667368800000,877,877,861,870,204.4807
1667372400000,870,872,856,863,71.46
1667376000000,862,868,861,868,66.8955
1667379600000,867,871,852,852,75.0599
1667383200000,852,855,844,854,136.4581
1667386800000,854,858,854,857,31.501
1667390400000,858,861,852,858,174.6746
1667394000000,858,864,856,860,142.6052
1667397600000,860,861,854,854,109.5395
1667401200000,855,856,853,855,32.3373
1667404800000,856,861,851,861,60.6584
1667408400000,861,861,852,856,44.0751
1667412000000,853,885,850,865,433.7333
1667415600000,866,876,847,848,224.9164
1667419200000,848,853,823,830,236.9757
1667422800000,829,836,829,836,49.7796
1667426400000,836,838,831,834,45.142
1667430000000,834,841,833,838,80.4697
1667433600000,839,852,834,852,45.7967
1667437200000,852,863,851,862,189.6128
1667440800000,861,868,859,866,150.1821
1667444400000,867,872,865,866,49.6304
1667448000000,865,874,865,866,58.0746
1667451600000,866,870,863,869,95.102
1667455200000,869,870,865,866,21.1201
1667458800000,866,877,861,862,65.2886
1667462400000,861,868,860,863,97.6377
1667466000000,864,868,863,868,43.9338
1667469600000,868,883,866,867,673.9442
1667473200000,867,886,864,871,381.6143
1667476800000,871,871,848,852,116.1409
