date,open,high,low,close,volume
1667005200000,24.85,24.86,24.72,24.74,189.909
1667008800000,24.74,24.81,24.58,24.66,840.179
1667012400000,24.65,24.8,24.64,24.75,896.172
1667016000000,24.75,25.2,24.72,25.02,2276.015
1667019600000,25.03,25.03,24.71,24.75,1334.674
1667023200000,24.75,24.82,24.58,24.59,2272.915
1667026800000,24.64,24.66,24.38,24.51,2148.168
1667030400000,24.5,24.8,24.3,24.59,3299.914
1667034000000,24.59,24.64,24.36,24.49,1545.693
1667037600000,24.46,24.5,24.2,24.31,3312.817
1667041200000,24.32,24.48,24.16,24.3,1443.354
1667044800000,24.29,24.3,23.97,24.19,3731.245
1667048400000,24.17,24.17,24.02,24.09,1438.468
1667052000000,24.1,24.21,23.89,23.96,2885.965
1667055600000,23.96,24,23.43,23.77,6620.486
1667059200000,23.77,24.32,23.71,24.1,5522.354
1667062800000,24.1,24.12,23.67,23.91,5222.469
1667066400000,23.92,23.93,23.55,23.9,1924.708
1667070000000,23.94,24.13,23.7,23.83,2176.474
1667073600000,23.83,24.04,23.76,23.91,1110.923
1667077200000,23.96,24,23.84,23.92,1293.989
1667080800000,23.93,24.02,23.8,23.99,1565.939
1667084400000,23.92,24.07,23.79,23.79,1025.985
1667088000000,23.86,23.87,23.47,23.57,1058.312
1667091600000,23.56,23.6,23.34,23.51,1153.718
1667095200000,23.52,23.93,23.41,23.93,1526.812
1667098800000,23.87,23.93,23.5,23.59,1760.363
1667102400000,23.6,23.65,23.5,23.59,479.501
1667106000000,23.55,23.61,23.46,23.52,586.61
1667109600000,23.48,23.66,23.41,23.58,2090.745
1667113200000,23.6,23.84,23.59,23.8,1023.097
1667116800000,23.79,23.79,23.33,23.4,1511.172
1667120400000,23.4,23.53,23.2,23.2,1720.866
1667124000000,23.2,23.28,23.06,23.28,900.688
1667127600000,23.28,23.34,23.17,23.26,488.041
1667131200000,23.27,23.32,23.2,23.31,1154.006
1667134800000,23.31,23.31,23.06,23.12,1789.607
1667138400000,23.09,23.12,22.85,22.88,2838.966
1667142000000,22.88,23.09,22.8,22.85,1181.099
1667145600000,22.84,23.13,22.8,22.87,1140.573
1667149200000,22.89,24.37,22.89,23.53,13751.058
1667152800000,23.57,23.9,23.41,23.44,4163.105
1667156400000,23.47,24.06,23.41,23.45,1946.076
1667160000000,23.49,24,23.49,23.65,2140.271
1667163600000,23.66,23.82,23.6,23.65,580.957
1667167200000,23.64,23.97,23.6,23.77,2244.294
1667170800000,23.74,23.77,23.6,23.66,596.58
1667174400000,23.66,24.02,23.66,23.95,789.634
1667178000000,23.95,24,23.45,23.51,2226.483
1667181600000,23.54,23.54,23.44,23.48,616.892
1667185200000,23.45,23.66,23.45,23.62,1128.951
1667188800000,23.7,23.77,23.46,23.53,2473.195
1667192400000,23.52,25.4,23.49,25.28,15652.218
1667196000000,25.28,28.49,24.29,26.52,105836.51
1667199600000,26.49,26.79,24.9,24.9,25424.814
1667203200000,24.95,25.79,24.56,24.99,41965.866
1667206800000,24.99,25.26,24.55,24.63,14943.4
1667210400000,24.63,25.39,24.5,25.38,12343.409
1667214000000,25.38,25.75,24.65,25.68,15272.086
1667217600000,25.67,26.37,25.08,25.12,25515.062
1667221200000,25.12,25.47,24.7,24.9,9755.414
1667224800000,24.8,25.01,24.34,24.76,6607.026
1667228400000,24.75,26.18,24.74,24.92,20775.039
1667232000000,24.92,25.29,24.59,24.74,7911.302
1667235600000,24.75,24.82,24.38,24.5,2995.159
1667239200000,24.51,24.56,24.07,24.46,4573.763
1667242800000,24.45,24.55,24,24.22,2295.417
1667246400000,24.17,24.24,24,24.04,1490.86
1667250000000,24,24.14,23.94,24.14,1235.788
1667253600000,24.14,24.76,23.92,23.98,6158.9
1667257200000,24.01,24.21,23.96,24.21,433.233
1667260800000,24.15,24.2,23.97,23.97,1113.954
1667264400000,24.02,24.02,23.8,23.95,1753.154
1667268000000,23.95,24.48,23.87,24.14,3868.096
1667271600000,24.15,24.19,23.98,24.09,829.344
1667275200000,24.09,24.12,23.7,23.83,3344.288
1667278800000,23.83,23.83,23.6,23.64,1489.42
1667282400000,23.64,24.05,23.61,23.93,2948.866
1667286000000,23.93,24.04,23.86,23.95,1625.767
1667289600000,23.95,24.01,23.81,23.88,1232.132
1667293200000,23.89,23.96,23.66,23.81,2050.552
1667296800000,23.84,24.06,23.79,23.98,3312.901
1667300400000,23.96,23.96,23.8,23.89,1234.203
1667304000000,23.85,23.89,23.78,23.84,1165.247
1667307600000,23.87,23.89,23.72,23.73,551.923
1667311200000,23.72,23.74,23.62,23.62,959.138
1667314800000,23.67,23.72,23.6,23.66,1100.56
1667318400000,23.68,23.76,23.58,23.68,1475.443
1667322000000,23.61,23.7,23.55,23.59,805.743
1667325600000,23.56,23.64,23.55,23.64,365.89
1667329200000,23.62,24,23.59,23.65,2849.379
1667332800000,23.61,23.94,23.57,23.87,906.73
1667336400000,23.89,23.91,23.78,23.84,519.413
1667340000000,23.87,23.91,23.49,23.58,3210.546
1667343600000,23.5,23.5,23.43,23.44,349.951
1667347200000,23.43,23.49,23.38,23.45,435.192
1667350800000,23.48,23.49,23.4,23.4,186.993
1667354400000,23.41,24.1,23.41,23.78,3079.842
1667358000000,23.77,23.86,23.69,23.72,318.316
1667361600000,23.72,23.74,23.41,23.45,1052.806
1667365200000,23.46,24.05,23.45,23.66,3002.913
1667368800000,23.59,23.99,23.51,23.52,5736.98
1667372400000,23.56,23.6,23.06,23.26,3191.474
1667376000000,23.28,23.47,23.28,23.4,368.237
1667379600000,23.47,23.47,23.08,23.08,759.979
1667383200000,23.07,23.25,22.98,23.25,1575.944
1667386800000,23.17,23.28,22.93,23.01,3015.232
1667390400000,23.05,23.05,22.86,22.87,973.956
1667394000000,22.87,22.98,22.81,22.88,1446.914
1667397600000,22.86,22.9,22.54,22.65,2025.947
1667401200000,22.65,22.99,22.62,22.9,1245.554
1667404800000,22.95,22.98,22.8,22.98,522.053
1667408400000,22.97,23.57,22.86,23.24,3111.878
1667412000000,23.25,23.92,23.13,23.52,3723.039
1667415600000,23.58,23.78,23.06,23.23,1527.739
1667419200000,23.2,23.32,22.84,22.87,550.578
1667422800000,22.93,23.04,22.81,23.04,571.108
1667426400000,23.05,23.97,23.05,23.59,7315.141
1667430000000,23.59,23.68,23.39,23.43,990.465
1667433600000,23.42,23.72,23.41,23.63,905.587
1667437200000,23.66,23.75,23.59,23.75,771.758
1667440800000,23.7,23.75,23.59,23.65,1130.888
1667444400000,23.66,23.76,23.2,23.26,6149.507
1667448000000,23.24,23.45,23.2,23.26,2085.863
1667451600000,23.26,23.41,23.25,23.38,442.259
1667455200000,23.37,23.53,23.34,23.5,1116.334
1667458800000,23.5,23.97,23.5,23.77,4253.393
1667462400000,23.77,23.86,23.45,23.49,2720.296
1667466000000,23.49,23.6,23.4,23.55,579.523
1667469600000,23.6,23.82,23.51,23.63,1827.923
1667473200000,23.67,23.98,23.36,23.53,3139.214
1667476800000,23.49,23.59,23.34,23.34,699.806
1667480400000,23.39,23.71,23.38,23.58,968.835
1667484000000,23.52,23.7,23.52,23.56,635.518
1667487600000,23.6,23.69,23.15,23.47,3783.549
1667491200000,23.51,23.59,23.28,23.41,1293.89
1667494800000,23.42,23.42,23.1,23.2,1501.103
1667498400000,23.17,23.35,23.13,23.27,1080.101
1667502000000,23.28,23.4,23.27,23.32,628.189
1667505600000,23.35,23.4,23.29,23.29,864.282
1667509200000,23.32,23.41,23.24,23.28,1190.045
1667512800000,23.28,23.28,23.2,23.21,453.146
1667516400000,23.21,23.21,22.78,22.85,2029.306
1667520000000,22.88,23.15,22.85,23.14,1174.057
1667523600000,23.16,23.32,23.16,23.3,793.763
1667527200000,23.3,23.36,23.25,23.25,986.523
1667530800000,23.22,23.37,23.18,23.31,354.331
1667534400000,23.31,23.37,23.23,23.27,1082.214
1667538000000,23.31,23.33,23.22,23.29,468.112
1667541600000,23.29,23.49,23.29,23.49,1069.648
1667545200000,23.49,23.58,23.44,23.55,1309.12
1667548800000,23.55,23.66,23.51,23.63,802.454
1667552400000,23.61,23.7,23.47,23.47,2045.665
1667556000000,23.51,23.62,23.4,23.62,1534.661
1667559600000,23.62,23.65,23.48,23.59,2300.95
1667563200000,23.58,23.78,23.48,23.7,2808.192
1667566800000,23.74,23.75,23.54,23.6,1605.031
1667570400000,23.6,24.08,23.56,23.95,3434.195
1667574000000,23.97,23.97,23.64,23.7,1281.559
1667577600000,23.64,23.83,23.58,23.7,1293.725
1667581200000,23.65,23.68,23.57,23.62,737.252
1667584800000,23.61,23.8,23.56,23.72,965.981
1667588400000,23.71,23.78,23.68,23.78,334.728
1667592000000,23.76,23.81,23.65,23.7,630.416
1667595600000,23.75,23.84,23.66,23.77,993.901
1667599200000,23.77,23.89,23.69,23.88,469.869
1667602800000,23.88,23.94,23.73,23.91,751.656
1667606400000,23.94,24.06,23.86,23.98,977.652
1667610000000,23.99,24.11,23.89,24.07,1302.426
1667613600000,24.05,24.13,23.97,24.03,780.005
1667617200000,24,24,23.8,23.89,984.737
1667620800000,23.84,23.94,23.78,23.78,763.691
1667624400000,23.76,23.84,23.68,23.69,553.757
1667628000000,23.73,23.96,23.7,23.95,519.283
1667631600000,23.96,24.02,23.82,23.85,798.711
1667635200000,23.85,23.95,23.68,23.73,1069.825
1667638800000,23.74,23.81,23.7,23.74,549.497
1667642400000,23.74,23.91,23.74,23.86,275.441
1667646000000,23.87,24.11,23.86,23.97,668.199
1667649600000,24,24.04,23.88,23.9,340.226
1667653200000,23.9,23.98,23.8,23.9,812.715
1667656800000,23.9,24.35,23.88,24.34,3727.699
1667660400000,24.34,25.69,24.28,24.56,16432.319
1667664000000,24.56,24.59,24.2,24.4,2938.226
1667667600000,24.43,24.43,24.08,24.17,1525.186
1667671200000,24.15,24.17,23.91,23.95,1220.654
1667674800000,23.97,24.1,23.88,24.1,797.066
1667678400000,24.09,24.11,24,24.11,336.294
1667682000000,24.13,25.52,24.13,25.36,9950.151
1667685600000,25.43,25.43,24.61,24.69,4113.348
1667689200000,24.67,24.7,24.43,24.6,1430.253
1667692800000,24.67,24.69,24.42,24.54,808.239
1667696400000,24.53,24.56,24.27,24.31,803.318
1667700000000,24.29,24.36,24.27,24.3,712.065
1667703600000,24.3,24.83,24.27,24.81,1267.722
1667707200000,24.84,27.5,24.78,25.95,36979.178
1667710800000,25.95,25.95,25.01,25.3,7300.268
