date,open,high,low,close,volume
1667005200000,0.837,0.843,0.836,0.843,15271.42
1667008800000,0.84,0.843,0.837,0.839,8234.15
1667012400000,0.839,0.845,0.839,0.843,28972.66
1667016000000,0.842,0.847,0.841,0.845,11586.5
1667019600000,0.844,0.845,0.84,0.843,8447.78
1667023200000,0.843,0.845,0.841,0.842,6635.12
1667026800000,0.842,0.845,0.837,0.845,17519.35
1667030400000,0.845,0.854,0.843,0.849,55928.36
1667034000000,0.848,0.853,0.844,0.851,28213.77
1667037600000,0.851,0.856,0.849,0.851,31748.49
1667041200000,0.852,0.854,0.85,0.852,19779.71
1667044800000,0.852,0.857,0.852,0.855,25829.81
1667048400000,0.854,0.856,0.841,0.844,22451.72
1667052000000,0.844,0.845,0.838,0.841,28122.86
1667055600000,0.841,0.842,0.835,0.838,25418.63
1667059200000,0.839,0.84,0.833,0.839,61966.4
1667062800000,0.839,0.84,0.83,0.832,34285.16
1667066400000,0.831,0.837,0.83,0.834,21861.33
1667070000000,0.834,0.835,0.831,0.831,4549
1667073600000,0.833,0.838,0.833,0.838,8154.68
1667077200000,0.838,0.843,0.836,0.839,27721.01
1667080800000,0.839,0.839,0.832,0.832,12995.36
1667084400000,0.832,0.834,0.829,0.834,8110.29
1667088000000,0.833,0.836,0.828,0.829,24267.97
1667091600000,0.829,0.833,0.828,0.833,9332.99
1667095200000,0.833,0.841,0.831,0.839,26028.73
1667098800000,0.839,0.844,0.838,0.842,12392.61
1667102400000,0.841,0.843,0.84,0.842,9411.39
1667106000000,0.84,0.842,0.834,0.838,21437.22
1667109600000,0.839,0.842,0.838,0.842,3922.45
1667113200000,0.843,0.846,0.841,0.844,35135.64
1667116800000,0.845,0.846,0.835,0.837,12220.94
1667120400000,0.838,0.838,0.831,0.833,19127.68
1667124000000,0.834,0.839,0.832,0.833,19049.98
1667127600000,0.833,0.834,0.831,0.834,18418.39
1667131200000,0.834,0.838,0.832,0.833,7025.66
1667134800000,0.833,0.834,0.83,0.83,17740.88
1667138400000,0.832,0.835,0.828,0.835,7516.64
1667142000000,0.833,0.835,0.829,0.831,12643.66
1667145600000,0.831,0.839,0.827,0.829,30825.61
1667149200000,0.83,0.833,0.828,0.833,3780.97
1667152800000,0.833,0.836,0.832,0.832,6036.99
1667156400000,0.835,0.838,0.829,0.834,14372.83
1667160000000,0.835,0.835,0.83,0.831,6365.66
1667163600000,0.831,0.834,0.83,0.833,6725.84
1667167200000,0.832,0.834,0.826,0.831,8842.32
1667170800000,0.829,0.831,0.827,0.83,4346.17
1667174400000,0.83,0.833,0.827,0.827,6054.31
