date,open,high,low,close,volume
1667005200000,10.91,10.92,10.89,10.92,173.378
1667008800000,10.92,11,10.91,11,1701.419
1667012400000,10.98,11.05,10.98,11.03,1744.328
1667016000000,11.04,11.05,10.96,10.99,2260.052
1667019600000,10.99,10.99,10.89,10.95,3119.959
1667023200000,10.95,11.09,10.93,11.07,7325.149
1667026800000,11.05,11.25,11,11.22,7958.461
1667030400000,11.22,11.32,11.13,11.21,7454.051
1667034000000,11.21,11.21,11.11,11.18,7505.886
1667037600000,11.18,11.19,11.08,11.1,5505.019
1667041200000,11.1,11.1,10.99,11.04,2754.016
1667044800000,11.05,11.12,11.01,11.07,3196.045
1667048400000,11.08,11.12,10.96,11.04,3461.835
1667052000000,11.04,11.13,10.99,11.03,3579.099
1667055600000,11.03,11.07,11,11.06,3956.301
1667059200000,11.07,11.18,11.03,11.17,5016.499
1667062800000,11.17,11.2,11,11.04,8748.572
1667066400000,11.04,11.06,10.93,10.99,4408.026
1667070000000,10.99,11.06,10.94,10.97,1876.16
1667073600000,11,11.13,10.99,11.12,4741.017
1667077200000,11.12,11.12,10.98,11.03,4210.218
1667080800000,11.04,11.04,10.95,10.98,2247.182
1667084400000,10.99,11.05,10.95,11,1813.73
1667088000000,11,11.02,10.88,10.88,3385.196
1667091600000,10.89,10.92,10.89,10.91,717.753
1667095200000,10.93,10.94,10.92,10.93,307.782
1667098800000,10.92,11.02,10.91,11,4292.716
1667102400000,11,11,10.95,10.98,1946.558
1667106000000,10.97,11.06,10.97,11.04,2461.766
1667109600000,11.05,11.05,10.91,11.03,4705.292
1667113200000,11.03,11.14,11.03,11.11,6887.334
1667116800000,11.11,11.16,10.97,11.01,5871.401
1667120400000,11.02,11.1,10.91,10.92,6302.159
1667124000000,10.92,10.99,10.9,10.94,4702.427
1667127600000,10.93,11,10.92,10.99,1217.267
1667131200000,10.97,11.07,10.91,10.99,3902.073
1667134800000,10.99,11,10.9,10.93,2784.14
1667138400000,10.93,11,10.93,10.99,2388.614
1667142000000,10.99,11.05,10.88,10.9,4009.536
1667145600000,10.88,11.09,10.85,10.92,7490.736
1667149200000,10.92,10.97,10.91,10.96,1412.642
1667152800000,10.95,11.19,10.94,11.11,15545.355
1667156400000,11.14,11.28,11,11.02,9932.872
1667160000000,11.02,11.1,10.99,11.1,4227.204
1667163600000,11.09,11.11,11.01,11.07,1370.297
1667167200000,11.05,11.1,10.93,11.04,2889.899
1667170800000,11.04,11.05,10.98,10.99,918.867
1667174400000,10.99,11.05,10.96,11,2590.749
1667178000000,11,11.05,10.96,10.98,1576.9
1667181600000,10.98,11,10.93,10.96,1776.937
1667185200000,10.96,11.08,10.92,11.08,2137.098
1667188800000,11.05,11.08,11.02,11.06,958.203
1667192400000,11.04,11.08,11.02,11.03,1161.632
1667196000000,11.02,11.06,10.96,11.04,3162.385
1667199600000,11.03,11.03,10.92,10.97,3868.691
1667203200000,10.96,10.98,10.84,10.85,8727.907
1667206800000,10.83,11.05,10.78,11.02,7777.151
1667210400000,11.01,11.04,10.98,11.03,2823.805
1667214000000,11.02,11.09,11,11.04,3258.119
1667217600000,11.04,11.13,11,11.06,8484.81
1667221200000,11.08,11.2,10.86,10.93,15652.983
1667224800000,10.91,10.97,10.82,10.91,13296.975
1667228400000,10.91,11,10.88,10.92,4118.006
1667232000000,10.94,10.98,10.86,10.88,4805.671
1667235600000,10.88,10.9,10.83,10.86,2530.538
1667239200000,10.85,10.91,10.83,10.89,2235.394
1667242800000,10.89,10.9,10.8,10.83,3043.116
1667246400000,10.83,10.86,10.8,10.82,1697.865
1667250000000,10.81,11.1,10.8,10.85,7609.727
1667253600000,10.86,10.9,10.82,10.87,974.935
