date,open,high,low,close,volume
1667005200000,1.022,1.022,1.017,1.019,13727
1667008800000,1.018,1.024,1.016,1.024,19977.8
1667012400000,1.023,1.034,1.022,1.033,63205.5
1667016000000,1.031,1.034,1.026,1.029,49137.6
1667019600000,1.03,1.032,1.026,1.03,18521.3
1667023200000,1.029,1.036,1.029,1.033,47772.3
1667026800000,1.033,1.04,1.033,1.034,16016.4
1667030400000,1.036,1.043,1.034,1.04,60747.5
1667034000000,1.039,1.042,1.038,1.041,19150.4
1667037600000,1.041,1.044,1.025,1.026,28826.3
1667041200000,1.026,1.029,1.02,1.02,25492.6
1667044800000,1.02,1.029,1.02,1.028,29588.4
1667048400000,1.029,1.029,1.017,1.025,15195.5
1667052000000,1.026,1.03,1.019,1.02,37875.6
1667055600000,1.021,1.029,1.019,1.027,25605.5
1667059200000,1.026,1.044,1.025,1.04,59003.4
1667062800000,1.041,1.047,1.019,1.025,132001.5
1667066400000,1.024,1.033,1.018,1.023,55219.7
1667070000000,1.025,1.027,1.012,1.021,69393.7
1667073600000,1.021,1.03,1.019,1.026,36783.9
1667077200000,1.025,1.029,1.025,1.026,10437
1667080800000,1.025,1.025,1.012,1.015,11510.6
1667084400000,1.015,1.022,1.011,1.022,20711.1
1667088000000,1.022,1.025,1.012,1.015,114217.8
1667091600000,1.015,1.024,1.012,1.023,54879.8
1667095200000,1.023,1.025,1.022,1.024,48322
1667098800000,1.026,1.027,1.025,1.027,21016.4
1667102400000,1.028,1.029,1.023,1.025,18195.9
1667106000000,1.025,1.033,1.025,1.028,26980.5
1667109600000,1.029,1.034,1.024,1.032,77942.9
1667113200000,1.033,1.048,1.031,1.04,101861.2
1667116800000,1.042,1.047,1.026,1.031,52114.7
1667120400000,1.033,1.041,1.016,1.021,58460.9
1667124000000,1.021,1.029,1.019,1.028,32970.7
1667127600000,1.025,1.029,1.02,1.029,20606.6
1667131200000,1.028,1.029,1.02,1.028,23564.4
1667134800000,1.029,1.029,1.011,1.014,36374.5
1667138400000,1.014,1.027,1.004,1.021,117442.7
1667142000000,1.021,1.024,1.003,1.006,193705.3
1667145600000,1.002,1.013,0.997,1.001,58807.3
1667149200000,1.003,1.01,0.999,1.01,15540.1
1667152800000,1.006,1.012,1.006,1.01,8934.6
1667156400000,1.01,1.013,1.008,1.01,11469.4
1667160000000,1.009,1.014,1.006,1.011,15397.2
1667163600000,1.011,1.015,1.01,1.015,20078
1667167200000,1.01,1.01,0.99,1.002,82566.7
1667170800000,1,1.008,0.999,1.006,13859.7
1667174400000,1.006,1.011,0.998,0.998,25555.6
1667178000000,0.999,1.004,0.991,0.995,28910.2
1667181600000,0.994,0.994,0.985,0.99,61839.1
1667185200000,0.99,0.997,0.99,0.997,8526.1
1667188800000,0.997,0.998,0.994,0.997,7565.8
1667192400000,0.996,1.001,0.995,0.999,52517.8
1667196000000,0.998,1.006,0.994,1.005,103522.7
1667199600000,1.005,1.006,0.996,1,17396.4
1667203200000,1.003,1.004,0.996,1.001,84924.5
1667206800000,1,1.012,0.997,1.012,57118.9
1667210400000,1.012,1.015,1.007,1.014,29739.4
1667214000000,1.015,1.022,1.013,1.014,28994.5
1667217600000,1.015,1.018,1.01,1.015,30650.6
1667221200000,1.015,1.027,1.002,1.002,138626.9
1667224800000,1.001,1.012,0.995,1.005,70939
1667228400000,1.006,1.014,1.002,1.01,34495.6
1667232000000,1.01,1.014,1.001,1.004,22225.1
1667235600000,1.008,1.009,1.003,1.005,16067.3
1667239200000,1.005,1.015,1.004,1.009,38963
1667242800000,1.01,1.01,1.004,1.006,12868.1
