date,open,high,low,close,volume
1667005200000,3.086,3.088,3.057,3.065,173485.7
1667008800000,3.066,3.073,3.045,3.069,249342.1
1667012400000,3.069,3.108,3.065,3.103,708889.5
1667016000000,3.103,3.109,3.068,3.077,248166.8
1667019600000,3.078,3.091,3.06,3.066,259294.5
1667023200000,3.066,3.087,3.066,3.078,197527.5
1667026800000,3.079,3.109,3.077,3.106,330291.3
1667030400000,3.107,3.128,3.092,3.123,839101.1
1667034000000,3.124,3.132,3.102,3.118,428665.1
1667037600000,3.118,3.13,3.054,3.065,761044.4
1667041200000,3.065,3.074,3.039,3.052,348242.8
1667044800000,3.053,3.08,3.048,3.078,291653.7
1667048400000,3.078,3.08,3.027,3.053,432317
1667052000000,3.053,3.078,3.041,3.046,400191.4
1667055600000,3.046,3.078,3.045,3.077,478608.4
1667059200000,3.077,3.159,3.067,3.141,961516.4
1667062800000,3.14,3.171,3.081,3.097,808084.9
1667066400000,3.098,3.123,3.064,3.093,624731
1667070000000,3.093,3.101,3.051,3.079,317950.5
1667073600000,3.08,3.103,3.069,3.09,263143.2
1667077200000,3.088,3.102,3.082,3.083,159585.5
1667080800000,3.082,3.096,3.039,3.055,337407.2
1667084400000,3.055,3.088,3.042,3.088,152503
1667088000000,3.089,3.11,3.065,3.067,422333.7
1667091600000,3.067,3.117,3.062,3.116,306511.7
1667095200000,3.117,3.118,3.089,3.102,229086.2
1667098800000,3.103,3.122,3.101,3.122,209430.4
1667102400000,3.122,3.125,3.1,3.107,171733
1667106000000,3.107,3.145,3.107,3.134,354312.2
1667109600000,3.134,3.148,3.111,3.144,286363.2
1667113200000,3.144,3.216,3.134,3.21,1322992.8
1667116800000,3.209,3.236,3.139,3.175,826893.8
1667120400000,3.174,3.207,3.11,3.142,668470.8
1667124000000,3.141,3.161,3.124,3.132,444431.6
1667127600000,3.131,3.153,3.114,3.145,262602.9
1667131200000,3.144,3.147,3.106,3.132,230037.8
1667134800000,3.132,3.147,3.096,3.106,363626.8
1667138400000,3.105,3.145,3.093,3.143,329499.4
1667142000000,3.142,3.183,3.105,3.118,554656.4
1667145600000,3.117,3.144,3.078,3.096,405885.7
1667149200000,3.096,3.124,3.086,3.122,148198.3
1667152800000,3.121,3.156,3.111,3.145,187477.8
1667156400000,3.146,3.156,3.135,3.14,118675.4
1667160000000,3.14,3.16,3.135,3.149,120619.5
1667163600000,3.148,3.157,3.126,3.141,140371.6
1667167200000,3.14,3.144,3.054,3.097,497982.3
1667170800000,3.097,3.107,3.079,3.101,176343.2
1667174400000,3.101,3.122,3.081,3.083,247245.3
1667178000000,3.083,3.102,3.059,3.078,287525.5
1667181600000,3.077,3.081,3.047,3.071,219868.9
