date,open,high,low,close,volume
1667005200000,2.042,2.047,2.024,2.037,4467.2
1667008800000,2.043,2.055,2.041,2.052,2771.2
1667012400000,2.052,2.057,2.044,2.046,4505.8
1667016000000,2.048,2.048,2.024,2.028,6393.2
1667019600000,2.027,2.044,2.02,2.032,9166.6
1667023200000,2.032,2.055,2.032,2.035,2617.7
1667026800000,2.035,2.058,2.028,2.04,5747.9
1667030400000,2.044,2.088,2.023,2.044,23662.5
1667034000000,2.044,2.048,2.023,2.037,14340.6
1667037600000,2.033,2.044,2.024,2.027,8239.4
1667041200000,2.026,2.032,2.017,2.022,4309.2
1667044800000,2.028,2.031,2,2.023,7701
1667048400000,2.015,2.025,1.984,1.991,7297.7
1667052000000,1.997,2.223,1.986,2.1,584504.9
1667055600000,2.099,2.136,2.046,2.046,31097.6
1667059200000,2.052,2.119,2.05,2.086,31957.5
1667062800000,2.085,2.097,2.061,2.08,24005.8
1667066400000,2.08,2.119,2.076,2.108,32749.8
1667070000000,2.112,2.112,2.1,2.103,7153
1667073600000,2.101,2.15,2.093,2.111,91951.1
1667077200000,2.113,2.21,2.073,2.193,161475.6
1667080800000,2.2,2.24,2.095,2.099,65572.8
1667084400000,2.096,2.107,2.086,2.102,4627
1667088000000,2.098,2.107,2.085,2.088,4976.3
1667091600000,2.095,2.095,2.066,2.073,6492
1667095200000,2.076,2.083,2.071,2.074,1699.4
1667098800000,2.077,2.077,2.052,2.056,6577.2
1667102400000,2.061,2.09,2.058,2.078,11996.8
1667106000000,2.078,2.093,2.078,2.084,5186.1
1667109600000,2.087,2.087,2.059,2.076,2206.8
1667113200000,2.076,2.098,2.068,2.098,13125.6
1667116800000,2.099,2.168,2.099,2.109,83340.2
1667120400000,2.114,2.329,2.104,2.242,367174.5
1667124000000,2.244,2.307,2.118,2.122,139517.7
1667127600000,2.128,2.149,2.101,2.129,26773.1
1667131200000,2.136,2.137,2.092,2.103,25105.9
1667134800000,2.108,2.139,2.104,2.108,12608.1
1667138400000,2.115,2.137,2.091,2.105,16205.4
1667142000000,2.095,2.117,2.089,2.11,23944
1667145600000,2.11,2.115,2.088,2.092,21806.5
1667149200000,2.092,2.115,2.091,2.105,5201.1
1667152800000,2.095,2.108,2.093,2.106,2943.2
1667156400000,2.105,2.135,2.093,2.126,16961.8
1667160000000,2.133,2.142,2.11,2.128,12651.5
1667163600000,2.128,2.132,2.113,2.121,4315.8
1667167200000,2.121,2.135,2.11,2.135,3346.7
1667170800000,2.135,2.176,2.117,2.172,11972.7
1667174400000,2.174,2.174,2.117,2.128,10671.8
1667178000000,2.134,2.161,2.112,2.125,6374.3
1667181600000,2.123,2.18,2.103,2.123,13627.3
1667185200000,2.125,2.155,2.122,2.155,3447.6
1667188800000,2.149,2.155,2.11,2.113,17096.2
1667192400000,2.115,2.13,2.09,2.1,7280
1667196000000,2.1,2.107,2.071,2.086,9843.6
1667199600000,2.086,2.132,2.075,2.106,8915.6
1667203200000,2.112,2.16,2.079,2.104,69753.6
1667206800000,2.103,2.131,2.095,2.121,42274.2
1667210400000,2.121,2.131,2.086,2.114,117277
1667214000000,2.121,2.14,2.107,2.107,9809.1
1667217600000,2.118,2.143,2.109,2.117,4757.5
1667221200000,2.115,2.123,2.086,2.086,6769.9
1667224800000,2.083,2.1,2.077,2.083,10099.9
1667228400000,2.088,2.099,2.064,2.072,29207.7
1667232000000,2.072,2.088,2.05,2.067,70148.4
1667235600000,2.067,2.095,2.047,2.067,13789.8
1667239200000,2.073,2.088,2.07,2.074,3069.4
1667242800000,2.079,2.081,2.059,2.068,3050.2
1667246400000,2.065,2.081,2.054,2.055,3913
1667250000000,2.054,2.063,2.046,2.06,1498.9
1667253600000,2.062,2.113,2.062,2.091,8519.8
1667257200000,2.092,2.094,2.07,2.072,3282.5
