date,open,high,low,close,volume
1667005200000,8.69,8.7,8.65,8.66,6590.45
1667008800000,8.66,8.71,8.65,8.7,6201.56
1667012400000,8.71,8.8,8.69,8.78,16883.32
1667016000000,8.79,8.81,8.72,8.73,14443.18
1667019600000,8.73,8.77,8.71,8.72,15187.28
1667023200000,8.73,8.75,8.72,8.74,8552.19
1667026800000,8.74,8.76,8.7,8.76,7868.89
1667030400000,8.76,8.86,8.75,8.83,20816.8
1667034000000,8.83,8.84,8.79,8.82,6120.53
1667037600000,8.82,8.84,8.64,8.65,28509.17
1667041200000,8.65,8.67,8.59,8.64,17734.28
1667044800000,8.65,8.7,8.63,8.7,11430.4
1667048400000,8.7,8.71,8.6,8.65,13466.14
1667052000000,8.66,8.7,8.61,8.63,15013.74
1667055600000,8.63,8.71,8.62,8.67,21365.24
1667059200000,8.68,8.82,8.65,8.8,31789.8
1667062800000,8.8,8.89,8.67,8.77,76087.11
1667066400000,8.78,8.88,8.69,8.86,82364.45
1667070000000,8.86,8.98,8.81,8.88,30619.11
1667073600000,8.89,8.93,8.86,8.91,17051.96
1667077200000,8.92,8.94,8.86,8.86,9613.43
1667080800000,8.86,8.88,8.75,8.78,9326.18
1667084400000,8.78,8.82,8.73,8.82,17414.97
1667088000000,8.82,8.84,8.72,8.73,8618.86
1667091600000,8.72,8.81,8.71,8.8,8812
1667095200000,8.8,8.83,8.8,8.82,8257.59
1667098800000,8.82,8.87,8.82,8.85,3215.65
1667102400000,8.84,8.85,8.79,8.79,6384.19
1667106000000,8.79,8.82,8.76,8.79,23593.79
1667109600000,8.78,8.86,8.77,8.85,11241.69
1667113200000,8.84,8.92,8.81,8.91,12512.79
1667116800000,8.92,8.92,8.72,8.76,17043.92
1667120400000,8.76,8.81,8.65,8.68,23469.91
1667124000000,8.68,8.74,8.68,8.72,9561.21
1667127600000,8.71,8.76,8.7,8.74,13485.72
1667131200000,8.73,8.76,8.62,8.68,8180.03
1667134800000,8.69,8.69,8.57,8.61,18029.91
1667138400000,8.6,8.68,8.59,8.67,5443.79
1667142000000,8.67,8.68,8.55,8.59,6948.58
1667145600000,8.58,8.65,8.55,8.58,7936.06
1667149200000,8.58,8.62,8.56,8.62,7392.93
1667152800000,8.62,8.64,8.58,8.62,11777.79
1667156400000,8.62,8.63,8.61,8.61,5002.75
1667160000000,8.62,8.67,8.6,8.66,5138.71
1667163600000,8.65,8.67,8.62,8.64,3283.33
1667167200000,8.64,8.64,8.47,8.58,20681.07
1667170800000,8.57,8.6,8.54,8.59,6530.33
1667174400000,8.58,8.68,8.58,8.59,13527.62
1667178000000,8.59,8.63,8.51,8.56,9687.09
1667181600000,8.56,8.57,8.44,8.5,18472.05
1667185200000,8.5,8.59,8.5,8.58,9934.11
1667188800000,8.58,8.6,8.56,8.57,6545.16
1667192400000,8.57,8.59,8.48,8.49,90804.31
1667196000000,8.49,8.51,8.41,8.46,13516.85
1667199600000,8.47,8.48,8.43,8.47,12078.45
1667203200000,8.47,8.48,8.4,8.42,20840.01
1667206800000,8.42,8.58,8.41,8.57,18542.17
1667210400000,8.57,8.61,8.54,8.6,15458.22
1667214000000,8.59,8.63,8.56,8.57,14803.43
1667217600000,8.57,8.72,8.55,8.68,49371.08
1667221200000,8.68,8.84,8.5,8.5,86290.2
1667224800000,8.5,8.6,8.48,8.54,22611.86
1667228400000,8.55,8.56,8.48,8.51,35396.16
1667232000000,8.51,8.56,8.44,8.48,13809.56
1667235600000,8.48,8.52,8.46,8.48,9706.21
1667239200000,8.47,8.51,8.46,8.49,7418.58
1667242800000,8.49,8.49,8.43,8.45,10993.55
1667246400000,8.45,8.49,8.42,8.45,8469.51
1667250000000,8.44,8.47,8.44,8.46,19277.2
1667253600000,8.46,8.55,8.44,8.52,12862.57
1667257200000,8.52,8.56,8.51,8.51,8141.38
1667260800000,8.51,8.57,8.49,8.53,11867.81
1667264400000,8.53,8.57,8.52,8.54,7928.27
1667268000000,8.53,8.57,8.51,8.53,9873.96
1667271600000,8.54,8.57,8.49,8.5,6073.96
1667275200000,8.5,8.52,8.45,8.47,9803
1667278800000,8.47,8.52,8.46,8.51,11314.98
1667282400000,8.51,8.56,8.48,8.55,6760.5
1667286000000,8.55,8.56,8.52,8.54,5470.96
1667289600000,8.53,8.56,8.53,8.55,7301.29
1667293200000,8.55,8.61,8.55,8.58,9745.85
1667296800000,8.58,8.6,8.55,8.58,7326.46
1667300400000,8.59,8.59,8.48,8.51,8124.5
1667304000000,8.52,8.53,8.47,8.5,19321.91
1667307600000,8.5,8.51,8.37,8.41,15164.72
1667311200000,8.4,8.43,8.36,8.41,7284.6
1667314800000,8.41,8.45,8.41,8.44,4176.36
1667318400000,8.45,8.46,8.39,8.4,6551.68
1667322000000,8.41,8.44,8.39,8.43,4241.97
1667325600000,8.42,8.45,8.42,8.43,4379.6
1667329200000,8.43,8.45,8.4,8.41,7603.56
1667332800000,8.4,8.42,8.39,8.41,2900.49
1667336400000,8.41,8.44,8.4,8.41,5666.65
1667340000000,8.41,8.43,8.4,8.42,2356.46
1667343600000,8.42,8.44,8.41,8.43,5784.29
1667347200000,8.43,8.43,8.33,8.42,11206.79
1667350800000,8.42,8.45,8.42,8.42,6014.32
1667354400000,8.42,8.42,8.36,8.39,6657.02
1667358000000,8.39,8.44,8.39,8.41,4307.77
1667361600000,8.41,8.43,8.39,8.4,2959.78
1667365200000,8.4,8.42,8.39,8.39,3892.08
1667368800000,8.39,8.39,8.35,8.35,8026.97
1667372400000,8.35,8.36,8.23,8.29,25524.08
1667376000000,8.28,8.4,8.25,8.38,18743.78
1667379600000,8.38,8.49,8.34,8.34,85176.89
1667383200000,8.34,8.34,8.22,8.32,15583.41
1667386800000,8.32,8.35,8.32,8.33,6463.41
1667390400000,8.33,8.33,8.28,8.29,7004.79
1667394000000,8.29,8.33,8.27,8.32,8525
1667397600000,8.32,8.38,8.31,8.36,6987.01
1667401200000,8.36,8.37,8.33,8.35,6598.51
1667404800000,8.35,8.42,8.31,8.41,6023.41
1667408400000,8.41,8.41,8.28,8.32,9233.7
1667412000000,8.32,8.58,8.28,8.41,88101.01
1667415600000,8.41,8.51,8.25,8.29,24525.44
1667419200000,8.29,8.31,8.07,8.17,38110.06
1667422800000,8.16,8.22,8.16,8.21,11053.44
1667426400000,8.21,8.21,8.14,8.17,5711.11
1667430000000,8.17,8.22,8.15,8.2,6282.05
1667433600000,8.21,8.3,8.18,8.29,6850.06
1667437200000,8.29,8.35,8.28,8.33,9154.24
1667440800000,8.34,8.41,8.33,8.39,11884.63
1667444400000,8.39,8.43,8.39,8.42,7491.29
1667448000000,8.42,8.5,8.42,8.43,5825.03
1667451600000,8.44,8.5,8.42,8.5,9231.84
1667455200000,8.5,8.52,8.42,8.47,9855.58
1667458800000,8.48,8.55,8.43,8.44,8316.14
1667462400000,8.43,8.48,8.42,8.45,8062.44
1667466000000,8.45,8.48,8.45,8.46,4071.82
1667469600000,8.47,8.52,8.43,8.44,12449.09
1667473200000,8.44,8.46,8.28,8.35,16638.53
1667476800000,8.35,8.39,8.27,8.32,12130.86
1667480400000,8.32,8.4,8.29,8.29,13171.91
1667484000000,8.3,8.44,8.29,8.43,16268.29
1667487600000,8.43,8.44,8.36,8.38,7827.11
1667491200000,8.38,8.46,8.38,8.45,8387.48
1667494800000,8.46,8.48,8.4,8.43,20987.45
1667498400000,8.43,8.44,8.37,8.44,13897.27
1667502000000,8.43,8.48,8.42,8.43,9386.36
1667505600000,8.42,8.43,8.37,8.38,19174.72
1667509200000,8.39,8.45,8.39,8.44,4908.31
1667512800000,8.43,8.43,8.32,8.33,16675.41
1667516400000,8.32,8.36,8.29,8.36,9549.17
1667520000000,8.36,8.44,8.31,8.43,16686.72
1667523600000,8.43,8.46,8.36,8.39,7489.87
1667527200000,8.4,8.46,8.4,8.45,12176.18
1667530800000,8.45,8.58,8.45,8.57,9848.19
1667534400000,8.57,8.6,8.53,8.57,12237.75
1667538000000,8.58,8.61,8.51,8.57,14186.99
1667541600000,8.58,8.7,8.57,8.69,23977.71
1667545200000,8.69,8.74,8.66,8.72,23880.13
1667548800000,8.73,8.79,8.72,8.73,17508.6
1667552400000,8.74,8.76,8.67,8.75,13822.47
1667556000000,8.76,8.86,8.75,8.85,31095.21
1667559600000,8.85,8.87,8.75,8.75,21664.4
