date,open,high,low,close,volume
1667005200000,0.0901,0.0902,0.0895,0.0898,361278
1667008800000,0.0896,0.0905,0.0894,0.0903,174337
1667012400000,0.0902,0.0918,0.0899,0.0916,1610940
1667016000000,0.0916,0.0918,0.0909,0.091,522929
1667019600000,0.0909,0.0911,0.0904,0.0909,562067
1667023200000,0.0909,0.0924,0.0908,0.0916,1537387
1667026800000,0.0916,0.0927,0.0916,0.0927,902961
1667030400000,0.0926,0.0927,0.0911,0.0917,1136632
1667034000000,0.0917,0.0921,0.0915,0.092,185316
1667037600000,0.092,0.093,0.0912,0.0913,768771
1667041200000,0.0913,0.0915,0.0903,0.0908,551922
1667044800000,0.0908,0.0915,0.0906,0.0913,401017
1667048400000,0.0912,0.0912,0.0902,0.091,193478
1667052000000,0.091,0.091,0.0897,0.0902,294295
1667055600000,0.09,0.0908,0.0895,0.0905,536245
1667059200000,0.0905,0.0926,0.0903,0.092,580064
1667062800000,0.0921,0.093,0.0903,0.0906,959773
1667066400000,0.0904,0.0914,0.0899,0.091,686139
1667070000000,0.0912,0.0912,0.0901,0.0911,251255
1667073600000,0.0911,0.0916,0.0907,0.0912,168302
1667077200000,0.0912,0.0918,0.091,0.091,485701
1667080800000,0.0912,0.0913,0.0896,0.0899,326045
1667084400000,0.09,0.091,0.0895,0.091,310865
1667088000000,0.0909,0.0915,0.0905,0.0909,90276
1667091600000,0.0907,0.0921,0.0907,0.092,142811
1667095200000,0.092,0.0921,0.0915,0.092,165538
1667098800000,0.092,0.0927,0.0918,0.0922,239675
1667102400000,0.0923,0.0924,0.0916,0.0916,204483
1667106000000,0.0917,0.092,0.0915,0.0917,207710
1667109600000,0.0916,0.0928,0.0911,0.0921,571568
1667113200000,0.0922,0.0955,0.0921,0.0941,4798648
1667116800000,0.0941,0.0944,0.0917,0.0927,748509
1667120400000,0.0928,0.0934,0.091,0.0917,572641
1667124000000,0.0918,0.0928,0.0917,0.0926,266928
1667127600000,0.0923,0.0932,0.092,0.0931,230004
1667131200000,0.0931,0.0931,0.0918,0.0928,143845
1667134800000,0.0928,0.0929,0.091,0.0914,279505
1667138400000,0.0914,0.0924,0.0912,0.0921,75688
1667142000000,0.0922,0.0922,0.09,0.0904,289629
1667145600000,0.0904,0.0912,0.09,0.0902,201642
1667149200000,0.0904,0.0912,0.0902,0.0911,117479
1667152800000,0.0913,0.0921,0.0907,0.0913,161391
1667156400000,0.0914,0.0917,0.0911,0.0912,75256
1667160000000,0.0912,0.0916,0.091,0.0915,56286
1667163600000,0.0916,0.092,0.0914,0.0917,71560
1667167200000,0.0916,0.0916,0.0895,0.0907,254036
1667170800000,0.0907,0.0911,0.0904,0.0909,24032
1667174400000,0.0907,0.0914,0.0902,0.0902,131631
1667178000000,0.0903,0.0908,0.0896,0.09,78738
1667181600000,0.0898,0.0899,0.0891,0.0898,213033
1667185200000,0.0899,0.091,0.0898,0.091,203423
1667188800000,0.0911,0.0914,0.0909,0.091,157150
1667192400000,0.091,0.0912,0.0909,0.091,58200
1667196000000,0.091,0.091,0.09,0.0908,231141
1667199600000,0.0908,0.0909,0.0903,0.0909,398258
1667203200000,0.0907,0.0909,0.0896,0.0898,165675
1667206800000,0.0897,0.0915,0.0896,0.0911,186057
1667210400000,0.0913,0.0913,0.0905,0.0907,181765
1667214000000,0.0908,0.0912,0.0907,0.0909,136588
1667217600000,0.091,0.0915,0.0905,0.091,220438
1667221200000,0.0909,0.0916,0.089,0.089,304776
1667224800000,0.089,0.09,0.0886,0.0894,334279
1667228400000,0.0892,0.0901,0.0891,0.0893,283091
1667232000000,0.0894,0.0903,0.0889,0.0894,200497
1667235600000,0.0896,0.0901,0.0893,0.0894,77344
1667239200000,0.0894,0.0902,0.0894,0.09,79216
1667242800000,0.0898,0.09,0.0895,0.0896,84766
1667246400000,0.0897,0.0902,0.0894,0.0899,25426
1667250000000,0.0898,0.0903,0.0896,0.09,31812
1667253600000,0.0899,0.0908,0.0897,0.0905,113345
