date,open,high,low,close,volume
1667005200000,15.25,15.26,15.21,15.21,344.08
1667008800000,15.19,15.22,15.09,15.15,1306.12
1667012400000,15.19,15.28,15.18,15.28,806.14
1667016000000,15.27,15.28,15.24,15.25,237.82
1667019600000,15.25,15.28,15.22,15.27,182.79
1667023200000,15.26,15.34,15.23,15.26,1234.49
1667026800000,15.28,15.35,15.24,15.35,479.36
1667030400000,15.35,15.44,15.29,15.37,1359.04
1667034000000,15.39,15.43,15.35,15.39,856.27
1667037600000,15.38,15.45,15.26,15.29,980.51
1667041200000,15.3,15.35,15.26,15.29,462.92
1667044800000,15.29,15.43,15.27,15.41,1554.16
1667048400000,15.41,15.44,15.33,15.41,1148.79
1667052000000,15.44,15.61,15.36,15.4,2775.01
1667055600000,15.43,15.45,15.32,15.38,869.35
1667059200000,15.38,15.58,15.37,15.54,1265.59
1667062800000,15.54,15.59,15.42,15.44,1922.2
1667066400000,15.44,15.53,15.3,15.34,2161.7
1667070000000,15.36,15.52,15.3,15.51,1027.76
1667073600000,15.48,15.5,15.42,15.43,189.36
1667077200000,15.47,15.5,15.4,15.43,485.32
1667080800000,15.47,15.48,15.39,15.39,246.78
1667084400000,15.39,15.5,15.38,15.5,649.55
1667088000000,15.47,15.52,15.41,15.45,1032.7
1667091600000,15.45,15.5,15.4,15.49,364.84
1667095200000,15.48,15.51,15.41,15.42,574.43
1667098800000,15.41,15.46,15.41,15.46,341.79
1667102400000,15.46,15.49,15.41,15.41,529.93
1667106000000,15.41,15.46,15.41,15.43,248.74
1667109600000,15.43,15.52,15.4,15.5,423.3
1667113200000,15.5,15.53,15.44,15.51,1293.94
1667116800000,15.51,15.56,15.39,15.42,1078.45
1667120400000,15.43,15.49,15.29,15.32,2062.4
1667124000000,15.33,15.39,15.32,15.36,261.42
1667127600000,15.35,15.41,15.28,15.37,749.59
1667131200000,15.37,15.4,15.27,15.33,856.35
1667134800000,15.32,15.34,15.22,15.25,508.66
1667138400000,15.26,15.3,15.21,15.27,436.75
1667142000000,15.25,15.29,15.19,15.2,579.57
1667145600000,15.22,15.31,15.18,15.25,1571.29
1667149200000,15.27,15.32,15.16,15.29,3155.33
1667152800000,15.28,15.34,15.17,15.22,1308.9
