date,open,high,low,close,volume
1667005200000,0.2475,0.2483,0.2465,0.2471,142150
1667008800000,0.2474,0.2476,0.245,0.2451,252126
1667012400000,0.245,0.2474,0.244,0.2472,175576
1667016000000,0.247,0.2472,0.245,0.2455,86017
1667019600000,0.2452,0.2473,0.2443,0.2449,195275
1667023200000,0.2451,0.2472,0.2443,0.246,301801
1667026800000,0.2461,0.2486,0.2459,0.2485,205712
1667030400000,0.2486,0.2486,0.2425,0.2429,742376
1667034000000,0.2429,0.2453,0.2422,0.2446,417656
1667037600000,0.2445,0.2468,0.2424,0.2427,436522
1667041200000,0.2427,0.2433,0.2401,0.2406,378615
1667044800000,0.2405,0.2429,0.2405,0.2425,205308
1667048400000,0.2425,0.2425,0.2401,0.2406,152248
1667052000000,0.2405,0.2411,0.239,0.2392,393724
1667055600000,0.2392,0.2394,0.2346,0.2358,606809
1667059200000,0.2359,0.2394,0.2358,0.2367,294986
1667062800000,0.2366,0.238,0.2334,0.2341,357696
1667066400000,0.2338,0.2344,0.2315,0.2318,235009
1667070000000,0.2317,0.2326,0.2306,0.2316,273894
1667073600000,0.2313,0.2334,0.2308,0.2326,140092
1667077200000,0.2323,0.233,0.2311,0.2311,88260
1667080800000,0.2311,0.2318,0.2286,0.2292,252495
1667084400000,0.229,0.2317,0.2285,0.2313,158490
1667088000000,0.2316,0.232,0.23,0.2304,100069
1667091600000,0.2302,0.2338,0.23,0.2323,92379
1667095200000,0.2324,0.2331,0.2321,0.2328,65616
1667098800000,0.2328,0.2348,0.2321,0.2331,219761
1667102400000,0.2331,0.2332,0.2319,0.2319,58804
1667106000000,0.2323,0.2329,0.2314,0.2319,133421
1667109600000,0.2317,0.2323,0.2292,0.2301,159945
1667113200000,0.2302,0.2329,0.2291,0.2329,217127
1667116800000,0.2328,0.2332,0.228,0.229,295761
1667120400000,0.2292,0.23,0.2274,0.2275,215129
1667124000000,0.2274,0.2286,0.2267,0.2274,113591
1667127600000,0.2274,0.229,0.2265,0.2271,137970
1667131200000,0.2272,0.2276,0.2265,0.2273,67069
1667134800000,0.2275,0.2279,0.2225,0.2244,382623
1667138400000,0.2247,0.2321,0.2238,0.2314,674703
1667142000000,0.2314,0.2319,0.2248,0.2252,251781
1667145600000,0.2251,0.233,0.2247,0.2285,527521
1667149200000,0.2286,0.2303,0.227,0.2295,145026
1667152800000,0.2294,0.2295,0.2259,0.2275,150210
1667156400000,0.2271,0.2304,0.2269,0.2302,112456
1667160000000,0.2302,0.2364,0.2301,0.2323,827544
1667163600000,0.2323,0.2328,0.2287,0.2299,210624
1667167200000,0.2296,0.2297,0.2235,0.2258,385310
1667170800000,0.2257,0.2264,0.2254,0.226,22621
1667174400000,0.2261,0.2272,0.2247,0.2247,44103
1667178000000,0.2248,0.2258,0.2237,0.2239,70161
1667181600000,0.2239,0.2239,0.223,0.223,59747
1667185200000,0.223,0.225,0.2229,0.2248,62581
1667188800000,0.225,0.2259,0.2245,0.2256,53248
1667192400000,0.2256,0.2257,0.2235,0.2243,81504
1667196000000,0.2243,0.23,0.2226,0.2256,318849
1667199600000,0.226,0.2323,0.226,0.2295,400479
1667203200000,0.229,0.23,0.2269,0.2272,209139
1667206800000,0.2271,0.2302,0.2258,0.2302,133218
1667210400000,0.2298,0.2306,0.228,0.2291,160951
1667214000000,0.2291,0.2298,0.2253,0.2261,277121
1667217600000,0.226,0.2279,0.2254,0.2271,81400
1667221200000,0.227,0.2279,0.223,0.223,183064
1667224800000,0.223,0.2256,0.222,0.2228,572116
1667228400000,0.2224,0.225,0.2217,0.2232,173578
1667232000000,0.2232,0.2247,0.2225,0.224,102507
1667235600000,0.2239,0.2239,0.2221,0.2226,59909
1667239200000,0.2228,0.2234,0.2222,0.2233,48576
1667242800000,0.2229,0.223,0.2218,0.2222,45033
1667246400000,0.2224,0.2242,0.222,0.2233,82191
