date,open,high,low,close,volume
1667005200000,3.837,3.849,3.835,3.835,2321.5
1667008800000,3.838,3.858,3.826,3.838,4479
1667012400000,3.838,3.885,3.832,3.871,6999
1667016000000,3.87,3.881,3.846,3.863,3680.8
1667019600000,3.853,3.879,3.837,3.874,2858.4
1667023200000,3.862,3.881,3.849,3.855,2331.7
1667026800000,3.855,3.86,3.831,3.852,5489.2
1667030400000,3.853,3.862,3.837,3.854,8938.3
1667034000000,3.854,3.869,3.844,3.859,4815.5
1667037600000,3.862,3.863,3.822,3.827,4377.5
1667041200000,3.826,3.828,3.795,3.806,5931.8
1667044800000,3.806,3.826,3.783,3.826,6130.8
1667048400000,3.826,3.827,3.781,3.79,6191.7
1667052000000,3.792,3.8,3.788,3.799,6194.5
1667055600000,3.8,3.8,3.771,3.778,6875.5
1667059200000,3.777,3.799,3.767,3.796,9200.8
1667062800000,3.795,3.842,3.793,3.803,11569.7
1667066400000,3.803,3.81,3.791,3.793,4563.8
1667070000000,3.793,3.817,3.791,3.791,3842.3
1667073600000,3.793,3.809,3.783,3.801,3298.1
1667077200000,3.798,3.81,3.788,3.805,2777.2
1667080800000,3.805,3.832,3.792,3.795,2653.8
1667084400000,3.792,3.803,3.79,3.795,2562.6
1667088000000,3.805,3.817,3.793,3.8,1984.9
1667091600000,3.795,3.8,3.79,3.797,2211.7
1667095200000,3.8,3.836,3.8,3.823,1901.3
1667098800000,3.825,3.838,3.81,3.824,4215.1
1667102400000,3.826,3.826,3.791,3.797,4347.1
1667106000000,3.791,3.803,3.79,3.798,4144.1
1667109600000,3.796,3.809,3.791,3.802,1955.7
1667113200000,3.806,3.82,3.795,3.817,4679.6
1667116800000,3.82,3.829,3.796,3.824,15241.1
1667120400000,3.825,3.834,3.809,3.822,7659.8
1667124000000,3.823,3.849,3.822,3.827,9817.4
1667127600000,3.828,3.849,3.809,3.81,11035.9
1667131200000,3.809,3.87,3.809,3.857,10934.6
1667134800000,3.867,3.931,3.834,3.93,34805.3
1667138400000,3.934,4.279,3.924,4.172,253552.1
1667142000000,4.172,4.197,3.924,3.924,128453
1667145600000,3.924,3.983,3.889,3.949,53332
1667149200000,3.95,3.954,3.888,3.92,21555.2
1667152800000,3.923,3.972,3.913,3.928,21998.9
1667156400000,3.93,3.951,3.892,3.902,13080
1667160000000,3.9,3.96,3.887,3.914,17078.3
1667163600000,3.907,3.97,3.905,3.941,8118.8
1667167200000,3.946,3.98,3.912,3.98,15319.3
1667170800000,3.981,4.031,3.916,3.923,16881
1667174400000,3.922,3.933,3.894,3.928,16604.9
1667178000000,3.933,4.05,3.93,3.98,47920.7
1667181600000,3.98,3.998,3.946,3.968,14164.4
1667185200000,3.97,4.025,3.968,4.017,17202
1667188800000,4.024,4.025,3.965,3.985,16028.7
1667192400000,3.985,3.985,3.943,3.953,10074.9
1667196000000,3.944,3.955,3.923,3.951,10486.5
1667199600000,3.951,3.958,3.922,3.933,6775.4
1667203200000,3.929,3.939,3.88,3.891,10120.9
1667206800000,3.895,3.948,3.891,3.936,7468.8
1667210400000,3.938,3.967,3.896,3.911,15675.5
1667214000000,3.905,3.92,3.894,3.915,6735.4
1667217600000,3.915,3.982,3.9,3.904,22256.1
1667221200000,3.904,3.905,3.835,3.835,21372.5
1667224800000,3.833,3.865,3.777,3.823,47775.4
1667228400000,3.822,3.839,3.804,3.81,10368.5
1667232000000,3.806,3.849,3.8,3.843,11714.9
1667235600000,3.836,3.838,3.814,3.825,4957.4
1667239200000,3.82,3.837,3.812,3.832,2483.7
1667242800000,3.833,3.837,3.812,3.825,4186.4
1667246400000,3.826,3.926,3.825,3.855,43520.6
1667250000000,3.855,4.05,3.8,3.861,167281.6
1667253600000,3.861,3.872,3.852,3.863,7485
1667257200000,3.863,3.871,3.851,3.861,5740.7
1667260800000,3.86,3.867,3.85,3.857,2800.6
1667264400000,3.852,3.852,3.834,3.837,11777.2
1667268000000,3.843,3.885,3.834,3.874,4160.7
1667271600000,3.878,3.928,3.873,3.912,5176.4
1667275200000,3.912,3.913,3.836,3.838,13006.2
1667278800000,3.838,3.85,3.829,3.85,4607.7
1667282400000,3.85,3.854,3.839,3.847,3200.8
1667286000000,3.852,3.865,3.844,3.844,6890.5
1667289600000,3.844,3.865,3.84,3.865,7941.5
1667293200000,3.865,3.865,3.818,3.829,16390.3
1667296800000,3.829,3.834,3.819,3.829,3668
1667300400000,3.826,3.829,3.801,3.818,9752.9
1667304000000,3.818,3.953,3.8,3.881,77190.3
1667307600000,3.881,3.881,3.817,3.832,16036.1
1667311200000,3.836,3.844,3.81,3.819,6102.8
1667314800000,3.821,3.825,3.81,3.814,1962.6
1667318400000,3.82,3.837,3.8,3.807,6834.3
1667322000000,3.804,3.829,3.8,3.816,3028.5
1667325600000,3.816,3.833,3.788,3.814,16839.2
1667329200000,3.808,3.816,3.799,3.806,2578.7
1667332800000,3.806,3.82,3.792,3.812,4348.2
1667336400000,3.818,3.852,3.818,3.836,1095.4
1667340000000,3.835,3.839,3.806,3.806,3249.5
1667343600000,3.816,3.819,3.808,3.816,692.1
1667347200000,3.817,3.818,3.775,3.786,9162
1667350800000,3.786,3.796,3.77,3.771,2240.1
1667354400000,3.772,3.78,3.765,3.779,4881.8
1667358000000,3.775,3.78,3.76,3.76,5756.4
1667361600000,3.764,3.807,3.76,3.784,8131.4
1667365200000,3.778,3.832,3.767,3.781,15012
1667368800000,3.79,3.813,3.77,3.77,4204.6
1667372400000,3.77,3.829,3.766,3.8,15035.1
1667376000000,3.799,3.826,3.782,3.794,11198.6
