date,open,high,low,close,volume
1667005200000,0.0435,0.0436,0.0435,0.0435,13071
1667008800000,0.0436,0.0438,0.0435,0.0437,74908
1667012400000,0.0437,0.044,0.0436,0.0439,173984
1667016000000,0.0439,0.044,0.0437,0.0437,131537
1667019600000,0.0438,0.0441,0.0437,0.0438,93695
1667023200000,0.0439,0.044,0.0438,0.0439,66933
1667026800000,0.0438,0.044,0.0438,0.0439,149723
1667030400000,0.044,0.0447,0.0439,0.0446,1475498
1667034000000,0.0447,0.0449,0.0444,0.0445,1075397
1667037600000,0.0444,0.0447,0.0441,0.0441,163194
1667041200000,0.0441,0.0441,0.0438,0.0438,238930
1667044800000,0.044,0.0441,0.0439,0.0439,144841
1667048400000,0.044,0.0441,0.0438,0.0439,39828
1667052000000,0.0438,0.0442,0.0438,0.0439,139964
1667055600000,0.0439,0.0441,0.0438,0.0439,92556
1667059200000,0.044,0.0442,0.0439,0.0441,190183
1667062800000,0.0441,0.0443,0.044,0.044,313513
1667066400000,0.0439,0.0442,0.0435,0.0437,543375
1667070000000,0.0437,0.0439,0.0434,0.0437,499506
1667073600000,0.0437,0.044,0.0437,0.0439,71165
1667077200000,0.0439,0.0441,0.0439,0.044,41210
1667080800000,0.044,0.044,0.0436,0.0436,97361
1667084400000,0.0435,0.0444,0.0435,0.0443,438779
1667088000000,0.0442,0.0442,0.0439,0.0439,47405
1667091600000,0.0439,0.044,0.0439,0.0439,8162
1667095200000,0.044,0.044,0.0439,0.0439,41614
1667098800000,0.0439,0.0441,0.0439,0.044,32683
1667102400000,0.0441,0.0441,0.0438,0.0439,45843
1667106000000,0.044,0.0442,0.0439,0.0441,36666
1667109600000,0.0441,0.0442,0.044,0.0441,155138
1667113200000,0.044,0.0444,0.044,0.0443,365823
1667116800000,0.0443,0.0445,0.0437,0.0439,825159
1667120400000,0.0439,0.0441,0.0434,0.0435,247966
1667124000000,0.0434,0.0437,0.0434,0.0436,135360
1667127600000,0.0436,0.0438,0.0435,0.0438,70496
1667131200000,0.0436,0.0438,0.0434,0.0436,88413
1667134800000,0.0435,0.0436,0.0431,0.0431,187540
1667138400000,0.0432,0.0436,0.0431,0.0436,152617
1667142000000,0.0436,0.0437,0.0434,0.0435,217689
1667145600000,0.0434,0.0435,0.0433,0.0434,148935
1667149200000,0.0434,0.0434,0.0432,0.0433,32472
1667152800000,0.0433,0.0435,0.0433,0.0433,46441
1667156400000,0.0434,0.0435,0.0433,0.0434,103166
1667160000000,0.0434,0.0435,0.0434,0.0435,40128
1667163600000,0.0434,0.0436,0.0434,0.0434,84238
1667167200000,0.0435,0.0435,0.0432,0.0433,48510
1667170800000,0.0433,0.0434,0.0433,0.0434,11618
1667174400000,0.0434,0.0435,0.0432,0.0433,57670
1667178000000,0.0433,0.0435,0.0432,0.0432,96540
1667181600000,0.0433,0.0433,0.0424,0.0426,940637
1667185200000,0.0425,0.0428,0.0425,0.0428,362521
1667188800000,0.0427,0.0431,0.0427,0.043,117427
1667192400000,0.0431,0.0431,0.0428,0.0429,94279
1667196000000,0.0428,0.0428,0.0427,0.0427,85657
1667199600000,0.0428,0.0431,0.0428,0.043,111770
1667203200000,0.043,0.0431,0.0426,0.0429,285157
1667206800000,0.0428,0.0434,0.0428,0.0433,100427
1667210400000,0.0434,0.0435,0.0432,0.0434,361982
1667214000000,0.0435,0.0435,0.0433,0.0434,61938
1667217600000,0.0434,0.0436,0.0433,0.0434,163425
1667221200000,0.0433,0.0435,0.0429,0.0429,130310
1667224800000,0.0428,0.0428,0.0425,0.0426,258112
1667228400000,0.0426,0.0427,0.0424,0.0425,553541
1667232000000,0.0425,0.0427,0.0424,0.0425,294747
1667235600000,0.0426,0.0428,0.0426,0.0428,23703
1667239200000,0.0427,0.0429,0.0426,0.0428,81060
1667242800000,0.0428,0.0429,0.0427,0.0427,80732
1667246400000,0.0428,0.0428,0.0426,0.0427,78178
1667250000000,0.0427,0.0427,0.0426,0.0427,39688
1667253600000,0.0427,0.0428,0.0425,0.0428,108406
1667257200000,0.0428,0.0428,0.0427,0.0427,12261
1667260800000,0.0428,0.0429,0.0427,0.0428,54438
1667264400000,0.0429,0.0431,0.0429,0.0431,88794
1667268000000,0.0431,0.0432,0.043,0.0431,30038
1667271600000,0.0431,0.0431,0.043,0.0431,50424
1667275200000,0.0431,0.0431,0.0428,0.0428,85750
1667278800000,0.0428,0.043,0.0428,0.043,48938
1667282400000,0.0429,0.0431,0.0429,0.0431,25059
1667286000000,0.0431,0.0431,0.0428,0.0428,195988
1667289600000,0.0428,0.043,0.0428,0.0428,87964
1667293200000,0.0428,0.043,0.0428,0.043,202368
1667296800000,0.043,0.043,0.0427,0.0429,379246
1667300400000,0.0428,0.0428,0.0426,0.0427,195661
1667304000000,0.0427,0.0432,0.0426,0.043,410441
1667307600000,0.0431,0.0431,0.0426,0.0426,220009
1667311200000,0.0426,0.0427,0.0425,0.0426,74671
1667314800000,0.0426,0.0427,0.0426,0.0426,23768
1667318400000,0.0426,0.0427,0.0424,0.0424,146804
1667322000000,0.0424,0.0426,0.0424,0.0425,45047
1667325600000,0.0426,0.0427,0.0426,0.0426,77041
1667329200000,0.0427,0.0427,0.0426,0.0426,6751
1667332800000,0.0426,0.0427,0.0426,0.0426,109315
1667336400000,0.0427,0.0427,0.0425,0.0425,35827
1667340000000,0.0426,0.0426,0.0425,0.0426,27000
1667343600000,0.0426,0.0427,0.0426,0.0426,58812
1667347200000,0.0426,0.0427,0.0425,0.0425,85267
1667350800000,0.0426,0.0426,0.0424,0.0425,60856
1667354400000,0.0426,0.0426,0.0422,0.0424,341940
1667358000000,0.0424,0.0428,0.0424,0.0426,65476
1667361600000,0.0426,0.0427,0.0424,0.0425,120502
1667365200000,0.0425,0.0426,0.0423,0.0423,188784
1667368800000,0.0424,0.0424,0.0423,0.0424,108268
1667372400000,0.0424,0.0424,0.042,0.042,94842
1667376000000,0.0421,0.0423,0.042,0.0421,100329
1667379600000,0.0423,0.0424,0.0415,0.0417,637913
1667383200000,0.0418,0.042,0.0414,0.0419,504378
1667386800000,0.0419,0.042,0.0417,0.0418,197807
1667390400000,0.0419,0.0419,0.0417,0.0418,82685
1667394000000,0.0417,0.0419,0.0417,0.0418,98364
1667397600000,0.0417,0.0419,0.0416,0.0419,110600
1667401200000,0.0419,0.042,0.0419,0.0419,241963
1667404800000,0.042,0.042,0.0415,0.042,169626
1667408400000,0.0419,0.0421,0.0417,0.0417,191127
1667412000000,0.0416,0.0428,0.0416,0.0419,504232
1667415600000,0.0419,0.0421,0.0407,0.041,1759524
1667419200000,0.041,0.0412,0.0407,0.0408,250809
1667422800000,0.0408,0.041,0.0408,0.041,124731
