date,open,high,low,close,volume
1667005200000,1.676,1.682,1.673,1.674,24930.4
1667008800000,1.674,1.683,1.667,1.675,26298.2
1667012400000,1.675,1.7,1.671,1.691,165216
1667016000000,1.691,1.699,1.681,1.682,21637.6
1667019600000,1.682,1.695,1.676,1.683,81121.6
1667023200000,1.684,1.69,1.677,1.681,64020.4
1667026800000,1.682,1.696,1.68,1.693,49113.2
1667030400000,1.695,1.709,1.687,1.706,77225.4
1667034000000,1.706,1.714,1.699,1.703,43700.5
1667037600000,1.703,1.713,1.675,1.679,108235.6
1667041200000,1.68,1.685,1.666,1.673,42642.7
1667044800000,1.673,1.691,1.671,1.69,35369
1667048400000,1.689,1.691,1.666,1.682,47785.6
1667052000000,1.683,1.691,1.67,1.673,52183.5
1667055600000,1.672,1.694,1.672,1.69,39855.9
1667059200000,1.689,1.722,1.682,1.714,124709.6
1667062800000,1.716,1.731,1.681,1.688,134806.5
1667066400000,1.688,1.706,1.679,1.701,73728.8
1667070000000,1.7,1.703,1.678,1.695,46365.4
1667073600000,1.696,1.705,1.689,1.699,30156.8
1667077200000,1.698,1.704,1.694,1.696,16396.9
1667080800000,1.694,1.699,1.673,1.682,81671.1
1667084400000,1.681,1.699,1.674,1.698,35719.9
1667088000000,1.695,1.706,1.684,1.687,55163.7
1667091600000,1.687,1.711,1.686,1.705,44978.2
1667095200000,1.706,1.708,1.697,1.705,22078.8
1667098800000,1.705,1.714,1.703,1.706,19586.4
1667102400000,1.707,1.709,1.698,1.702,43218.4
1667106000000,1.704,1.721,1.704,1.707,23330.6
1667109600000,1.708,1.721,1.694,1.714,84305
1667113200000,1.715,1.745,1.704,1.743,153733.9
1667116800000,1.741,1.744,1.703,1.727,92554.6
1667120400000,1.727,1.738,1.695,1.708,104735.7
1667124000000,1.708,1.719,1.703,1.715,27371.3
1667127600000,1.713,1.719,1.703,1.715,25286.4
1667131200000,1.713,1.715,1.693,1.707,18104.9
1667134800000,1.706,1.706,1.681,1.686,47679.2
1667138400000,1.685,1.699,1.68,1.697,36994.7
1667142000000,1.697,1.698,1.665,1.673,58615.6
1667145600000,1.671,1.687,1.661,1.669,23174.4
1667149200000,1.67,1.682,1.665,1.681,22475.6
1667152800000,1.68,1.693,1.675,1.682,25917
1667156400000,1.683,1.69,1.682,1.683,7401.1
1667160000000,1.685,1.692,1.681,1.686,10070
1667163600000,1.686,1.693,1.681,1.686,16164.8
1667167200000,1.686,1.686,1.642,1.662,53302
1667170800000,1.663,1.668,1.656,1.663,9320.7
1667174400000,1.663,1.684,1.661,1.67,81034.1
1667178000000,1.67,1.682,1.651,1.663,58331.4
1667181600000,1.663,1.665,1.645,1.656,26989.1
1667185200000,1.656,1.674,1.656,1.674,55880.2
1667188800000,1.674,1.679,1.667,1.675,18580.5
1667192400000,1.673,1.678,1.666,1.67,17915.5
1667196000000,1.67,1.672,1.653,1.663,18548.7
1667199600000,1.664,1.665,1.656,1.665,11724.7
1667203200000,1.666,1.666,1.647,1.649,32189.6
1667206800000,1.648,1.686,1.646,1.683,36905.3
1667210400000,1.682,1.689,1.669,1.685,25128.5
1667214000000,1.684,1.694,1.682,1.685,29427.1
1667217600000,1.685,1.692,1.673,1.68,36278.6
1667221200000,1.68,1.695,1.633,1.635,112212.7
1667224800000,1.635,1.656,1.629,1.646,256007.6
1667228400000,1.647,1.661,1.642,1.652,31090.9
1667232000000,1.652,1.668,1.639,1.651,191083.5
1667235600000,1.652,1.66,1.645,1.65,21078.4
1667239200000,1.65,1.66,1.65,1.657,26272.8
1667242800000,1.657,1.657,1.645,1.645,27587.3
1667246400000,1.646,1.656,1.643,1.646,13067.2
1667250000000,1.644,1.65,1.642,1.649,14770.1
1667253600000,1.646,1.666,1.64,1.663,32031.8
1667257200000,1.663,1.665,1.655,1.655,54275.5
1667260800000,1.655,1.673,1.651,1.658,70415.2
1667264400000,1.658,1.667,1.657,1.658,24589.1
1667268000000,1.658,1.664,1.654,1.657,34226.4
1667271600000,1.657,1.664,1.648,1.651,40659.8
1667275200000,1.65,1.654,1.638,1.644,53833.7
1667278800000,1.644,1.653,1.641,1.651,33974.8
1667282400000,1.651,1.663,1.646,1.661,39538.1
1667286000000,1.659,1.664,1.652,1.656,18140.8
1667289600000,1.655,1.662,1.655,1.661,21136.6
1667293200000,1.661,1.672,1.656,1.663,51766.3
1667296800000,1.663,1.665,1.657,1.663,27997.6
1667300400000,1.665,1.665,1.642,1.649,48185.9
1667304000000,1.65,1.656,1.642,1.654,35650.1
1667307600000,1.655,1.656,1.623,1.634,60965.3
1667311200000,1.635,1.641,1.624,1.631,33909.1
1667314800000,1.63,1.639,1.63,1.635,12292.5
1667318400000,1.635,1.636,1.614,1.625,143341.4
1667322000000,1.625,1.629,1.616,1.625,26636.4
1667325600000,1.626,1.632,1.624,1.632,11661.6
1667329200000,1.631,1.634,1.622,1.623,10074.8
1667332800000,1.623,1.625,1.617,1.622,23532.9
1667336400000,1.623,1.625,1.62,1.622,9251.5
1667340000000,1.622,1.623,1.612,1.616,53558.7
1667343600000,1.615,1.622,1.614,1.619,19133.5
1667347200000,1.618,1.624,1.6,1.619,59156.2
1667350800000,1.62,1.624,1.618,1.621,8786.7
1667354400000,1.621,1.622,1.61,1.621,24033.6
1667358000000,1.621,1.626,1.617,1.622,13692.4
1667361600000,1.623,1.627,1.62,1.621,8470.8
1667365200000,1.622,1.628,1.619,1.619,17445.4
1667368800000,1.62,1.636,1.614,1.624,1345213.8
1667372400000,1.622,1.624,1.588,1.604,107811.3
1667376000000,1.604,1.629,1.597,1.625,42301.8
1667379600000,1.625,1.628,1.58,1.582,74463.8
1667383200000,1.584,1.595,1.57,1.592,63435.9
1667386800000,1.593,1.597,1.589,1.592,17844.4
1667390400000,1.591,1.592,1.579,1.582,38296.5
1667394000000,1.582,1.593,1.578,1.586,30765.3
1667397600000,1.587,1.601,1.586,1.594,44815
1667401200000,1.593,1.593,1.587,1.591,19072.3
1667404800000,1.589,1.603,1.575,1.601,51314.7
1667408400000,1.602,1.602,1.57,1.582,33488.3
1667412000000,1.582,1.64,1.576,1.603,257824.9
1667415600000,1.599,1.627,1.574,1.582,73033.8
1667419200000,1.581,1.59,1.549,1.578,143005.5
1667422800000,1.577,1.59,1.572,1.589,31922
1667426400000,1.589,1.592,1.576,1.582,48718.7
1667430000000,1.583,1.597,1.582,1.593,19182.7
1667433600000,1.592,1.617,1.588,1.614,56492.8
1667437200000,1.616,1.62,1.611,1.618,30639
1667440800000,1.619,1.632,1.618,1.626,30706
1667444400000,1.627,1.637,1.626,1.632,42920.7
1667448000000,1.632,1.648,1.632,1.64,53199
1667451600000,1.64,1.668,1.64,1.668,55645.1
1667455200000,1.667,1.678,1.652,1.678,108697.8
1667458800000,1.677,1.695,1.654,1.656,75252.1
1667462400000,1.656,1.666,1.649,1.658,73634.4
1667466000000,1.66,1.668,1.658,1.664,51702.3
1667469600000,1.666,1.679,1.656,1.657,79057.6
1667473200000,1.657,1.661,1.62,1.636,123865.5
1667476800000,1.636,1.651,1.618,1.633,55116.9
1667480400000,1.632,1.65,1.626,1.627,48970.8
1667484000000,1.627,1.662,1.625,1.658,59869
1667487600000,1.659,1.659,1.644,1.649,15112.6
1667491200000,1.649,1.667,1.649,1.664,35338.2
1667494800000,1.664,1.673,1.656,1.663,51637.7
1667498400000,1.664,1.672,1.651,1.672,32370.1
1667502000000,1.671,1.674,1.664,1.67,35071.6
1667505600000,1.67,1.677,1.66,1.662,69000.8
1667509200000,1.663,1.671,1.658,1.665,40536.1
1667512800000,1.664,1.665,1.638,1.639,60968
1667516400000,1.639,1.65,1.632,1.649,43297.9
1667520000000,1.647,1.668,1.636,1.664,61353.8
1667523600000,1.665,1.675,1.651,1.659,31045.3
1667527200000,1.659,1.678,1.659,1.667,39683.8
1667530800000,1.668,1.698,1.664,1.698,60168.8
1667534400000,1.697,1.75,1.692,1.723,404157.7
1667538000000,1.723,1.732,1.7,1.713,174822.7
1667541600000,1.714,1.734,1.714,1.732,78900.9
1667545200000,1.731,1.746,1.727,1.746,47046.4
1667548800000,1.746,1.749,1.727,1.727,59286.5
1667552400000,1.727,1.736,1.716,1.731,104235.4
1667556000000,1.732,1.76,1.727,1.741,190191
1667559600000,1.743,1.768,1.724,1.727,268060.6
1667563200000,1.728,1.755,1.706,1.752,178481
1667566800000,1.753,1.753,1.724,1.736,134418
1667570400000,1.737,1.786,1.734,1.779,155854.5
1667574000000,1.78,1.78,1.735,1.736,96632.6
1667577600000,1.736,1.76,1.73,1.753,73097.4
1667581200000,1.753,1.767,1.746,1.76,30484.1
1667584800000,1.76,1.77,1.755,1.764,20477.9
1667588400000,1.763,1.777,1.762,1.777,16075.8
1667592000000,1.778,1.785,1.775,1.782,34577.8
1667595600000,1.781,1.794,1.777,1.792,25846.9
1667599200000,1.793,1.794,1.78,1.786,16428.1
1667602800000,1.785,1.79,1.777,1.79,17626.7
1667606400000,1.789,1.818,1.785,1.812,259106.2
1667610000000,1.81,1.829,1.805,1.821,139359.1
1667613600000,1.819,1.834,1.816,1.828,75758.5
1667617200000,1.827,1.831,1.796,1.822,104666.2
1667620800000,1.822,1.838,1.803,1.804,77726.5
1667624400000,1.805,1.816,1.804,1.808,24916.6
1667628000000,1.808,1.822,1.807,1.816,26369.1
1667631600000,1.815,1.821,1.809,1.821,21642.7
1667635200000,1.821,1.821,1.778,1.794,126958
1667638800000,1.794,1.801,1.772,1.782,43734.8
1667642400000,1.782,1.795,1.782,1.791,24989.5
1667646000000,1.79,1.809,1.79,1.8,34859
1667649600000,1.799,1.803,1.783,1.79,28851.4
