date,open,high,low,close,volume
1667005200000,0.3274,0.3288,0.3262,0.3288,33016
1667008800000,0.328,0.3288,0.3268,0.3276,34296
1667012400000,0.327,0.3291,0.3265,0.329,59801
1667016000000,0.3289,0.3292,0.3272,0.3283,35956
1667019600000,0.3273,0.3293,0.3265,0.3282,32453
1667023200000,0.3283,0.3286,0.327,0.3282,45161
1667026800000,0.3282,0.3296,0.3274,0.3287,28423
1667030400000,0.3279,0.3298,0.3272,0.3286,21336
1667034000000,0.3288,0.3299,0.3279,0.3299,13847
1667037600000,0.3299,0.3299,0.3263,0.3263,22855
1667041200000,0.327,0.3285,0.3259,0.3265,20613
1667044800000,0.3265,0.3284,0.3264,0.3275,17892
1667048400000,0.3275,0.3275,0.3254,0.3275,6364
1667052000000,0.3268,0.3285,0.3257,0.3279,22058
1667055600000,0.328,0.3285,0.3269,0.3275,18154
1667059200000,0.3273,0.3309,0.3272,0.3298,87802
1667062800000,0.3299,0.3313,0.3267,0.3284,22985
1667066400000,0.3284,0.3286,0.3268,0.3278,10549
1667070000000,0.3287,0.3293,0.3267,0.3285,6991
1667073600000,0.3286,0.3299,0.328,0.3285,4687
1667077200000,0.3294,0.3298,0.3285,0.3288,2829
1667080800000,0.3288,0.3296,0.3276,0.3276,7801
1667084400000,0.3286,0.3296,0.3275,0.3295,8225
1667088000000,0.3296,0.3296,0.3259,0.3259,42583
1667091600000,0.3257,0.3266,0.3247,0.3263,41952
1667095200000,0.3263,0.3263,0.3255,0.326,3819
1667098800000,0.326,0.326,0.3255,0.326,6667
1667102400000,0.3255,0.3263,0.3253,0.3253,2478
1667106000000,0.3253,0.3266,0.3248,0.3266,7190
1667109600000,0.3265,0.3269,0.3249,0.326,33787
1667113200000,0.326,0.3284,0.326,0.3279,43852
1667116800000,0.3278,0.3293,0.3269,0.3269,30886
1667120400000,0.3269,0.328,0.3249,0.325,30101
1667124000000,0.3249,0.3259,0.3245,0.3254,9405
1667127600000,0.3253,0.3258,0.3245,0.3258,6865
1667131200000,0.3258,0.3259,0.3228,0.3241,11561
1667134800000,0.3241,0.3243,0.3217,0.3219,21942
1667138400000,0.3219,0.324,0.3219,0.3236,15136
1667142000000,0.3231,0.324,0.3231,0.3231,32492
1667145600000,0.3231,0.3235,0.3218,0.3218,36799
1667149200000,0.3223,0.325,0.3218,0.3244,29389
1667152800000,0.3248,0.3263,0.3248,0.325,9419
1667156400000,0.3253,0.3262,0.3241,0.3241,2822
1667160000000,0.325,0.3262,0.3238,0.3253,3224
1667163600000,0.3258,0.3261,0.3249,0.3254,2023
1667167200000,0.3256,0.3256,0.3222,0.3254,35533
1667170800000,0.3254,0.327,0.3247,0.3269,27571
1667174400000,0.3271,0.3455,0.3213,0.3221,495445
1667178000000,0.3223,0.3226,0.3199,0.3206,41570
1667181600000,0.3207,0.3231,0.3185,0.3206,33518
1667185200000,0.3213,0.3234,0.3213,0.3233,5769
1667188800000,0.3233,0.3233,0.3222,0.3233,3836
1667192400000,0.3231,0.3353,0.3229,0.3309,252766
1667196000000,0.3303,0.3344,0.3228,0.3257,252534
1667199600000,0.3254,0.3278,0.3238,0.3278,104444
