date,open,high,low,close,volume
1667005200000,0.2253,0.2253,0.2242,0.2248,60195
1667008800000,0.2249,0.2255,0.2237,0.2246,235558
1667012400000,0.2246,0.2277,0.2243,0.2268,1145148
1667016000000,0.2268,0.2272,0.2252,0.2261,256630
1667019600000,0.2261,0.2276,0.2258,0.2267,388409
1667023200000,0.2268,0.2276,0.2267,0.227,352990
1667026800000,0.227,0.2282,0.227,0.2277,211337
1667030400000,0.2275,0.2294,0.227,0.2287,383530
1667034000000,0.2288,0.2293,0.2284,0.2293,173073
1667037600000,0.2289,0.2297,0.2251,0.2258,381589
1667041200000,0.226,0.2267,0.2244,0.2251,249719
1667044800000,0.225,0.2279,0.2249,0.2278,338926
1667048400000,0.2278,0.2278,0.2247,0.2268,261971
1667052000000,0.2269,0.228,0.2252,0.2256,259731
1667055600000,0.2258,0.228,0.2252,0.2276,204131
1667059200000,0.2279,0.2318,0.2268,0.2306,677513
1667062800000,0.2308,0.2334,0.2268,0.228,432312
1667066400000,0.228,0.2301,0.2266,0.2291,452406
1667070000000,0.2291,0.2296,0.2267,0.229,269051
1667073600000,0.2291,0.2298,0.2278,0.2289,187198
1667077200000,0.2287,0.2298,0.2282,0.2286,153050
1667080800000,0.2285,0.2292,0.2252,0.226,398810
1667084400000,0.226,0.2287,0.2255,0.2284,147808
1667088000000,0.2282,0.229,0.2269,0.2271,218930
1667091600000,0.227,0.2299,0.2267,0.2295,480920
1667095200000,0.2296,0.2296,0.2273,0.2285,391847
1667098800000,0.2285,0.2299,0.2285,0.229,289480
1667102400000,0.2292,0.2302,0.2278,0.2291,243870
1667106000000,0.2291,0.2305,0.2291,0.2296,282483
1667109600000,0.2295,0.2309,0.2283,0.2303,312639
1667113200000,0.2303,0.2334,0.23,0.2331,963636
1667116800000,0.2331,0.2335,0.2283,0.2304,321845
1667120400000,0.2305,0.2338,0.2275,0.2288,856657
1667124000000,0.2288,0.2307,0.2284,0.2298,278822
1667127600000,0.2298,0.2307,0.2285,0.23,134498
1667131200000,0.2299,0.23,0.2271,0.2291,181997
1667134800000,0.2291,0.2291,0.2255,0.2258,255841
1667138400000,0.226,0.2278,0.2251,0.2272,233857
1667142000000,0.2274,0.2274,0.2235,0.2239,222331
1667145600000,0.2238,0.2264,0.2228,0.2244,241544
1667149200000,0.2245,0.2284,0.2241,0.2264,1258074
1667152800000,0.2265,0.2272,0.2258,0.2266,147999
1667156400000,0.2266,0.2276,0.2262,0.2266,80860
1667160000000,0.2267,0.2277,0.2262,0.2271,62688
1667163600000,0.2272,0.228,0.2266,0.2276,96690
1667167200000,0.2277,0.2277,0.2214,0.2243,343311
1667170800000,0.2244,0.2254,0.2237,0.2252,157445
1667174400000,0.2251,0.227,0.2244,0.2249,242857
1667178000000,0.2251,0.2264,0.2231,0.2246,246747
1667181600000,0.2247,0.2247,0.2225,0.2234,108619
1667185200000,0.2236,0.2259,0.2235,0.2259,125877
1667188800000,0.226,0.227,0.2256,0.2263,114712
1667192400000,0.2262,0.2265,0.2248,0.2251,127762
1667196000000,0.2252,0.2254,0.2233,0.2248,144423
1667199600000,0.2246,0.2256,0.224,0.2256,84995
1667203200000,0.2256,0.2256,0.2229,0.2232,256683
1667206800000,0.2232,0.2278,0.2228,0.2275,186472
1667210400000,0.2274,0.2282,0.2261,0.2273,266353
1667214000000,0.2276,0.2287,0.2271,0.2278,165322
1667217600000,0.2277,0.2288,0.2263,0.2278,199613
1667221200000,0.228,0.2306,0.2231,0.2231,1046180
1667224800000,0.223,0.2248,0.2218,0.2233,926633
1667228400000,0.2234,0.2245,0.2224,0.2232,205081
1667232000000,0.2232,0.2249,0.2215,0.2228,339103
1667235600000,0.2226,0.2238,0.2221,0.2225,176250
1667239200000,0.2226,0.2238,0.2225,0.2231,208771
1667242800000,0.2232,0.2232,0.2215,0.2216,176494
1667246400000,0.2216,0.2225,0.2209,0.2211,250783
1667250000000,0.2212,0.2216,0.2203,0.2211,256429
1667253600000,0.221,0.2231,0.2204,0.2227,255109
1667257200000,0.2227,0.2238,0.2225,0.2233,147866
1667260800000,0.2233,0.2262,0.2229,0.2252,307539
1667264400000,0.2253,0.2263,0.2247,0.2257,114889
1667268000000,0.2258,0.2267,0.2253,0.2257,105912
1667271600000,0.2257,0.2265,0.2248,0.2252,100974
1667275200000,0.225,0.2255,0.2239,0.2245,97873
1667278800000,0.2244,0.2255,0.2244,0.2249,111914
1667282400000,0.225,0.2265,0.2246,0.2259,108893
