date,open,high,low,close,volume
1667005200000,1.141,1.148,1.137,1.141,956207.03
1667008800000,1.142,1.17,1.138,1.16,1405978.27
1667012400000,1.16,1.164,1.142,1.147,1709117.06
1667016000000,1.147,1.148,1.112,1.127,2638221.06
1667019600000,1.127,1.132,1.117,1.124,705064.91
1667023200000,1.125,1.125,1.115,1.116,526925.85
1667026800000,1.116,1.137,1.112,1.133,1383688.44
1667030400000,1.134,1.205,1.125,1.192,4149716.34
1667034000000,1.192,1.199,1.16,1.163,1646423.67
1667037600000,1.162,1.176,1.123,1.125,2562897.29
1667041200000,1.126,1.134,1.098,1.11,2898579.91
1667044800000,1.111,1.135,1.107,1.133,1182237.91
1667048400000,1.134,1.135,1.091,1.114,1980437.1
1667052000000,1.114,1.131,1.095,1.099,1689060.83
1667055600000,1.098,1.119,1.094,1.103,1324606.68
1667059200000,1.104,1.157,1.096,1.142,2889363.38
1667062800000,1.141,1.144,1.076,1.088,4211117.16
1667066400000,1.087,1.1,1.073,1.088,1559450.22
1667070000000,1.089,1.089,1.062,1.071,1058871.18
1667073600000,1.072,1.09,1.067,1.088,901885.95
1667077200000,1.087,1.094,1.077,1.077,623683.11
1667080800000,1.077,1.084,1.055,1.069,842734.11
1667084400000,1.068,1.086,1.059,1.085,685828.59
1667088000000,1.084,1.091,1.066,1.083,753814.04
1667091600000,1.082,1.097,1.079,1.093,669678.38
1667095200000,1.094,1.099,1.078,1.097,460967.19
1667098800000,1.097,1.112,1.096,1.101,753375.11
1667102400000,1.101,1.102,1.084,1.087,507487.49
1667106000000,1.087,1.099,1.085,1.094,411593.44
1667109600000,1.095,1.121,1.086,1.091,1691970.2
1667113200000,1.091,1.097,1.065,1.087,1921230.01
1667116800000,1.087,1.089,1.043,1.063,2990986.43
1667120400000,1.063,1.073,1.035,1.048,1589879.55
1667124000000,1.049,1.056,1.038,1.046,1252125.8
1667127600000,1.045,1.055,1.04,1.052,637388.07
1667131200000,1.052,1.053,1.021,1.047,1557253.69
1667134800000,1.047,1.048,1.022,1.023,1256965.68
1667138400000,1.022,1.043,1.02,1.04,1325124.52
1667142000000,1.04,1.041,1.011,1.013,1326732.36
1667145600000,1.012,1.037,1.011,1.03,676383.45
1667149200000,1.03,1.058,1.026,1.046,1183302.36
1667152800000,1.046,1.048,1.036,1.044,443208.27
1667156400000,1.044,1.059,1.043,1.044,369075.2
1667160000000,1.046,1.054,1.041,1.045,239586.18
1667163600000,1.045,1.047,1.032,1.047,1114355.62
1667167200000,1.048,1.051,1.003,1.037,1735534.3
1667170800000,1.036,1.045,1.034,1.042,291483.71
1667174400000,1.043,1.087,1.038,1.041,1899904.76
1667178000000,1.041,1.053,1.032,1.035,743723.65
1667181600000,1.035,1.042,1.021,1.034,437781.99
1667185200000,1.034,1.077,1.034,1.066,804433.82
1667188800000,1.065,1.08,1.052,1.054,672191.39
1667192400000,1.054,1.06,1.042,1.042,751567.15
1667196000000,1.043,1.047,1.028,1.041,504509.43
1667199600000,1.041,1.041,1.026,1.034,400362.22
1667203200000,1.035,1.035,1.013,1.019,396103.19
1667206800000,1.019,1.065,1.018,1.061,978843.46
1667210400000,1.062,1.07,1.045,1.052,977077.7
1667214000000,1.051,1.06,1.043,1.047,493748
1667217600000,1.048,1.049,1.032,1.036,765774.44
1667221200000,1.036,1.05,1.005,1.005,1669088.9
1667224800000,1.006,1.048,1,1.045,2341593.26
1667228400000,1.045,1.067,1.035,1.054,1335106.09
1667232000000,1.054,1.085,1.048,1.064,1480333.54
1667235600000,1.063,1.076,1.054,1.059,520990.42
1667239200000,1.059,1.061,1.049,1.052,376246.47
1667242800000,1.053,1.053,1.036,1.037,397771.03
1667246400000,1.037,1.044,1.034,1.035,140863.25
