date,open,high,low,close,volume
1667005200000,1.64,1.666,1.568,1.616,620440.53
1667008800000,1.616,1.639,1.517,1.526,630613.6
1667012400000,1.53,1.587,1.51,1.534,475590.16
1667016000000,1.534,1.571,1.525,1.548,212162.91
1667019600000,1.547,1.63,1.547,1.569,725186.81
1667023200000,1.567,1.6,1.544,1.55,410174.74
1667026800000,1.551,1.62,1.54,1.597,521046.96
1667030400000,1.597,1.688,1.593,1.646,1247063.12
1667034000000,1.646,1.769,1.61,1.651,2996187.46
1667037600000,1.653,1.668,1.581,1.587,846940.48
1667041200000,1.587,1.652,1.582,1.613,612836.51
1667044800000,1.614,1.656,1.612,1.65,406995.53
1667048400000,1.648,1.651,1.589,1.606,784475.36
1667052000000,1.603,1.611,1.549,1.59,910432.38
1667055600000,1.59,1.6,1.522,1.544,936817.83
1667059200000,1.544,1.585,1.533,1.575,310797.05
1667062800000,1.575,1.582,1.549,1.552,178442.35
1667066400000,1.552,1.572,1.544,1.563,122703.55
1667070000000,1.562,1.569,1.543,1.554,88642.67
1667073600000,1.556,1.57,1.548,1.561,79098.4
1667077200000,1.561,1.571,1.552,1.558,101512.21
1667080800000,1.555,1.561,1.487,1.525,336748.09
1667084400000,1.525,1.535,1.512,1.524,136927.98
1667088000000,1.523,1.539,1.51,1.522,186629.71
1667091600000,1.522,1.538,1.511,1.522,108019.12
1667095200000,1.522,1.557,1.518,1.537,120405.47
1667098800000,1.537,1.541,1.528,1.529,46927.78
1667102400000,1.532,1.535,1.51,1.515,249158.21
1667106000000,1.518,1.536,1.511,1.531,265372.62
1667109600000,1.529,1.532,1.51,1.526,120103.61
1667113200000,1.526,1.544,1.52,1.541,72862.44
1667116800000,1.542,1.555,1.522,1.555,129809.29
1667120400000,1.555,1.555,1.53,1.53,100558.78
1667124000000,1.529,1.535,1.521,1.523,87696.68
1667127600000,1.523,1.535,1.523,1.528,39263.96
1667131200000,1.528,1.541,1.521,1.532,73615.01
1667134800000,1.533,1.538,1.498,1.506,164912.74
1667138400000,1.506,1.515,1.499,1.512,129945.94
1667142000000,1.513,1.521,1.498,1.501,74958.96
1667145600000,1.498,1.512,1.492,1.496,130177.24
1667149200000,1.498,1.541,1.496,1.528,92160.03
1667152800000,1.53,1.551,1.526,1.549,106120.97
1667156400000,1.548,1.554,1.521,1.538,60143.43
1667160000000,1.538,1.544,1.515,1.534,39189.66
1667163600000,1.534,1.542,1.533,1.537,18565.8
1667167200000,1.536,1.537,1.506,1.523,81236.4
1667170800000,1.519,1.536,1.519,1.529,22227.35
1667174400000,1.53,1.553,1.526,1.55,93187.53
1667178000000,1.551,1.565,1.52,1.537,155281.47
1667181600000,1.537,1.537,1.52,1.528,45250.47
1667185200000,1.524,1.556,1.516,1.556,128856.84
1667188800000,1.557,1.601,1.541,1.557,295021.31
1667192400000,1.56,1.592,1.54,1.58,200244.23
1667196000000,1.58,1.597,1.555,1.572,255706.97
1667199600000,1.572,1.573,1.545,1.555,83334.48
1667203200000,1.558,1.562,1.538,1.538,67511.46
1667206800000,1.54,1.577,1.539,1.568,67990.47
1667210400000,1.567,1.581,1.56,1.57,97918.79
1667214000000,1.57,1.605,1.569,1.576,168171.31
1667217600000,1.574,1.59,1.564,1.583,110917.17
1667221200000,1.586,1.6,1.549,1.549,121333.08
1667224800000,1.549,1.558,1.511,1.542,155103.25
1667228400000,1.539,1.562,1.533,1.55,73782.09
1667232000000,1.55,1.703,1.545,1.607,901105.41
1667235600000,1.604,1.606,1.57,1.575,340432.21
1667239200000,1.576,1.594,1.567,1.59,101061.6
1667242800000,1.586,1.586,1.56,1.564,49984.45
1667246400000,1.563,1.577,1.559,1.572,34704.76
1667250000000,1.576,1.58,1.564,1.567,22535.44
1667253600000,1.569,1.597,1.56,1.589,66535.79
1667257200000,1.588,1.595,1.575,1.589,34368.81
1667260800000,1.586,1.6,1.571,1.577,150004.42
1667264400000,1.577,1.588,1.572,1.585,20580.87
1667268000000,1.588,1.628,1.578,1.6,109520.25
1667271600000,1.597,1.6,1.583,1.592,45998.23
1667275200000,1.592,1.598,1.57,1.585,96547.21
1667278800000,1.589,1.598,1.56,1.569,129031.81
1667282400000,1.569,1.586,1.559,1.579,110345.32
1667286000000,1.58,1.58,1.565,1.568,88734.54
1667289600000,1.568,1.572,1.545,1.558,135035.65
1667293200000,1.555,1.567,1.542,1.557,217419.97
1667296800000,1.557,1.567,1.545,1.563,50869.23
1667300400000,1.565,1.566,1.54,1.552,64109.27
1667304000000,1.549,1.557,1.54,1.552,114475.65
1667307600000,1.55,1.553,1.535,1.54,66212.96
1667311200000,1.536,1.56,1.536,1.544,42524.13
1667314800000,1.544,1.563,1.544,1.558,50301.24
1667318400000,1.561,1.564,1.545,1.554,48571.09
1667322000000,1.554,1.562,1.546,1.554,55583.97
1667325600000,1.552,1.558,1.539,1.554,64030.16
1667329200000,1.553,1.555,1.542,1.542,24341.63
1667332800000,1.541,1.556,1.536,1.54,26486.64
1667336400000,1.543,1.56,1.54,1.545,22234.14
1667340000000,1.547,1.567,1.547,1.558,27235
1667343600000,1.561,1.561,1.547,1.549,20931.3
1667347200000,1.55,1.559,1.539,1.555,31600.76
1667350800000,1.555,1.556,1.542,1.543,16080.89
1667354400000,1.543,1.546,1.521,1.54,61916.77
1667358000000,1.539,1.542,1.526,1.536,30994.67
1667361600000,1.539,1.54,1.52,1.521,39352.47
1667365200000,1.522,1.534,1.52,1.529,21029.85
1667368800000,1.53,1.54,1.522,1.529,74098.93
1667372400000,1.529,1.531,1.51,1.515,50459.07
1667376000000,1.513,1.52,1.506,1.518,26759.28
1667379600000,1.516,1.524,1.495,1.503,98744.1
1667383200000,1.503,1.506,1.49,1.496,66186.71
1667386800000,1.496,1.505,1.492,1.498,54522.32
1667390400000,1.499,1.504,1.49,1.49,27993.73
1667394000000,1.492,1.498,1.48,1.486,52217.68
1667397600000,1.483,1.506,1.483,1.499,34637.38
1667401200000,1.5,1.503,1.491,1.503,26506.25
1667404800000,1.503,1.505,1.49,1.499,78193.02
1667408400000,1.499,1.504,1.483,1.495,28903.1
1667412000000,1.489,1.533,1.48,1.5,111829.69
1667415600000,1.501,1.515,1.467,1.472,50826.86
