date,open,high,low,close,volume
1667005200000,0.0943,0.0943,0.0939,0.094,29922
1667008800000,0.094,0.0944,0.0939,0.0944,67630
1667012400000,0.0943,0.0947,0.0942,0.0946,87006
1667016000000,0.0946,0.0947,0.0945,0.0946,15381
1667019600000,0.0946,0.095,0.0945,0.0949,49591
1667023200000,0.0948,0.0952,0.0945,0.0946,346925
1667026800000,0.0948,0.0954,0.0946,0.0953,162956
1667030400000,0.0953,0.0959,0.0951,0.0959,111265
1667034000000,0.0958,0.0962,0.0954,0.096,207832
1667037600000,0.096,0.0961,0.0949,0.0952,79534
1667041200000,0.0951,0.0951,0.0948,0.0949,41042
1667044800000,0.0949,0.0953,0.0948,0.095,40259
1667048400000,0.0952,0.0953,0.0944,0.0948,388974
1667052000000,0.0947,0.096,0.094,0.0946,480534
1667055600000,0.0946,0.0948,0.0941,0.0945,262070
1667059200000,0.0946,0.0954,0.094,0.095,387903
1667062800000,0.0951,0.0954,0.0942,0.0943,363408
1667066400000,0.0942,0.0944,0.0939,0.0941,85551
1667070000000,0.0941,0.0945,0.0939,0.0939,110410
1667073600000,0.0939,0.0941,0.0938,0.094,38196
1667077200000,0.094,0.0942,0.0935,0.0938,92395
1667080800000,0.0937,0.0939,0.0936,0.0937,39508
1667084400000,0.0936,0.0964,0.0935,0.0944,1933164
1667088000000,0.0942,0.0946,0.0936,0.0944,209803
1667091600000,0.0945,0.0945,0.0937,0.0944,40440
1667095200000,0.0944,0.0949,0.0944,0.0947,34897
1667098800000,0.0947,0.095,0.0945,0.0947,45547
1667102400000,0.0948,0.0948,0.0943,0.0944,42429
1667106000000,0.0944,0.0948,0.0944,0.0948,6037
1667109600000,0.0946,0.0953,0.0944,0.095,92876
1667113200000,0.0951,0.0965,0.0945,0.0963,476946
1667116800000,0.0963,0.0969,0.0936,0.0958,959368
1667120400000,0.0958,0.0962,0.0948,0.0955,296700
1667124000000,0.0954,0.0956,0.095,0.0953,43286
1667127600000,0.0953,0.0962,0.095,0.0958,129960
1667131200000,0.0959,0.0963,0.0953,0.0956,95135
1667134800000,0.0955,0.0956,0.0943,0.0946,112721
1667138400000,0.0947,0.0951,0.0944,0.0949,190676
1667142000000,0.0949,0.0953,0.0939,0.0942,213898
1667145600000,0.0944,0.0946,0.0939,0.0939,68128
1667149200000,0.0941,0.0944,0.0935,0.0942,106991
1667152800000,0.0942,0.0944,0.094,0.0943,16570
1667156400000,0.0942,0.0945,0.0941,0.0943,29370
1667160000000,0.0943,0.0945,0.0942,0.0942,28373
1667163600000,0.0943,0.0946,0.0943,0.0944,25328
1667167200000,0.0944,0.0944,0.0931,0.0938,128000
1667170800000,0.0937,0.0939,0.0935,0.0937,40890
1667174400000,0.0937,0.0943,0.0936,0.0941,122764
1667178000000,0.0941,0.0946,0.094,0.094,80788
1667181600000,0.094,0.0946,0.0938,0.0944,97141
1667185200000,0.0944,0.0945,0.0943,0.0943,6231
1667188800000,0.0944,0.0947,0.0944,0.0947,53148
1667192400000,0.0947,0.0948,0.0945,0.0946,35395
1667196000000,0.0948,0.0948,0.0938,0.0944,68926
1667199600000,0.0944,0.0944,0.0938,0.0942,98003
1667203200000,0.0939,0.0945,0.0936,0.0941,234485
1667206800000,0.0941,0.0949,0.094,0.0948,18883
1667210400000,0.0949,0.0951,0.0948,0.0949,22697
1667214000000,0.095,0.0951,0.0947,0.0949,33022
1667217600000,0.0948,0.0949,0.0944,0.0946,138098
1667221200000,0.0947,0.0949,0.0936,0.0936,55757
1667224800000,0.0935,0.0938,0.0935,0.0937,105209
1667228400000,0.0936,0.0938,0.0934,0.0937,39257
1667232000000,0.0937,0.094,0.0935,0.0935,48918
1667235600000,0.0936,0.0937,0.0935,0.0936,27929
1667239200000,0.0936,0.094,0.0935,0.0939,59950
1667242800000,0.094,0.094,0.0935,0.0939,31619
1667246400000,0.0937,0.0938,0.0935,0.0936,16109
1667250000000,0.0936,0.0938,0.0935,0.0936,14846
1667253600000,0.0938,0.0943,0.0936,0.0942,68863
1667257200000,0.0942,0.0943,0.0939,0.0939,31699
1667260800000,0.094,0.0942,0.0939,0.0941,29124
1667264400000,0.0942,0.0943,0.0935,0.0938,218120
1667268000000,0.0938,0.0948,0.0938,0.0944,232070
1667271600000,0.0945,0.0945,0.094,0.0942,8438
1667275200000,0.0941,0.0942,0.0939,0.0941,13785
1667278800000,0.0941,0.0943,0.094,0.0941,17246
1667282400000,0.0943,0.0945,0.0942,0.0943,60452
1667286000000,0.0943,0.0943,0.0939,0.0942,91072
1667289600000,0.0942,0.0945,0.0942,0.0945,58864
1667293200000,0.0944,0.0946,0.0944,0.0946,31794
1667296800000,0.0945,0.0945,0.094,0.0944,168643
1667300400000,0.0942,0.0943,0.0937,0.0939,54264
1667304000000,0.0939,0.0939,0.0937,0.0938,28477
1667307600000,0.0938,0.0938,0.0934,0.0935,52380
1667311200000,0.0935,0.0935,0.093,0.093,40205
1667314800000,0.0931,0.0932,0.0929,0.0932,66068
1667318400000,0.0932,0.0932,0.0928,0.093,40368
1667322000000,0.0931,0.0932,0.0929,0.0931,29343
1667325600000,0.0931,0.0932,0.093,0.0932,14961
1667329200000,0.0932,0.0932,0.093,0.0932,11168
1667332800000,0.0931,0.0932,0.0928,0.0931,34545
1667336400000,0.093,0.0932,0.093,0.0931,12907
1667340000000,0.093,0.0932,0.093,0.0931,5953
1667343600000,0.0931,0.0931,0.093,0.093,2262
1667347200000,0.093,0.0931,0.0928,0.093,51786
1667350800000,0.0931,0.0931,0.093,0.093,12541
1667354400000,0.093,0.093,0.0928,0.0929,9738
1667358000000,0.0929,0.093,0.0927,0.0929,41573
1667361600000,0.0929,0.0929,0.0926,0.0928,27166
1667365200000,0.0926,0.0928,0.0926,0.0927,193486
1667368800000,0.0928,0.0928,0.0927,0.0927,52623
1667372400000,0.0928,0.0928,0.0922,0.0924,471941
1667376000000,0.0925,0.0926,0.0921,0.0922,48435
1667379600000,0.0922,0.0922,0.0916,0.0916,211236
1667383200000,0.0915,0.0916,0.0913,0.0913,35680
1667386800000,0.0915,0.0915,0.0911,0.0912,36680
1667390400000,0.0911,0.0912,0.091,0.091,141822
1667394000000,0.091,0.0911,0.0905,0.0908,369000
1667397600000,0.0908,0.0909,0.0902,0.0903,556212
1667401200000,0.0904,0.0904,0.0903,0.0903,87689
1667404800000,0.0904,0.0905,0.0903,0.0904,151686
1667408400000,0.0905,0.0907,0.0904,0.0906,125556
1667412000000,0.0906,0.0926,0.0906,0.0912,614103
1667415600000,0.0912,0.092,0.0908,0.0914,249654
1667419200000,0.0913,0.0914,0.0906,0.0909,70034
1667422800000,0.0908,0.0967,0.0908,0.0951,7241920
1667426400000,0.0951,0.0961,0.0942,0.0945,2022527
1667430000000,0.0944,0.0951,0.0944,0.0949,371453
1667433600000,0.0949,0.0954,0.0947,0.0954,326545
1667437200000,0.0953,0.096,0.0951,0.0959,234998
1667440800000,0.0959,0.0968,0.0958,0.0966,365884
1667444400000,0.0968,0.097,0.0961,0.097,663593
1667448000000,0.0969,0.0975,0.0963,0.0969,953055
1667451600000,0.0969,0.0986,0.0965,0.0986,1178191
1667455200000,0.0986,0.0999,0.0973,0.0988,1716367
1667458800000,0.099,0.0992,0.0975,0.0978,1377823
1667462400000,0.0979,0.0988,0.0976,0.0977,1313921
1667466000000,0.0978,0.1044,0.0977,0.1013,7438880
1667469600000,0.1013,0.1066,0.1002,0.1025,9444022
1667473200000,0.1024,0.1038,0.0982,0.0989,3461856
1667476800000,0.0989,0.0999,0.0969,0.0972,1942124
1667480400000,0.0971,0.0994,0.0966,0.0989,1761486
1667484000000,0.0992,0.101,0.0988,0.1009,645895
1667487600000,0.101,0.1011,0.0996,0.1,365999
1667491200000,0.0999,0.1001,0.0984,0.0995,703618
1667494800000,0.0995,0.1003,0.0982,0.0998,1596728
1667498400000,0.0997,0.1001,0.0992,0.0994,412306
1667502000000,0.0996,0.1035,0.0996,0.1029,1874544
1667505600000,0.1029,0.1035,0.0982,0.1015,3416145
1667509200000,0.1017,0.1027,0.1007,0.1016,914375
1667512800000,0.1016,0.1018,0.0997,0.0997,495613
1667516400000,0.0998,0.1003,0.0993,0.0999,304611
1667520000000,0.1,0.1027,0.0993,0.1025,846861
1667523600000,0.1026,0.1052,0.1001,0.1003,1340341
1667527200000,0.1002,0.101,0.0992,0.1002,598874
1667530800000,0.1002,0.1004,0.0992,0.1001,432055
1667534400000,0.1001,0.1013,0.0998,0.1011,440202
1667538000000,0.1011,0.1039,0.1008,0.1035,639092
1667541600000,0.1036,0.1048,0.1022,0.1025,813405
1667545200000,0.1025,0.1031,0.1019,0.103,371822
1667548800000,0.1031,0.1036,0.1009,0.1019,692459
1667552400000,0.1019,0.1021,0.1006,0.102,457063
1667556000000,0.102,0.1025,0.1012,0.1021,552583
1667559600000,0.102,0.1047,0.1018,0.1038,1076856
1667563200000,0.1037,0.1087,0.1027,0.1065,3892798
1667566800000,0.1065,0.1066,0.104,0.1045,1756175
1667570400000,0.1045,0.1066,0.1043,0.1065,836806
1667574000000,0.1066,0.107,0.1053,0.1054,605828
1667577600000,0.1055,0.1062,0.1045,0.1051,478142
1667581200000,0.1051,0.1064,0.1046,0.1059,1024010
1667584800000,0.1059,0.1111,0.1054,0.1077,3673523
1667588400000,0.1079,0.1091,0.1061,0.1065,1274953
1667592000000,0.1065,0.107,0.1044,0.1045,774041
1667595600000,0.1044,0.1064,0.1042,0.1062,225542
1667599200000,0.1061,0.1064,0.1054,0.1056,262847
1667602800000,0.1059,0.1061,0.1042,0.1047,275318
1667606400000,0.1047,0.1061,0.104,0.1055,632921
1667610000000,0.1056,0.1059,0.104,0.1047,414479
1667613600000,0.1047,0.1048,0.1029,0.1039,767923
