date,open,high,low,close,volume
1667005200000,1639,1641,1639,1640,8.7333
1667008800000,1639,1641,1639,1641,9.8819
1667012400000,1640,1643,1640,1641,58.0525
1667016000000,1642,1642,1640,1640,7.7384
1667019600000,1641,1642,1637,1638,50.6375
1667023200000,1638,1638,1637,1638,6.1009
1667026800000,1638,1638,1636,1638,10.6427
1667030400000,1637,1643,1637,1641,139.3951
1667034000000,1640,1641,1639,1640,8.0621
1667037600000,1640,1642,1636,1637,83.894
1667041200000,1638,1638,1635,1636,52.6498
1667044800000,1636,1638,1636,1638,30.1395
1667048400000,1638,1638,1635,1638,42.4628
1667052000000,1638,1641,1636,1638,76.7381
1667055600000,1638,1640,1637,1640,33.636
1667059200000,1640,1640,1638,1639,24.3447
1667062800000,1638,1641,1635,1637,100.4837
1667066400000,1638,1639,1634,1639,29.7696
1667070000000,1638,1639,1637,1637,6.1222
1667073600000,1638,1638,1636,1638,6.335
1667077200000,1637,1639,1637,1638,12.9183
1667080800000,1639,1639,1636,1637,23.0532
1667084400000,1638,1638,1637,1638,0.3968
1667088000000,1638,1638,1637,1638,7.2775
1667091600000,1638,1638,1637,1637,1.8066
1667095200000,1638,1639,1638,1639,4.5135
1667098800000,1639,1639,1638,1639,1.4066
1667102400000,1638,1640,1637,1637,21.9942
1667106000000,1637,1639,1637,1639,6.3429
1667109600000,1639,1640,1638,1639,6.9018
1667113200000,1640,1642,1639,1640,46.2489
1667116800000,1641,1641,1635,1638,47.3617
1667120400000,1638,1639,1636,1637,46.6188
1667124000000,1637,1638,1636,1638,9.3625
1667127600000,1638,1639,1636,1639,22.3422
1667131200000,1639,1640,1637,1638,26.2292
1667134800000,1639,1639,1636,1637,14.0119
1667138400000,1638,1638,1636,1637,14.9767
1667142000000,1638,1638,1637,1637,3.7706
1667145600000,1638,1638,1636,1637,22.2338
1667149200000,1637,1640,1637,1639,46.9132
1667152800000,1639,1639,1638,1639,1.8348
1667156400000,1639,1639,1638,1638,2.7434
1667160000000,1639,1639,1638,1638,7.5776
1667163600000,1638,1640,1638,1638,3.6058
1667167200000,1639,1639,1636,1638,48.3424
1667170800000,1638,1638,1637,1638,1.945
1667174400000,1638,1638,1635,1637,31.4333
1667178000000,1637,1638,1633,1635,40.7055
1667181600000,1636,1636,1634,1636,17.0274
1667185200000,1636,1637,1635,1637,6.557
1667188800000,1637,1638,1636,1637,28.2312
1667192400000,1637,1639,1636,1636,13.5364
1667196000000,1637,1637,1634,1635,19.1008
1667199600000,1636,1636,1634,1636,16.3153
1667203200000,1636,1636,1631,1632,34.6261
1667206800000,1633,1638,1632,1636,143.2658
1667210400000,1636,1636,1633,1634,35.3074
1667214000000,1633,1638,1633,1635,30.2304
1667217600000,1636,1636,1632,1632,34.4361
1667221200000,1633,1634,1627,1628,154.5348
1667224800000,1628,1633,1627,1632,169.4298
1667228400000,1633,1633,1627,1631,60.5842
1667232000000,1633,1635,1629,1631,29.6061
1667235600000,1631,1631,1630,1630,5.7171
1667239200000,1631,1631,1629,1629,9.0496
1667242800000,1630,1630,1627,1628,7.5669
1667246400000,1628,1629,1622,1629,46.4764
1667250000000,1629,1630,1628,1629,20.7761
1667253600000,1628,1629,1626,1628,23.0823
1667257200000,1629,1629,1627,1627,6.7641
1667260800000,1628,1628,1626,1628,9.7149
1667264400000,1628,1631,1627,1629,60.2208
1667268000000,1630,1633,1629,1633,32.5067
1667271600000,1632,1634,1631,1632,68.4574
1667275200000,1633,1634,1631,1633,21.2039
1667278800000,1634,1634,1632,1634,15.7348
1667282400000,1635,1639,1634,1639,29.7619
1667286000000,1640,1641,1638,1639,80.86
1667289600000,1639,1641,1638,1638,48.934
1667293200000,1640,1642,1638,1642,38.3383
1667296800000,1642,1644,1642,1644,20.0114
1667300400000,1644,1647,1642,1646,49.8882
1667304000000,1647,1648,1644,1647,32.6378
1667307600000,1647,1648,1643,1643,43.2229
1667311200000,1642,1643,1637,1639,72.1567
1667314800000,1639,1640,1638,1638,17.6187
1667318400000,1639,1645,1638,1638,101.9383
1667322000000,1638,1641,1637,1640,20.971
1667325600000,1641,1643,1633,1640,677.4185
1667329200000,1640,1641,1638,1639,34.6229
1667332800000,1640,1640,1638,1639,21.5921
1667336400000,1638,1639,1638,1639,9.5758
1667340000000,1639,1639,1637,1639,14.494
1667343600000,1638,1639,1637,1638,9.0725
1667347200000,1639,1641,1638,1641,36.7116
1667350800000,1642,1643,1641,1642,19.914
1667354400000,1643,1643,1640,1643,32.6346
1667358000000,1643,1647,1643,1645,37.2028
1667361600000,1646,1646,1639,1644,43.9422
1667365200000,1644,1645,1643,1644,17.1008
1667368800000,1645,1645,1638,1642,252.2033
1667372400000,1642,1644,1639,1643,91.7707
1667376000000,1644,1648,1641,1647,72.7349
1667379600000,1647,1647,1645,1646,31.5917
1667383200000,1646,1650,1645,1648,98.1679
1667386800000,1647,1648,1646,1648,25.5895
1667390400000,1648,1650,1647,1649,34.7479
1667394000000,1649,1650,1648,1648,26.5035
1667397600000,1648,1648,1642,1643,75.5723
1667401200000,1643,1644,1640,1641,46.4572
1667404800000,1642,1642,1637,1640,101.0084
1667408400000,1639,1641,1638,1641,35.9986
1667412000000,1640,1661,1638,1641,502.3582
1667415600000,1642,1645,1627,1631,196.7131
1667419200000,1631,1631,1625,1629,127.4222
1667422800000,1628,1630,1627,1630,24.121
1667426400000,1630,1630,1628,1628,33.6593
1667430000000,1629,1630,1626,1628,84.7046
1667433600000,1629,1632,1628,1632,24.9097
1667437200000,1632,1635,1631,1634,19.1528
1667440800000,1634,1637,1632,1633,93.9802
1667444400000,1633,1633,1632,1633,3.789
1667448000000,1633,1634,1632,1634,16.6779
1667451600000,1634,1634,1632,1633,12.7462
1667455200000,1633,1633,1631,1632,25.9985
1667458800000,1632,1632,1623,1624,95.5261
1667462400000,1624,1624,1619,1624,67.9803
1667466000000,1623,1624,1615,1620,120.0218
1667469600000,1620,1620,1617,1618,88.7622
1667473200000,1618,1619,1612,1616,98.7663
1667476800000,1617,1620,1616,1617,76.0879
1667480400000,1617,1619,1614,1616,83.5109
1667484000000,1615,1624,1615,1624,140.0939
1667487600000,1624,1624,1621,1623,38.7782
1667491200000,1622,1624,1622,1623,23.2775
1667494800000,1623,1624,1622,1624,12.3613
1667498400000,1624,1626,1622,1625,19.9018
1667502000000,1626,1628,1625,1628,23.4798
1667505600000,1628,1629,1626,1628,23.7292
1667509200000,1628,1629,1624,1626,26.2319
1667512800000,1627,1628,1625,1626,13.7924
1667516400000,1626,1628,1626,1626,7.6386
1667520000000,1627,1629,1626,1627,11.6682
1667523600000,1627,1632,1623,1629,77.6398
1667527200000,1629,1631,1629,1630,9.7002
1667530800000,1630,1632,1630,1632,23.7454
1667534400000,1632,1639,1631,1638,111.4748
1667538000000,1639,1640,1636,1639,79.4142
1667541600000,1640,1644,1640,1644,63.439
1667545200000,1643,1644,1638,1638,56.2197
1667548800000,1638,1644,1638,1642,44.2099
1667552400000,1643,1644,1637,1639,52.7064
1667556000000,1639,1645,1638,1644,62.2432
1667559600000,1644,1645,1642,1642,35.5701
1667563200000,1643,1651,1638,1651,213.6758
1667566800000,1651,1660,1651,1660,257.4959
1667570400000,1660,1668,1659,1664,267.2972
1667574000000,1665,1665,1660,1661,132.507
1667577600000,1661,1665,1658,1663,74.0233
1667581200000,1664,1667,1663,1666,47.1671
1667584800000,1666,1672,1664,1672,106.805
1667588400000,1673,1673,1671,1672,25.9556
1667592000000,1673,1673,1668,1671,66.6292
1667595600000,1672,1672,1671,1671,8.5208
1667599200000,1672,1672,1670,1672,26.3015
1667602800000,1671,1672,1670,1671,11.0281
1667606400000,1672,1674,1669,1673,55.5045
1667610000000,1673,1673,1672,1673,39.8429
