date,open,high,low,close,volume
1668762000000,0.4107,0.451,0.4032,0.4093,1075424
1668765600000,0.4102,0.4138,0.4061,0.408,158571
1668769200000,0.4094,0.414,0.4063,0.41,62416
1668772800000,0.4099,0.4199,0.4099,0.4131,82874
1668776400000,0.412,0.4188,0.4094,0.413,154227
1668780000000,0.4141,0.4179,0.4061,0.4075,118778
1668783600000,0.4082,0.4098,0.4,0.403,369304
1668787200000,0.403,0.4076,0.403,0.407,39883
1668790800000,0.4064,0.4095,0.4031,0.4053,76149
1668794400000,0.4072,0.4088,0.4051,0.4051,29575
1668798000000,0.4066,0.4121,0.4058,0.411,37053
1668801600000,0.411,0.4138,0.4088,0.4122,27929
1668805200000,0.4117,0.4119,0.4059,0.4088,90072
1668808800000,0.4093,0.4114,0.4076,0.4105,27050
1668812400000,0.411,0.4116,0.4077,0.4116,1968
1668816000000,0.411,0.4148,0.4107,0.4148,33839
1668819600000,0.4145,0.4208,0.412,0.412,13197
1668823200000,0.4126,0.4174,0.406,0.4112,21670
1668826800000,0.412,0.416,0.4119,0.4127,9414
1668830400000,0.4148,0.4148,0.4082,0.409,12954
1668834000000,0.4106,0.4106,0.3676,0.3842,333617
1668837600000,0.3847,0.3958,0.3847,0.3862,153789
1668841200000,0.3874,0.3914,0.386,0.389,45127
1668844800000,0.3915,0.3944,0.3872,0.388,47399
1668848400000,0.3888,0.3908,0.3859,0.3895,28123
1668852000000,0.3894,0.3926,0.3894,0.3912,47152
1668855600000,0.3913,0.398,0.3899,0.397,42896
1668859200000,0.397,0.397,0.3928,0.3954,27638
1668862800000,0.3951,0.402,0.3944,0.3967,61027
1668866400000,0.3974,0.4045,0.3953,0.4045,58169
1668870000000,0.4042,0.4044,0.3986,0.399,21955
1668873600000,0.399,0.4148,0.399,0.4102,138307
1668877200000,0.4076,0.415,0.4059,0.4148,112178
1668880800000,0.4148,0.4148,0.4066,0.4126,49731
1668884400000,0.4122,0.42,0.4099,0.4152,109871
1668888000000,0.4125,0.42,0.4087,0.416,51379
1668891600000,0.4161,0.446,0.4125,0.4334,238268
1668895200000,0.4339,0.4885,0.4214,0.4793,977299
1668898800000,0.4795,0.545,0.4707,0.5108,2377113
1668902400000,0.5108,0.9,0.4953,0.7155,5904294
1668906000000,0.7194,0.8349,0.6705,0.6998,3944530
1668909600000,0.6999,0.7059,0.5891,0.6031,1570456
1668913200000,0.605,0.6363,0.589,0.6119,816233
1668916800000,0.6106,0.6399,0.606,0.6267,826861
1668920400000,0.629,0.647,0.5667,0.5831,1282263
1668924000000,0.5832,0.63,0.5699,0.5903,1311196
1668927600000,0.5925,0.6753,0.591,0.6359,2065341
1668931200000,0.6336,0.85,0.6283,0.7851,6224848
1668934800000,0.7851,1.1638,0.7354,0.7675,11686648
1668938400000,0.7673,0.855,0.7652,0.7857,2257935
1668942000000,0.7857,0.8611,0.754,0.7943,1951826
1668945600000,0.7926,0.7955,0.6841,0.7558,2481759
1668949200000,0.7551,0.8598,0.7356,0.8146,2355446
1668952800000,0.8149,0.9005,0.7373,0.7772,4124403
1668956400000,0.7773,1.2485,0.7156,1.1417,10685595
1668960000000,1.1416,1.5329,0.8397,0.8705,10488513
1668963600000,0.8705,1.07,0.8577,0.9169,5071385
1668967200000,0.917,0.932,0.831,0.8754,1742470
1668970800000,0.8753,0.9481,0.8611,0.9142,1425309
1668974400000,0.9149,0.9318,0.8591,0.8675,966392
1668978000000,0.869,0.8768,0.7372,0.7567,1605156
1668981600000,0.7545,0.7861,0.72,0.7388,1012455
1668985200000,0.7347,0.7393,0.5662,0.5854,1609013
1668988800000,0.5883,0.5886,0.4684,0.5347,1984670
1668992400000,0.5311,0.5874,0.5032,0.5665,830311
1668996000000,0.5621,0.5665,0.4898,0.5475,602941
1668999600000,0.5487,0.5888,0.5331,0.5636,364251
1669003200000,0.5614,0.587,0.5496,0.5587,343114
1669006800000,0.5583,0.5905,0.5528,0.5692,558969
1669010400000,0.5698,0.845,0.5698,0.7302,4497766
1669014000000,0.7321,0.7876,0.6345,0.68,2291479
1669017600000,0.6775,0.7365,0.637,0.7249,1046584
1669021200000,0.725,0.7593,0.6971,0.7382,1055342
1669024800000,0.7399,0.7443,0.6756,0.6989,533669
1669028400000,0.6985,0.7285,0.6652,0.7141,751139
1669032000000,0.7161,0.7162,0.6546,0.6699,452358
1669035600000,0.67,0.74,0.6664,0.7042,578055
1669039200000,0.7017,0.73,0.6768,0.7146,691010
1669042800000,0.7145,0.7194,0.6656,0.681,533591
1669046400000,0.6818,0.691,0.6406,0.6571,468731
1669050000000,0.654,0.6612,0.6031,0.62,780782
1669053600000,0.6198,0.6457,0.6,0.6235,391311
1669057200000,0.6235,0.655,0.6113,0.6389,363887
1669060800000,0.6398,0.6657,0.6241,0.6462,320768
1669064400000,0.6462,0.6744,0.6199,0.6298,378703
1669068000000,0.6337,0.6673,0.6259,0.6543,123951
1669071600000,0.6578,0.825,0.6428,0.7884,1680537
1669075200000,0.7873,0.84,0.7021,0.7231,2367089
1669078800000,0.7225,0.8015,0.7152,0.7297,814874
1669082400000,0.7273,0.735,0.7127,0.7319,438468
1669086000000,0.7302,0.7562,0.7139,0.7295,396720
1669089600000,0.7274,0.7283,0.6828,0.6955,379321
1669093200000,0.6955,0.7211,0.6878,0.7148,343013
1669096800000,0.7141,0.7149,0.6734,0.6765,394227
1669100400000,0.6811,0.716,0.68,0.7113,321533
1669104000000,0.7102,0.7258,0.6736,0.6858,609096
1669107600000,0.6829,0.69,0.6632,0.67,202063
1669111200000,0.6713,0.6863,0.664,0.6821,202294
1669114800000,0.6826,0.6979,0.6734,0.69,227018
1669118400000,0.6931,0.73,0.6873,0.7239,639524
1669122000000,0.7239,0.7479,0.7009,0.7136,508317
1669125600000,0.713,0.725,0.6895,0.697,343215
1669129200000,0.6969,0.7124,0.692,0.6976,216106
1669132800000,0.6988,0.7244,0.6051,0.6208,719225
1669136400000,0.6208,0.6328,0.6052,0.6227,475439
1669140000000,0.62,0.6288,0.6099,0.6223,269104
1669143600000,0.6222,0.6263,0.61,0.6148,188984
1669147200000,0.6192,0.629,0.6161,0.6225,157173
1669150800000,0.623,0.6324,0.6068,0.6257,247832
1669154400000,0.6297,0.663,0.6108,0.6207,728134
1669158000000,0.6205,0.656,0.6189,0.6335,411299
1669161600000,0.6329,0.6386,0.6117,0.6244,418356
1669165200000,0.6247,0.6349,0.615,0.6257,90877
1669168800000,0.627,0.6575,0.6202,0.6451,249098
1669172400000,0.6427,0.6573,0.6356,0.646,263342
1669176000000,0.6458,0.6537,0.6282,0.6339,250400
1669179600000,0.6344,0.6384,0.623,0.6279,329090
1669183200000,0.6322,0.647,0.629,0.6423,190582
1669186800000,0.6386,0.65,0.628,0.6344,205315
1669190400000,0.6311,0.635,0.6261,0.6345,97145
1669194000000,0.6332,0.6349,0.6222,0.629,317885
1669197600000,0.6272,0.6284,0.61,0.6195,209056
1669201200000,0.6194,0.641,0.6165,0.6254,211461
1669204800000,0.6254,0.6345,0.6126,0.6144,245927
1669208400000,0.6169,0.6194,0.5708,0.5781,562067
1669212000000,0.5825,0.604,0.5798,0.5888,183155
1669215600000,0.5888,0.595,0.5691,0.5817,335874
1669219200000,0.5804,0.5883,0.5762,0.5819,100630
1669222800000,0.584,0.5926,0.5791,0.5872,89111
1669226400000,0.5871,0.5903,0.578,0.5863,263002
1669230000000,0.5832,0.592,0.5658,0.5757,106996
1669233600000,0.5759,0.604,0.5745,0.5947,100020
1669237200000,0.5948,0.6097,0.59,0.5964,149808
1669240800000,0.5935,0.6181,0.5931,0.6028,80974
1669244400000,0.6029,0.6123,0.5969,0.6093,56441
1669248000000,0.6078,0.6237,0.6026,0.6113,176519
1669251600000,0.6108,0.6198,0.6023,0.6135,69182
1669255200000,0.6135,0.624,0.6057,0.6065,85751
1669258800000,0.6065,0.6229,0.6065,0.6184,56910
1669262400000,0.6181,0.6292,0.6111,0.6262,89002
1669266000000,0.6241,0.65,0.6189,0.6487,335374
1669269600000,0.6489,0.6544,0.6069,0.6094,313900
1669273200000,0.6111,0.6168,0.5944,0.6016,212263
1669276800000,0.6052,0.6213,0.5963,0.599,164976
1669280400000,0.5989,0.604,0.5932,0.6006,110988
1669284000000,0.6006,0.6051,0.593,0.599,91123
1669287600000,0.601,0.6195,0.5991,0.605,86033
1669291200000,0.605,0.6127,0.5976,0.6086,73181
1669294800000,0.61,0.6437,0.6055,0.6236,358770
1669298400000,0.6231,0.6399,0.6169,0.6204,291613
1669302000000,0.6217,0.624,0.6072,0.6118,189236
1669305600000,0.6101,0.625,0.6048,0.6097,146555
1669309200000,0.6116,0.6411,0.6019,0.6341,364232
1669312800000,0.6365,0.7178,0.6264,0.6968,3302559
1669316400000,0.6983,0.72,0.6717,0.7055,1742312
1669320000000,0.7055,0.73,0.6861,0.6914,810333
1669323600000,0.69,0.6932,0.665,0.6652,365754
1669327200000,0.6673,0.6755,0.6548,0.6607,250705
1669330800000,0.6631,0.6714,0.6586,0.666,108548
1669334400000,0.6678,0.67,0.6128,0.6296,479662
1669338000000,0.6285,0.6321,0.6188,0.6188,102951
1669341600000,0.6202,0.6217,0.6029,0.6188,150186
1669345200000,0.6179,0.6229,0.61,0.617,132911
1669348800000,0.6159,0.621,0.6059,0.6062,119521
1669352400000,0.6097,0.6188,0.6059,0.6121,205832
1669356000000,0.6111,0.6397,0.6095,0.6299,539516
1669359600000,0.6273,0.6347,0.613,0.6221,588443
1669363200000,0.6203,0.69,0.615,0.6444,610816
1669366800000,0.6444,0.684,0.6297,0.667,912641
1669370400000,0.6697,0.6697,0.6333,0.6363,696186
1669374000000,0.6389,0.6552,0.6278,0.6373,415517
1669377600000,0.6382,0.6699,0.6382,0.661,467707
1669381200000,0.661,0.6639,0.6448,0.6518,377914
1669384800000,0.6518,0.6596,0.6408,0.657,210577
1669388400000,0.657,0.6674,0.6496,0.6533,260276
1669392000000,0.6532,0.6926,0.6475,0.674,739226
1669395600000,0.674,0.674,0.6571,0.66,286562
1669399200000,0.66,0.6621,0.6409,0.6445,215711
1669402800000,0.6475,0.6558,0.6446,0.6483,137030
1669406400000,0.6524,0.66,0.6387,0.6528,204607
1669410000000,0.6528,0.6586,0.6473,0.654,148578
1669413600000,0.6559,0.6673,0.6453,0.6503,135723
1669417200000,0.6483,0.6657,0.6406,0.6533,129227
1669420800000,0.6533,0.6921,0.6443,0.6459,289785
1669424400000,0.6459,0.6641,0.6406,0.6539,92213
1669428000000,0.6539,0.6652,0.653,0.6623,144026
1669431600000,0.6639,0.6648,0.656,0.6587,122429
1669435200000,0.659,0.6741,0.655,0.6718,249643
1669438800000,0.6719,0.674,0.66,0.66,76039
1669442400000,0.66,0.6772,0.655,0.655,454993
1669446000000,0.6554,0.6561,0.645,0.6486,212555
1669449600000,0.6481,0.6519,0.6441,0.6441,85461
1669453200000,0.6441,0.6548,0.643,0.6548,104602
