date,open,high,low,close,volume
1667005200000,0.299,0.299,0.297,0.298,16089.53
1667008800000,0.297,0.298,0.296,0.297,2763.93
1667012400000,0.298,0.3,0.297,0.299,16658.46
1667016000000,0.299,0.299,0.297,0.299,42598.07
1667019600000,0.298,0.299,0.297,0.298,3298.69
1667023200000,0.298,0.299,0.297,0.297,9679.28
1667026800000,0.298,0.3,0.298,0.299,12684.63
1667030400000,0.298,0.301,0.298,0.3,85268.75
1667034000000,0.3,0.3,0.298,0.299,31849.82
1667037600000,0.299,0.3,0.296,0.298,25515.31
1667041200000,0.298,0.298,0.296,0.297,16150.92
1667044800000,0.297,0.297,0.296,0.296,2910
1667048400000,0.296,0.298,0.295,0.297,24291.83
1667052000000,0.296,0.298,0.296,0.298,22865.63
1667055600000,0.298,0.299,0.296,0.297,73792.14
1667059200000,0.297,0.302,0.297,0.302,120568.81
1667062800000,0.3,0.303,0.3,0.3,110950.52
1667066400000,0.3,0.3,0.298,0.298,11903.12
1667070000000,0.3,0.3,0.298,0.3,3342.83
1667073600000,0.299,0.3,0.299,0.3,3930.74
1667077200000,0.299,0.301,0.299,0.3,87254.97
1667080800000,0.3,0.301,0.298,0.298,47044.69
1667084400000,0.298,0.3,0.298,0.3,8980.79
1667088000000,0.299,0.299,0.296,0.298,26496.49
1667091600000,0.298,0.298,0.297,0.298,9576.48
1667095200000,0.297,0.302,0.297,0.299,189849.56
1667098800000,0.298,0.3,0.298,0.3,41430.89
1667102400000,0.299,0.3,0.298,0.298,19337.48
1667106000000,0.298,0.3,0.297,0.3,44334.98
1667109600000,0.3,0.3,0.295,0.299,490287.47
1667113200000,0.298,0.307,0.298,0.307,527121.83
1667116800000,0.307,0.315,0.302,0.305,634294.62
1667120400000,0.306,0.31,0.301,0.304,303429.75
1667124000000,0.303,0.307,0.302,0.305,145834.67
1667127600000,0.306,0.307,0.304,0.306,78611.68
1667131200000,0.306,0.307,0.302,0.303,121810.46
1667134800000,0.304,0.305,0.302,0.302,55567.06
1667138400000,0.302,0.303,0.3,0.301,73398.78
1667142000000,0.302,0.304,0.301,0.302,74322.34
1667145600000,0.301,0.301,0.298,0.299,51290.53
1667149200000,0.299,0.302,0.298,0.301,78589.07
1667152800000,0.302,0.302,0.3,0.3,18698.78
1667156400000,0.3,0.301,0.299,0.3,17021.63
1667160000000,0.3,0.301,0.299,0.301,50963.38
1667163600000,0.301,0.302,0.3,0.3,30274.2
1667167200000,0.301,0.301,0.297,0.298,52381.06
1667170800000,0.298,0.301,0.297,0.301,30446.02
1667174400000,0.3,0.301,0.297,0.297,50076.62
1667178000000,0.298,0.299,0.296,0.296,41985.69
1667181600000,0.297,0.297,0.294,0.296,39963.84
1667185200000,0.296,0.298,0.295,0.298,13504.35
1667188800000,0.296,0.299,0.296,0.298,12142.69
1667192400000,0.299,0.299,0.297,0.297,10225.91
1667196000000,0.298,0.298,0.296,0.298,13943.54
1667199600000,0.298,0.298,0.296,0.297,7898.67
1667203200000,0.297,0.298,0.296,0.297,39571.66
1667206800000,0.297,0.302,0.296,0.3,79146.48
1667210400000,0.301,0.301,0.298,0.299,46416.71
1667214000000,0.3,0.301,0.299,0.301,65143.97
1667217600000,0.301,0.301,0.298,0.3,38664.98
1667221200000,0.299,0.301,0.296,0.296,124169.73
1667224800000,0.296,0.297,0.294,0.297,66911.34
1667228400000,0.296,0.298,0.295,0.296,26831.91
1667232000000,0.296,0.298,0.295,0.297,33211.37
1667235600000,0.295,0.297,0.295,0.297,12192.88
1667239200000,0.298,0.299,0.297,0.299,78070.37
1667242800000,0.299,0.3,0.298,0.299,8684.85
1667246400000,0.299,0.299,0.297,0.298,25944.01
1667250000000,0.298,0.298,0.296,0.297,15967.4
1667253600000,0.297,0.299,0.297,0.298,3441.24
1667257200000,0.299,0.299,0.298,0.299,6072.18
1667260800000,0.298,0.3,0.297,0.299,33481.39
1667264400000,0.299,0.302,0.299,0.3,93747.88
1667268000000,0.3,0.302,0.299,0.3,72036.99
1667271600000,0.3,0.301,0.3,0.3,9994.32
1667275200000,0.301,0.301,0.299,0.3,28294.65
1667278800000,0.299,0.3,0.297,0.299,75630
1667282400000,0.299,0.3,0.297,0.3,155196.54
1667286000000,0.3,0.3,0.297,0.299,132030.04
1667289600000,0.3,0.301,0.299,0.301,31048.29
1667293200000,0.3,0.301,0.299,0.299,41922.87
1667296800000,0.3,0.301,0.298,0.301,66902.4
1667300400000,0.3,0.301,0.298,0.298,29753.22
1667304000000,0.3,0.3,0.298,0.3,33841.79
1667307600000,0.3,0.301,0.296,0.297,30801.01
1667311200000,0.296,0.298,0.296,0.296,19238.99
1667314800000,0.296,0.298,0.296,0.296,4165.89
1667318400000,0.297,0.298,0.296,0.296,16925.65
1667322000000,0.296,0.298,0.296,0.297,36855.94
1667325600000,0.296,0.298,0.296,0.297,52506.42
1667329200000,0.297,0.298,0.296,0.296,15871.43
1667332800000,0.296,0.298,0.296,0.297,20350.65
1667336400000,0.297,0.298,0.297,0.298,4943.72
1667340000000,0.297,0.298,0.297,0.298,5613.14
1667343600000,0.298,0.298,0.297,0.297,16676.04
1667347200000,0.298,0.298,0.295,0.296,33921.21
1667350800000,0.296,0.303,0.296,0.301,244429.62
1667354400000,0.302,0.307,0.3,0.302,274246.69
1667358000000,0.301,0.302,0.299,0.301,106197.54
1667361600000,0.3,0.301,0.298,0.299,64248.15
1667365200000,0.299,0.3,0.297,0.298,40767.19
1667368800000,0.297,0.297,0.296,0.297,18792.01
1667372400000,0.297,0.297,0.293,0.294,31938.32
1667376000000,0.293,0.294,0.293,0.294,22572.5
1667379600000,0.293,0.295,0.292,0.292,46544.09
1667383200000,0.292,0.292,0.286,0.289,118132.04
1667386800000,0.288,0.289,0.287,0.289,35877.58
1667390400000,0.288,0.29,0.284,0.285,81723.24
1667394000000,0.286,0.287,0.285,0.286,12333.76
1667397600000,0.286,0.287,0.286,0.286,5685.68
1667401200000,0.286,0.287,0.286,0.287,57103.93
1667404800000,0.286,0.289,0.286,0.289,81386.9
