date,open,high,low,close,volume
1667005200000,0.2455,0.2458,0.2449,0.2449,12036
1667008800000,0.2448,0.2454,0.2439,0.2454,33481
1667012400000,0.245,0.2466,0.2446,0.2466,19154
1667016000000,0.2465,0.2467,0.2437,0.2459,157352
1667019600000,0.2466,0.2467,0.2446,0.2446,26971
1667023200000,0.2449,0.2462,0.2449,0.2462,61250
1667026800000,0.2462,0.2477,0.2449,0.2454,109702
1667030400000,0.2458,0.2466,0.2443,0.2461,266254
1667034000000,0.2462,0.2483,0.2451,0.2467,129230
1667037600000,0.2467,0.2467,0.2448,0.2448,119187
1667041200000,0.2448,0.2448,0.2435,0.2441,48099
1667044800000,0.2441,0.246,0.2438,0.2449,47524
1667048400000,0.2451,0.246,0.2416,0.2424,144739
1667052000000,0.2428,0.2451,0.2402,0.2406,476822
1667055600000,0.2403,0.2428,0.2391,0.2401,385597
1667059200000,0.2407,0.2434,0.2407,0.242,259023
1667062800000,0.242,0.242,0.2364,0.2391,708866
1667066400000,0.239,0.2407,0.2386,0.2389,134388
1667070000000,0.2396,0.2413,0.2379,0.241,371359
1667073600000,0.241,0.2413,0.2387,0.2397,74897
1667077200000,0.2395,0.2402,0.2387,0.2391,178077
1667080800000,0.2391,0.2399,0.2391,0.2391,82603
1667084400000,0.2392,0.2397,0.2391,0.2392,11059
1667088000000,0.2398,0.2398,0.2388,0.2388,24000
1667091600000,0.2389,0.239,0.2387,0.239,49361
1667095200000,0.2391,0.2398,0.2391,0.2397,44261
1667098800000,0.2398,0.2401,0.2389,0.2395,32140
1667102400000,0.24,0.24,0.2391,0.2392,4125
1667106000000,0.2395,0.2404,0.2394,0.2399,37502
1667109600000,0.2402,0.2419,0.2398,0.2405,84048
1667113200000,0.2405,0.2421,0.2392,0.2419,166627
1667116800000,0.242,0.242,0.2388,0.2391,78005
1667120400000,0.2393,0.2411,0.2388,0.2389,50708
1667124000000,0.2388,0.2395,0.2387,0.2395,40339
1667127600000,0.2396,0.2397,0.2389,0.2397,31835
1667131200000,0.2393,0.2395,0.2384,0.2392,32322
1667134800000,0.2392,0.2392,0.2371,0.2373,31950
1667138400000,0.2377,0.2385,0.2366,0.2382,83823
1667142000000,0.2382,0.2382,0.236,0.2361,80349
1667145600000,0.236,0.2379,0.2355,0.236,100580
1667149200000,0.2357,0.2363,0.2353,0.2362,37114
1667152800000,0.2362,0.2381,0.2354,0.2367,156976
1667156400000,0.2372,0.2396,0.2363,0.2375,145760
1667160000000,0.2375,0.2398,0.2363,0.2379,152781
1667163600000,0.2385,0.2389,0.237,0.2384,36634
1667167200000,0.2375,0.2382,0.234,0.2363,109586
1667170800000,0.2358,0.2407,0.2348,0.2396,451430
1667174400000,0.2397,0.2412,0.2393,0.24,40513
1667178000000,0.2399,0.24,0.238,0.2385,36388
1667181600000,0.2385,0.239,0.2376,0.238,7589
1667185200000,0.2378,0.2389,0.2371,0.2387,57508
1667188800000,0.2387,0.2387,0.238,0.2385,20652
1667192400000,0.2385,0.2385,0.2378,0.2381,50081
1667196000000,0.2383,0.2383,0.2371,0.2377,24961
1667199600000,0.2379,0.2383,0.237,0.2383,38530
1667203200000,0.2381,0.2381,0.2369,0.2375,18584
1667206800000,0.2375,0.2414,0.2372,0.2406,51767
1667210400000,0.2413,0.2416,0.2402,0.2414,36089
1667214000000,0.2412,0.2415,0.2402,0.2408,29390
1667217600000,0.2409,0.2433,0.2399,0.2408,66383
1667221200000,0.2408,0.2418,0.2378,0.2378,74498
1667224800000,0.2374,0.2398,0.2368,0.2383,101919
1667228400000,0.2382,0.2397,0.2378,0.238,131196
1667232000000,0.238,0.2398,0.2364,0.2384,104472
1667235600000,0.2387,0.2392,0.2378,0.2387,26853
1667239200000,0.2388,0.2389,0.2367,0.2375,87251
1667242800000,0.2376,0.2376,0.236,0.2361,52390
1667246400000,0.236,0.2362,0.2352,0.2357,98502
1667250000000,0.236,0.236,0.2349,0.2351,105299
1667253600000,0.2351,0.2357,0.2351,0.2352,58178
1667257200000,0.2352,0.2368,0.2352,0.2368,55419
1667260800000,0.2362,0.2376,0.2362,0.2372,38347
1667264400000,0.2367,0.238,0.2367,0.2377,40630
1667268000000,0.2377,0.239,0.2377,0.2381,38635
1667271600000,0.2382,0.2387,0.2378,0.2378,16761
1667275200000,0.2381,0.2386,0.237,0.2375,59378
1667278800000,0.2375,0.2388,0.2373,0.2377,26332
1667282400000,0.2388,0.2392,0.2377,0.2391,23561
1667286000000,0.2384,0.2394,0.2374,0.2377,30136
1667289600000,0.2383,0.2389,0.2371,0.2375,11997
1667293200000,0.2375,0.2386,0.2369,0.2384,87779
1667296800000,0.2377,0.2387,0.2375,0.2377,24149
1667300400000,0.2378,0.2378,0.2351,0.2365,66440
1667304000000,0.2365,0.2368,0.236,0.2368,7157
1667307600000,0.2363,0.2367,0.236,0.236,31718
1667311200000,0.2359,0.2386,0.235,0.236,122996
1667314800000,0.2363,0.2366,0.2358,0.2366,22329
