date,open,high,low,close,volume
1667005200000,0.1738,0.1747,0.173,0.1738,346703.2
1667008800000,0.1741,0.1755,0.1732,0.1743,397660.6
1667012400000,0.1743,0.1743,0.1725,0.174,535936.6
1667016000000,0.1742,0.1745,0.1701,0.1724,750047.9
1667019600000,0.172,0.1737,0.1714,0.1729,393883.4
1667023200000,0.1723,0.1748,0.172,0.1742,460812
1667026800000,0.1742,0.1748,0.1717,0.1722,613450.5
1667030400000,0.1722,0.1729,0.1714,0.1723,737058.3
1667034000000,0.172,0.1725,0.1697,0.1717,899222.5
1667037600000,0.1716,0.173,0.1709,0.1709,769127.6
1667041200000,0.1709,0.171,0.1691,0.1697,801190.7
1667044800000,0.1697,0.1717,0.169,0.1705,626133.4
1667048400000,0.1709,0.171,0.1691,0.1698,399445.7
1667052000000,0.1698,0.1738,0.1691,0.1731,1445355.6
1667055600000,0.1732,0.1747,0.17,0.1703,1791561.9
1667059200000,0.1704,0.171,0.1698,0.1701,961183.4
1667062800000,0.1701,0.1709,0.1684,0.1687,903463.1
1667066400000,0.1685,0.1709,0.168,0.1685,878376.2
1667070000000,0.1691,0.1695,0.1685,0.1691,253925.7
1667073600000,0.1689,0.1695,0.168,0.1685,178052.3
1667077200000,0.1685,0.169,0.1661,0.1664,343290.7
1667080800000,0.1665,0.1669,0.1653,0.1658,418241.8
1667084400000,0.1661,0.1662,0.1633,0.1645,922909.5
1667088000000,0.1645,0.1648,0.1616,0.1616,535616.9
1667091600000,0.1616,0.1633,0.1602,0.163,503752.2
1667095200000,0.1633,0.1633,0.1615,0.1626,436531.8
1667098800000,0.1626,0.1631,0.1615,0.1629,361757.8
1667102400000,0.1631,0.1643,0.162,0.1626,505634
1667106000000,0.1625,0.1631,0.1618,0.1622,312839.1
1667109600000,0.1621,0.1625,0.1605,0.1614,543682.4
1667113200000,0.1612,0.1638,0.1603,0.1638,1021670.6
1667116800000,0.1638,0.1638,0.1601,0.1624,912198.3
1667120400000,0.1624,0.1627,0.1601,0.1613,574096.8
1667124000000,0.1613,0.1632,0.1606,0.1613,622604.5
1667127600000,0.1613,0.1624,0.1609,0.1614,299384.1
1667131200000,0.1615,0.1616,0.1595,0.161,526877.3
1667134800000,0.1608,0.162,0.1602,0.1602,449804.4
1667138400000,0.1602,0.1628,0.16,0.1616,944578.5
1667142000000,0.1617,0.167,0.16,0.1661,2178096.6
1667145600000,0.1661,0.1703,0.163,0.1673,2271594.7
1667149200000,0.1671,0.1681,0.163,0.164,526463.9
1667152800000,0.164,0.1669,0.1631,0.1656,570240.2
1667156400000,0.1657,0.1664,0.164,0.1645,368282.4
1667160000000,0.1645,0.167,0.1641,0.1654,479090
1667163600000,0.1655,0.1656,0.1645,0.1646,165128.1
1667167200000,0.1645,0.1658,0.1645,0.1645,237856.7
1667170800000,0.1651,0.1675,0.1646,0.1675,319012.5
1667174400000,0.1677,0.1685,0.165,0.1653,457455
1667178000000,0.1651,0.1665,0.1645,0.1645,438032.7
1667181600000,0.165,0.1654,0.1645,0.1652,248020.9
1667185200000,0.1647,0.1703,0.1647,0.1686,1139529.4
1667188800000,0.169,0.184,0.1687,0.1756,6973460.3
1667192400000,0.1762,0.1769,0.17,0.1703,2384858.2
1667196000000,0.1705,0.173,0.168,0.1693,1247516.4
1667199600000,0.1693,0.1731,0.1678,0.1693,1378617.4
1667203200000,0.1693,0.1696,0.1642,0.1667,1761167.7
1667206800000,0.1664,0.1671,0.1653,0.1662,832442.4
1667210400000,0.1665,0.1677,0.1658,0.1661,694500.5
1667214000000,0.1662,0.1682,0.166,0.1674,532445.3
1667217600000,0.1672,0.1672,0.165,0.1656,513624.4
1667221200000,0.1657,0.1661,0.1606,0.1607,685987
1667224800000,0.1606,0.1619,0.1585,0.1605,1815809.3
1667228400000,0.1605,0.1611,0.1583,0.1585,597108.1
1667232000000,0.1586,0.16,0.1575,0.1584,786367.5
1667235600000,0.1587,0.1613,0.1584,0.1594,629548.9
1667239200000,0.1597,0.1605,0.1593,0.1599,286169.6
1667242800000,0.1599,0.1601,0.1588,0.1592,268678.8
1667246400000,0.1592,0.1601,0.1587,0.1594,180253.8
1667250000000,0.1594,0.1594,0.158,0.1584,165918.5
1667253600000,0.1585,0.1598,0.1585,0.1595,135652.8
1667257200000,0.1595,0.161,0.1581,0.1603,492355.7
1667260800000,0.1603,0.1612,0.1595,0.1607,269072.2
1667264400000,0.1607,0.1613,0.1602,0.1611,139900.9
1667268000000,0.1609,0.1617,0.16,0.1617,263356.5
1667271600000,0.1617,0.1617,0.1591,0.1596,346505.9
1667275200000,0.1597,0.1601,0.1581,0.1586,455350.7
1667278800000,0.1586,0.1599,0.1585,0.159,320763.3
1667282400000,0.1591,0.1607,0.1587,0.1605,512799.5
1667286000000,0.1605,0.1607,0.158,0.1594,801709
1667289600000,0.1593,0.1595,0.1582,0.1593,380023.9
1667293200000,0.1593,0.2181,0.1581,0.1899,26646730.9
1667296800000,0.19,0.1977,0.182,0.1881,10857958.9
1667300400000,0.1881,0.2159,0.184,0.2039,18007863.7
1667304000000,0.2036,0.2038,0.1835,0.1875,7711354.5
1667307600000,0.1875,0.1975,0.184,0.193,5011134.7
1667311200000,0.1927,0.195,0.1849,0.1926,3301475.9
1667314800000,0.192,0.1923,0.186,0.1896,2191775.8
1667318400000,0.1896,0.1985,0.1874,0.1931,3889775.3
1667322000000,0.1931,0.2041,0.1886,0.1926,6497283.9
1667325600000,0.1926,0.2026,0.1917,0.1944,4445860.7
1667329200000,0.1945,0.1975,0.1922,0.1934,1806479
1667332800000,0.1934,0.1941,0.1875,0.1897,1979864.4
1667336400000,0.1895,0.1895,0.1847,0.1858,1224740.3
1667340000000,0.1856,0.1926,0.1845,0.1898,1494728.4
1667343600000,0.1902,0.1902,0.1821,0.1821,980570.5
1667347200000,0.1821,0.191,0.1809,0.1892,2239122.2
1667350800000,0.1888,0.1965,0.1847,0.1873,3783406.7
1667354400000,0.1872,0.1977,0.1872,0.1905,2416153.2
1667358000000,0.1905,0.1961,0.185,0.1856,1936204.5
1667361600000,0.1855,0.1875,0.1783,0.1784,3599696.6
1667365200000,0.1784,0.1794,0.175,0.1768,2236900.3
1667368800000,0.1765,0.1786,0.175,0.1768,897762.9
1667372400000,0.1768,0.1772,0.17,0.1732,2859852.7
1667376000000,0.1739,0.1766,0.1721,0.1748,993069.7
1667379600000,0.1748,0.1761,0.171,0.1711,923362.6
1667383200000,0.1714,0.1714,0.1681,0.1708,846148.2
1667386800000,0.1708,0.1723,0.1694,0.1694,454979
1667390400000,0.1695,0.1718,0.169,0.1714,291892.1
1667394000000,0.1711,0.1715,0.1685,0.1696,408959.5
1667397600000,0.1696,0.1723,0.1696,0.1723,577475.1
1667401200000,0.172,0.1722,0.1687,0.1688,570600
1667404800000,0.1689,0.1714,0.1679,0.1709,491823.6
1667408400000,0.1708,0.1712,0.1681,0.1693,613409.7
1667412000000,0.1691,0.1729,0.1687,0.1702,1808407.6
1667415600000,0.1702,0.1717,0.1686,0.1702,431878.6
1667419200000,0.1702,0.1705,0.1673,0.1686,495069.6
1667422800000,0.1686,0.1699,0.1679,0.1686,269625.2
1667426400000,0.1686,0.1705,0.1685,0.1699,205423.3
1667430000000,0.1699,0.1705,0.1698,0.1699,90219.4
1667433600000,0.1699,0.1705,0.168,0.17,278688.3
1667437200000,0.1704,0.1712,0.17,0.17,324666.1
1667440800000,0.17,0.1738,0.17,0.1724,757629.5
1667444400000,0.1726,0.1781,0.1722,0.175,1416440
1667448000000,0.1751,0.1776,0.1726,0.174,433867.6
1667451600000,0.1734,0.1743,0.1717,0.1727,443466.9
1667455200000,0.1723,0.1747,0.1723,0.1745,309313.8
1667458800000,0.1746,0.1775,0.1731,0.174,626420.5
1667462400000,0.1738,0.1739,0.1714,0.1736,472608.2
1667466000000,0.1736,0.1769,0.1728,0.1736,621429.5
1667469600000,0.1731,0.1753,0.172,0.1733,259477.8
1667473200000,0.1734,0.174,0.169,0.1704,619848.5
1667476800000,0.1704,0.172,0.169,0.1691,384750.2
1667480400000,0.1696,0.172,0.1687,0.1699,353634.7
1667484000000,0.1699,0.1724,0.1696,0.1724,315466.1
1667487600000,0.1721,0.1727,0.1698,0.1704,251691.5
1667491200000,0.1705,0.1716,0.1695,0.1707,213919.3
1667494800000,0.1707,0.1715,0.169,0.1693,386266
1667498400000,0.1693,0.1707,0.1681,0.1707,268941.6
1667502000000,0.1706,0.1708,0.169,0.1697,191224.4
1667505600000,0.1698,0.1708,0.1685,0.169,350778.6
1667509200000,0.169,0.1693,0.1657,0.1676,748568.2
1667512800000,0.1671,0.1676,0.1636,0.164,651504.5
1667516400000,0.164,0.164,0.1602,0.1631,852182.1
1667520000000,0.1633,0.165,0.1632,0.1648,353597
1667523600000,0.1644,0.1667,0.1642,0.1656,429541.7
1667527200000,0.1653,0.1662,0.165,0.1654,161294.4
1667530800000,0.1654,0.167,0.1642,0.1666,350146.5
1667534400000,0.1666,0.1668,0.165,0.1659,202991.6
1667538000000,0.1659,0.1663,0.1649,0.1663,268536.2
1667541600000,0.1659,0.1687,0.1659,0.1682,336176.3
1667545200000,0.1679,0.169,0.1679,0.1684,244491.2
1667548800000,0.1684,0.1686,0.168,0.168,257544.6
1667552400000,0.1681,0.1704,0.168,0.1693,713561.7
1667556000000,0.1692,0.1703,0.1673,0.1693,687396.3
1667559600000,0.1691,0.1706,0.1687,0.1694,389427
1667563200000,0.1696,0.1703,0.1678,0.1696,408308.7
1667566800000,0.1695,0.1716,0.1695,0.1707,237746.7
1667570400000,0.1707,0.1728,0.1691,0.172,577175.6
1667574000000,0.1724,0.1724,0.1694,0.1695,471368.8
1667577600000,0.1699,0.1705,0.1679,0.1688,367623.3
1667581200000,0.1689,0.17,0.1689,0.17,145589.4
1667584800000,0.1698,0.1702,0.1691,0.1698,192341.8
1667588400000,0.1701,0.1701,0.1693,0.1699,201845.6
1667592000000,0.1699,0.1708,0.1697,0.1702,353350.4
1667595600000,0.1702,0.1715,0.1694,0.1715,368360.9
1667599200000,0.1715,0.1765,0.1708,0.1717,1344562.3
1667602800000,0.1716,0.1722,0.1691,0.1715,563109.5
1667606400000,0.1715,0.1765,0.1713,0.1757,686353.5
1667610000000,0.1752,0.176,0.1724,0.1747,423727.6
1667613600000,0.1747,0.1748,0.172,0.1742,186957.8
1667617200000,0.1739,0.1749,0.1735,0.1745,225123.7
1667620800000,0.1745,0.1745,0.1723,0.1723,147229.3
1667624400000,0.1723,0.1746,0.1718,0.1728,223199
1667628000000,0.1728,0.1741,0.1727,0.1737,96980.1
1667631600000,0.174,0.1766,0.1725,0.1755,506796.1
1667635200000,0.1755,0.1756,0.1715,0.1727,384628.6
1667638800000,0.1727,0.1727,0.1711,0.1715,138612
1667642400000,0.1718,0.1723,0.1695,0.1711,880206.1
1667646000000,0.1711,0.1729,0.1707,0.1728,240110.7
1667649600000,0.1727,0.1727,0.1702,0.1712,214268
1667653200000,0.1712,0.172,0.1712,0.1717,60943.7
1667656800000,0.1717,0.1718,0.1694,0.1702,283155.2
1667660400000,0.1703,0.1723,0.1695,0.1722,226864
1667664000000,0.1718,0.1737,0.1717,0.1726,219700.1
1667667600000,0.1727,0.1736,0.1697,0.1711,478703.6
1667671200000,0.1708,0.1719,0.1707,0.1708,154535.8
1667674800000,0.1709,0.172,0.1703,0.171,288078.3
1667678400000,0.1709,0.172,0.1704,0.1719,187901.1
1667682000000,0.172,0.172,0.1712,0.1717,89111.1
1667685600000,0.1717,0.1718,0.1714,0.1717,37138.3
1667689200000,0.1715,0.1735,0.17,0.1724,640905.2
1667692800000,0.1725,0.1741,0.1719,0.1727,206388.4
1667696400000,0.1727,0.1727,0.1703,0.171,95578.4
1667700000000,0.1709,0.1709,0.1703,0.1706,105800.6
1667703600000,0.1708,0.1726,0.1708,0.1721,75103.2
1667707200000,0.1721,0.1724,0.1711,0.1715,69599.4
1667710800000,0.1712,0.1718,0.1707,0.1712,112460.8
1667714400000,0.171,0.1735,0.1706,0.1731,135468.8
1667718000000,0.1728,0.1737,0.1712,0.173,349426.4
1667721600000,0.1728,0.1728,0.1709,0.1721,272112.7
1667725200000,0.1721,0.1773,0.1713,0.1744,1448949.9
1667728800000,0.1746,0.1844,0.1743,0.1804,3511772.7
1667732400000,0.1804,0.2039,0.1804,0.184,8315092.3
1667736000000,0.184,0.1844,0.1792,0.18,1941615.8
1667739600000,0.18,0.1832,0.1789,0.183,758404.7
1667743200000,0.1829,0.1869,0.1791,0.182,1407664.2
1667746800000,0.1815,0.1833,0.181,0.1811,356480.2
1667750400000,0.1817,0.183,0.1795,0.1818,759200.3
1667754000000,0.1811,0.1949,0.1811,0.1844,3254852.1
1667757600000,0.1846,0.212,0.1837,0.1923,11369067.4
1667761200000,0.1923,0.1949,0.1866,0.1891,3015884.4
1667764800000,0.1891,0.1959,0.1869,0.1877,2095514.2
1667768400000,0.1875,0.1896,0.1846,0.1868,1190757
1667772000000,0.187,0.1945,0.187,0.1886,1620230
1667775600000,0.1886,0.1888,0.182,0.1824,693337.6
1667779200000,0.1827,0.1882,0.1825,0.1829,848796.4
1667782800000,0.1832,0.1883,0.1826,0.1863,632374.1
