date,open,high,low,close,volume
1667005200000,4.0955,4.0968,4.05,4.0611,10882.2
1667008800000,4.0613,4.0901,4.0454,4.0501,17411.14
1667012400000,4.0522,4.1098,4.0478,4.095,26778.01
1667016000000,4.1034,4.1119,4.0372,4.0481,19492.09
1667019600000,4.0481,4.0601,4.0404,4.0407,10962.15
1667023200000,4.0481,4.074,4.0384,4.0384,14652.08
1667026800000,4.0382,4.0568,4.0241,4.0308,23925.77
1667030400000,4.0308,4.0947,4.0221,4.0559,43800.49
1667034000000,4.0558,4.0904,4.0387,4.0625,23255.86
1667037600000,4.0579,4.0635,3.9757,4.0015,38886.15
1667041200000,4.0097,4.01,3.9587,3.9801,25096.23
1667044800000,3.9807,4.0021,3.9629,3.9939,8930.23
1667048400000,3.9965,4.013,3.9676,3.9848,27286.78
1667052000000,3.9801,3.9924,3.9559,3.9603,17953
1667055600000,3.9603,3.9987,3.9353,3.9558,37967.39
1667059200000,3.9558,4.0114,3.9557,3.9872,39095.62
1667062800000,3.9773,4.0011,3.9,3.9169,47575.86
1667066400000,3.9094,3.9575,3.9,3.9306,25312.67
1667070000000,3.9306,3.9552,3.8987,3.9386,22972.73
1667073600000,3.9426,3.9429,3.9133,3.9236,8363.25
1667077200000,3.9182,3.9517,3.912,3.9454,11483.41
1667080800000,3.9514,3.9569,3.9185,3.9228,7565.61
1667084400000,3.9228,3.968,3.9158,3.9571,13456.05
1667088000000,3.9645,3.9989,3.9543,3.9717,18925.41
1667091600000,3.9716,3.999,3.9653,3.9707,6686.31
1667095200000,3.9801,3.995,3.9532,3.9741,11158.77
1667098800000,3.9742,3.9922,3.9697,3.974,7521.12
1667102400000,3.98,3.9828,3.9401,3.9401,14051.78
1667106000000,3.9392,3.961,3.9312,3.9435,15300.08
1667109600000,3.9467,3.9496,3.9207,3.9279,6814.13
1667113200000,3.9304,3.9618,3.9227,3.9387,11428.2
1667116800000,3.9387,4,3.9265,3.9785,53978.82
1667120400000,3.9884,4.0151,3.9341,3.9492,39185.51
1667124000000,3.9385,3.986,3.9313,3.9663,10468.36
1667127600000,3.966,4.0165,3.9467,4.006,42663.78
1667131200000,4.0046,4.0998,3.98,4.0671,60545.48
1667134800000,4.0615,4.2199,4.0101,4.1613,230080.44
1667138400000,4.1722,5.2,4.1665,4.9888,1291238.08
1667142000000,4.974,5.1,4.3951,4.437,768554.15
1667145600000,4.4391,4.82,4.403,4.6698,393242.68
