date,open,high,low,close,volume
1667005200000,0.2017,0.2019,0.2015,0.2015,3737
1667008800000,0.2014,0.2022,0.2013,0.2017,58293
1667012400000,0.2022,0.2026,0.2011,0.2026,41912
1667016000000,0.2023,0.2025,0.201,0.2015,55562
1667019600000,0.2014,0.2022,0.2009,0.2009,32797
1667023200000,0.2013,0.2014,0.2004,0.2013,105449
1667026800000,0.2013,0.2016,0.2008,0.2015,20152
1667030400000,0.2015,0.2032,0.2011,0.2023,106025
1667034000000,0.2021,0.2025,0.2018,0.2025,18563
1667037600000,0.2022,0.2032,0.2012,0.2012,67023
1667041200000,0.201,0.201,0.2001,0.2002,58611
1667044800000,0.2001,0.2011,0.2001,0.2007,22938
1667048400000,0.2006,0.2007,0.2001,0.2001,7446
1667052000000,0.2005,0.2013,0.2001,0.2004,56459
1667055600000,0.2004,0.2014,0.1999,0.2007,66099
1667059200000,0.2009,0.2028,0.2007,0.2026,147502
1667062800000,0.2024,0.2046,0.2022,0.2022,297699
1667066400000,0.2022,0.2025,0.2009,0.2017,189009
1667070000000,0.2017,0.2017,0.2008,0.2014,34565
1667073600000,0.2019,0.203,0.2016,0.2025,32523
1667077200000,0.2023,0.2026,0.2021,0.2021,6960
1667080800000,0.2018,0.2023,0.2009,0.2011,22736
1667084400000,0.2009,0.2025,0.2008,0.2025,16676
1667088000000,0.2019,0.2056,0.2007,0.2017,446396
1667091600000,0.2017,0.2053,0.2017,0.2031,197012
1667095200000,0.2032,0.208,0.2031,0.2062,195664
1667098800000,0.2059,0.2059,0.2044,0.2051,80047
1667102400000,0.2048,0.2056,0.2044,0.2052,14299
1667106000000,0.2053,0.2058,0.2049,0.2053,13173
1667109600000,0.2052,0.2069,0.2048,0.2062,66719
1667113200000,0.2059,0.2063,0.2055,0.2059,77212
1667116800000,0.2062,0.2064,0.204,0.205,84942
1667120400000,0.2047,0.2081,0.2039,0.2074,355572
1667124000000,0.2075,0.2093,0.2045,0.2086,278390
1667127600000,0.209,0.2098,0.2066,0.2075,159051
1667131200000,0.2078,0.2083,0.2064,0.2071,92202
1667134800000,0.2071,0.2076,0.2059,0.2059,64639
1667138400000,0.2057,0.2109,0.2047,0.2104,459036
1667142000000,0.2104,0.211,0.2072,0.2078,591485
1667145600000,0.2079,0.2088,0.2075,0.2075,72274
1667149200000,0.2081,0.2089,0.2065,0.2083,110543
1667152800000,0.2077,0.2086,0.2068,0.2082,156127
1667156400000,0.2085,0.2099,0.2084,0.2092,86623
1667160000000,0.2096,0.2096,0.2076,0.208,80007
1667163600000,0.2084,0.2087,0.2074,0.2075,75340
1667167200000,0.2074,0.2077,0.2052,0.207,115746
1667170800000,0.2073,0.2082,0.2067,0.2076,59715
1667174400000,0.2078,0.2078,0.205,0.206,161068
1667178000000,0.2063,0.2063,0.2028,0.2031,197978
1667181600000,0.2035,0.2035,0.2013,0.202,104818
1667185200000,0.2019,0.2027,0.2019,0.2026,74186
1667188800000,0.2026,0.2033,0.2024,0.2033,72369
1667192400000,0.203,0.2036,0.203,0.2034,40275
1667196000000,0.2031,0.2034,0.2019,0.2024,19122
1667199600000,0.2024,0.2025,0.2016,0.2025,24676
1667203200000,0.2022,0.2033,0.201,0.2029,213763
1667206800000,0.2026,0.2048,0.2026,0.2045,53656
1667210400000,0.2045,0.2051,0.2041,0.2045,52644
1667214000000,0.2046,0.2053,0.2043,0.2053,39981
1667217600000,0.2054,0.2056,0.2044,0.2047,27345
1667221200000,0.2045,0.2076,0.203,0.203,231204
1667224800000,0.2036,0.204,0.2021,0.2029,87085
1667228400000,0.2028,0.2042,0.2028,0.204,32873
1667232000000,0.2031,0.2043,0.2027,0.2032,7384
1667235600000,0.2028,0.2039,0.2026,0.2032,10787
1667239200000,0.2033,0.2043,0.203,0.2041,23021
1667242800000,0.2034,0.2048,0.203,0.2038,51756
1667246400000,0.2034,0.2043,0.2033,0.2041,11067
1667250000000,0.204,0.205,0.2035,0.2044,56452
1667253600000,0.2043,0.2054,0.204,0.2044,66811
1667257200000,0.2045,0.205,0.2045,0.2046,33850
1667260800000,0.2045,0.205,0.204,0.2043,55678
1667264400000,0.2043,0.2053,0.2043,0.205,19188
1667268000000,0.2046,0.2067,0.2046,0.2062,31246
1667271600000,0.2065,0.2068,0.2058,0.2062,28780
1667275200000,0.2065,0.2074,0.2052,0.2059,120789
1667278800000,0.206,0.2108,0.2056,0.2086,370519
1667282400000,0.2083,0.2098,0.2081,0.2087,43364
1667286000000,0.2089,0.2093,0.2073,0.2079,61386
1667289600000,0.2079,0.2084,0.2073,0.2076,5009
1667293200000,0.2078,0.2109,0.2075,0.2086,516139
1667296800000,0.209,0.2149,0.208,0.2118,764764
1667300400000,0.2113,0.212,0.2085,0.2089,478530
1667304000000,0.2086,0.21,0.2077,0.2083,118201
1667307600000,0.2086,0.2087,0.2053,0.206,97884
1667311200000,0.2059,0.206,0.2039,0.2053,63024
1667314800000,0.205,0.2055,0.2045,0.205,15968
1667318400000,0.2049,0.2054,0.2037,0.204,53584
1667322000000,0.204,0.2048,0.204,0.2042,25544
1667325600000,0.2047,0.2054,0.2047,0.2054,25379
1667329200000,0.2053,0.2056,0.2048,0.2052,6920
1667332800000,0.205,0.2063,0.2048,0.206,25780
1667336400000,0.2063,0.2068,0.2056,0.2056,13261
1667340000000,0.206,0.2073,0.2054,0.2066,82598
1667343600000,0.2064,0.2076,0.2064,0.207,8727
1667347200000,0.2067,0.2137,0.205,0.2126,945987
1667350800000,0.2129,0.2129,0.2092,0.21,178025
1667354400000,0.21,0.2103,0.2088,0.2097,87162
