date,open,high,low,close,volume
1667005200000,6.79,6.79,6.75,6.76,770.41
1667008800000,6.76,6.79,6.76,6.78,582.91
1667012400000,6.79,6.83,6.78,6.83,4372.16
1667016000000,6.83,6.85,6.75,6.76,3641.38
1667019600000,6.76,6.78,6.71,6.73,8225.26
1667023200000,6.73,6.83,6.73,6.79,8730.18
1667026800000,6.79,6.87,6.77,6.84,5640.68
1667030400000,6.82,6.89,6.79,6.83,9387.2
1667034000000,6.85,6.9,6.84,6.88,5369.7
1667037600000,6.88,6.9,6.77,6.79,6543.3
1667041200000,6.79,6.79,6.7,6.75,7131.02
1667044800000,6.74,6.78,6.71,6.76,5113.04
1667048400000,6.74,6.76,6.68,6.72,4770
1667052000000,6.74,6.79,6.72,6.75,3735.14
1667055600000,6.75,6.78,6.72,6.73,4986.87
1667059200000,6.74,6.82,6.73,6.8,8450.4
1667062800000,6.8,6.84,6.63,6.68,15249.79
1667066400000,6.68,6.73,6.62,6.68,12446.39
1667070000000,6.67,6.72,6.65,6.7,4295.03
1667073600000,6.71,6.75,6.69,6.71,3377.26
1667077200000,6.72,6.73,6.71,6.73,572.64
1667080800000,6.72,6.74,6.7,6.7,2131.5
1667084400000,6.71,6.75,6.67,6.75,2095.51
1667088000000,6.76,6.79,6.71,6.72,4813.62
1667091600000,6.71,6.72,6.7,6.72,1918.03
1667095200000,6.72,6.76,6.72,6.76,3147.67
1667098800000,6.76,6.78,6.76,6.77,1741.42
1667102400000,6.77,6.79,6.71,6.73,3536.47
1667106000000,6.72,6.72,6.69,6.7,3575.07
1667109600000,6.71,6.73,6.67,6.71,9090.97
1667113200000,6.71,6.74,6.71,6.73,1622.64
1667116800000,6.73,6.79,6.7,6.77,8712.53
1667120400000,6.76,6.84,6.71,6.75,7638.23
1667124000000,6.74,6.79,6.73,6.77,2745.7
1667127600000,6.77,6.81,6.74,6.77,5300.94
1667131200000,6.76,6.89,6.74,6.85,8472.44
1667134800000,6.87,6.93,6.78,6.87,16631.34
1667138400000,6.87,7.51,6.87,7.34,189099.98
1667142000000,7.34,7.4,7.1,7.23,84539.8
1667145600000,7.22,7.25,6.95,7,51231.09
1667149200000,6.99,7.11,6.92,7.06,21541.37
1667152800000,7.06,7.14,6.98,7.03,10952.78
1667156400000,7.03,7.11,6.95,6.96,7395.05
1667160000000,6.97,6.97,6.85,6.91,30414.67
1667163600000,6.92,6.95,6.91,6.93,3570.51
1667167200000,6.93,6.96,6.83,6.93,17147.88
1667170800000,6.93,6.97,6.85,6.94,7976.26
1667174400000,6.94,7.02,6.83,6.99,23227.28
1667178000000,6.99,7.29,6.98,7.08,50105.9
1667181600000,7.08,7.1,6.9,7.05,28230.83
1667185200000,7.04,7.19,6.96,7.18,17826.66
1667188800000,7.19,7.2,7.07,7.1,9965.7
1667192400000,7.08,7.09,6.96,6.99,9762.54
1667196000000,6.99,7.02,6.89,6.98,11442.68
1667199600000,6.98,7.1,6.95,7.07,16457.2
1667203200000,7.05,7.06,6.95,7,4704.38
1667206800000,7,7.18,7,7.11,17440.66
1667210400000,7.11,7.14,7.01,7.03,10988.02
1667214000000,7.04,7.08,7.03,7.08,6045.47
1667217600000,7.08,7.09,6.97,6.98,12276.37
1667221200000,6.99,6.99,6.78,6.78,21629.65
1667224800000,6.78,6.89,6.71,6.83,27511.15
1667228400000,6.84,6.88,6.81,6.84,10019.4
1667232000000,6.85,6.94,6.83,6.86,7139.27
1667235600000,6.86,6.91,6.84,6.87,4138.11
1667239200000,6.87,6.92,6.87,6.89,1825.87
1667242800000,6.88,6.89,6.85,6.87,1801.02
1667246400000,6.87,7.04,6.86,6.92,22142.58
1667250000000,6.92,6.95,6.91,6.92,2347.67
1667253600000,6.92,6.99,6.92,6.95,2072.32
1667257200000,6.97,7.04,6.97,6.99,4189.5
1667260800000,6.99,7.06,6.97,7,6484.6
1667264400000,7,7,6.97,6.99,2365.13
