date,open,high,low,close,volume
1667005200000,0.498,0.499,0.496,0.496,17694.6
1667008800000,0.496,0.498,0.495,0.496,20309.6
1667012400000,0.498,0.5,0.497,0.499,30476.7
1667016000000,0.499,0.5,0.498,0.498,8605.2
1667019600000,0.498,0.5,0.497,0.497,47261.7
1667023200000,0.497,0.499,0.496,0.498,31619.1
1667026800000,0.496,0.501,0.495,0.499,102623.9
1667030400000,0.5,0.504,0.499,0.503,170088.8
1667034000000,0.503,0.506,0.5,0.501,158560.3
1667037600000,0.501,0.503,0.497,0.499,182946.8
1667041200000,0.499,0.5,0.495,0.498,101032.1
1667044800000,0.497,0.499,0.496,0.498,35316.1
1667048400000,0.498,0.498,0.493,0.496,69387.4
1667052000000,0.496,0.498,0.494,0.496,280063.4
1667055600000,0.494,0.496,0.49,0.491,195588.8
1667059200000,0.492,0.498,0.488,0.498,385695.3
1667062800000,0.498,0.5,0.491,0.492,300800.4
1667066400000,0.491,0.493,0.49,0.49,137757.9
1667070000000,0.492,0.492,0.486,0.489,140415.6
1667073600000,0.488,0.493,0.487,0.492,81373.2
1667077200000,0.492,0.493,0.491,0.492,20638.6
1667080800000,0.492,0.493,0.486,0.487,129616
1667084400000,0.489,0.492,0.487,0.492,59915.6
1667088000000,0.493,0.493,0.484,0.486,46374.9
1667091600000,0.487,0.489,0.484,0.487,152034
1667095200000,0.486,0.489,0.485,0.488,28199.6
1667098800000,0.488,0.489,0.486,0.487,15615.4
1667102400000,0.487,0.488,0.484,0.485,64333.4
1667106000000,0.485,0.489,0.485,0.486,39138.2
1667109600000,0.487,0.49,0.485,0.487,113980.3
1667113200000,0.488,0.491,0.486,0.49,79497
1667116800000,0.49,0.497,0.488,0.489,191420.6
1667120400000,0.488,0.491,0.483,0.486,122571.5
1667124000000,0.485,0.488,0.483,0.487,97838.6
1667127600000,0.487,0.488,0.485,0.487,43187.5
1667131200000,0.486,0.488,0.484,0.485,46703.3
1667134800000,0.485,0.487,0.481,0.482,73181.7
1667138400000,0.482,0.484,0.481,0.482,121746.3
1667142000000,0.483,0.484,0.478,0.478,124271.1
1667145600000,0.478,0.482,0.478,0.48,86482.9
1667149200000,0.481,0.486,0.477,0.482,433716.4
1667152800000,0.482,0.484,0.479,0.48,177366.7
1667156400000,0.481,0.485,0.48,0.482,57366.5
1667160000000,0.482,0.484,0.48,0.484,50668
1667163600000,0.483,0.486,0.483,0.486,34349.3
1667167200000,0.485,0.485,0.48,0.481,90072.6
1667170800000,0.482,0.483,0.481,0.483,31928.1
1667174400000,0.484,0.485,0.481,0.482,19840.8
1667178000000,0.481,0.484,0.481,0.481,28942.8
1667181600000,0.481,0.482,0.48,0.482,7668.7
1667185200000,0.481,0.488,0.481,0.486,37571
1667188800000,0.486,0.489,0.485,0.487,39399.8
1667192400000,0.487,0.501,0.485,0.495,359049.5
1667196000000,0.495,0.515,0.494,0.495,1399988.9
1667199600000,0.496,0.5,0.488,0.499,224764
1667203200000,0.498,0.51,0.495,0.499,495622.6
1667206800000,0.501,0.505,0.494,0.5,399314
1667210400000,0.499,0.5,0.493,0.496,225026.1
1667214000000,0.494,0.501,0.493,0.498,235187.4
1667217600000,0.498,0.512,0.497,0.502,651806.8
1667221200000,0.503,0.555,0.501,0.527,4373894.7
1667224800000,0.529,0.548,0.509,0.511,3347158
1667228400000,0.511,0.518,0.501,0.502,908901.6
1667232000000,0.502,0.504,0.5,0.501,229789.2
1667235600000,0.501,0.503,0.5,0.501,92971.6
1667239200000,0.501,0.511,0.499,0.51,323148.6
1667242800000,0.51,0.525,0.502,0.503,686095.7
1667246400000,0.504,0.508,0.501,0.505,82077.8
1667250000000,0.505,0.506,0.5,0.502,63414.2
1667253600000,0.502,0.505,0.501,0.503,81028.2
1667257200000,0.504,0.509,0.502,0.507,84922.9
1667260800000,0.507,0.549,0.504,0.528,2156554.9
1667264400000,0.53,0.539,0.516,0.52,619734.2
1667268000000,0.519,0.535,0.519,0.527,447884.8
1667271600000,0.527,0.532,0.522,0.529,121724.2
1667275200000,0.529,0.531,0.513,0.517,324895.2
1667278800000,0.517,0.519,0.513,0.514,117537.1
1667282400000,0.514,0.53,0.513,0.524,185854.7
1667286000000,0.523,0.531,0.521,0.527,359014
1667289600000,0.527,0.527,0.522,0.523,156371.1
1667293200000,0.524,0.524,0.518,0.52,253486.5
1667296800000,0.521,0.54,0.52,0.535,610901.6
1667300400000,0.536,0.54,0.521,0.532,833333.1
1667304000000,0.53,0.537,0.523,0.523,510002.8
1667307600000,0.523,0.526,0.519,0.52,358957
1667311200000,0.52,0.521,0.511,0.512,382969.1
1667314800000,0.512,0.516,0.512,0.515,105286.9
1667318400000,0.515,0.519,0.515,0.516,101064.1
