date,open,high,low,close,volume
1667005200000,168.2,168.4,167.5,167.9,843.636
1667008800000,167.8,168.4,166.7,168.3,1430.17
1667012400000,168.4,170,168.2,169.8,2114.411
1667016000000,169.8,170,168.9,169.1,1093.533
1667019600000,169,169.8,168.9,169.6,1364.158
1667023200000,169.5,170.4,169.5,169.5,2132.929
1667026800000,169.5,170.2,168.3,169.1,2546.149
1667030400000,169,169.4,167.1,167.3,4070.764
1667034000000,167.2,168.5,166.1,167.1,3558.955
1667037600000,167,167.7,165.2,165.8,2327.296
1667041200000,165.8,166.3,164.7,165.2,2392.513
1667044800000,165.2,166.8,165,166.6,1409.49
1667048400000,166.4,166.5,163.8,165.1,2804.782
1667052000000,165.1,165.6,164.1,164.3,2462.069
1667055600000,164.3,164.4,162.3,163.7,5915.389
1667059200000,163.7,164.5,162.5,163.4,5965.826
1667062800000,163.3,163.9,159.9,160.2,8898.857
1667066400000,160.2,162.9,159.6,162.3,9061.442
1667070000000,162.3,162.5,160.3,162.1,2608.706
1667073600000,162.2,164.5,161.5,163.5,4894.771
1667077200000,163.5,164.4,163,163.5,1537.202
1667080800000,163.6,163.7,162,162.5,1789.712
1667084400000,162.5,164.4,162.4,163.9,1611.082
1667088000000,163.9,164.5,163,163.4,1039.44
1667091600000,163.4,163.6,162.8,162.9,1264.517
1667095200000,162.9,163.6,162.8,163.1,817.2
1667098800000,163.2,164.5,163.1,163.2,755.805
1667102400000,163.2,163.5,162.1,162.2,1127.597
1667106000000,162.3,163,161.2,161.7,1101.425
1667109600000,161.5,163,161.3,162.3,1230.037
1667113200000,162.3,163.6,161.6,162.8,3092.662
1667116800000,162.8,163,160.9,161.9,1946.358
1667120400000,162,163,160.9,161.4,1334.11
1667124000000,161.4,162.1,160.9,161.1,1556.509
1667127600000,161.1,163.8,160.9,162.6,2453.192
1667131200000,162.5,164.2,162.1,162.4,3192.276
1667134800000,162.5,162.5,160,160.2,2485.732
1667138400000,160.3,161.1,159.8,160.7,2100.116
1667142000000,160.7,161.7,159.8,160.6,3279.547
1667145600000,160.6,164,160.1,162.8,4065.402
1667149200000,163,173.2,162,171.1,20377.617
1667152800000,171.5,176.1,168.5,173.9,22969.101
1667156400000,173.7,174.7,168.5,170.1,12466.309
1667160000000,170.1,170.7,166,166.8,10463.48
1667163600000,166.9,168.2,166.8,168.1,2233.099
1667167200000,168,168.1,164.6,167.1,4329.346
1667170800000,167.1,168.2,166.7,168,1340.728
1667174400000,168.1,169,165.4,165.6,2581.426
1667178000000,165.7,167,164.7,165,1592.854
1667181600000,165,166.8,164.6,166.8,983.458
1667185200000,166.6,167.8,165.6,166.2,1577.827
1667188800000,166.2,167.3,166,166.2,747.02
1667192400000,166.2,167.6,165.4,167.4,1330.497
1667196000000,167.4,169,165.9,168.8,2499.038
1667199600000,168.8,172.2,168.7,171.2,5507.432
1667203200000,171.1,174.9,168.8,171.9,12376.612
1667206800000,172,172,167.8,168.3,13012.77
1667210400000,168.2,169.3,167.3,167.9,3206.931
1667214000000,167.9,168.3,165.8,166.5,3104.942
1667217600000,166.6,167.2,165.9,166.6,2072.539
1667221200000,166.5,168.2,161.7,162.1,7399.361
1667224800000,162.1,164.7,161.8,162.7,5585.123
1667228400000,162.7,164.6,162.5,163.7,1922.719
1667232000000,163.6,164.9,163,163.9,2770.96
1667235600000,163.8,165.1,163.5,164.4,1809.64
1667239200000,164.5,165.1,163.9,164.7,1609.607
1667242800000,164.7,164.9,164.1,164.4,1042.211
1667246400000,164.4,165.5,164,165.2,1558.296
1667250000000,165.1,165.3,162.8,163.9,2485.488
1667253600000,163.9,167,163.7,166.5,4724.501
1667257200000,166.5,167.5,166.2,166.8,1789.285
1667260800000,166.8,167.4,165.9,166.8,1859.73
1667264400000,167,168,166.5,167.4,1122.565
1667268000000,167.5,168.2,167.3,167.6,711.916
1667271600000,167.7,168.2,166.4,166.6,647.954
1667275200000,166.5,167,163.8,164.4,2342.442
1667278800000,164.4,165,163.6,164,1473.866
1667282400000,163.9,165.1,163.8,165,1714.927
1667286000000,165.1,165.1,164.1,164.4,1248.218
1667289600000,164.4,164.9,163.8,164.5,867.562
1667293200000,164.6,166.2,164.5,164.9,2142.88
1667296800000,164.8,165.6,163.9,164.2,2467.615
1667300400000,164.2,165.3,163.7,164.8,2253.858
1667304000000,164.8,166.3,164.6,165.6,1648.574
1667307600000,165.7,165.7,163.7,164.5,1896.204
1667311200000,164.5,165.6,164.2,164.7,923.487
1667314800000,164.8,167,164.6,166.5,3903.113
1667318400000,166.4,166.9,164.6,164.8,1446.096
1667322000000,164.7,165.3,164.5,164.6,1574.782
1667325600000,164.7,165.2,163.9,164.3,1252.729
1667329200000,164.3,164.4,163.5,163.5,1628.254
1667332800000,163.5,163.7,162.3,163.1,3060.717
1667336400000,163.1,163.2,162.1,162.5,2257.747
1667340000000,162.5,162.9,162.4,162.6,679.909
1667343600000,162.6,163,162.5,162.7,613.039
1667347200000,162.8,162.9,160.9,161.3,2523.121
1667350800000,161.3,162.3,161.1,161.2,724.549
1667354400000,161.3,161.3,159.9,160.3,2246.735
1667358000000,160.4,161.8,160.4,161.6,1637.579
1667361600000,161.6,162.6,161.1,161.2,1339.672
1667365200000,161.4,162,160.5,160.5,1504.137
1667368800000,160.6,160.8,157,158.2,5616.809
1667372400000,158.2,160,157,159.9,4098.295
1667376000000,159.9,161.8,159.1,160.5,2934.195
1667379600000,160.5,162.5,159.4,159.7,5488.372
1667383200000,159.6,160.8,158.6,160,1949.502
1667386800000,160.2,161.1,159.6,161.1,1029.347
1667390400000,161.1,161.5,159.8,160.3,3182.36
1667394000000,160.2,161,159.1,160,2026.35
1667397600000,160.1,160.4,159.1,159.3,1407.616
1667401200000,159.2,160.3,158.8,160,1516.684
1667404800000,160,161,159.2,160.2,2436.418
1667408400000,160.2,160.3,159.1,159.3,1583.906
1667412000000,159.3,165,159.1,160.2,11040.16
1667415600000,160.1,162.6,157,158.7,4184.62
1667419200000,158.6,159.4,155.7,156.4,4270.825
1667422800000,156.3,156.6,154.2,156.1,4950.963
1667426400000,156.1,157.5,154.9,156,3753.114
1667430000000,155.9,159,155.8,158.3,2497.41
1667433600000,158.4,161.6,157.9,160.7,2938.24
1667437200000,160.7,161.6,160.3,161.5,699.361
1667440800000,161.4,162.4,161.3,161.7,1339.536
