date,open,high,low,close,volume
1667005200000,66,67.1,65.5,66.6,1471.74
1667008800000,66.6,67.4,66.5,66.9,722.153
1667012400000,66.8,67.1,66.5,66.7,506.207
1667016000000,66.8,67.1,66.6,66.7,241.391
1667019600000,66.8,66.9,66.7,66.9,144.879
1667023200000,66.7,67.3,66.5,67.1,688.284
1667026800000,67.1,68.1,67,67.8,639.69
1667030400000,67.8,68,67,67.2,675.525
1667034000000,67.3,67.3,66.5,66.6,759.135
1667037600000,66.7,66.7,66,66.2,508.673
1667041200000,66.4,66.4,65.4,65.5,351.217
1667044800000,65.7,65.7,65.4,65.6,366.586
1667048400000,65.7,66,65,65.3,845.321
1667052000000,65.3,65.8,65.3,65.7,430.782
1667055600000,65.5,66.2,65.5,65.9,438.107
1667059200000,66,66.6,65.9,66.1,761.385
1667062800000,66.1,66.4,65.8,65.8,394.407
1667066400000,65.8,65.9,64.8,65.4,1032.214
1667070000000,65.4,65.5,65,65.2,259.934
1667073600000,65.3,65.6,65.3,65.5,96.3
1667077200000,65.5,65.5,65,65.2,487.555
1667080800000,65.3,65.4,65.1,65.1,149.774
1667084400000,65,65.2,65,65.2,114.422
1667088000000,65.2,65.2,64.6,64.7,211.218
1667091600000,64.7,65.2,64.4,65.2,433.56
1667095200000,65.2,65.4,65.1,65.2,243.514
1667098800000,65.2,65.3,65,65.1,144.753
1667102400000,65.2,65.2,64.8,64.9,99.505
1667106000000,65.1,65.4,64.9,65.3,211.776
1667109600000,65.3,65.5,65.2,65.5,299.426
1667113200000,65.4,65.8,65.2,65.6,880.681
1667116800000,65.6,65.7,64.2,64.8,1041.766
1667120400000,64.8,64.8,63.9,64,749.883
1667124000000,64.1,65,64,64.4,1462.587
1667127600000,64.4,64.6,64.2,64.4,177.767
1667131200000,64.2,64.4,64,64.3,163.433
1667134800000,64.3,64.4,63.8,64,475.865
1667138400000,64,64.3,63.7,64.2,487.549
1667142000000,64.2,64.4,63.8,63.8,215.083
1667145600000,63.8,64.4,63.5,63.6,714.301
1667149200000,63.6,64.6,63.6,64.3,732.692
1667152800000,64.3,64.5,64,64.3,152.699
1667156400000,64.3,64.5,64.2,64.3,159.952
1667160000000,64.4,64.5,64.1,64.3,135.847
1667163600000,64.2,64.3,64.1,64.2,24.5
1667167200000,64.2,64.4,63.9,64,163.007
1667170800000,64.1,64.4,63.9,64.2,88.05
1667174400000,64.1,64.2,63.4,63.4,600.878
1667178000000,63.6,63.8,63.2,63.3,274.27
1667181600000,63.3,63.4,62.8,62.9,166.006
