date,open,high,low,close,volume
1667005200000,2.074,2.079,2.057,2.059,27978
1667008800000,2.058,2.069,2.054,2.069,7239.2
1667012400000,2.069,2.076,2.052,2.069,28825.8
1667016000000,2.07,2.092,2.066,2.08,19235.8
1667019600000,2.078,2.12,2.078,2.101,55442.4
1667023200000,2.101,2.149,2.09,2.149,118608.4
1667026800000,2.148,2.174,2.09,2.119,163358.4
1667030400000,2.121,2.126,2.1,2.109,43279.7
1667034000000,2.109,2.124,2.106,2.111,23021.4
1667037600000,2.111,2.123,2.089,2.093,45487.5
1667041200000,2.093,2.095,2.082,2.091,10219.9
1667044800000,2.087,2.098,2.087,2.089,10290.8
1667048400000,2.089,2.114,2.086,2.09,20175.2
1667052000000,2.088,2.102,2.082,2.086,12213.1
1667055600000,2.084,2.089,2.078,2.088,14533.8
1667059200000,2.085,2.095,2.078,2.086,25697.1
1667062800000,2.086,2.118,2.078,2.094,48492.9
1667066400000,2.092,2.098,2.08,2.084,16736.4
1667070000000,2.084,2.089,2.08,2.082,9794
1667073600000,2.083,2.085,2.078,2.083,7802.1
1667077200000,2.08,2.084,2.072,2.075,10175
1667080800000,2.077,2.077,2.057,2.062,13660.7
1667084400000,2.059,2.071,2.055,2.067,7582.7
1667088000000,2.072,2.09,2.072,2.074,16936.3
1667091600000,2.076,2.077,2.069,2.076,4183.3
1667095200000,2.075,2.084,2.07,2.07,8469.5
1667098800000,2.074,2.088,2.07,2.08,14653.9
1667102400000,2.079,2.079,2.071,2.071,1559.2
1667106000000,2.071,2.084,2.07,2.075,8198.7
1667109600000,2.075,2.085,2.066,2.085,9809.8
1667113200000,2.085,2.1,2.074,2.092,25320.4
1667116800000,2.091,2.12,2.087,2.103,60033.5
1667120400000,2.103,2.161,2.103,2.159,177708.8
1667124000000,2.16,2.187,2.125,2.132,221859.3
1667127600000,2.131,2.178,2.071,2.092,329167.9
1667131200000,2.091,2.095,2.077,2.082,36028.6
1667134800000,2.084,2.089,2.068,2.072,80074.5
1667138400000,2.073,2.077,2.07,2.074,10018.6
1667142000000,2.074,2.08,2.054,2.057,30345.7
1667145600000,2.058,2.058,2.039,2.041,37315.8
1667149200000,2.041,2.055,2.041,2.05,10239.3
1667152800000,2.05,2.057,2.043,2.052,14254.4
1667156400000,2.052,2.061,2.051,2.059,14356.1
1667160000000,2.06,2.06,2.04,2.045,14592.5
1667163600000,2.042,2.047,2.04,2.043,5695
1667167200000,2.046,2.047,2.025,2.04,19689.5
1667170800000,2.04,2.044,2.034,2.044,4631.4
1667174400000,2.045,2.045,2.025,2.029,9509.8
1667178000000,2.034,2.035,2.025,2.026,8243.3
1667181600000,2.025,2.035,2.025,2.033,9694.2
1667185200000,2.033,2.043,2.032,2.043,2383.6
1667188800000,2.039,2.047,2.035,2.04,4273.4
1667192400000,2.037,2.045,2.035,2.042,5112.1
1667196000000,2.041,2.042,2.025,2.032,16650.6
1667199600000,2.036,2.039,2.028,2.035,6434.4
1667203200000,2.035,2.036,2.027,2.031,10921.9
1667206800000,2.033,2.07,2.033,2.062,21793.5
1667210400000,2.061,2.067,2.048,2.051,28483.8
1667214000000,2.05,2.06,2.042,2.052,14508.7
1667217600000,2.053,2.065,2.048,2.052,18961.1
1667221200000,2.056,2.066,2.038,2.039,10699.6
1667224800000,2.039,2.039,2.007,2.018,32672.3
1667228400000,2.016,2.029,2.015,2.022,5542
1667232000000,2.023,2.066,2.006,2.021,144336
1667235600000,2.021,2.027,2.021,2.025,6935.7
1667239200000,2.022,2.025,2.014,2.016,13260.8
1667242800000,2.016,2.06,2.015,2.025,63846.6
1667246400000,2.03,2.036,2.024,2.031,11094.4
1667250000000,2.03,2.032,2.023,2.025,4472
1667253600000,2.028,2.042,2.027,2.04,1749.6
1667257200000,2.04,2.045,2.034,2.036,5285
1667260800000,2.038,2.046,2.028,2.037,8820.7
1667264400000,2.037,2.047,2.034,2.038,5118.5
1667268000000,2.044,2.054,2.042,2.044,5349
1667271600000,2.045,2.047,2.036,2.039,936.2
1667275200000,2.039,2.04,2.032,2.034,4985.9
1667278800000,2.036,2.046,2.034,2.042,5156.1
1667282400000,2.042,2.051,2.04,2.041,7876.7
1667286000000,2.046,2.051,2.041,2.045,3581.9
1667289600000,2.045,2.045,2.036,2.037,8687.3
1667293200000,2.041,2.058,2.039,2.045,23523.8
1667296800000,2.046,2.092,2.041,2.048,93570.4
1667300400000,2.048,2.09,2.03,2.071,112574.2
1667304000000,2.071,2.12,2.014,2.027,322275.8
1667307600000,2.029,2.038,2.012,2.015,36232.1
1667311200000,2.015,2.023,2.009,2.021,40778.3
1667314800000,2.021,2.022,2.01,2.012,9702.1
1667318400000,2.012,2.018,2.01,2.012,14344.1
1667322000000,2.011,2.039,2.007,2.025,29412.6
1667325600000,2.024,2.045,2.02,2.04,46899.8
1667329200000,2.038,2.04,2.015,2.023,22522.6
1667332800000,2.023,2.036,2.02,2.029,9659.5
1667336400000,2.034,2.035,2.004,2.013,29264.7
1667340000000,2.013,2.017,2.011,2.017,3533.2
1667343600000,2.014,2.016,2.011,2.014,2455.3
1667347200000,2.013,2.016,2.012,2.016,2547.7
1667350800000,2.016,2.017,2.013,2.015,1732.7
1667354400000,2.015,2.019,2.012,2.018,4921.5
1667358000000,2.02,2.035,2.02,2.032,4590.1
1667361600000,2.032,2.032,2.019,2.028,7522.2
1667365200000,2.027,2.06,2.026,2.05,36845.7
1667368800000,2.048,2.048,2.019,2.026,25995.9
1667372400000,2.022,2.056,2.022,2.043,60238.1
1667376000000,2.042,2.044,2.023,2.034,19859.2
1667379600000,2.033,2.04,2.021,2.029,22486.4
1667383200000,2.024,2.045,2.022,2.032,27031.6
1667386800000,2.03,2.041,2.02,2.022,19976.8
1667390400000,2.02,2.022,2.014,2.015,14659.4
1667394000000,2.015,2.025,2.005,2.01,19024.3
1667397600000,2.01,2.029,2.008,2.024,17637
1667401200000,2.023,2.023,2.009,2.016,12528.2
1667404800000,2.014,2.014,1.982,1.995,68099
1667408400000,1.997,1.999,1.962,1.98,24398.2
1667412000000,1.976,2.032,1.976,2.002,91949.1
1667415600000,2.003,2.023,1.98,1.995,59893.5
1667419200000,1.996,2,1.971,1.989,38847.4
1667422800000,1.987,1.995,1.986,1.993,5197.7
1667426400000,1.995,1.995,1.974,1.984,10203.8
1667430000000,1.986,2.005,1.98,2.002,3445.1
1667433600000,2.003,2.028,1.999,2.017,16007.7
1667437200000,2.017,2.02,1.999,2.019,42392.4
1667440800000,2.018,2.215,2.015,2.193,565215.6
1667444400000,2.194,2.35,2.125,2.156,904703.4
1667448000000,2.159,2.282,2.159,2.205,271402.4
1667451600000,2.203,2.278,2.175,2.192,230477.1
1667455200000,2.195,2.22,2.163,2.187,92921.1
1667458800000,2.184,2.24,2.167,2.191,117125.4
1667462400000,2.191,2.198,2.135,2.147,164601.4
1667466000000,2.149,2.5,2.146,2.298,1179203.5
1667469600000,2.289,2.312,2.18,2.187,295733.6
1667473200000,2.186,2.215,2.127,2.151,156871.3
1667476800000,2.15,2.183,2.084,2.118,150576.4
1667480400000,2.115,2.172,2.109,2.131,89911.9
1667484000000,2.131,2.159,2.123,2.137,48794.1
1667487600000,2.139,2.146,2.112,2.131,41705.7
1667491200000,2.131,2.15,2.127,2.128,28542.3
1667494800000,2.128,2.248,2.116,2.169,224796
1667498400000,2.169,2.29,2.165,2.236,226553.6
1667502000000,2.232,2.249,2.193,2.205,84904.3
1667505600000,2.204,2.329,2.198,2.284,93675.9
1667509200000,2.283,2.293,2.222,2.233,57841.8
1667512800000,2.232,2.233,2.189,2.19,48482
1667516400000,2.19,2.213,2.166,2.191,47657.8
1667520000000,2.194,2.194,2.123,2.153,84217.9
1667523600000,2.152,2.161,2.135,2.144,38810.3
1667527200000,2.146,2.183,2.146,2.168,40784.1
1667530800000,2.168,2.172,2.145,2.149,72692.5
1667534400000,2.147,2.149,2.116,2.123,47036.5
1667538000000,2.126,2.145,2.112,2.133,32240.3
1667541600000,2.134,2.159,2.133,2.154,22004.8
1667545200000,2.153,2.165,2.15,2.162,22392.9
1667548800000,2.164,2.166,2.135,2.149,43066.5
1667552400000,2.148,2.156,2.132,2.14,37992.3
1667556000000,2.143,2.147,2.122,2.125,43522.1
1667559600000,2.125,2.134,2.106,2.126,79685.3
1667563200000,2.126,2.141,2.106,2.135,64696.1
1667566800000,2.136,2.159,2.127,2.134,37389.1
1667570400000,2.134,2.243,2.132,2.222,180808.9
1667574000000,2.223,2.229,2.18,2.186,127516.9
1667577600000,2.188,2.211,2.178,2.198,54346.8
1667581200000,2.201,2.211,2.186,2.194,35357.9
1667584800000,2.195,2.259,2.191,2.224,72404.2
1667588400000,2.224,2.23,2.217,2.223,12622.1
1667592000000,2.222,2.231,2.217,2.225,18195.2
1667595600000,2.226,2.24,2.216,2.24,17707
1667599200000,2.236,2.249,2.221,2.235,15151.1
1667602800000,2.235,2.235,2.223,2.233,5568.7
1667606400000,2.231,2.234,2.208,2.215,43222.3
1667610000000,2.215,2.222,2.199,2.2,50632.4
1667613600000,2.2,2.218,2.197,2.213,21434
1667617200000,2.214,2.254,2.214,2.249,36552.5
1667620800000,2.249,2.253,2.229,2.229,10171.1
1667624400000,2.228,2.41,2.214,2.309,499050.1
1667628000000,2.313,2.346,2.21,2.218,310947.9
1667631600000,2.218,2.233,2.202,2.219,61269.2
1667635200000,2.218,2.224,2.2,2.207,65654.8
