date,open,high,low,close,volume
1667005200000,0.1561,0.1561,0.1555,0.1556,95375.1
1667008800000,0.1556,0.1557,0.155,0.155,281403.2
1667012400000,0.1551,0.1562,0.155,0.1562,201621.2
1667016000000,0.1562,0.1562,0.1552,0.1558,94847.3
1667019600000,0.1557,0.1557,0.1553,0.1555,33308.4
1667023200000,0.1555,0.1587,0.1555,0.1568,558426.2
1667026800000,0.1571,0.1592,0.1567,0.1574,205997.7
1667030400000,0.1575,0.1584,0.157,0.158,172629.1
1667034000000,0.1582,0.1595,0.1581,0.1591,87817.9
1667037600000,0.159,0.16,0.1583,0.1583,183436.9
1667041200000,0.1584,0.1584,0.1564,0.1567,429126.4
1667044800000,0.157,0.1578,0.1567,0.1578,47227
1667048400000,0.1579,0.1581,0.1563,0.157,176016.9
1667052000000,0.157,0.1572,0.1558,0.1561,202622.5
1667055600000,0.1561,0.1562,0.1552,0.1557,237816.1
1667059200000,0.1557,0.1566,0.1549,0.1565,160301
1667062800000,0.1566,0.1577,0.1556,0.1559,109152.1
1667066400000,0.156,0.1563,0.1554,0.1555,81037.7
1667070000000,0.1557,0.1568,0.1555,0.1561,183322.4
1667073600000,0.1558,0.1562,0.1553,0.1558,111448.7
1667077200000,0.1557,0.1567,0.1557,0.1563,94657.9
1667080800000,0.1566,0.1568,0.1559,0.1561,87784.8
1667084400000,0.1561,0.1563,0.1557,0.1563,63639
1667088000000,0.1561,0.1561,0.1555,0.1556,54604.9
1667091600000,0.1555,0.1563,0.1555,0.1563,50351
1667095200000,0.1562,0.1563,0.1561,0.1561,11850.9
1667098800000,0.1562,0.1563,0.1561,0.1562,16873.5
1667102400000,0.1562,0.1564,0.156,0.156,47354.7
1667106000000,0.156,0.1564,0.156,0.1564,79372.3
1667109600000,0.1563,0.1576,0.1561,0.1573,274181.9
1667113200000,0.1574,0.1609,0.1573,0.1596,384770.2
1667116800000,0.1598,0.1609,0.1586,0.16,542442.4
1667120400000,0.16,0.1606,0.1586,0.1589,330410.2
1667124000000,0.1587,0.1592,0.1583,0.1591,101907.1
1667127600000,0.1592,0.1608,0.1585,0.1606,132071.1
1667131200000,0.1606,0.165,0.1601,0.1616,1491981.5
1667134800000,0.1612,0.162,0.1585,0.1587,478867.4
1667138400000,0.1588,0.1593,0.1582,0.1591,116056.2
1667142000000,0.1591,0.1607,0.1567,0.1573,329943.3
1667145600000,0.1572,0.1578,0.1553,0.1555,538326.3
1667149200000,0.1556,0.1557,0.1546,0.1554,146748.9
1667152800000,0.1551,0.1556,0.1549,0.1555,85559.9
1667156400000,0.1553,0.1557,0.1548,0.155,44639.9
1667160000000,0.1549,0.1559,0.1548,0.1556,138883.3
1667163600000,0.1555,0.1555,0.1546,0.1547,89584.2
1667167200000,0.155,0.155,0.1529,0.154,176069.1
1667170800000,0.154,0.1542,0.1538,0.1538,44045.4
1667174400000,0.1537,0.1552,0.1537,0.1546,174415.9
1667178000000,0.1547,0.1549,0.1537,0.1541,52070
1667181600000,0.1535,0.1535,0.1522,0.1523,120404.4
1667185200000,0.1523,0.1534,0.1522,0.1533,57149
1667188800000,0.1531,0.1533,0.1527,0.1531,85011.4
1667192400000,0.1532,0.1533,0.1518,0.1522,291308.9
1667196000000,0.1521,0.1522,0.151,0.1518,347234.7
1667199600000,0.1519,0.1526,0.1516,0.1519,170584.7
1667203200000,0.1519,0.152,0.1513,0.1514,133912.3
1667206800000,0.1514,0.1535,0.1512,0.1534,84611.3
1667210400000,0.1534,0.1539,0.1531,0.1536,134567.3
1667214000000,0.1535,0.1539,0.1532,0.1532,121120.5
1667217600000,0.1535,0.1539,0.1531,0.1536,103858.3
1667221200000,0.1535,0.1544,0.153,0.153,217832.7
1667224800000,0.1529,0.1529,0.1515,0.152,174777
1667228400000,0.1519,0.1524,0.1511,0.1521,63798.3
1667232000000,0.1519,0.1525,0.1512,0.1517,93311
1667235600000,0.1516,0.1523,0.1511,0.1514,117072.9
1667239200000,0.1512,0.1518,0.1509,0.1515,44040
1667242800000,0.1515,0.1517,0.151,0.1512,19164.9
1667246400000,0.1511,0.1516,0.1507,0.1512,75145.3
1667250000000,0.1511,0.1511,0.1505,0.1508,72549.3
1667253600000,0.1507,0.1515,0.1506,0.1513,53491.8
1667257200000,0.1511,0.1519,0.1511,0.1518,32679.9
1667260800000,0.1517,0.1524,0.1513,0.1523,51381.1
1667264400000,0.1524,0.1537,0.1524,0.153,213744
1667268000000,0.1534,0.1534,0.152,0.1534,97492.6
1667271600000,0.1534,0.1534,0.1526,0.1532,26151.3
1667275200000,0.1532,0.154,0.1526,0.1526,65692.3
1667278800000,0.1525,0.1542,0.1523,0.1536,112597.4
1667282400000,0.1537,0.1546,0.1533,0.1541,100333.5
1667286000000,0.154,0.1543,0.1535,0.1537,25710.4
1667289600000,0.1537,0.1545,0.1536,0.154,57048.4
1667293200000,0.1541,0.1573,0.1541,0.1571,569987.4
1667296800000,0.1571,0.1574,0.1552,0.1561,286876.8
1667300400000,0.1565,0.1577,0.155,0.1564,458824.9
1667304000000,0.1565,0.1659,0.1555,0.157,5390315.4
1667307600000,0.1573,0.1592,0.1536,0.1547,673042.5
1667311200000,0.1547,0.1548,0.1533,0.1537,604127
1667314800000,0.1538,0.154,0.1533,0.1535,175407.5
1667318400000,0.1534,0.1539,0.1527,0.1531,381819.7
1667322000000,0.1531,0.1536,0.1527,0.153,109399.8
1667325600000,0.153,0.1533,0.1528,0.1531,53035.9
1667329200000,0.153,0.1531,0.1527,0.1527,38357.9
1667332800000,0.1527,0.1547,0.1527,0.1545,177101.4
1667336400000,0.1544,0.1549,0.1536,0.154,155061.6
1667340000000,0.1538,0.1539,0.1534,0.1535,29347.7
1667343600000,0.1535,0.1536,0.1528,0.1536,72330.4
1667347200000,0.1535,0.1537,0.1534,0.1536,41619
1667350800000,0.1535,0.1536,0.1531,0.1532,71448.8
1667354400000,0.1532,0.1532,0.1527,0.153,91559.6
1667358000000,0.1532,0.1532,0.1527,0.1531,176780.8
1667361600000,0.153,0.1532,0.1524,0.1525,109409.4
1667365200000,0.1525,0.1533,0.1525,0.1529,135124.7
1667368800000,0.1529,0.1533,0.1529,0.1531,186704.4
1667372400000,0.1531,0.1531,0.1524,0.1526,85003.3
1667376000000,0.1526,0.1533,0.1525,0.153,75553.6
1667379600000,0.1531,0.1533,0.1525,0.1525,136858.5
1667383200000,0.1525,0.1526,0.1501,0.1507,200711.9
1667386800000,0.1507,0.1513,0.1503,0.151,95631.5
1667390400000,0.1511,0.1517,0.1501,0.1502,81831.2
1667394000000,0.1504,0.1507,0.1502,0.1506,24267.3
1667397600000,0.1506,0.1507,0.1501,0.1505,60391.7
1667401200000,0.1505,0.1505,0.1501,0.1502,124330.9
1667404800000,0.1503,0.1506,0.1499,0.1506,162145.9
1667408400000,0.1505,0.1507,0.1501,0.1501,67835
1667412000000,0.1501,0.154,0.15,0.152,660540.2
1667415600000,0.1518,0.1528,0.1499,0.1502,161695.8
1667419200000,0.1502,0.1502,0.1485,0.1489,231757.6
1667422800000,0.1489,0.1496,0.1486,0.1496,64354.1
1667426400000,0.1496,0.1502,0.1494,0.1497,58280.5
1667430000000,0.1497,0.1509,0.1496,0.1508,142609.1
1667433600000,0.1508,0.151,0.1505,0.1509,117682.9
1667437200000,0.1509,0.1543,0.1509,0.1529,245637.3
1667440800000,0.1526,0.1546,0.1526,0.1542,193169.7
1667444400000,0.1543,0.1556,0.1542,0.155,142986.9
1667448000000,0.1551,0.1571,0.1551,0.1567,398714.1
1667451600000,0.1567,0.1602,0.1554,0.158,858866.1
1667455200000,0.1579,0.1586,0.1567,0.1576,391341.2
1667458800000,0.1574,0.158,0.157,0.157,279215.4
1667462400000,0.157,0.1573,0.1563,0.157,93486.2
1667466000000,0.1571,0.1626,0.1571,0.1615,555134.9
1667469600000,0.1616,0.1649,0.1587,0.1589,803314.1
1667473200000,0.1589,0.1594,0.1563,0.1572,565817.7
1667476800000,0.1573,0.1584,0.1559,0.157,244111.7
1667480400000,0.157,0.1585,0.1569,0.157,144803
1667484000000,0.157,0.1604,0.1566,0.1601,366676.6
1667487600000,0.1602,0.1606,0.1587,0.1602,157185.4
1667491200000,0.1602,0.1612,0.1598,0.1609,152449.5
1667494800000,0.1609,0.161,0.1588,0.159,317433.6
1667498400000,0.1592,0.1597,0.1591,0.1593,49900.2
1667502000000,0.1593,0.161,0.1593,0.16,135186.4
1667505600000,0.16,0.1601,0.1585,0.1587,166017.4
1667509200000,0.1587,0.159,0.1582,0.1586,67652
1667512800000,0.1587,0.1587,0.1558,0.156,338051.4
1667516400000,0.1561,0.1567,0.1551,0.1563,258352.4
1667520000000,0.1559,0.1597,0.1556,0.1591,374052.4
1667523600000,0.1593,0.1602,0.1589,0.1602,90476.3
1667527200000,0.1602,0.1608,0.1601,0.1608,111084.7
1667530800000,0.1609,0.1612,0.1604,0.1612,180556.5
1667534400000,0.1612,0.168,0.1612,0.1633,1476210.2
1667538000000,0.1633,0.1649,0.1617,0.1644,292441.3
1667541600000,0.1647,0.1655,0.1631,0.1637,463559
1667545200000,0.1636,0.1637,0.1618,0.1621,484080.3
1667548800000,0.1619,0.1622,0.1616,0.1616,146709.1
1667552400000,0.1616,0.1623,0.1612,0.1621,269035.2
1667556000000,0.162,0.163,0.1609,0.1625,367702.7
1667559600000,0.1624,0.1632,0.162,0.162,198860.6
1667563200000,0.162,0.1638,0.1609,0.1637,247982.8
1667566800000,0.1637,0.1642,0.1626,0.1627,145125.2
1667570400000,0.1627,0.1658,0.1626,0.1646,373480.6
1667574000000,0.1648,0.1648,0.1624,0.1624,118789.1
1667577600000,0.1623,0.1634,0.1616,0.1628,107571.6
1667581200000,0.1628,0.1637,0.1622,0.1637,101853.4
1667584800000,0.1635,0.1639,0.1626,0.1636,158878.3
1667588400000,0.1636,0.1641,0.163,0.1636,141690.9
1667592000000,0.1637,0.1663,0.1632,0.1661,313872
1667595600000,0.1657,0.1659,0.1634,0.1643,518004.7
1667599200000,0.164,0.1642,0.1635,0.1642,73803.9
1667602800000,0.1639,0.1652,0.1636,0.1648,179793.3
1667606400000,0.1649,0.168,0.164,0.167,761752.8
1667610000000,0.1669,0.1689,0.1665,0.1686,285820.1
1667613600000,0.1686,0.1724,0.1684,0.1724,744345.8
1667617200000,0.1723,0.1729,0.1683,0.1691,513496.6
1667620800000,0.1691,0.1706,0.169,0.1702,170055.7
1667624400000,0.1702,0.1711,0.1699,0.1707,119736.2
1667628000000,0.1707,0.1708,0.1691,0.1706,437843.9
1667631600000,0.1705,0.1705,0.1694,0.1696,121777.5
1667635200000,0.1696,0.17,0.168,0.1686,352631.9
1667638800000,0.1682,0.1689,0.168,0.1683,77058.3
1667642400000,0.1688,0.1714,0.1688,0.1699,325080.9
1667646000000,0.1705,0.1712,0.1695,0.1712,164686.9
1667649600000,0.1709,0.1717,0.1706,0.1709,140734.4
1667653200000,0.1707,0.1717,0.17,0.17,239423.5
1667656800000,0.17,0.1707,0.1683,0.1688,672947.5
1667660400000,0.1688,0.1692,0.1675,0.169,382714.8
1667664000000,0.1689,0.1694,0.168,0.1684,318453.1
1667667600000,0.1684,0.1685,0.168,0.1685,64146.8
1667671200000,0.1684,0.1684,0.1678,0.168,118697.4
