date,open,high,low,close,volume
1667005200000,0.523,0.524,0.523,0.523,5867.1
1667008800000,0.523,0.523,0.519,0.521,35194.1
1667012400000,0.521,0.534,0.521,0.531,385331.5
1667016000000,0.531,0.531,0.526,0.528,46934.1
1667019600000,0.528,0.529,0.525,0.527,42886.1
1667023200000,0.526,0.541,0.526,0.536,351051
1667026800000,0.535,0.537,0.53,0.536,215184.5
1667030400000,0.535,0.541,0.524,0.537,342746.5
1667034000000,0.537,0.54,0.536,0.537,53952.2
1667037600000,0.538,0.539,0.529,0.529,180584.9
1667041200000,0.53,0.531,0.528,0.529,29173.1
1667044800000,0.528,0.533,0.528,0.533,68012.3
1667048400000,0.533,0.533,0.526,0.529,47285.9
1667052000000,0.529,0.533,0.527,0.528,37174.7
1667055600000,0.528,0.533,0.528,0.531,49037.9
1667059200000,0.531,0.542,0.531,0.539,123119.3
1667062800000,0.539,0.546,0.533,0.535,134308.4
1667066400000,0.535,0.537,0.531,0.534,97136.7
1667070000000,0.534,0.535,0.53,0.533,50203.4
1667073600000,0.534,0.535,0.531,0.532,71483.8
1667077200000,0.532,0.535,0.531,0.533,43476.1
1667080800000,0.534,0.534,0.525,0.527,54898
1667084400000,0.526,0.532,0.524,0.532,24539.6
1667088000000,0.531,0.534,0.529,0.529,39881.3
1667091600000,0.53,0.532,0.528,0.532,79718.8
1667095200000,0.532,0.534,0.532,0.533,21483.6
1667098800000,0.533,0.535,0.532,0.534,24346.5
1667102400000,0.534,0.535,0.53,0.531,20610.9
1667106000000,0.532,0.535,0.53,0.533,51307.9
1667109600000,0.533,0.538,0.531,0.536,144283.7
1667113200000,0.536,0.546,0.535,0.546,186707.2
1667116800000,0.546,0.55,0.537,0.541,477258.8
1667120400000,0.542,0.543,0.532,0.534,69451.9
1667124000000,0.533,0.538,0.533,0.536,105967
1667127600000,0.536,0.538,0.534,0.535,40026.1
1667131200000,0.535,0.538,0.532,0.536,107629
1667134800000,0.535,0.535,0.527,0.528,81213.6
1667138400000,0.528,0.531,0.526,0.531,24073.6
