date,open,high,low,close,volume
1667005200000,0.1296,0.1302,0.1282,0.1285,520914
1667008800000,0.1286,0.1292,0.1276,0.1283,229215
1667012400000,0.1281,0.1309,0.1281,0.1298,1260202
1667016000000,0.1296,0.1301,0.1278,0.1278,251984
1667019600000,0.1281,0.1288,0.1272,0.1277,229911
1667023200000,0.1276,0.1284,0.1276,0.1278,172925
1667026800000,0.1277,0.1282,0.1274,0.1277,412477
1667030400000,0.1276,0.1286,0.1263,0.1286,717617
1667034000000,0.1284,0.1294,0.1277,0.1291,737514
1667037600000,0.1293,0.1293,0.1273,0.1274,1151522
1667041200000,0.1272,0.1275,0.1259,0.1259,562374
1667044800000,0.1259,0.1274,0.1257,0.1272,631583
1667048400000,0.1272,0.1281,0.1265,0.1278,1110329
1667052000000,0.1278,0.1288,0.1275,0.1282,354791
1667055600000,0.128,0.1294,0.128,0.1288,411069
1667059200000,0.1288,0.1334,0.1281,0.1316,1523326
1667062800000,0.1316,0.1325,0.1283,0.129,687915
1667066400000,0.1291,0.1302,0.1278,0.1291,695010
1667070000000,0.1292,0.1295,0.1275,0.1289,373278
1667073600000,0.1289,0.13,0.1285,0.1299,513338
1667077200000,0.1298,0.13,0.1292,0.1295,50086
1667080800000,0.1295,0.1299,0.1271,0.1279,678965
1667084400000,0.1279,0.1289,0.1273,0.1287,145090
1667088000000,0.1287,0.1292,0.1282,0.1283,336103
1667091600000,0.1282,0.1295,0.1278,0.1294,130084
1667095200000,0.1294,0.1297,0.129,0.1294,31233
1667098800000,0.1294,0.1304,0.1294,0.1303,124085
1667102400000,0.1305,0.1305,0.1296,0.1298,100377
1667106000000,0.1298,0.1326,0.1298,0.1311,966060
1667109600000,0.1313,0.1325,0.1295,0.1313,577021
1667113200000,0.1312,0.1343,0.1307,0.1335,1197238
1667116800000,0.1331,0.1333,0.1299,0.1315,318086
1667120400000,0.1315,0.1325,0.128,0.1292,1012558
1667124000000,0.1292,0.1302,0.1291,0.1298,180434
1667127600000,0.1296,0.1301,0.1289,0.1293,173378
1667131200000,0.1293,0.1296,0.1279,0.1289,157174
1667134800000,0.1289,0.1291,0.1269,0.1275,116428
1667138400000,0.1273,0.129,0.1272,0.1289,349036
1667142000000,0.1286,0.1289,0.1258,0.126,398860
1667145600000,0.126,0.1278,0.1253,0.1261,370342
1667149200000,0.1262,0.1272,0.126,0.1271,96203
1667152800000,0.127,0.1277,0.1265,0.127,157121
1667156400000,0.1271,0.1276,0.1267,0.1267,106696
1667160000000,0.1268,0.127,0.1261,0.1266,201945
1667163600000,0.1266,0.127,0.1261,0.1267,116189
1667167200000,0.1267,0.1267,0.1229,0.1248,633633
1667170800000,0.1248,0.1252,0.1245,0.1249,151326
1667174400000,0.1249,0.1265,0.1248,0.125,490790
1667178000000,0.1252,0.1263,0.1245,0.1255,336112
1667181600000,0.1254,0.1254,0.124,0.125,169475
1667185200000,0.1251,0.1284,0.1249,0.1282,438706
1667188800000,0.1285,0.1286,0.1268,0.1272,568056
1667192400000,0.1272,0.1282,0.127,0.1274,121216
1667196000000,0.1273,0.1273,0.1255,0.1266,486290
1667199600000,0.1265,0.1271,0.1261,0.1271,80901
1667203200000,0.127,0.127,0.1239,0.1247,935425
1667206800000,0.1244,0.1274,0.1242,0.1271,260172
1667210400000,0.1271,0.1274,0.1261,0.1271,283981
1667214000000,0.1271,0.1279,0.1269,0.1274,169195
1667217600000,0.1274,0.1276,0.1263,0.1269,176123
1667221200000,0.1268,0.1277,0.1234,0.1235,497159
1667224800000,0.1234,0.1266,0.1232,0.1265,647296
1667228400000,0.1266,0.13,0.1261,0.1287,987290
1667232000000,0.1287,0.1299,0.1271,0.1283,942945
1667235600000,0.1281,0.1304,0.128,0.1284,440623
1667239200000,0.1285,0.1312,0.1283,0.1298,773319
1667242800000,0.1298,0.1299,0.1291,0.1292,178590
1667246400000,0.1293,0.1303,0.1291,0.1291,220847
1667250000000,0.1291,0.1306,0.1291,0.1297,467749
1667253600000,0.1296,0.133,0.1294,0.1302,2609198
1667257200000,0.1301,0.1307,0.1291,0.1293,241970
1667260800000,0.1292,0.131,0.1289,0.1301,468123
1667264400000,0.1305,0.1311,0.1302,0.1305,87077
1667268000000,0.1304,0.1312,0.1302,0.1307,221186
1667271600000,0.1306,0.1309,0.1299,0.1303,304893
1667275200000,0.1303,0.1303,0.1292,0.1292,142005
1667278800000,0.1293,0.1299,0.1289,0.1289,116949
1667282400000,0.1288,0.1299,0.1285,0.1293,144934
1667286000000,0.1292,0.1293,0.128,0.1283,177173
1667289600000,0.1281,0.1292,0.1281,0.1288,275918
1667293200000,0.1288,0.1298,0.1282,0.1294,223107
1667296800000,0.1294,0.1296,0.1287,0.1294,151257
1667300400000,0.1295,0.1295,0.1271,0.128,445983
1667304000000,0.128,0.1281,0.1269,0.1279,235153
1667307600000,0.1278,0.1278,0.1249,0.1255,460565
1667311200000,0.1256,0.126,0.1249,0.1255,296727
1667314800000,0.1255,0.1263,0.1253,0.1262,192895
1667318400000,0.1262,0.1263,0.1245,0.1248,268364
1667322000000,0.1246,0.1256,0.1245,0.1253,482636
1667325600000,0.1254,0.1286,0.1248,0.1259,2460035
1667329200000,0.1258,0.126,0.1251,0.1253,272776
1667332800000,0.1253,0.1256,0.1248,0.1254,79741
1667336400000,0.1253,0.1256,0.1249,0.1251,51596
1667340000000,0.1252,0.1254,0.1248,0.1252,121718
1667343600000,0.1252,0.1256,0.1251,0.1254,83047
1667347200000,0.1253,0.1255,0.1234,0.1253,343324
1667350800000,0.1255,0.1258,0.1252,0.1252,71702
1667354400000,0.1249,0.1251,0.1241,0.125,280208
1667358000000,0.1251,0.1262,0.1251,0.126,95396
1667361600000,0.1259,0.126,0.1254,0.1256,56230
1667365200000,0.1259,0.1268,0.1256,0.1257,318599
1667368800000,0.1257,0.1257,0.1247,0.1249,86814
1667372400000,0.1249,0.1253,0.1221,0.1235,651184
1667376000000,0.1234,0.1252,0.1225,0.1246,424277
1667379600000,0.1244,0.1248,0.1211,0.1212,374418
1667383200000,0.121,0.122,0.1203,0.122,264817
1667386800000,0.122,0.1226,0.122,0.1222,84675
1667390400000,0.1222,0.1222,0.121,0.1215,167149
1667394000000,0.1213,0.123,0.1211,0.1215,832573
1667397600000,0.1217,0.1229,0.1215,0.1223,163252
1667401200000,0.1222,0.1222,0.1217,0.122,64494
1667404800000,0.1218,0.1226,0.1207,0.1225,198008
1667408400000,0.1224,0.1224,0.12,0.1208,436579
1667412000000,0.1206,0.1262,0.1202,0.1229,1376444
1667415600000,0.1228,0.1249,0.1201,0.1209,356469
1667419200000,0.1205,0.1215,0.1174,0.1192,749233
1667422800000,0.1191,0.121,0.1191,0.121,972002
1667426400000,0.1211,0.1211,0.1194,0.1199,629693
1667430000000,0.1199,0.1213,0.1196,0.121,155321
1667433600000,0.1209,0.1225,0.1205,0.1222,399287
1667437200000,0.1224,0.1233,0.1221,0.123,270683
1667440800000,0.1231,0.1243,0.1231,0.1237,192090
1667444400000,0.124,0.1264,0.1238,0.1256,1213596
1667448000000,0.1256,0.1277,0.1254,0.126,783890
1667451600000,0.1259,0.1283,0.1259,0.1277,386006
1667455200000,0.1278,0.128,0.1261,0.127,325800
1667458800000,0.1271,0.1284,0.126,0.1262,819846
1667462400000,0.1262,0.1272,0.1259,0.1266,368298
1667466000000,0.1266,0.1278,0.1266,0.1276,174288
1667469600000,0.1277,0.1286,0.1265,0.1267,773434
1667473200000,0.1269,0.1271,0.1245,0.1258,431916
1667476800000,0.1258,0.1269,0.1231,0.1243,1026462
1667480400000,0.1244,0.126,0.1234,0.1234,823344
1667484000000,0.1235,0.1265,0.1235,0.1261,983719
1667487600000,0.1259,0.1261,0.125,0.1252,275460
1667491200000,0.1252,0.1274,0.1252,0.1271,505687
1667494800000,0.1269,0.13,0.1262,0.1268,1223969
1667498400000,0.1268,0.1277,0.1264,0.1274,532867
1667502000000,0.1274,0.1276,0.1264,0.1267,448047
1667505600000,0.1268,0.1274,0.1256,0.126,464605
1667509200000,0.1262,0.1273,0.1258,0.1267,441812
1667512800000,0.1264,0.1264,0.1241,0.1247,682526
1667516400000,0.1245,0.1255,0.1233,0.1252,638934
1667520000000,0.1251,0.1288,0.1243,0.1282,2142824
1667523600000,0.1282,0.1298,0.1252,0.1264,1648399
1667527200000,0.1266,0.1286,0.1263,0.1274,474438
1667530800000,0.1277,0.131,0.1274,0.1309,1300192
1667534400000,0.1309,0.1338,0.1302,0.1309,1079949
1667538000000,0.131,0.1325,0.1298,0.1309,592619
1667541600000,0.1309,0.1435,0.1309,0.1386,7964549
1667545200000,0.1384,0.1395,0.1365,0.1394,2405868
1667548800000,0.1394,0.1394,0.1362,0.1366,915271
1667552400000,0.1366,0.1373,0.1354,0.1366,514226
1667556000000,0.1366,0.1402,0.1361,0.1393,1148310
1667559600000,0.1392,0.1449,0.1382,0.139,5981619
1667563200000,0.1392,0.1429,0.1365,0.1415,3044616
1667566800000,0.1415,0.1423,0.1395,0.1407,1182774
1667570400000,0.1409,0.1453,0.1404,0.1442,2233620
1667574000000,0.1446,0.1447,0.1412,0.1418,1169570
1667577600000,0.1416,0.1434,0.1406,0.1423,1365068
1667581200000,0.1421,0.16,0.1421,0.1466,20240965
1667584800000,0.1466,0.1469,0.1424,0.144,3445013
1667588400000,0.1441,0.1455,0.1403,0.141,3087356
1667592000000,0.141,0.1417,0.1361,0.1371,3274680
1667595600000,0.1372,0.1382,0.1372,0.1379,624293
1667599200000,0.138,0.1388,0.1379,0.1383,401562
1667602800000,0.1382,0.1393,0.1366,0.1392,1328285
1667606400000,0.1393,0.1413,0.138,0.1408,3132264
1667610000000,0.1408,0.1422,0.1389,0.1402,1503587
1667613600000,0.1399,0.1439,0.1391,0.1406,2484142
1667617200000,0.1405,0.1412,0.1385,0.1401,1466486
1667620800000,0.1401,0.1417,0.139,0.1391,1356470
1667624400000,0.1391,0.1401,0.1386,0.1389,415430
1667628000000,0.139,0.1408,0.1388,0.1403,340612
1667631600000,0.1403,0.1418,0.1399,0.1415,460214
1667635200000,0.1414,0.1414,0.137,0.1392,1219848
1667638800000,0.1392,0.1395,0.1356,0.1369,1094028
1667642400000,0.1374,0.139,0.1373,0.1388,713150
1667646000000,0.1385,0.1399,0.1385,0.1387,595973
1667649600000,0.1387,0.1389,0.1376,0.138,745440
1667653200000,0.1379,0.1382,0.136,0.1379,569401
1667656800000,0.1376,0.1382,0.1358,0.1365,555742
1667660400000,0.1367,0.1382,0.1366,0.1378,1067256
1667664000000,0.1377,0.139,0.1373,0.1379,1194389
1667667600000,0.1378,0.1384,0.137,0.1382,268693
1667671200000,0.1381,0.1381,0.1352,0.1355,553864
1667674800000,0.1358,0.137,0.1354,0.1362,489179
1667678400000,0.1361,0.1368,0.136,0.136,125625
1667682000000,0.136,0.1362,0.1351,0.1357,158111
1667685600000,0.1358,0.1363,0.1326,0.1356,1542137
1667689200000,0.1355,0.1358,0.1294,0.1344,2861169
