date,open,high,low,close,volume
1667005200000,7.07,7.08,7.02,7.02,604.72
1667008800000,7.03,7.06,7.03,7.06,450.52
1667012400000,7.05,7.1,7.05,7.09,1397.46
1667016000000,7.08,7.1,7.04,7.06,680.8
1667019600000,7.06,7.08,7.05,7.08,1694.49
1667023200000,7.08,7.08,7.05,7.07,429.88
1667026800000,7.07,7.08,7.05,7.07,511.31
1667030400000,7.07,7.12,7.06,7.09,1558.43
1667034000000,7.09,7.11,7.04,7.08,3742.41
1667037600000,7.08,7.11,7.04,7.04,1445.33
1667041200000,7.04,7.06,7,7.04,1460.36
1667044800000,7.03,7.05,7.03,7.03,277.67
1667048400000,7.04,7.1,7,7.03,3506.82
1667052000000,7.03,7.06,7.02,7.02,1079.24
1667055600000,7.03,7.04,6.99,7,1650.78
1667059200000,7.01,7.06,7,7.06,845.68
1667062800000,7.05,7.08,7.02,7.02,1016.14
1667066400000,7.02,7.15,6.97,7.01,7296.83
1667070000000,7.01,7.02,6.98,7.01,1059.94
1667073600000,7.01,7.03,7.01,7.03,547.62
1667077200000,7.03,7.06,7.02,7.04,933.1
1667080800000,7.04,7.04,6.99,6.99,709.02
1667084400000,7.02,7.08,6.99,7.06,1568.1
1667088000000,7.06,7.1,6.98,6.99,2527.63
1667091600000,6.98,6.99,6.95,6.97,2984.73
1667095200000,6.97,7.01,6.94,6.98,1771.66
1667098800000,6.98,6.99,6.96,6.98,1945.23
1667102400000,6.96,6.99,6.96,6.96,299.14
1667106000000,6.96,6.98,6.96,6.96,711.52
1667109600000,6.95,6.96,6.75,6.94,21215.63
1667113200000,6.94,6.97,6.93,6.97,698.51
1667116800000,6.97,7.02,6.94,6.95,2091.87
1667120400000,6.95,6.99,6.91,6.94,3998.45
1667124000000,6.92,6.95,6.92,6.95,864.19
1667127600000,6.95,6.99,6.94,6.97,1494.11
1667131200000,6.97,6.97,6.93,6.94,484.51
1667134800000,6.94,6.94,6.89,6.9,2122.84
1667138400000,6.92,7.1,6.91,7.07,25001.49
1667142000000,7.07,7.08,6.92,6.94,9193.41
1667145600000,6.94,6.97,6.89,6.96,1613.8
1667149200000,6.96,6.98,6.95,6.98,34.14
1667152800000,6.98,6.98,6.95,6.95,194.84
1667156400000,6.98,6.98,6.94,6.96,346.76
1667160000000,6.96,6.97,6.94,6.97,1147.44
1667163600000,6.97,6.98,6.94,6.96,402.49
1667167200000,6.95,6.95,6.89,6.94,1816.42
1667170800000,6.94,6.98,6.92,6.95,795.14
1667174400000,6.97,6.97,6.9,6.93,1336.18
1667178000000,6.93,7.08,6.9,6.94,5755.69
1667181600000,6.97,7.28,6.93,7,24633.1
1667185200000,7,7.09,6.96,7,3224.53
1667188800000,7,7,6.97,6.99,1130.32
