date,open,high,low,close,volume
1667005200000,0.1097,0.1097,0.1092,0.1096,55371
1667008800000,0.1095,0.1098,0.1092,0.1098,105594
1667012400000,0.1098,0.1104,0.1096,0.1104,158622
1667016000000,0.1102,0.1106,0.1098,0.1105,267263
1667019600000,0.1106,0.1115,0.1105,0.1113,114921
1667023200000,0.1113,0.1148,0.1112,0.1121,2201563
1667026800000,0.1121,0.1131,0.1117,0.1122,351372
1667030400000,0.1122,0.1132,0.1122,0.1127,177327
1667034000000,0.1128,0.1135,0.1121,0.1126,182974
1667037600000,0.1124,0.1129,0.112,0.1121,42318
1667041200000,0.112,0.112,0.1112,0.1114,180958
1667044800000,0.1116,0.1116,0.111,0.1115,48911
1667048400000,0.1115,0.1115,0.1108,0.111,74348
1667052000000,0.1111,0.1117,0.11,0.1104,361242
1667055600000,0.1105,0.1108,0.1097,0.1099,344453
1667059200000,0.1099,0.1115,0.1099,0.1113,374440
1667062800000,0.1111,0.1117,0.1104,0.1104,289070
1667066400000,0.1104,0.111,0.11,0.111,262210
1667070000000,0.111,0.1112,0.11,0.1106,220817
1667073600000,0.1106,0.1107,0.1103,0.1106,24974
1667077200000,0.1104,0.1105,0.1101,0.1104,73298
1667080800000,0.1103,0.1107,0.11,0.11,44399
1667084400000,0.1102,0.1102,0.1096,0.11,132045
1667088000000,0.11,0.11,0.1095,0.1095,67764
1667091600000,0.1094,0.1095,0.1091,0.1093,214692
1667095200000,0.1093,0.1098,0.109,0.1098,88668
1667098800000,0.1098,0.1115,0.1098,0.1112,249816
1667102400000,0.1111,0.1114,0.1111,0.1111,23243
1667106000000,0.1111,0.1111,0.11,0.1102,126366
1667109600000,0.1102,0.1106,0.1098,0.1104,87702
1667113200000,0.1102,0.1119,0.1102,0.1115,418027
1667116800000,0.1115,0.115,0.1097,0.1105,3269934
1667120400000,0.1107,0.1125,0.1092,0.1093,643104
1667124000000,0.1093,0.1096,0.1088,0.1095,331042
1667127600000,0.1093,0.1097,0.1092,0.1097,44828
1667131200000,0.1094,0.1101,0.1087,0.109,499082
1667134800000,0.109,0.1096,0.1083,0.1085,196218
1667138400000,0.1084,0.1093,0.1083,0.109,93624
1667142000000,0.109,0.109,0.1085,0.1086,83885
1667145600000,0.1089,0.109,0.1086,0.1086,79058
1667149200000,0.1086,0.1091,0.1085,0.1088,55072
1667152800000,0.1088,0.1093,0.1087,0.1092,38738
1667156400000,0.1092,0.1092,0.1087,0.1087,36136
1667160000000,0.1087,0.1092,0.1087,0.1092,40888
1667163600000,0.1092,0.1102,0.109,0.109,163235
1667167200000,0.109,0.1092,0.1085,0.109,70118
1667170800000,0.1088,0.1089,0.1085,0.1088,33188
1667174400000,0.1089,0.1094,0.107,0.1083,570032
1667178000000,0.1082,0.1082,0.1068,0.1074,232663
1667181600000,0.1074,0.1074,0.1068,0.107,61993
1667185200000,0.107,0.1081,0.1069,0.1081,136160
1667188800000,0.1081,0.1081,0.1075,0.1079,79685
1667192400000,0.1078,0.1084,0.1078,0.1082,97378
1667196000000,0.1081,0.1082,0.1072,0.1079,83440
1667199600000,0.108,0.1087,0.1076,0.1087,52128
1667203200000,0.1087,0.1087,0.1079,0.1084,89864
1667206800000,0.1084,0.1098,0.1082,0.1095,106447
1667210400000,0.1094,0.1098,0.1092,0.1097,268639
1667214000000,0.1097,0.1097,0.1093,0.1094,101147
1667217600000,0.1094,0.1094,0.109,0.1092,143398
1667221200000,0.1093,0.1096,0.1073,0.1074,270278
1667224800000,0.1073,0.1078,0.1067,0.1072,161487
1667228400000,0.1074,0.108,0.1072,0.1077,98181
1667232000000,0.1077,0.1079,0.1069,0.1071,109915
1667235600000,0.1073,0.1077,0.1071,0.1071,69137
1667239200000,0.107,0.1076,0.107,0.1073,39460
1667242800000,0.1073,0.1084,0.1071,0.108,124208
1667246400000,0.1081,0.1088,0.108,0.1085,121176
1667250000000,0.1085,0.1099,0.1082,0.109,277314
1667253600000,0.109,0.1098,0.1089,0.1098,62511
1667257200000,0.1098,0.1099,0.1097,0.1098,48450
1667260800000,0.1098,0.1098,0.1088,0.1092,194321
1667264400000,0.1092,0.1095,0.109,0.1095,79753
1667268000000,0.1094,0.11,0.1089,0.1098,153073
1667271600000,0.1097,0.1099,0.1091,0.1096,74092
1667275200000,0.1093,0.1104,0.109,0.109,116582
1667278800000,0.1091,0.1103,0.1089,0.1101,79369
1667282400000,0.1101,0.111,0.1098,0.1108,329840
1667286000000,0.1108,0.1108,0.1098,0.11,137197
1667289600000,0.1099,0.1102,0.1079,0.1095,609596
1667293200000,0.1095,0.114,0.1094,0.1119,2784863
1667296800000,0.1119,0.1134,0.1103,0.1116,1402210
1667300400000,0.1115,0.1225,0.1109,0.1133,11222981
1667304000000,0.1132,0.1137,0.111,0.1111,1154177
1667307600000,0.1112,0.1117,0.11,0.1102,539334
1667311200000,0.1102,0.1107,0.11,0.1102,181773
1667314800000,0.1102,0.112,0.11,0.1116,510515
1667318400000,0.1114,0.1116,0.1096,0.1108,854007
1667322000000,0.1107,0.112,0.1104,0.1113,516617
1667325600000,0.1112,0.1112,0.1102,0.1105,225239
1667329200000,0.1105,0.1108,0.1099,0.1108,224995
1667332800000,0.1108,0.111,0.11,0.1102,218241
1667336400000,0.1103,0.1108,0.1095,0.11,382567
1667340000000,0.1098,0.11,0.1095,0.1098,89201
1667343600000,0.1095,0.1101,0.1093,0.11,182360
1667347200000,0.1099,0.1105,0.1096,0.1101,64491
1667350800000,0.1101,0.1109,0.1098,0.1107,113234
1667354400000,0.1106,0.1106,0.1101,0.1104,20958
1667358000000,0.1103,0.1108,0.11,0.1102,339644
1667361600000,0.1104,0.111,0.1102,0.1105,163269
1667365200000,0.1105,0.1107,0.1097,0.1099,195824
1667368800000,0.1098,0.11,0.1093,0.1097,194520
1667372400000,0.1099,0.1099,0.1093,0.1095,125292
1667376000000,0.1095,0.1103,0.1094,0.1101,172628
1667379600000,0.1102,0.1106,0.1093,0.1097,248078
1667383200000,0.1097,0.1101,0.1091,0.1098,246239
1667386800000,0.1099,0.1102,0.1092,0.1096,197635
1667390400000,0.1094,0.1096,0.108,0.1083,282776
1667394000000,0.1082,0.1085,0.1078,0.1082,191270
1667397600000,0.1083,0.1095,0.1083,0.1091,118613
1667401200000,0.1091,0.1091,0.1084,0.1085,71695
1667404800000,0.1087,0.1095,0.1085,0.1094,103295
1667408400000,0.1094,0.1095,0.109,0.1091,134900
1667412000000,0.109,0.1113,0.1084,0.1094,976130
1667415600000,0.1094,0.1101,0.1081,0.1081,188830
1667419200000,0.1083,0.1083,0.1071,0.1078,190481
1667422800000,0.1077,0.1081,0.1075,0.1079,52920
1667426400000,0.1078,0.1081,0.1077,0.1078,28671
1667430000000,0.1078,0.1083,0.1077,0.1083,33771
1667433600000,0.1082,0.1088,0.1076,0.1087,57962
1667437200000,0.1086,0.1097,0.1086,0.1096,113106
1667440800000,0.1096,0.1099,0.1096,0.1098,55886
1667444400000,0.11,0.1101,0.1098,0.1101,155457
1667448000000,0.1101,0.111,0.1098,0.1109,300309
1667451600000,0.1109,0.111,0.11,0.1108,261199
1667455200000,0.1107,0.1112,0.11,0.1109,154288
1667458800000,0.1109,0.1117,0.1104,0.111,264959
1667462400000,0.111,0.112,0.111,0.1116,153868
1667466000000,0.1118,0.1144,0.1115,0.1131,685050
1667469600000,0.1129,0.1158,0.1103,0.1106,1702798
1667473200000,0.1106,0.1109,0.1093,0.1094,342843
1667476800000,0.1094,0.1106,0.1094,0.1096,256735
1667480400000,0.1097,0.1102,0.1093,0.1093,121906
1667484000000,0.1094,0.1113,0.1091,0.1111,174138
1667487600000,0.1113,0.1113,0.1107,0.1107,98021
1667491200000,0.1107,0.111,0.1103,0.1109,78511
1667494800000,0.1109,0.1109,0.1101,0.1103,173173
1667498400000,0.1104,0.1114,0.1101,0.1109,396903
1667502000000,0.1109,0.1115,0.1109,0.1111,73774
1667505600000,0.111,0.1112,0.11,0.1105,235984
1667509200000,0.1103,0.1106,0.1101,0.1105,34475
1667512800000,0.1105,0.1105,0.1085,0.1088,365084
1667516400000,0.1088,0.109,0.1086,0.1087,90767
1667520000000,0.1087,0.1096,0.1085,0.1095,138645
1667523600000,0.1095,0.1095,0.1089,0.1091,114904
1667527200000,0.1091,0.1119,0.1091,0.1098,411671
1667530800000,0.1098,0.1119,0.1098,0.1116,360958
1667534400000,0.1118,0.1125,0.111,0.1114,186162
1667538000000,0.1115,0.1115,0.1105,0.1109,186294
1667541600000,0.1111,0.1121,0.1111,0.1121,169716
1667545200000,0.112,0.1123,0.1116,0.112,97943
1667548800000,0.112,0.1122,0.1111,0.1114,190580
1667552400000,0.1114,0.1115,0.111,0.111,120577
1667556000000,0.1111,0.1116,0.1105,0.1112,367038
1667559600000,0.1113,0.1113,0.1107,0.1109,261750
1667563200000,0.111,0.1117,0.1102,0.1115,649600
1667566800000,0.1115,0.1125,0.1114,0.1118,372682
1667570400000,0.1117,0.1136,0.1116,0.1135,367579
1667574000000,0.1135,0.1135,0.1115,0.1115,347151
1667577600000,0.1116,0.1124,0.1112,0.1116,177985
1667581200000,0.1117,0.1126,0.1115,0.1124,75232
1667584800000,0.1123,0.1136,0.1118,0.1133,208551
1667588400000,0.1133,0.1155,0.1131,0.1145,815885
1667592000000,0.1144,0.1148,0.1134,0.1141,282339
1667595600000,0.1142,0.1152,0.1141,0.1149,168323
1667599200000,0.1149,0.1168,0.1146,0.1161,657541
1667602800000,0.1161,0.1161,0.1148,0.1151,178162
1667606400000,0.1151,0.116,0.1147,0.1158,327310
1667610000000,0.1159,0.116,0.1142,0.1145,561777
1667613600000,0.1147,0.1153,0.1141,0.1148,301381
1667617200000,0.1149,0.1152,0.1146,0.1151,100193
1667620800000,0.1151,0.1156,0.115,0.1151,80047
1667624400000,0.1151,0.1154,0.115,0.1154,97680
1667628000000,0.1154,0.116,0.1152,0.1155,224221
1667631600000,0.1156,0.116,0.1152,0.1153,125666
1667635200000,0.1153,0.1153,0.1137,0.114,280633
1667638800000,0.1139,0.1142,0.1137,0.114,79836
1667642400000,0.1139,0.1148,0.1139,0.1146,65170
1667646000000,0.1146,0.1154,0.1146,0.115,119913
1667649600000,0.1151,0.1153,0.114,0.1146,136323
1667653200000,0.1146,0.1177,0.1146,0.115,1661389
1667656800000,0.1149,0.1154,0.1142,0.1151,191149
1667660400000,0.1151,0.117,0.1149,0.1165,212636
1667664000000,0.1163,0.1164,0.1155,0.116,92864
1667667600000,0.116,0.118,0.1158,0.1162,614851
1667671200000,0.1162,0.1164,0.115,0.1158,338911
1667674800000,0.1159,0.1159,0.1154,0.1156,54731
1667678400000,0.1156,0.1161,0.1156,0.1159,53484
1667682000000,0.116,0.1161,0.1159,0.116,63984
1667685600000,0.1159,0.1162,0.1157,0.116,45146
1667689200000,0.1158,0.1158,0.1151,0.1153,133847
1667692800000,0.1152,0.1155,0.1144,0.1154,158210
1667696400000,0.1154,0.1154,0.115,0.115,79361
1667700000000,0.1151,0.1151,0.1141,0.1146,81434
1667703600000,0.1147,0.1147,0.1141,0.1145,114035
1667707200000,0.1145,0.1148,0.1142,0.1142,132717
1667710800000,0.1142,0.1144,0.1136,0.1137,67324
1667714400000,0.1137,0.1137,0.113,0.1133,177148
1667718000000,0.1133,0.1133,0.1122,0.1129,270060
1667721600000,0.1129,0.1137,0.1124,0.1135,240638
