date,open,high,low,close,volume
1667005200000,0.0541,0.0541,0.0539,0.0539,64326
1667008800000,0.0541,0.0541,0.0538,0.0539,8529
1667012400000,0.0541,0.0542,0.0539,0.0542,57955
1667016000000,0.0541,0.0542,0.0541,0.0541,35677
1667019600000,0.0539,0.0541,0.0538,0.0538,106395
1667023200000,0.0539,0.0539,0.0537,0.0539,75506
1667026800000,0.0539,0.054,0.0537,0.054,55200
1667030400000,0.054,0.0542,0.0538,0.054,108496
1667034000000,0.054,0.0553,0.0539,0.0551,1489423
1667037600000,0.0551,0.0561,0.0543,0.0545,3117013
1667041200000,0.0545,0.0545,0.0542,0.0544,135927
1667044800000,0.0542,0.0546,0.0542,0.0544,151821
1667048400000,0.0544,0.0545,0.0543,0.0544,84352
1667052000000,0.0543,0.0545,0.0542,0.0543,95325
1667055600000,0.0543,0.0545,0.0542,0.0544,255161
1667059200000,0.0545,0.0549,0.0544,0.0548,424969
1667062800000,0.0548,0.0549,0.0542,0.0542,370135
1667066400000,0.0542,0.0544,0.0542,0.0543,91492
1667070000000,0.0542,0.0544,0.0541,0.0542,60068
1667073600000,0.0541,0.0543,0.0541,0.0543,107627
1667077200000,0.0543,0.0543,0.0542,0.0543,48604
1667080800000,0.0544,0.0544,0.0541,0.0541,141314
1667084400000,0.0542,0.0543,0.0541,0.0543,3091
1667088000000,0.0543,0.0544,0.054,0.0542,41932
1667091600000,0.0541,0.0542,0.0541,0.0542,9078
1667095200000,0.0542,0.0544,0.054,0.0544,260864
1667098800000,0.0544,0.0544,0.0541,0.0541,79118
1667102400000,0.0543,0.0544,0.0542,0.0542,3830
1667106000000,0.0544,0.0544,0.0542,0.0543,46087
1667109600000,0.0543,0.0545,0.0543,0.0544,95673
1667113200000,0.0545,0.0546,0.0542,0.0546,190117
1667116800000,0.0546,0.0547,0.0542,0.0544,281495
1667120400000,0.0542,0.0553,0.0542,0.055,1577463
1667124000000,0.0551,0.0551,0.0546,0.0548,593270
1667127600000,0.0546,0.0551,0.0545,0.055,143630
1667131200000,0.0551,0.0552,0.0548,0.0549,109833
1667134800000,0.0548,0.0549,0.0546,0.0547,268864
1667138400000,0.0546,0.0549,0.0546,0.0549,104945
1667142000000,0.0547,0.0549,0.0546,0.0548,138122
1667145600000,0.0548,0.0548,0.0546,0.0546,36754
1667149200000,0.0546,0.0549,0.0545,0.0547,265940
1667152800000,0.0546,0.055,0.0545,0.055,259478
1667156400000,0.055,0.055,0.0547,0.0547,59086
1667160000000,0.0549,0.055,0.0547,0.055,75545
1667163600000,0.055,0.055,0.0546,0.0547,241272
1667167200000,0.0547,0.0549,0.0544,0.0545,29105
1667170800000,0.0545,0.0548,0.0545,0.0546,3589
1667174400000,0.0548,0.0548,0.0544,0.0544,15561
1667178000000,0.0547,0.0547,0.0544,0.0544,15079
1667181600000,0.0544,0.0546,0.0543,0.0543,23283
1667185200000,0.0544,0.0546,0.0543,0.0546,3601
1667188800000,0.0547,0.0547,0.0545,0.0545,33424
1667192400000,0.0545,0.0547,0.0545,0.0545,41376
1667196000000,0.0546,0.0549,0.0546,0.0549,284634
1667199600000,0.0548,0.055,0.0548,0.0549,70735
1667203200000,0.0549,0.0549,0.0547,0.0547,135991
1667206800000,0.0548,0.055,0.0546,0.055,88888
1667210400000,0.055,0.0552,0.055,0.0552,131472
1667214000000,0.0552,0.0555,0.0551,0.0553,266410
1667217600000,0.0553,0.0554,0.0551,0.0552,263357
1667221200000,0.0553,0.0554,0.0547,0.0547,403254
1667224800000,0.0547,0.0547,0.0542,0.0543,261185
1667228400000,0.0542,0.0545,0.0542,0.0544,22455
1667232000000,0.0543,0.0545,0.0539,0.0542,495249
1667235600000,0.0542,0.0544,0.0542,0.0542,60242
1667239200000,0.0543,0.0544,0.0541,0.0544,91944
1667242800000,0.0542,0.0543,0.054,0.0542,41940
1667246400000,0.0541,0.0542,0.054,0.0542,97921
1667250000000,0.0541,0.0542,0.0539,0.054,73448
1667253600000,0.0539,0.0542,0.0538,0.0542,84143
1667257200000,0.0541,0.0542,0.0541,0.0542,2962
1667260800000,0.0542,0.0542,0.054,0.0542,25545
1667264400000,0.0542,0.0542,0.0541,0.0542,7091
1667268000000,0.0542,0.0542,0.0541,0.0542,43603
1667271600000,0.0542,0.0542,0.0542,0.0542,24140
1667275200000,0.0542,0.0542,0.0542,0.0542,11418
1667278800000,0.0543,0.0543,0.054,0.054,262033
1667282400000,0.054,0.0556,0.0539,0.0554,2016313
1667286000000,0.0554,0.0557,0.055,0.0554,2319620
1667289600000,0.0553,0.0562,0.0548,0.055,2579788
1667293200000,0.055,0.055,0.0546,0.055,1049112
1667296800000,0.055,0.055,0.0542,0.0547,743166
1667300400000,0.0546,0.0547,0.0543,0.0543,338116
1667304000000,0.0544,0.0547,0.0542,0.0543,399622
1667307600000,0.0543,0.0545,0.0537,0.0539,422048
1667311200000,0.0539,0.0544,0.0538,0.0542,468793
1667314800000,0.0543,0.0543,0.0541,0.0543,52826
1667318400000,0.0542,0.0544,0.0541,0.0542,104530
1667322000000,0.0542,0.0542,0.0538,0.0541,335985
1667325600000,0.0539,0.0542,0.0539,0.0542,190786
1667329200000,0.0542,0.0542,0.0541,0.0542,98309
1667332800000,0.0542,0.0543,0.0542,0.0543,80960
1667336400000,0.0543,0.0544,0.0542,0.0542,32612
1667340000000,0.0542,0.0544,0.0542,0.0542,73156
1667343600000,0.0543,0.0545,0.0542,0.0542,43296
1667347200000,0.0542,0.0542,0.054,0.054,154126
1667350800000,0.0541,0.0543,0.0541,0.0541,26066
1667354400000,0.0542,0.0542,0.0541,0.0541,62462
1667358000000,0.0541,0.0543,0.054,0.0542,99301
1667361600000,0.0541,0.0542,0.054,0.0541,76175
1667365200000,0.054,0.0542,0.0539,0.054,307608
1667368800000,0.0538,0.0539,0.0534,0.0537,664614
1667372400000,0.0537,0.0542,0.0536,0.0539,845749
1667376000000,0.0539,0.054,0.0537,0.054,124415
1667379600000,0.054,0.0542,0.0536,0.0538,411569
1667383200000,0.0537,0.0537,0.0533,0.0534,179383
1667386800000,0.0534,0.0534,0.0531,0.0532,242665
1667390400000,0.0531,0.0534,0.053,0.0532,213067
1667394000000,0.0532,0.0532,0.0529,0.053,229431
1667397600000,0.053,0.0534,0.0529,0.0533,81073
1667401200000,0.0534,0.0535,0.0532,0.0532,84747
1667404800000,0.0534,0.0535,0.0532,0.0535,33115
1667408400000,0.0534,0.0534,0.053,0.053,126985
1667412000000,0.053,0.0541,0.053,0.0534,864231
1667415600000,0.0534,0.0536,0.0526,0.0528,414947
1667419200000,0.0528,0.0529,0.0526,0.0526,160409
1667422800000,0.0527,0.0529,0.0526,0.0527,72111
1667426400000,0.0528,0.053,0.0524,0.0525,415901
1667430000000,0.0525,0.0526,0.0524,0.0526,154937
1667433600000,0.0525,0.0528,0.0525,0.0528,90357
1667437200000,0.0528,0.053,0.0528,0.053,103889
1667440800000,0.053,0.0536,0.0529,0.0535,180898
1667444400000,0.0536,0.054,0.0535,0.0539,418650
1667448000000,0.054,0.0545,0.054,0.0541,666869
1667451600000,0.0541,0.0543,0.0539,0.0541,871208
1667455200000,0.054,0.0541,0.0538,0.0541,285259
1667458800000,0.0542,0.0543,0.0538,0.054,297157
1667462400000,0.054,0.0541,0.0539,0.0541,220600
1667466000000,0.0541,0.0545,0.0539,0.0543,614530
1667469600000,0.0544,0.0545,0.0541,0.0541,672330
1667473200000,0.0541,0.0542,0.0532,0.0533,514347
1667476800000,0.0533,0.0539,0.0533,0.0536,391123
1667480400000,0.0536,0.0537,0.0532,0.0533,179459
1667484000000,0.0533,0.0537,0.0532,0.0536,206420
1667487600000,0.0537,0.0537,0.0536,0.0537,118399
1667491200000,0.0536,0.0539,0.0536,0.0538,259970
1667494800000,0.0537,0.054,0.0537,0.054,208223
1667498400000,0.0539,0.054,0.0538,0.054,75205
1667502000000,0.0539,0.0542,0.0538,0.0541,199382
1667505600000,0.0542,0.0542,0.0538,0.0538,218019
1667509200000,0.0539,0.0544,0.0539,0.0542,415816
1667512800000,0.0543,0.0543,0.0537,0.0537,312084
1667516400000,0.0537,0.0538,0.0535,0.0537,216134
1667520000000,0.0537,0.054,0.0537,0.054,158185
1667523600000,0.054,0.0542,0.054,0.054,105652
1667527200000,0.0541,0.0542,0.0541,0.0542,19768
1667530800000,0.0542,0.0543,0.0539,0.0543,305402
1667534400000,0.0542,0.0543,0.0541,0.0542,69046
1667538000000,0.0542,0.0543,0.0541,0.0543,61955
1667541600000,0.0543,0.0547,0.0543,0.0546,323656
1667545200000,0.0545,0.0548,0.0545,0.0547,229557
1667548800000,0.0547,0.0553,0.0545,0.0551,866891
1667552400000,0.0551,0.0554,0.0547,0.0552,724988
1667556000000,0.0552,0.0553,0.0551,0.0553,152533
1667559600000,0.0554,0.0565,0.0553,0.0564,3343444
1667563200000,0.0564,0.057,0.0553,0.056,3063463
1667566800000,0.0561,0.0563,0.0558,0.0561,805963
1667570400000,0.0563,0.0569,0.056,0.0567,866823
1667574000000,0.0569,0.0569,0.0561,0.0563,1068339
1667577600000,0.0564,0.0564,0.056,0.0564,410526
1667581200000,0.0564,0.0566,0.0561,0.0565,255972
1667584800000,0.0565,0.0567,0.0564,0.0566,112563
1667588400000,0.0566,0.0572,0.0565,0.0571,421107
1667592000000,0.057,0.0572,0.0569,0.0569,190987
1667595600000,0.0569,0.0571,0.0566,0.0571,504118
1667599200000,0.0571,0.0572,0.0568,0.057,216381
1667602800000,0.057,0.057,0.0567,0.057,497277
1667606400000,0.0571,0.0573,0.0567,0.0573,623517
1667610000000,0.0573,0.0573,0.0571,0.0572,118028
1667613600000,0.0572,0.0573,0.057,0.0572,59425
1667617200000,0.0572,0.0573,0.057,0.0572,29787
1667620800000,0.0571,0.0577,0.0571,0.0574,468230
1667624400000,0.0575,0.0576,0.0574,0.0575,124949
1667628000000,0.0575,0.0578,0.0574,0.0574,165744
1667631600000,0.0576,0.0576,0.0572,0.0573,485971
1667635200000,0.0572,0.0573,0.0566,0.0566,377745
1667638800000,0.0566,0.0568,0.0565,0.0567,197716
1667642400000,0.0566,0.0568,0.0566,0.0567,280008
1667646000000,0.0566,0.057,0.0566,0.057,179129
1667649600000,0.057,0.0571,0.0568,0.0568,121822
1667653200000,0.0569,0.0569,0.0568,0.0568,69505
1667656800000,0.0568,0.0569,0.0567,0.0567,166826
1667660400000,0.0567,0.0569,0.0567,0.0567,153200
1667664000000,0.0567,0.0569,0.0565,0.0568,198510
1667667600000,0.0568,0.0568,0.0566,0.0567,93158
1667671200000,0.0567,0.0569,0.0564,0.0565,303443
1667674800000,0.0565,0.0567,0.0563,0.0566,229722
1667678400000,0.0566,0.0567,0.0565,0.0566,20176
1667682000000,0.0566,0.0567,0.0564,0.0565,66774
1667685600000,0.0564,0.0567,0.0564,0.0566,51834
1667689200000,0.0566,0.0566,0.0561,0.0563,160399
1667692800000,0.0562,0.0564,0.0561,0.0563,209413
1667696400000,0.0564,0.0564,0.0562,0.0562,63268
1667700000000,0.0561,0.0563,0.056,0.0562,289436
1667703600000,0.0563,0.0563,0.0561,0.0563,48345
1667707200000,0.0563,0.0563,0.0561,0.0562,38888
