date,open,high,low,close,volume
1667005200000,1.059,1.06,1.054,1.056,9246.2
1667008800000,1.056,1.06,1.054,1.059,12236.4
1667012400000,1.057,1.074,1.057,1.066,105599.4
1667016000000,1.067,1.072,1.061,1.065,19605.2
1667019600000,1.066,1.067,1.062,1.067,16807.5
1667023200000,1.067,1.074,1.063,1.063,36496.5
1667026800000,1.064,1.075,1.063,1.075,59594.2
1667030400000,1.075,1.081,1.072,1.075,156326.4
1667034000000,1.075,1.081,1.074,1.08,47778.5
1667037600000,1.08,1.084,1.071,1.076,67233.7
1667041200000,1.075,1.078,1.064,1.068,36726.8
1667044800000,1.068,1.075,1.066,1.073,14272.2
1667048400000,1.073,1.073,1.065,1.071,14225.9
1667052000000,1.071,1.072,1.058,1.06,38327.1
1667055600000,1.06,1.067,1.059,1.062,26334
1667059200000,1.064,1.089,1.063,1.085,56793.8
1667062800000,1.085,1.094,1.069,1.076,73829.4
1667066400000,1.075,1.085,1.067,1.076,87535.2
1667070000000,1.076,1.077,1.067,1.076,58471.3
1667073600000,1.076,1.08,1.073,1.077,11330.1
1667077200000,1.077,1.081,1.075,1.076,8191.1
1667080800000,1.078,1.082,1.064,1.067,51359.1
1667084400000,1.068,1.077,1.065,1.077,18144.1
1667088000000,1.075,1.078,1.072,1.072,8212.2
1667091600000,1.073,1.08,1.072,1.08,6502.1
1667095200000,1.08,1.081,1.077,1.08,8684.1
1667098800000,1.079,1.085,1.079,1.084,8210.9
1667102400000,1.085,1.086,1.08,1.085,16752.5
1667106000000,1.085,1.095,1.085,1.091,35493.4
1667109600000,1.091,1.098,1.076,1.089,70703.3
1667113200000,1.089,1.107,1.087,1.104,100063.6
1667116800000,1.104,1.113,1.089,1.099,124363.4
1667120400000,1.1,1.106,1.081,1.087,41226.1
1667124000000,1.086,1.102,1.086,1.1,40411.1
1667127600000,1.101,1.11,1.1,1.108,39188.6
1667131200000,1.107,1.2,1.098,1.15,1295347.3
1667134800000,1.15,1.183,1.122,1.163,849659.8
1667138400000,1.164,1.165,1.135,1.141,384925.3
1667142000000,1.141,1.149,1.093,1.094,269279.3
1667145600000,1.095,1.108,1.09,1.1,74824.3
1667149200000,1.1,1.105,1.089,1.091,39760.3
1667152800000,1.09,1.095,1.088,1.091,27429.8
1667156400000,1.091,1.092,1.081,1.081,38272.4
