date,open,high,low,close,volume
1667005200000,0.546,0.548,0.543,0.545,78816.52
1667008800000,0.545,0.548,0.545,0.548,52989.39
1667012400000,0.548,0.555,0.543,0.545,161409.76
1667016000000,0.545,0.545,0.541,0.545,117019.13
1667019600000,0.544,0.546,0.541,0.543,100400.73
1667023200000,0.544,0.544,0.54,0.541,107191.34
1667026800000,0.541,0.544,0.539,0.542,73071.21
1667030400000,0.542,0.551,0.54,0.551,112078.64
1667034000000,0.549,0.551,0.543,0.546,99465.8
1667037600000,0.546,0.547,0.539,0.539,87052.16
1667041200000,0.539,0.539,0.535,0.536,27226.77
1667044800000,0.535,0.543,0.535,0.541,59258.47
1667048400000,0.542,0.543,0.537,0.54,21471
1667052000000,0.54,0.542,0.538,0.538,24232.06
1667055600000,0.538,0.543,0.537,0.54,76456.79
1667059200000,0.541,0.56,0.539,0.554,354597.16
1667062800000,0.555,0.559,0.542,0.543,194000.55
1667066400000,0.543,0.546,0.541,0.545,51766
1667070000000,0.545,0.55,0.545,0.549,64602.61
1667073600000,0.55,0.565,0.55,0.559,286806.83
1667077200000,0.558,0.561,0.552,0.555,63887.06
1667080800000,0.555,0.555,0.542,0.543,97584.23
1667084400000,0.543,0.547,0.54,0.546,29786.83
1667088000000,0.547,0.554,0.547,0.549,43019.64
1667091600000,0.549,0.553,0.547,0.553,16359.32
1667095200000,0.552,0.555,0.551,0.553,18399.7
1667098800000,0.555,0.558,0.554,0.557,30815.02
1667102400000,0.556,0.559,0.555,0.559,13349.42
1667106000000,0.559,0.562,0.558,0.559,26483.41
1667109600000,0.559,0.562,0.556,0.557,37752.34
1667113200000,0.558,0.563,0.554,0.561,58569.64
1667116800000,0.561,0.572,0.553,0.559,263236.23
1667120400000,0.559,0.565,0.545,0.549,191468
1667124000000,0.548,0.553,0.543,0.544,143343.11
1667127600000,0.544,0.553,0.543,0.548,103116.41
1667131200000,0.547,0.55,0.543,0.546,58149.24
1667134800000,0.546,0.548,0.537,0.537,253448.88
1667138400000,0.537,0.571,0.536,0.554,643374.36
1667142000000,0.554,0.563,0.552,0.554,181285.27
