date,open,high,low,close,volume
1667005200000,1.571,1.573,1.565,1.568,44438.3
1667008800000,1.567,1.577,1.564,1.576,92252.8
1667012400000,1.575,1.593,1.572,1.587,305684.3
1667016000000,1.587,1.591,1.575,1.578,199445.2
1667019600000,1.578,1.588,1.575,1.58,117964
1667023200000,1.58,1.585,1.58,1.582,81767.6
1667026800000,1.583,1.589,1.579,1.589,103339
1667030400000,1.589,1.613,1.584,1.602,490010.2
1667034000000,1.602,1.607,1.599,1.604,158000.7
1667037600000,1.604,1.624,1.584,1.589,588015.5
1667041200000,1.589,1.589,1.572,1.577,283559.7
1667044800000,1.578,1.596,1.573,1.596,226336.2
1667048400000,1.595,1.597,1.572,1.585,309422.2
1667052000000,1.584,1.603,1.58,1.584,386842.7
1667055600000,1.584,1.6,1.583,1.595,227734.6
1667059200000,1.595,1.61,1.589,1.601,759872.9
1667062800000,1.6,1.61,1.575,1.581,556536.4
1667066400000,1.581,1.591,1.573,1.582,442006.2
1667070000000,1.583,1.585,1.566,1.575,253420.3
1667073600000,1.574,1.582,1.572,1.578,151411.7
1667077200000,1.577,1.584,1.577,1.579,67262.7
1667080800000,1.578,1.579,1.555,1.561,215435.7
1667084400000,1.561,1.573,1.557,1.571,165526.7
1667088000000,1.572,1.576,1.558,1.559,150150.4
1667091600000,1.559,1.569,1.557,1.569,90008.9
1667095200000,1.57,1.574,1.565,1.57,71693.9
1667098800000,1.571,1.579,1.571,1.578,105279.9
1667102400000,1.579,1.58,1.572,1.575,62257.7
1667106000000,1.575,1.59,1.575,1.586,257005.3
1667109600000,1.586,1.597,1.583,1.596,189262.3
1667113200000,1.597,1.615,1.594,1.611,601339.5
1667116800000,1.611,1.619,1.585,1.595,587690.4
1667120400000,1.596,1.603,1.572,1.58,386058.4
1667124000000,1.58,1.585,1.574,1.583,190450.1
1667127600000,1.583,1.589,1.576,1.586,187620.5
1667131200000,1.586,1.589,1.576,1.582,109259.1
1667134800000,1.583,1.587,1.564,1.569,286703.6
1667138400000,1.568,1.579,1.564,1.578,144701.3
1667142000000,1.578,1.58,1.558,1.56,248066.6
1667145600000,1.559,1.565,1.543,1.552,395296.7
1667149200000,1.553,1.562,1.545,1.56,137362.7
1667152800000,1.561,1.567,1.557,1.564,85105.7
1667156400000,1.565,1.568,1.559,1.559,58044.5
1667160000000,1.56,1.566,1.558,1.562,116663.9
1667163600000,1.563,1.566,1.559,1.565,67960.4
1667167200000,1.565,1.565,1.537,1.554,488971.8
1667170800000,1.554,1.559,1.548,1.555,126280.3
1667174400000,1.556,1.564,1.548,1.553,248957
1667178000000,1.554,1.559,1.543,1.551,131757.5
1667181600000,1.55,1.553,1.541,1.546,116775.3
1667185200000,1.547,1.561,1.544,1.559,194559.1
1667188800000,1.56,1.572,1.56,1.568,266410
1667192400000,1.568,1.571,1.562,1.565,86049.2
1667196000000,1.566,1.566,1.551,1.558,162662.6
1667199600000,1.558,1.564,1.55,1.563,96433.3
1667203200000,1.564,1.565,1.547,1.554,225676.8
1667206800000,1.553,1.589,1.55,1.587,560245.1
1667210400000,1.587,1.597,1.579,1.588,274059.1
1667214000000,1.588,1.6,1.588,1.593,270144.3
1667217600000,1.593,1.604,1.583,1.6,359596.3
1667221200000,1.599,1.606,1.553,1.554,404677
1667224800000,1.554,1.569,1.549,1.557,663497.8
1667228400000,1.557,1.573,1.554,1.566,209804.6
1667232000000,1.566,1.579,1.555,1.564,214559.4
1667235600000,1.563,1.569,1.556,1.559,243775.3
1667239200000,1.559,1.575,1.558,1.57,120010.8
1667242800000,1.571,1.571,1.56,1.562,89432.7
1667246400000,1.562,1.569,1.559,1.561,99882.4
1667250000000,1.56,1.566,1.559,1.564,88850.1
1667253600000,1.564,1.579,1.559,1.577,221921.9
1667257200000,1.577,1.582,1.573,1.577,73102.5
1667260800000,1.577,1.608,1.575,1.589,443278
1667264400000,1.589,1.596,1.588,1.594,234522.6
1667268000000,1.594,1.605,1.592,1.6,155288
1667271600000,1.601,1.606,1.582,1.588,285159.2
1667275200000,1.588,1.593,1.582,1.584,212295.3
1667278800000,1.585,1.591,1.583,1.589,106599.6
1667282400000,1.588,1.603,1.585,1.599,214758.4
1667286000000,1.599,1.603,1.589,1.593,222919.6
1667289600000,1.592,1.6,1.592,1.597,103723.2
1667293200000,1.597,1.61,1.595,1.602,302588.9
1667296800000,1.602,1.609,1.596,1.605,165534.5
1667300400000,1.605,1.606,1.581,1.589,347477.1
1667304000000,1.589,1.598,1.583,1.594,158819.1
1667307600000,1.594,1.595,1.565,1.574,299782.6
1667311200000,1.574,1.577,1.564,1.566,286213.9
1667314800000,1.566,1.575,1.565,1.57,229097.7
1667318400000,1.569,1.574,1.559,1.563,253217.2
1667322000000,1.563,1.569,1.562,1.569,117243.4
1667325600000,1.569,1.573,1.568,1.571,108703.3
1667329200000,1.571,1.576,1.57,1.57,83926.2
1667332800000,1.57,1.574,1.564,1.571,124201.9
1667336400000,1.571,1.571,1.565,1.566,86711.4
1667340000000,1.566,1.569,1.565,1.567,67596.9
1667343600000,1.567,1.568,1.562,1.563,89071.8
1667347200000,1.564,1.564,1.545,1.558,427606.6
1667350800000,1.558,1.561,1.555,1.557,90556.4
1667354400000,1.557,1.557,1.545,1.552,129711.5
1667358000000,1.553,1.557,1.549,1.553,128492.4
1667361600000,1.552,1.554,1.547,1.55,88419
1667365200000,1.551,1.556,1.539,1.542,213306.8
1667368800000,1.542,1.545,1.535,1.542,139905.1
1667372400000,1.542,1.543,1.517,1.524,821996.5
1667376000000,1.524,1.541,1.522,1.537,134631.9
1667379600000,1.538,1.546,1.506,1.508,400864.6
1667383200000,1.508,1.508,1.495,1.503,362827.2
1667386800000,1.503,1.513,1.503,1.507,100906
1667390400000,1.508,1.509,1.498,1.5,331789.5
1667394000000,1.5,1.505,1.487,1.492,246559
1667397600000,1.492,1.502,1.49,1.491,154029.2
1667401200000,1.492,1.492,1.482,1.485,203838.3
1667404800000,1.485,1.499,1.472,1.495,272656.4
1667408400000,1.494,1.495,1.472,1.477,200896.8
1667412000000,1.478,1.53,1.464,1.495,1348828.7
1667415600000,1.494,1.519,1.465,1.478,747666.8
1667419200000,1.479,1.483,1.449,1.468,521240.9
1667422800000,1.467,1.476,1.463,1.474,118500.1
1667426400000,1.474,1.476,1.463,1.468,127442.4
1667430000000,1.468,1.478,1.466,1.476,81232.6
1667433600000,1.475,1.498,1.468,1.492,275287.1
1667437200000,1.493,1.504,1.492,1.501,158055.2
1667440800000,1.502,1.512,1.5,1.507,191454.2
1667444400000,1.508,1.52,1.508,1.514,198329.7
1667448000000,1.515,1.525,1.509,1.512,205201.2
1667451600000,1.512,1.522,1.512,1.521,180588.7
1667455200000,1.521,1.523,1.512,1.517,125866.7
1667458800000,1.518,1.528,1.506,1.506,245713.9
1667462400000,1.507,1.514,1.504,1.51,170010.2
1667466000000,1.51,1.517,1.509,1.513,171382.5
1667469600000,1.514,1.524,1.512,1.515,366028.3
1667473200000,1.515,1.519,1.485,1.492,620839.9
1667476800000,1.492,1.499,1.471,1.482,279893.9
1667480400000,1.482,1.5,1.481,1.484,532002.7
1667484000000,1.485,1.517,1.482,1.513,321514.1
1667487600000,1.513,1.513,1.504,1.506,119754.6
1667491200000,1.506,1.523,1.5,1.521,318367.7
1667494800000,1.521,1.522,1.512,1.514,177481.7
1667498400000,1.515,1.517,1.505,1.516,160349.7
1667502000000,1.515,1.52,1.511,1.516,88162.6
1667505600000,1.516,1.517,1.507,1.51,126790.1
1667509200000,1.51,1.519,1.51,1.518,88970.3
1667512800000,1.517,1.517,1.487,1.493,314569.4
1667516400000,1.493,1.501,1.486,1.495,196052.6
1667520000000,1.495,1.515,1.494,1.512,314150.5
1667523600000,1.512,1.52,1.501,1.502,175226.7
1667527200000,1.502,1.516,1.502,1.512,138702
1667530800000,1.512,1.536,1.51,1.534,248758.9
1667534400000,1.535,1.544,1.527,1.541,288694.3
1667538000000,1.541,1.546,1.534,1.543,217396.2
