date,open,high,low,close,volume
1667005200000,0.8172,0.8184,0.8109,0.8119,745761
1667008800000,0.8118,0.8132,0.8053,0.8113,719208
1667012400000,0.8113,0.8196,0.8087,0.817,1300106
1667016000000,0.817,0.8179,0.8087,0.8115,794893
1667019600000,0.8116,0.8155,0.8095,0.8117,631459
1667023200000,0.8118,0.8157,0.8117,0.8135,804969
1667026800000,0.8135,0.8183,0.8106,0.8178,695623
1667030400000,0.8177,0.8297,0.8151,0.8234,2244540
1667034000000,0.8235,0.827,0.8199,0.8224,849909
1667037600000,0.8222,0.8258,0.8077,0.8099,1397697
1667041200000,0.81,0.8115,0.8016,0.805,758976
1667044800000,0.805,0.8113,0.8033,0.8104,914718
1667048400000,0.8102,0.8111,0.8,0.8068,865167
1667052000000,0.8068,0.8122,0.8034,0.805,904576
1667055600000,0.8051,0.8145,0.8047,0.8125,1135256
1667059200000,0.8125,0.8246,0.808,0.8212,1966232
1667062800000,0.8212,0.834,0.81,0.8127,2340828
1667066400000,0.8126,0.8192,0.8066,0.814,1360663
1667070000000,0.8142,0.8159,0.8054,0.8141,638239
1667073600000,0.8142,0.8172,0.811,0.815,615916
1667077200000,0.8145,0.8174,0.8127,0.8138,313161
1667080800000,0.8138,0.8151,0.7983,0.8037,1305894
1667084400000,0.8036,0.8126,0.7998,0.8115,846211
1667088000000,0.8115,0.8119,0.8036,0.8049,760457
1667091600000,0.8049,0.813,0.8014,0.8108,965733
1667095200000,0.8111,0.8134,0.8067,0.8105,731185
1667098800000,0.8104,0.8148,0.8104,0.8141,573469
1667102400000,0.814,0.815,0.808,0.8098,634604
1667106000000,0.8098,0.831,0.8098,0.8187,1996983
1667109600000,0.8188,0.8232,0.8131,0.8208,1388160
1667113200000,0.8208,0.9021,0.8188,0.8948,15572617
1667116800000,0.8943,0.9386,0.8731,0.8887,16559322
1667120400000,0.8887,0.9477,0.8864,0.8963,16196360
1667124000000,0.8963,0.928,0.8946,0.9142,6721537
1667127600000,0.9139,0.9258,0.8968,0.9124,4902008
1667131200000,0.9126,0.9135,0.8884,0.9115,3072083
1667134800000,0.9116,0.9305,0.8951,0.9005,6572208
1667138400000,0.9002,0.9051,0.8705,0.8808,4458628
1667142000000,0.8807,0.8881,0.8568,0.8608,3106837
1667145600000,0.8608,0.8745,0.8554,0.8633,2271413
1667149200000,0.8633,0.8743,0.8592,0.873,1228669
1667152800000,0.8729,0.8801,0.8678,0.874,1182504
1667156400000,0.8739,0.8789,0.8701,0.8715,860173
1667160000000,0.8715,0.8802,0.8695,0.8701,986507
1667163600000,0.8701,0.8779,0.865,0.8696,996667
1667167200000,0.8698,0.8709,0.8436,0.8572,2978031
1667170800000,0.857,0.8667,0.8549,0.8607,1431534
1667174400000,0.8609,0.8839,0.8461,0.8492,4314722
1667178000000,0.8492,0.8828,0.849,0.8817,4252592
1667181600000,0.8815,0.8819,0.8576,0.8705,2374417
1667185200000,0.8704,0.91,0.8665,0.9084,4511269
1667188800000,0.9085,0.9147,0.8921,0.8964,4655431
1667192400000,0.8965,0.897,0.8786,0.882,2425810
1667196000000,0.8819,0.8828,0.8628,0.8724,2794466
1667199600000,0.8724,0.8807,0.8683,0.8716,1829807
1667203200000,0.8715,0.8739,0.856,0.8726,3674698
1667206800000,0.8728,0.8939,0.8683,0.8937,2599669
1667210400000,0.8937,0.9005,0.8847,0.8927,2370588
1667214000000,0.8928,0.897,0.8835,0.8885,2259976
1667217600000,0.8884,0.8891,0.8753,0.8807,1270197
