date,open,high,low,close,volume
1667005200000,11.732,11.759,11.695,11.748,3631.2
1667008800000,11.751,11.83,11.726,11.783,6372.39
1667012400000,11.786,11.85,11.645,11.747,30680.1
1667016000000,11.746,11.792,11.6,11.726,18992.97
1667019600000,11.731,11.754,11.632,11.632,7138.7
1667023200000,11.63,11.717,11.613,11.656,11507.07
1667026800000,11.656,11.768,11.609,11.735,12373.38
1667030400000,11.743,11.786,11.667,11.751,20168.94
1667034000000,11.75,11.782,11.69,11.75,19324.71
1667037600000,11.745,11.772,11.68,11.713,23127.19
1667041200000,11.714,11.714,11.511,11.54,21593.41
1667044800000,11.54,11.579,11.515,11.575,24859.97
1667048400000,11.568,11.581,11.35,11.436,43116.62
1667052000000,11.432,11.512,11.404,11.454,20086.19
1667055600000,11.458,11.48,11.297,11.309,32292.41
1667059200000,11.305,11.476,11.287,11.406,31580.7
1667062800000,11.404,11.469,11.21,11.219,33556.21
1667066400000,11.232,11.381,11.21,11.355,20812.67
1667070000000,11.355,11.405,11.293,11.37,8781.07
1667073600000,11.37,11.374,11.264,11.326,7911.02
1667077200000,11.324,11.386,11.31,11.373,4996.9
1667080800000,11.381,11.381,11.283,11.307,8485.02
1667084400000,11.3,11.401,11.266,11.362,6428.25
1667088000000,11.37,11.445,11.325,11.393,16145.52
1667091600000,11.398,11.45,11.385,11.394,6905.86
1667095200000,11.399,11.445,11.393,11.412,4564.45
1667098800000,11.409,11.457,11.405,11.41,5001.8
1667102400000,11.41,11.434,11.343,11.343,7549.83
1667106000000,11.343,11.387,11.285,11.29,11619.18
1667109600000,11.29,11.402,11.28,11.357,11791.43
1667113200000,11.356,11.403,11.318,11.348,6972.44
1667116800000,11.349,11.701,11.334,11.576,53705.46
1667120400000,11.566,11.593,11.352,11.373,21637.66
1667124000000,11.373,11.529,11.35,11.51,12930.62
1667127600000,11.511,11.62,11.422,11.469,18772.51
1667131200000,11.47,11.719,11.46,11.629,34488.26
1667134800000,11.641,12.593,11.551,12.26,188599.1
1667138400000,12.253,13.48,12.238,13.105,840875.17
1667142000000,13.098,13.237,12.1,12.21,365770.21
1667145600000,12.213,12.597,12.039,12.481,190256.64
1667149200000,12.484,12.499,12.178,12.311,80691.01
1667152800000,12.311,12.376,12.003,12.064,47382.72
1667156400000,12.057,12.206,12.005,12.071,26772.36
1667160000000,12.077,12.161,11.969,12.017,34135.73
1667163600000,12.012,12.362,11.994,12.326,46885.54
1667167200000,12.328,12.415,11.994,12.403,53871.85
1667170800000,12.402,12.475,12.15,12.389,53414.26
1667174400000,12.402,12.434,12.03,12.273,68500.11
