date,open,high,low,close,volume
1667005200000,0.946,0.948,0.944,0.947,2098.8
1667008800000,0.948,0.956,0.947,0.952,33848.2
1667012400000,0.953,0.957,0.952,0.956,17551.6
1667016000000,0.956,0.958,0.951,0.952,18665.3
1667019600000,0.953,0.954,0.943,0.949,27636.6
1667023200000,0.949,0.952,0.948,0.952,7932.1
1667026800000,0.952,0.952,0.946,0.95,9941.4
1667030400000,0.95,0.957,0.946,0.953,29459.8
1667034000000,0.953,0.956,0.952,0.954,15417.2
1667037600000,0.954,0.955,0.94,0.94,53341.7
1667041200000,0.94,0.941,0.933,0.939,35720.7
1667044800000,0.938,0.944,0.938,0.942,5330.6
1667048400000,0.942,0.943,0.937,0.939,20410.8
1667052000000,0.939,0.945,0.934,0.935,11151.4
1667055600000,0.936,0.941,0.933,0.939,12081
1667059200000,0.939,0.953,0.939,0.95,32700.5
1667062800000,0.95,0.963,0.945,0.945,43420.6
1667066400000,0.945,0.947,0.943,0.946,11284
1667070000000,0.946,0.946,0.937,0.942,13075.8
1667073600000,0.942,0.95,0.942,0.947,7366.7
1667077200000,0.948,0.95,0.947,0.948,4198.9
1667080800000,0.948,0.948,0.936,0.938,15709.4
1667084400000,0.938,0.942,0.935,0.94,5723.4
1667088000000,0.94,0.941,0.936,0.936,4289.4
1667091600000,0.935,0.938,0.934,0.938,7178.2
1667095200000,0.938,0.938,0.933,0.936,3592.3
1667098800000,0.936,0.938,0.936,0.938,3006.3
1667102400000,0.937,0.937,0.932,0.932,13397.6
1667106000000,0.933,0.937,0.932,0.936,3961.9
1667109600000,0.936,0.94,0.936,0.94,7126.1
1667113200000,0.94,0.945,0.937,0.943,17993.4
1667116800000,0.944,0.945,0.936,0.941,23035.4
1667120400000,0.941,0.942,0.925,0.926,32818.4
1667124000000,0.925,0.931,0.924,0.931,11652.5
1667127600000,0.929,0.93,0.928,0.93,6235.8
1667131200000,0.93,0.931,0.927,0.931,7102.6
1667134800000,0.93,0.932,0.927,0.927,13571.2
1667138400000,0.928,0.93,0.926,0.93,6265.8
1667142000000,0.929,0.932,0.918,0.921,21326.2
1667145600000,0.921,0.927,0.916,0.92,42391.1
1667149200000,0.92,0.949,0.916,0.926,184933.1
1667152800000,0.925,0.929,0.92,0.928,13744.6
1667156400000,0.928,0.931,0.926,0.929,9607.6
1667160000000,0.929,0.931,0.925,0.931,8535
1667163600000,0.931,0.932,0.927,0.929,9058.1
1667167200000,0.928,0.93,0.919,0.922,5720.3
1667170800000,0.922,0.924,0.92,0.923,3340
1667174400000,0.924,0.927,0.92,0.921,4340
1667178000000,0.921,0.924,0.919,0.92,4390.9
1667181600000,0.92,0.921,0.915,0.919,2438.1
1667185200000,0.918,0.923,0.918,0.923,1215.2
1667188800000,0.923,0.923,0.912,0.917,47845.6
1667192400000,0.914,0.922,0.914,0.918,9424.2
1667196000000,0.918,0.919,0.915,0.917,6093.7
1667199600000,0.917,0.921,0.916,0.919,5261.9
1667203200000,0.921,0.921,0.909,0.912,21498.5
1667206800000,0.912,0.927,0.911,0.927,14478.7
1667210400000,0.927,0.929,0.923,0.924,32298.7
1667214000000,0.925,0.929,0.924,0.926,6514.5
1667217600000,0.926,0.929,0.922,0.928,21161.9
1667221200000,0.928,0.931,0.909,0.911,30244.8
1667224800000,0.911,0.921,0.895,0.91,54355.4
1667228400000,0.911,0.914,0.905,0.912,17052.4
1667232000000,0.912,0.918,0.907,0.913,25403.1
1667235600000,0.912,0.915,0.91,0.91,12568.9
1667239200000,0.912,0.915,0.91,0.912,6300.8
1667242800000,0.911,0.913,0.904,0.907,19286.6
1667246400000,0.906,0.908,0.904,0.907,5624.2
1667250000000,0.907,0.908,0.906,0.907,3043.8
1667253600000,0.907,0.91,0.905,0.908,7850.8
1667257200000,0.909,0.91,0.907,0.91,2087.5
1667260800000,0.909,0.912,0.907,0.912,6153.4
1667264400000,0.911,0.914,0.909,0.912,2850.9
1667268000000,0.914,0.916,0.911,0.916,7824.6
1667271600000,0.916,0.916,0.911,0.913,5184.8
1667275200000,0.913,0.914,0.911,0.912,5911.8
1667278800000,0.912,0.914,0.909,0.912,7872
1667282400000,0.91,0.915,0.909,0.914,11243.7
1667286000000,0.914,0.915,0.908,0.912,8330.6
1667289600000,0.912,0.915,0.909,0.911,12006.3
1667293200000,0.913,0.917,0.911,0.916,9617.3
1667296800000,0.914,0.917,0.912,0.917,5515.1
1667300400000,0.917,0.917,0.909,0.911,6578
1667304000000,0.913,0.916,0.911,0.916,4153.7
1667307600000,0.915,0.918,0.91,0.912,11799.6
1667311200000,0.912,0.912,0.906,0.907,6121.8
1667314800000,0.905,0.907,0.9,0.905,22754.4
1667318400000,0.904,0.911,0.904,0.907,12556.3
1667322000000,0.907,0.909,0.903,0.909,4178.9
1667325600000,0.909,0.912,0.909,0.911,5127.5
1667329200000,0.911,0.913,0.908,0.911,2984
1667332800000,0.911,0.913,0.908,0.91,2005.2
1667336400000,0.913,0.913,0.91,0.91,2412.9
1667340000000,0.91,0.915,0.91,0.915,7853.4
1667343600000,0.914,0.916,0.913,0.914,2613
1667347200000,0.915,0.917,0.913,0.916,9810.7
1667350800000,0.916,0.916,0.915,0.915,2748.3
1667354400000,0.915,0.915,0.914,0.914,4464.5
1667358000000,0.914,0.916,0.912,0.914,15129.4
1667361600000,0.914,0.916,0.904,0.913,13220.8
1667365200000,0.915,0.916,0.913,0.914,3070.3
1667368800000,0.914,0.914,0.91,0.912,4632.9
1667372400000,0.912,0.912,0.9,0.905,18446.8
1667376000000,0.906,0.908,0.903,0.905,13369.2
1667379600000,0.905,0.905,0.898,0.899,14576.9
1667383200000,0.898,0.898,0.891,0.895,10437.8
1667386800000,0.895,0.896,0.89,0.894,8509.6
1667390400000,0.894,0.896,0.89,0.893,10854.4
1667394000000,0.893,0.896,0.891,0.892,4632.1
1667397600000,0.892,0.899,0.892,0.896,6957.5
1667401200000,0.896,0.896,0.886,0.893,20934
1667404800000,0.892,0.898,0.888,0.898,10458.5
1667408400000,0.896,0.897,0.89,0.891,4465.8
1667412000000,0.888,0.913,0.887,0.893,103088
1667415600000,0.893,0.9,0.882,0.885,22039.4
1667419200000,0.884,0.885,0.871,0.875,26343.6
1667422800000,0.874,0.878,0.873,0.877,8343
1667426400000,0.877,0.879,0.87,0.873,13368.4
1667430000000,0.873,0.885,0.873,0.883,15196.6
1667433600000,0.883,0.89,0.881,0.89,5732.3
1667437200000,0.891,0.897,0.89,0.897,8751.6
1667440800000,0.897,0.9,0.896,0.897,11930.6
1667444400000,0.896,0.906,0.896,0.903,21922
1667448000000,0.904,0.91,0.9,0.905,33580
1667451600000,0.905,0.911,0.904,0.91,13669.4
1667455200000,0.911,0.911,0.907,0.91,18375.4
1667458800000,0.91,0.914,0.905,0.905,21188
1667462400000,0.907,0.913,0.906,0.909,12027.3
1667466000000,0.909,0.915,0.908,0.912,22337
1667469600000,0.912,0.917,0.907,0.915,51565.6
1667473200000,0.915,0.918,0.888,0.901,87187.1
1667476800000,0.901,0.904,0.889,0.895,45943.9
1667480400000,0.895,0.9,0.894,0.897,27149.7
1667484000000,0.897,0.916,0.896,0.914,31750.7
1667487600000,0.916,0.917,0.914,0.915,31712.4
1667491200000,0.914,0.92,0.913,0.918,26211
1667494800000,0.919,0.923,0.916,0.917,24425.7
1667498400000,0.917,0.918,0.912,0.918,12322.1
1667502000000,0.918,0.934,0.916,0.925,87773.7
1667505600000,0.924,0.938,0.923,0.935,29753.3
1667509200000,0.933,0.937,0.928,0.931,25995.8
