date,open,high,low,close,volume
1667005200000,0.00332,0.00333,0.00331,0.00332,9716229
1667008800000,0.00332,0.00335,0.00331,0.00334,14980873
1667012400000,0.00334,0.00336,0.00333,0.00335,23442663
1667016000000,0.00335,0.00337,0.00332,0.00332,17499198
1667019600000,0.00333,0.00334,0.0033,0.00334,85612384
1667023200000,0.00334,0.00335,0.00333,0.00334,17460495
1667026800000,0.00334,0.00344,0.00332,0.0034,167559750
1667030400000,0.0034,0.00341,0.00335,0.0034,108961096
1667034000000,0.00341,0.00341,0.00337,0.0034,39046676
1667037600000,0.0034,0.00342,0.00335,0.00336,66942853
1667041200000,0.00335,0.00335,0.00332,0.00334,53598168
1667044800000,0.00333,0.00336,0.00333,0.00335,29447780
1667048400000,0.00335,0.00336,0.00331,0.00334,22037658
1667052000000,0.00335,0.00337,0.00333,0.00334,30820831
1667055600000,0.00334,0.00337,0.00333,0.00336,36733682
1667059200000,0.00335,0.0034,0.00335,0.00338,65417286
1667062800000,0.00338,0.00344,0.00335,0.00337,80799901
1667066400000,0.00336,0.00343,0.00333,0.00336,109471326
1667070000000,0.00336,0.00337,0.00333,0.00336,19494134
1667073600000,0.00337,0.00341,0.00334,0.00338,67230089
1667077200000,0.00338,0.0034,0.00338,0.0034,21834819
1667080800000,0.00339,0.0034,0.00335,0.00336,20020022
1667084400000,0.00337,0.00339,0.00336,0.00338,10538798
1667088000000,0.00338,0.00339,0.00335,0.00335,27715005
1667091600000,0.00335,0.00337,0.00335,0.00336,7662096
1667095200000,0.00336,0.00338,0.00336,0.00338,7719538
1667098800000,0.00338,0.00339,0.00337,0.00337,16723857
1667102400000,0.00337,0.00338,0.00337,0.00337,12583349
1667106000000,0.00337,0.00354,0.00337,0.00351,344383166
1667109600000,0.00351,0.00357,0.00346,0.0035,308143280
1667113200000,0.00349,0.00351,0.00346,0.00351,87637805
1667116800000,0.00351,0.00356,0.00344,0.00346,162806765
1667120400000,0.00345,0.00348,0.0034,0.00343,67909421
1667124000000,0.00342,0.00345,0.00341,0.00344,43171844
1667127600000,0.00344,0.00345,0.00342,0.00344,29929982
1667131200000,0.00344,0.00346,0.00341,0.00345,37891574
1667134800000,0.00346,0.00346,0.0034,0.00341,32494923
1667138400000,0.00341,0.00342,0.00339,0.00342,25517051
