date,open,high,low,close,volume
1667005200000,2.412,2.417,2.398,2.401,61729.2
1667008800000,2.4,2.419,2.396,2.415,73346.6
1667012400000,2.415,2.47,2.414,2.467,247354.5
1667016000000,2.467,2.473,2.441,2.442,59579.3
1667019600000,2.441,2.468,2.438,2.454,112580.3
1667023200000,2.454,2.508,2.452,2.491,220902.5
1667026800000,2.491,2.509,2.487,2.498,122031.8
1667030400000,2.496,2.518,2.487,2.507,172044.3
1667034000000,2.509,2.541,2.497,2.528,150758.2
1667037600000,2.528,2.546,2.494,2.503,290445
1667041200000,2.505,2.505,2.466,2.487,124265.8
1667044800000,2.487,2.504,2.477,2.502,172768.7
1667048400000,2.502,2.518,2.471,2.518,175338.1
1667052000000,2.518,2.528,2.499,2.506,220633.3
1667055600000,2.506,2.511,2.48,2.51,119280.9
1667059200000,2.511,2.58,2.496,2.573,371890.9
1667062800000,2.574,2.574,2.518,2.518,283591.8
1667066400000,2.521,2.586,2.51,2.568,237599.9
1667070000000,2.57,2.579,2.549,2.575,168501.9
1667073600000,2.576,2.608,2.562,2.604,288418.9
1667077200000,2.602,2.618,2.584,2.586,121464.8
1667080800000,2.587,2.593,2.526,2.539,205597.1
1667084400000,2.537,2.54,2.519,2.528,94750.5
1667088000000,2.529,2.552,2.514,2.515,109429.9
1667091600000,2.516,2.55,2.509,2.536,80906.4
1667095200000,2.537,2.546,2.522,2.541,60549.1
1667098800000,2.541,2.562,2.533,2.559,92886.7
1667102400000,2.559,2.562,2.521,2.523,70576.4
1667106000000,2.524,2.546,2.521,2.525,85743.8
1667109600000,2.525,2.556,2.514,2.547,140983.5
1667113200000,2.547,2.585,2.537,2.574,247863
1667116800000,2.574,2.577,2.515,2.537,211014.4
1667120400000,2.537,2.557,2.489,2.497,203824.3
1667124000000,2.497,2.529,2.492,2.524,130264.5
1667127600000,2.52,2.53,2.5,2.51,60437.2
1667131200000,2.509,2.525,2.487,2.511,131880.3
1667134800000,2.51,2.512,2.471,2.489,116204.8
1667138400000,2.488,2.514,2.477,2.513,110435.4
1667142000000,2.513,2.514,2.447,2.46,143234
1667145600000,2.458,2.487,2.444,2.454,161992.1
1667149200000,2.454,2.471,2.449,2.467,49871.1
1667152800000,2.468,2.481,2.459,2.47,68031.5
1667156400000,2.472,2.484,2.467,2.468,57296.1
1667160000000,2.469,2.482,2.468,2.472,57440.4
1667163600000,2.474,2.483,2.462,2.472,45259.1
1667167200000,2.473,2.473,2.403,2.438,251624.1
1667170800000,2.438,2.452,2.432,2.444,83249.7
1667174400000,2.444,2.467,2.423,2.424,133841.9
1667178000000,2.424,2.441,2.414,2.427,158775
1667181600000,2.427,2.43,2.396,2.413,139960.2
1667185200000,2.412,2.448,2.41,2.447,84366.7
1667188800000,2.447,2.458,2.439,2.449,64048.8
1667192400000,2.447,2.456,2.435,2.439,69681.4
1667196000000,2.439,2.446,2.412,2.429,83981
1667199600000,2.43,2.435,2.411,2.435,56206.7
1667203200000,2.435,2.435,2.389,2.402,136193.4
1667206800000,2.402,2.481,2.385,2.457,250779.7
1667210400000,2.457,2.475,2.449,2.475,164389.6
1667214000000,2.475,2.491,2.472,2.488,112798.4
1667217600000,2.487,2.508,2.479,2.489,142958.6
1667221200000,2.487,2.518,2.433,2.433,338414.9
1667224800000,2.432,2.465,2.413,2.441,254351.4
1667228400000,2.44,2.474,2.436,2.451,502481.9
1667232000000,2.452,2.47,2.427,2.45,118955.1
1667235600000,2.449,2.467,2.437,2.448,117334.7
1667239200000,2.449,2.471,2.449,2.462,69554.4
1667242800000,2.463,2.481,2.453,2.476,65471.2
1667246400000,2.477,2.528,2.475,2.505,196549.3
1667250000000,2.504,2.506,2.484,2.49,71346.3
1667253600000,2.489,2.526,2.489,2.518,154505
1667257200000,2.519,2.524,2.504,2.504,86443.7
1667260800000,2.504,2.532,2.503,2.509,155024
1667264400000,2.509,2.541,2.509,2.533,152283
1667268000000,2.533,2.579,2.53,2.563,184498.8
1667271600000,2.564,2.589,2.555,2.58,147635.1
1667275200000,2.579,2.605,2.545,2.55,312580.8
1667278800000,2.55,2.562,2.542,2.546,97745.1
1667282400000,2.546,2.574,2.544,2.559,97645.7
1667286000000,2.557,2.568,2.545,2.55,93669.8
1667289600000,2.551,2.553,2.523,2.535,162814.5
1667293200000,2.534,2.595,2.53,2.57,189635.3
1667296800000,2.569,2.59,2.563,2.579,157587.5
1667300400000,2.577,2.6,2.551,2.593,296009.6
1667304000000,2.594,2.645,2.582,2.61,453197
1667307600000,2.609,2.617,2.559,2.585,231845.8
1667311200000,2.587,2.588,2.558,2.568,203863.4
1667314800000,2.566,2.616,2.564,2.581,239906.2
1667318400000,2.582,2.598,2.547,2.558,231755.7
1667322000000,2.557,2.58,2.548,2.575,114142.3
1667325600000,2.575,2.578,2.564,2.571,63580.6
1667329200000,2.571,2.571,2.541,2.544,65321.1
1667332800000,2.543,2.545,2.515,2.522,107743.2
1667336400000,2.519,2.519,2.508,2.51,39543.5
1667340000000,2.51,2.514,2.494,2.506,91241.7
1667343600000,2.507,2.514,2.502,2.503,64048.1
1667347200000,2.504,2.517,2.482,2.516,194713.1
1667350800000,2.517,2.523,2.509,2.515,52644.2
