date,open,high,low,close,volume
1667005200000,32.06,32.12,31.94,31.95,35813.95
1667008800000,31.95,32.4,31.9,32.39,88941.7
1667012400000,32.38,33,32.3,32.89,235613.17
1667016000000,32.9,32.98,32.53,32.65,103409.24
1667019600000,32.66,33,32.65,32.77,130883.75
1667023200000,32.77,32.9,32.71,32.74,48931.92
1667026800000,32.74,33.3,32.68,33.29,226706.75
1667030400000,33.28,33.84,33.2,33.65,284765.18
1667034000000,33.65,33.78,33.43,33.61,129865.19
1667037600000,33.61,33.84,32.86,33.02,260464.43
1667041200000,33.02,33.21,32.9,32.97,126980.24
1667044800000,32.98,33.21,32.93,33.16,91147.17
1667048400000,33.15,33.18,32.74,33.04,137535.03
1667052000000,33.05,33.4,32.78,32.93,163364.11
1667055600000,32.93,33.21,32.88,33.15,144406.2
1667059200000,33.15,33.5,33.04,33.15,220628.84
1667062800000,33.14,33.73,32.9,32.97,244743.26
1667066400000,32.97,33.26,32.77,33.04,162623.74
1667070000000,33.03,33.11,32.77,32.93,118027.51
1667073600000,32.94,33.14,32.85,32.99,76731.68
1667077200000,32.98,33.11,32.96,33.02,38147.39
1667080800000,33.02,33.03,32.6,32.74,103935.58
1667084400000,32.73,32.89,32.63,32.87,48265.88
1667088000000,32.87,32.94,32.74,32.76,32635.2
1667091600000,32.76,33.17,32.72,33.17,50157.29
1667095200000,33.16,33.26,32.97,33.15,52754.58
1667098800000,33.15,33.2,32.97,33,63854.68
1667102400000,33.01,33.04,32.74,32.8,56091.89
1667106000000,32.8,32.97,32.8,32.91,38320.43
1667109600000,32.92,33.09,32.79,33.09,58854.57
1667113200000,33.09,33.53,33,33.42,172540.56
1667116800000,33.41,33.54,32.56,32.85,202081.84
1667120400000,32.84,32.98,32.38,32.6,119770.26
1667124000000,32.6,32.7,32.48,32.62,79809.74
1667127600000,32.63,32.75,32.42,32.69,67139.12
1667131200000,32.69,32.72,32.36,32.55,54094.39
1667134800000,32.54,32.62,32.21,32.31,108773.26
1667138400000,32.32,32.5,32.19,32.43,95376.7
1667142000000,32.43,32.44,32.12,32.22,67500.36
1667145600000,32.21,32.37,32,32.11,70461.26
1667149200000,32.11,32.36,32.04,32.32,51876.78
1667152800000,32.33,32.43,32.21,32.36,38043.11
1667156400000,32.37,32.49,32.29,32.34,27255.18
1667160000000,32.35,32.56,32.34,32.51,27751.23
1667163600000,32.51,32.79,32.51,32.68,56271.97
1667167200000,32.68,32.91,31.93,32.9,206806.97
1667170800000,32.89,33.15,32.57,32.94,164290.39
1667174400000,32.93,33.38,32.58,32.61,195392.77
1667178000000,32.6,33,32.41,32.75,114609.26
1667181600000,32.74,32.81,32.42,32.52,61745.35
1667185200000,32.53,32.85,32.42,32.82,56399.65
1667188800000,32.82,33.25,32.82,33.14,95462.7
1667192400000,33.13,33.39,33.08,33.37,123775.79
1667196000000,33.38,33.49,32.87,33.23,149167
1667199600000,33.24,33.42,33.13,33.41,67199.26
1667203200000,33.42,33.49,33.13,33.3,85716.07
1667206800000,33.29,34.07,33.21,33.96,253326.4
1667210400000,33.96,34.37,33.77,34.32,193171.96
1667214000000,34.31,34.39,33.98,34.03,142608.32
1667217600000,34.03,34.17,33.68,33.75,128397.04
1667221200000,33.74,33.95,32.71,32.76,235201.32
1667224800000,32.76,33.14,32.7,32.89,320692.45
1667228400000,32.88,33.16,32.63,33.01,191188.01
1667232000000,33,33.24,32.66,32.92,119298.69
1667235600000,32.91,33,32.66,32.7,85661.47
1667239200000,32.7,32.96,32.65,32.87,67786.66
1667242800000,32.87,32.88,32.54,32.55,62745.24
1667246400000,32.55,32.77,32.32,32.55,82135.88
1667250000000,32.55,32.59,32.2,32.36,67472.91
1667253600000,32.36,32.67,32.32,32.61,109410.85
1667257200000,32.61,32.76,32.56,32.56,73920.02
1667260800000,32.57,32.78,32.5,32.65,83720.07
1667264400000,32.64,32.88,32.64,32.78,62138.94
1667268000000,32.79,33,32.7,32.95,67919.21
1667271600000,32.96,33,32.6,32.61,85907.21
1667275200000,32.61,32.73,32.57,32.67,62260.7
1667278800000,32.66,32.87,32.66,32.77,54453.58
1667282400000,32.78,33.23,32.72,33.18,112428.87
1667286000000,33.18,33.23,32.91,33.03,69063.31
1667289600000,33.03,33.14,32.83,32.84,91260.95
1667293200000,32.84,33.12,32.83,32.92,84560.57
1667296800000,32.92,33.39,32.86,33.2,108533.58
1667300400000,33.19,33.25,32.83,32.9,132453.48
1667304000000,32.91,33.14,32.76,33.04,73823.48
1667307600000,33.03,33.05,32.45,32.68,129155.75
1667311200000,32.69,32.71,32.27,32.42,169448.16
1667314800000,32.43,32.6,32.35,32.48,76992.32
1667318400000,32.47,32.59,32.17,32.35,111697.62
1667322000000,32.35,32.45,32.16,32.21,94555.66
1667325600000,32.21,32.41,32.18,32.4,65675.01
1667329200000,32.4,32.53,32.2,32.22,80816.08
1667332800000,32.22,32.38,32.15,32.36,56773.59
1667336400000,32.37,32.44,32.28,32.32,31225.85
1667340000000,32.32,32.4,32.23,32.38,58085.77
1667343600000,32.37,32.39,32.2,32.2,52780.76
1667347200000,32.2,32.32,31.93,32.24,133982.11
1667350800000,32.24,32.28,32.15,32.16,42168.33
1667354400000,32.15,32.22,31.95,32.22,69109.86
1667358000000,32.21,32.38,32.16,32.26,51985.86
1667361600000,32.26,32.35,32.23,32.3,37137.83
1667365200000,32.3,32.42,32.11,32.13,50907.35
1667368800000,32.13,32.14,32.01,32.05,46762.73
1667372400000,32.04,32.06,31.53,31.73,128154.97
1667376000000,31.72,31.9,31.61,31.9,57633.76
1667379600000,31.89,31.96,31.29,31.33,115945.5
1667383200000,31.33,31.41,31.11,31.39,88694.14
1667386800000,31.38,31.47,31.28,31.3,43609.92
1667390400000,31.3,31.41,31.13,31.24,73447.12
1667394000000,31.24,31.43,31.16,31.27,70595.1
1667397600000,31.28,31.56,31.23,31.45,88308.36
1667401200000,31.45,31.45,31.27,31.33,32189.83
1667404800000,31.32,31.59,31.07,31.56,69447.12
1667408400000,31.57,31.63,31.14,31.38,96259.45
1667412000000,31.37,32.95,31.04,31.82,833338.21
1667415600000,31.82,32.3,30.83,30.91,541390.55
1667419200000,30.91,31.03,30.24,30.29,315390.22
1667422800000,30.28,30.52,30.24,30.51,83598.45
1667426400000,30.51,30.92,30.33,30.56,272703.16
1667430000000,30.55,30.87,30.49,30.8,81069.2
1667433600000,30.81,31.24,30.61,31.15,119221.42
1667437200000,31.15,31.38,30.98,31.29,102185.13
1667440800000,31.29,31.61,31.26,31.46,142371.25
1667444400000,31.47,31.81,31.46,31.64,110395.27
1667448000000,31.65,32.05,31.64,31.87,105154.2
1667451600000,31.88,32.25,31.88,32.02,114544.53
1667455200000,32.02,32.08,31.59,31.72,207678.32
1667458800000,31.71,32.07,31.63,31.64,94075.87
1667462400000,31.65,31.83,31.49,31.71,97666.04
1667466000000,31.71,32.06,31.69,31.94,72867.72
1667469600000,31.94,32.04,31.61,31.66,89010.34
1667473200000,31.66,31.8,31.13,31.26,110587.23
1667476800000,31.26,31.49,30.93,31.07,112664.92
1667480400000,31.08,31.34,30.94,30.96,116135.74
1667484000000,30.97,31.57,30.86,31.52,169073.74
1667487600000,31.53,31.54,31.11,31.2,87967.6
1667491200000,31.19,31.44,31.17,31.39,77645.53
1667494800000,31.39,31.4,31.18,31.21,49639.51
1667498400000,31.21,31.36,31.16,31.32,41566.77
1667502000000,31.33,31.41,31.2,31.31,40901.04
1667505600000,31.31,31.43,31.21,31.24,54021.84
1667509200000,31.23,31.32,31.17,31.19,33901.25
1667512800000,31.19,31.23,30.89,30.9,67176.24
