date,open,high,low,close,volume
1667005200000,0.814,0.815,0.805,0.806,92190.7
1667008800000,0.806,0.808,0.8,0.802,90187.4
1667012400000,0.802,0.811,0.801,0.81,218652.1
1667016000000,0.809,0.81,0.801,0.802,54158.1
1667019600000,0.802,0.806,0.789,0.791,337642.4
1667023200000,0.792,0.801,0.792,0.796,109154.8
1667026800000,0.796,0.801,0.795,0.799,101527.8
1667030400000,0.8,0.807,0.798,0.807,101455.3
1667034000000,0.807,0.807,0.801,0.803,57649.9
1667037600000,0.802,0.807,0.794,0.801,227584.6
1667041200000,0.801,0.805,0.794,0.804,233127.3
1667044800000,0.803,0.818,0.803,0.816,431608.8
1667048400000,0.816,0.817,0.808,0.814,121232.3
1667052000000,0.815,0.82,0.809,0.819,264340.9
1667055600000,0.819,0.83,0.819,0.825,477800.9
1667059200000,0.825,0.838,0.823,0.826,448080.3
1667062800000,0.826,0.83,0.809,0.813,248483.9
1667066400000,0.812,0.818,0.805,0.812,310888.6
1667070000000,0.812,0.813,0.803,0.808,118830.5
1667073600000,0.809,0.813,0.806,0.809,106260.2
1667077200000,0.809,0.813,0.807,0.807,49709.3
1667080800000,0.807,0.809,0.794,0.798,138812.1
1667084400000,0.797,0.806,0.795,0.806,46711.2
1667088000000,0.805,0.808,0.8,0.8,88200.8
1667091600000,0.8,0.808,0.799,0.808,69148
1667095200000,0.808,0.809,0.804,0.807,38852.3
1667098800000,0.807,0.81,0.807,0.81,27527.8
1667102400000,0.808,0.809,0.802,0.803,49733.7
1667106000000,0.804,0.806,0.801,0.802,39447.9
1667109600000,0.802,0.805,0.795,0.801,89965.3
1667113200000,0.801,0.825,0.8,0.818,574037
1667116800000,0.817,0.824,0.801,0.809,330697.5
1667120400000,0.81,0.818,0.796,0.8,191438.9
1667124000000,0.8,0.805,0.8,0.801,73474.1
1667127600000,0.801,0.803,0.795,0.801,83843.9
1667131200000,0.801,0.801,0.793,0.8,74278.6
1667134800000,0.799,0.801,0.789,0.794,142198.9
1667138400000,0.794,0.799,0.791,0.797,50644.9
1667142000000,0.798,0.798,0.784,0.785,101736.9
1667145600000,0.784,0.792,0.781,0.784,33844.1
1667149200000,0.785,0.79,0.783,0.79,44248.7
1667152800000,0.789,0.791,0.786,0.789,48387.6
1667156400000,0.79,0.792,0.788,0.788,17373.9
1667160000000,0.789,0.792,0.786,0.79,20253.7
1667163600000,0.791,0.791,0.785,0.788,23443.3
1667167200000,0.788,0.788,0.769,0.779,107630.2
1667170800000,0.779,0.783,0.776,0.782,81684.5
1667174400000,0.782,0.788,0.779,0.78,77677.7
1667178000000,0.781,0.784,0.771,0.778,145078
1667181600000,0.778,0.778,0.771,0.773,54725
1667185200000,0.774,0.781,0.773,0.78,56419.7
1667188800000,0.78,0.786,0.778,0.782,119934.2
1667192400000,0.782,0.784,0.78,0.781,50865.6
1667196000000,0.782,0.782,0.774,0.779,83760.7
