date,open,high,low,close,volume
1667005200000,0.2349,0.2356,0.2345,0.2346,13498.3
1667008800000,0.2346,0.2349,0.2337,0.2346,21263.3
1667012400000,0.2345,0.236,0.2339,0.2355,134569.1
1667016000000,0.2347,0.2358,0.2347,0.2353,5284.3
1667019600000,0.2353,0.2353,0.2342,0.2342,7508.1
1667023200000,0.2348,0.2349,0.2335,0.2337,36304.2
1667026800000,0.234,0.2357,0.234,0.2347,102598.1
1667030400000,0.2346,0.2364,0.2342,0.2349,55866.9
1667034000000,0.2348,0.2367,0.2345,0.235,97258.3
1667037600000,0.2351,0.2364,0.2341,0.2342,60626.3
1667041200000,0.2339,0.2343,0.2334,0.2338,20408.2
1667044800000,0.2335,0.2341,0.2334,0.2341,16522.5
1667048400000,0.2337,0.2339,0.2328,0.2334,15049.7
1667052000000,0.2334,0.2346,0.2331,0.2332,36647
1667055600000,0.2332,0.2347,0.2332,0.2347,16794.6
1667059200000,0.2347,0.2357,0.2344,0.2352,49994.2
1667062800000,0.2351,0.2366,0.234,0.234,25899.7
1667066400000,0.2342,0.2349,0.234,0.2345,15419.1
1667070000000,0.2348,0.2353,0.2341,0.2348,20927.5
1667073600000,0.2348,0.2358,0.2348,0.2353,6965.4
1667077200000,0.2357,0.2365,0.2345,0.235,27657.4
1667080800000,0.2362,0.2362,0.234,0.2343,7593.6
1667084400000,0.2343,0.2352,0.2341,0.2348,22831.6
1667088000000,0.2348,0.2351,0.2335,0.2338,15815.1
1667091600000,0.2338,0.235,0.2332,0.234,13909.4
1667095200000,0.2344,0.2344,0.2324,0.2331,51332
1667098800000,0.2331,0.2332,0.2324,0.2332,22267.1
1667102400000,0.2332,0.2338,0.2324,0.2326,9420.2
1667106000000,0.233,0.2341,0.2326,0.2338,14889.3
1667109600000,0.2337,0.2338,0.233,0.2338,15327.6
1667113200000,0.2338,0.2347,0.2335,0.2344,21826.8
1667116800000,0.2347,0.2354,0.2337,0.2346,50142.6
1667120400000,0.2351,0.2363,0.234,0.2344,87396.7
1667124000000,0.2345,0.2354,0.2342,0.2353,64340.4
1667127600000,0.2352,0.2355,0.2345,0.2351,6686.2
1667131200000,0.2356,0.2356,0.234,0.2346,16160.6
1667134800000,0.2341,0.2343,0.2332,0.2333,13118.3
1667138400000,0.2334,0.2343,0.2327,0.2339,20077.3
1667142000000,0.2338,0.2349,0.2336,0.2339,10307.4
