date,open,high,low,close,volume
1667005200000,0.4351,0.4415,0.4341,0.4354,400367
1667008800000,0.4358,0.4376,0.4317,0.435,62586
1667012400000,0.4352,0.4428,0.4332,0.4408,302614
1667016000000,0.4414,0.4443,0.4398,0.4423,158767
1667019600000,0.4426,0.4461,0.439,0.4409,325093
1667023200000,0.4416,0.4433,0.4393,0.4393,205069
1667026800000,0.4398,0.4419,0.4386,0.4403,40916
1667030400000,0.4406,0.4457,0.438,0.442,162168
1667034000000,0.4423,0.4437,0.4414,0.4437,50801
1667037600000,0.4435,0.4446,0.4361,0.4369,79111
1667041200000,0.4365,0.4382,0.4338,0.4361,47678
1667044800000,0.4358,0.4383,0.4352,0.4377,59527
1667048400000,0.4378,0.4378,0.433,0.4375,65367
1667052000000,0.4375,0.4406,0.4356,0.4367,93478
1667055600000,0.4364,0.4408,0.4358,0.4408,65342
1667059200000,0.4412,0.4506,0.4383,0.4478,705031
1667062800000,0.4474,0.452,0.4396,0.4412,445568
1667066400000,0.4423,0.4487,0.4389,0.4479,285855
1667070000000,0.4476,0.4486,0.4412,0.4463,202824
1667073600000,0.4462,0.4481,0.4444,0.4466,99489
1667077200000,0.4469,0.4481,0.4453,0.4455,76976
1667080800000,0.4453,0.4461,0.4393,0.4414,82462
1667084400000,0.4414,0.4436,0.4382,0.4436,79988
1667088000000,0.4436,0.4444,0.4367,0.4374,146049
1667091600000,0.4371,0.4419,0.437,0.4414,145494
1667095200000,0.4417,0.4424,0.4397,0.4401,51790
1667098800000,0.4398,0.4428,0.4396,0.4409,119669
1667102400000,0.4411,0.442,0.4379,0.4387,82835
1667106000000,0.4388,0.4422,0.4388,0.4404,67169
1667109600000,0.4406,0.4468,0.4391,0.4445,259546
1667113200000,0.4441,0.4548,0.4431,0.454,347311
1667116800000,0.454,0.4584,0.4421,0.4468,382980
1667120400000,0.4467,0.4511,0.4375,0.4401,254031
1667124000000,0.4401,0.4433,0.4385,0.4423,160763
1667127600000,0.4423,0.4441,0.4398,0.4428,107164
1667131200000,0.4427,0.4438,0.438,0.4411,131325
1667134800000,0.4412,0.4418,0.4355,0.4365,230222
1667138400000,0.4365,0.4447,0.434,0.4439,316513
1667142000000,0.4442,0.4442,0.4347,0.4351,109603
1667145600000,0.4348,0.4481,0.4331,0.439,193928
1667149200000,0.4394,0.4412,0.4371,0.4412,21913
1667152800000,0.4411,0.4415,0.4375,0.4399,83148
1667156400000,0.4405,0.4426,0.4398,0.4409,31319
1667160000000,0.4414,0.4417,0.4391,0.4406,26792
1667163600000,0.4408,0.4421,0.4387,0.4398,79944
1667167200000,0.4393,0.4393,0.4284,0.4334,230384
1667170800000,0.434,0.4355,0.4323,0.4342,26595
1667174400000,0.4346,0.4394,0.4339,0.4339,86878
1667178000000,0.4351,0.4368,0.4292,0.4324,74184
1667181600000,0.4326,0.4326,0.4275,0.4299,26320
1667185200000,0.4301,0.4345,0.4289,0.4345,33196
1667188800000,0.4345,0.4353,0.4335,0.4338,39454
1667192400000,0.434,0.4344,0.4298,0.4307,107656
1667196000000,0.4303,0.4315,0.4281,0.4307,103395
1667199600000,0.4304,0.4332,0.4296,0.4332,32027
1667203200000,0.4331,0.4331,0.4287,0.4299,41195
1667206800000,0.4299,0.4376,0.4285,0.4364,59989
1667210400000,0.4365,0.4374,0.4332,0.436,33521
1667214000000,0.4362,0.4378,0.4348,0.4357,37779
1667217600000,0.4352,0.4383,0.4339,0.4366,179884
1667221200000,0.4366,0.4426,0.4272,0.4276,548965
1667224800000,0.427,0.4333,0.4257,0.43,321481
1667228400000,0.4299,0.435,0.4293,0.4333,79449
1667232000000,0.4325,0.4369,0.431,0.4336,50023
1667235600000,0.4345,0.4371,0.4331,0.4355,67651
1667239200000,0.4363,0.4374,0.4356,0.4359,28258
1667242800000,0.4357,0.4373,0.4346,0.4352,104008
1667246400000,0.4355,0.4377,0.4339,0.4347,57904
1667250000000,0.4358,0.4359,0.4341,0.4358,19027
1667253600000,0.4355,0.4398,0.4347,0.4384,70819
1667257200000,0.4393,0.4402,0.4383,0.4383,131721
1667260800000,0.438,0.4546,0.4379,0.447,842019
1667264400000,0.4473,0.4642,0.4473,0.4538,1089994
1667268000000,0.4532,0.4744,0.4531,0.4654,1433809
1667271600000,0.4652,0.4704,0.4595,0.467,660290
1667275200000,0.4669,0.4703,0.4528,0.4533,860551
1667278800000,0.4529,0.4561,0.452,0.454,149253
1667282400000,0.4544,0.4578,0.4536,0.4575,95548
1667286000000,0.4576,0.4659,0.4554,0.4607,314126
1667289600000,0.4618,0.4619,0.456,0.4569,247703
1667293200000,0.4568,0.4579,0.4532,0.4559,256834
1667296800000,0.4559,0.4627,0.4553,0.4601,174182
1667300400000,0.4606,0.4676,0.4545,0.457,519579
1667304000000,0.4571,0.4597,0.453,0.4581,325690
1667307600000,0.4582,0.4582,0.4483,0.4511,276685
1667311200000,0.4508,0.4529,0.4487,0.4517,179739
1667314800000,0.4515,0.4538,0.4504,0.4523,116050
1667318400000,0.4528,0.454,0.4488,0.4501,203042
1667322000000,0.4498,0.4508,0.4489,0.4497,54905
1667325600000,0.4503,0.4508,0.4494,0.4505,23488
1667329200000,0.4505,0.4509,0.4473,0.4473,56914
1667332800000,0.4474,0.4476,0.4447,0.446,45474
1667336400000,0.4462,0.4475,0.4454,0.4455,26804
1667340000000,0.4461,0.451,0.4448,0.4507,279851
1667343600000,0.4494,0.4528,0.4489,0.4518,342468
1667347200000,0.4518,0.4534,0.4457,0.4508,146937
1667350800000,0.4505,0.4522,0.446,0.4466,223173
1667354400000,0.4462,0.4464,0.4353,0.4432,342200
1667358000000,0.4426,0.4463,0.4419,0.4453,36434
1667361600000,0.4457,0.4467,0.4441,0.4445,177685
1667365200000,0.4445,0.4468,0.4445,0.4446,139825
1667368800000,0.4448,0.4709,0.4434,0.4597,1058335
1667372400000,0.4599,0.4642,0.4507,0.4621,460068
1667376000000,0.462,0.4825,0.459,0.4703,2137909
1667379600000,0.4693,0.471,0.4542,0.4546,439065
1667383200000,0.4549,0.4573,0.4488,0.4555,407625
1667386800000,0.4559,0.4574,0.451,0.4519,138598
1667390400000,0.4519,0.4526,0.4465,0.4474,147170
1667394000000,0.4473,0.4515,0.4444,0.4461,126109
1667397600000,0.4467,0.4504,0.4448,0.448,297696
1667401200000,0.4475,0.4485,0.4458,0.4465,57149
1667404800000,0.4465,0.4515,0.4449,0.4506,105372
1667408400000,0.4504,0.4505,0.4434,0.4463,131775
1667412000000,0.4467,0.4647,0.4444,0.4513,1289018
1667415600000,0.451,0.4584,0.439,0.4424,439956
1667419200000,0.4416,0.4436,0.4288,0.4361,558895
1667422800000,0.4359,0.4405,0.4352,0.4399,318633
1667426400000,0.4396,0.4404,0.4352,0.4376,73710
1667430000000,0.4376,0.4451,0.4376,0.4442,786402
1667433600000,0.4442,0.48,0.4438,0.4669,4434878
1667437200000,0.4675,0.5024,0.4667,0.4876,2700050
1667440800000,0.4876,0.5005,0.4828,0.4981,1400056
1667444400000,0.498,0.5195,0.4929,0.5045,3420763
1667448000000,0.5045,0.5337,0.4999,0.5163,3646462
1667451600000,0.5161,0.5201,0.4988,0.5007,1660738
1667455200000,0.501,0.5045,0.4951,0.5032,1067661
1667458800000,0.5035,0.5074,0.5001,0.5001,1360719
1667462400000,0.5004,0.5051,0.4938,0.4975,760700
1667466000000,0.4974,0.4999,0.495,0.4971,340102
1667469600000,0.4977,0.52,0.4957,0.4991,2493770
1667473200000,0.499,0.4994,0.4782,0.4838,812513
1667476800000,0.4846,0.488,0.4731,0.4754,650341
1667480400000,0.4754,0.4862,0.4753,0.4757,1066498
1667484000000,0.476,0.4841,0.475,0.4797,491596
1667487600000,0.48,0.4827,0.4749,0.4758,698035
1667491200000,0.4755,0.4802,0.4741,0.4796,482019
1667494800000,0.4797,0.4805,0.4714,0.4722,394547
1667498400000,0.473,0.4793,0.4702,0.4756,2205225
1667502000000,0.4756,0.4827,0.4747,0.4801,1116898
1667505600000,0.4804,0.4857,0.4784,0.4794,718015
1667509200000,0.4792,0.4863,0.4784,0.4843,710996
1667512800000,0.484,0.4842,0.4679,0.4711,1511831
1667516400000,0.4712,0.4744,0.468,0.4733,563757
1667520000000,0.4735,0.4966,0.4726,0.4844,4527923
1667523600000,0.4848,0.49,0.4727,0.4739,665318
1667527200000,0.4742,0.4789,0.469,0.4707,454292
1667530800000,0.4707,0.4741,0.4687,0.4734,384740
1667534400000,0.4734,0.4741,0.4666,0.4728,477307
1667538000000,0.4729,0.4763,0.4683,0.4722,514003
1667541600000,0.4723,0.4797,0.4723,0.4791,659553
