date,open,high,low,close,volume
1667005200000,0.315,0.315,0.314,0.314,13427
1667008800000,0.314,0.316,0.314,0.315,45469.7
1667012400000,0.315,0.318,0.315,0.317,74211.8
1667016000000,0.316,0.319,0.315,0.315,88955.7
1667019600000,0.315,0.317,0.315,0.315,24569.5
1667023200000,0.316,0.317,0.315,0.317,17837
1667026800000,0.316,0.317,0.315,0.315,52715
1667030400000,0.316,0.32,0.315,0.318,97615.8
1667034000000,0.319,0.319,0.317,0.318,65641.6
1667037600000,0.319,0.319,0.315,0.316,78863.7
1667041200000,0.316,0.317,0.315,0.315,32638.9
1667044800000,0.315,0.317,0.315,0.316,39868.4
1667048400000,0.316,0.317,0.315,0.316,19421.2
1667052000000,0.316,0.318,0.315,0.316,52039.2
1667055600000,0.317,0.319,0.316,0.318,63467.7
1667059200000,0.319,0.322,0.318,0.321,92409.9
1667062800000,0.321,0.323,0.319,0.319,78991.2
1667066400000,0.319,0.321,0.317,0.319,88685.1
1667070000000,0.32,0.32,0.317,0.319,18841.5
1667073600000,0.319,0.32,0.318,0.319,23148.2
1667077200000,0.32,0.321,0.318,0.319,61682
1667080800000,0.32,0.32,0.316,0.318,46078.7
1667084400000,0.318,0.319,0.317,0.318,20714.3
1667088000000,0.318,0.319,0.316,0.316,45780.5
1667091600000,0.316,0.318,0.316,0.317,4114.2
1667095200000,0.317,0.318,0.316,0.318,18230
1667098800000,0.318,0.319,0.318,0.318,4558.9
1667102400000,0.318,0.318,0.316,0.316,20624
1667106000000,0.317,0.318,0.317,0.317,17371.9
1667109600000,0.318,0.32,0.317,0.319,50545.2
1667113200000,0.319,0.322,0.319,0.322,60955.1
1667116800000,0.321,0.326,0.32,0.322,129936.4
1667120400000,0.323,0.323,0.317,0.318,60940.3
1667124000000,0.318,0.321,0.317,0.321,26288.1
1667127600000,0.32,0.321,0.318,0.321,51711
1667131200000,0.32,0.321,0.317,0.318,26143.7
1667134800000,0.318,0.318,0.314,0.316,98099
1667138400000,0.316,0.318,0.315,0.316,30709
1667142000000,0.318,0.319,0.316,0.316,70666.6
1667145600000,0.316,0.318,0.316,0.316,22066.8
1667149200000,0.316,0.317,0.315,0.317,9966.5
1667152800000,0.317,0.317,0.315,0.315,13228.7
1667156400000,0.315,0.317,0.315,0.316,8945.7
1667160000000,0.316,0.319,0.316,0.318,76661.9
1667163600000,0.319,0.319,0.318,0.318,2374.5
1667167200000,0.318,0.318,0.314,0.317,47852.9
1667170800000,0.317,0.317,0.316,0.317,16001.4
1667174400000,0.316,0.319,0.315,0.316,29255.3
1667178000000,0.317,0.318,0.315,0.315,28757.3
1667181600000,0.315,0.315,0.313,0.313,26437.8
1667185200000,0.313,0.316,0.313,0.316,7265.3
1667188800000,0.316,0.317,0.315,0.316,5822.6
1667192400000,0.317,0.317,0.315,0.315,18962.4
1667196000000,0.317,0.317,0.314,0.316,61471
1667199600000,0.315,0.316,0.314,0.316,34712.3
1667203200000,0.316,0.316,0.314,0.314,35428.9
1667206800000,0.315,0.319,0.314,0.318,28309.3
1667210400000,0.319,0.32,0.318,0.319,25645
1667214000000,0.32,0.32,0.318,0.319,22918
1667217600000,0.318,0.32,0.317,0.319,57996.4
1667221200000,0.318,0.321,0.314,0.314,66758.1
1667224800000,0.314,0.316,0.312,0.315,116570.6
1667228400000,0.315,0.317,0.314,0.316,71267.2
1667232000000,0.315,0.318,0.315,0.316,46258.6
1667235600000,0.316,0.316,0.313,0.314,291813.3
