date,open,high,low,close,volume
1667005200000,0.3327,0.3327,0.3304,0.3306,87151.4
1667008800000,0.3307,0.3314,0.3288,0.3304,179505.4
1667012400000,0.3304,0.3345,0.3299,0.3329,544843.2
1667016000000,0.3329,0.3337,0.3312,0.3314,212272.9
1667019600000,0.3314,0.3325,0.3304,0.3308,196448.2
1667023200000,0.3307,0.3324,0.3307,0.3316,184050.2
1667026800000,0.3316,0.3334,0.3314,0.3334,227450.6
1667030400000,0.3334,0.3357,0.3326,0.3353,324463.2
1667034000000,0.3356,0.3356,0.334,0.3356,169024.8
1667037600000,0.3355,0.3358,0.3303,0.3307,314220.4
1667041200000,0.331,0.3315,0.3287,0.3293,313511.8
1667044800000,0.3293,0.3331,0.3286,0.3328,399651.8
1667048400000,0.3328,0.3328,0.3292,0.3319,196492
1667052000000,0.3319,0.3341,0.33,0.3316,561122.4
1667055600000,0.3316,0.334,0.3305,0.3339,314924.1
1667059200000,0.334,0.3393,0.3329,0.339,730699.7
1667062800000,0.339,0.341,0.3325,0.3344,554092.2
1667066400000,0.3343,0.337,0.3321,0.336,587121.1
1667070000000,0.336,0.3415,0.3325,0.3356,1390801.7
1667073600000,0.3356,0.3372,0.334,0.3362,299273.1
1667077200000,0.3361,0.3398,0.3353,0.3367,283634.5
1667080800000,0.3366,0.3376,0.3316,0.3333,849896
1667084400000,0.3334,0.3383,0.3327,0.3369,546898.2
1667088000000,0.3369,0.3372,0.3343,0.3343,205705.5
1667091600000,0.3343,0.3374,0.3338,0.3371,221472.2
1667095200000,0.3371,0.3371,0.3348,0.3356,126543.6
1667098800000,0.3356,0.3371,0.3353,0.3358,109654.9
1667102400000,0.3358,0.3361,0.3342,0.3343,146036.1
1667106000000,0.3343,0.3361,0.3343,0.335,171103.8
1667109600000,0.3349,0.3382,0.3329,0.3367,456524.6
1667113200000,0.3367,0.3413,0.3359,0.3409,927702
1667116800000,0.3408,0.3417,0.3346,0.3383,565432.3
1667120400000,0.3383,0.34,0.3325,0.3347,342703.4
1667124000000,0.3347,0.3368,0.3343,0.3356,383900.2
1667127600000,0.3356,0.3368,0.3343,0.3366,129972.2
1667131200000,0.3365,0.3374,0.3339,0.3358,273032.7
1667134800000,0.3359,0.336,0.3317,0.3321,266588.6
1667138400000,0.3321,0.3348,0.3313,0.3345,199356.8
1667142000000,0.3346,0.335,0.3298,0.3308,269095.8
1667145600000,0.3309,0.3334,0.3294,0.3304,265063.5
1667149200000,0.3305,0.3333,0.3299,0.333,91928.7
1667152800000,0.333,0.3336,0.3318,0.3326,168825.4
1667156400000,0.3327,0.3339,0.3322,0.3322,90245.8
1667160000000,0.3323,0.3335,0.3318,0.3326,90595.3
1667163600000,0.3326,0.3337,0.3311,0.3321,109595
1667167200000,0.3321,0.3323,0.3242,0.3279,458707.5
1667170800000,0.3277,0.3291,0.3272,0.3286,193823.1
1667174400000,0.3284,0.3314,0.3274,0.3274,194918
1667178000000,0.3276,0.3288,0.3248,0.327,257880.6
1667181600000,0.327,0.327,0.3238,0.3257,125547
1667185200000,0.3259,0.3288,0.3254,0.3287,87561.2
1667188800000,0.3288,0.3296,0.3279,0.3287,90307.4
1667192400000,0.3286,0.3292,0.3266,0.3272,178720.7
1667196000000,0.3273,0.3278,0.3245,0.3262,241415.1
1667199600000,0.3263,0.3271,0.3251,0.3271,177734.8
1667203200000,0.327,0.327,0.3237,0.3246,193460.2
1667206800000,0.3243,0.3302,0.3236,0.33,319079.1
1667210400000,0.3301,0.3308,0.3279,0.3305,185252.5
1667214000000,0.3306,0.3322,0.3304,0.3315,229930.8
