date,open,high,low,close,volume
1667005200000,0.1516,0.1523,0.1509,0.152,125425
1667008800000,0.152,0.1521,0.1514,0.1519,29952
1667012400000,0.1519,0.1526,0.1515,0.1525,116718
1667016000000,0.1526,0.1526,0.1509,0.1514,94535
1667019600000,0.1514,0.1523,0.151,0.1523,242642
1667023200000,0.1523,0.1524,0.152,0.1524,22752
1667026800000,0.1521,0.1544,0.152,0.1541,188645
1667030400000,0.1542,0.1547,0.1535,0.1538,164081
1667034000000,0.154,0.154,0.1527,0.1529,170570
1667037600000,0.153,0.1535,0.1518,0.1526,136952
1667041200000,0.1526,0.1526,0.1507,0.1514,97102
1667044800000,0.1513,0.1519,0.1513,0.1516,32508
1667048400000,0.1516,0.1518,0.1507,0.1511,111896
1667052000000,0.1513,0.1522,0.1502,0.151,265924
1667055600000,0.1511,0.1517,0.1507,0.1509,102121
1667059200000,0.1512,0.1528,0.151,0.1526,127945
1667062800000,0.1522,0.1538,0.1515,0.1517,351433
1667066400000,0.1517,0.1524,0.15,0.1517,347256
1667070000000,0.1514,0.1523,0.1513,0.1521,138002
1667073600000,0.1517,0.1524,0.1516,0.1522,10797
1667077200000,0.1524,0.1532,0.1524,0.1527,147434
1667080800000,0.1527,0.1528,0.1508,0.1508,235583
1667084400000,0.1508,0.1523,0.1508,0.1511,105871
1667088000000,0.1512,0.1517,0.15,0.1501,99139
1667091600000,0.1501,0.1511,0.1498,0.1511,65853
1667095200000,0.1511,0.1512,0.1507,0.1509,35925
1667098800000,0.151,0.152,0.151,0.1516,86268
1667102400000,0.1516,0.1519,0.1513,0.1514,21169
1667106000000,0.1513,0.1522,0.1513,0.1518,63011
1667109600000,0.1516,0.1526,0.1516,0.1526,68889
1667113200000,0.1524,0.1533,0.1522,0.1524,217976
1667116800000,0.1524,0.154,0.1514,0.1518,296009
1667120400000,0.1517,0.1527,0.1503,0.1506,211002
1667124000000,0.1504,0.151,0.1503,0.1504,235643
1667127600000,0.1505,0.1516,0.1504,0.1516,210891
1667131200000,0.1516,0.1521,0.1506,0.1515,192019
1667134800000,0.1512,0.1531,0.1501,0.151,216987
1667138400000,0.1509,0.1524,0.1508,0.1517,109731
1667142000000,0.1517,0.1526,0.1508,0.151,61064
1667145600000,0.151,0.1517,0.1503,0.1506,94664
1667149200000,0.1507,0.152,0.1502,0.1517,128204
1667152800000,0.152,0.152,0.151,0.1512,65814
1667156400000,0.1512,0.1517,0.1505,0.151,27503
1667160000000,0.1505,0.1511,0.15,0.1511,57437
1667163600000,0.1511,0.1513,0.1498,0.1505,103398
1667167200000,0.1503,0.1506,0.1496,0.1501,81301
1667170800000,0.1497,0.1506,0.1496,0.15,31648
1667174400000,0.1501,0.152,0.1499,0.1505,59131
1667178000000,0.1505,0.1518,0.1503,0.1507,115287
1667181600000,0.151,0.1511,0.149,0.1502,127438
1667185200000,0.1502,0.1506,0.1497,0.1505,53934
1667188800000,0.1504,0.1513,0.1504,0.1509,35933
1667192400000,0.1509,0.1511,0.1505,0.1508,51358
1667196000000,0.1507,0.151,0.149,0.1499,373860
1667199600000,0.1499,0.1499,0.1493,0.1497,18087
1667203200000,0.1497,0.1499,0.1482,0.1485,223397
1667206800000,0.1488,0.1506,0.1483,0.1503,266540
1667210400000,0.1502,0.1511,0.1495,0.15,264435
1667214000000,0.15,0.1511,0.1498,0.1504,100938
1667217600000,0.1502,0.151,0.1498,0.1503,100594
1667221200000,0.1505,0.151,0.1481,0.1481,221444
1667224800000,0.148,0.1483,0.1466,0.1472,277603
1667228400000,0.1475,0.1485,0.1472,0.1477,72538
1667232000000,0.1479,0.1493,0.1473,0.1481,179353
1667235600000,0.1482,0.1487,0.1477,0.1479,42402
1667239200000,0.1481,0.1484,0.1477,0.1484,29290
1667242800000,0.1484,0.1484,0.1473,0.1477,47284
1667246400000,0.1476,0.148,0.1471,0.1478,32961
1667250000000,0.1475,0.1497,0.1466,0.1475,211641
1667253600000,0.1477,0.1491,0.1467,0.148,105647
1667257200000,0.1483,0.1485,0.1475,0.1481,39669
1667260800000,0.1477,0.1484,0.1474,0.1478,29395
1667264400000,0.1482,0.1491,0.1479,0.1491,74791
1667268000000,0.1487,0.1495,0.1486,0.1492,11232
1667271600000,0.1494,0.1494,0.1486,0.1488,18206
1667275200000,0.1491,0.1491,0.1478,0.148,86338
1667278800000,0.1478,0.1485,0.1478,0.1481,38265
1667282400000,0.1481,0.1491,0.1478,0.1491,483311
1667286000000,0.149,0.1491,0.1483,0.149,160035
1667289600000,0.149,0.1509,0.149,0.1501,290294
1667293200000,0.1502,0.1504,0.1498,0.1501,200873
1667296800000,0.1501,0.1504,0.1499,0.1503,97792
1667300400000,0.1502,0.1504,0.1492,0.1494,111992
1667304000000,0.1496,0.15,0.1493,0.1497,12879
1667307600000,0.1499,0.1499,0.1474,0.148,220986
1667311200000,0.1474,0.1479,0.1473,0.1473,142018
