date,open,high,low,close,volume
1667005200000,0.0587,0.0601,0.0585,0.0592,5459341
1667008800000,0.0593,0.0597,0.0586,0.0586,1434612
1667012400000,0.0586,0.0593,0.0585,0.059,1535385
1667016000000,0.059,0.059,0.0585,0.0585,823143
1667019600000,0.0586,0.0632,0.0585,0.0627,8921184
1667023200000,0.0627,0.0645,0.0608,0.0614,10861459
1667026800000,0.0615,0.0616,0.0597,0.061,3404744
1667030400000,0.0608,0.061,0.06,0.0606,2938590
1667034000000,0.0606,0.0624,0.0603,0.0622,3740810
1667037600000,0.0623,0.0644,0.0615,0.0621,8784228
1667041200000,0.062,0.0629,0.0611,0.0617,2716432
1667044800000,0.0617,0.0618,0.0606,0.0613,2686896
1667048400000,0.0612,0.0613,0.0601,0.0609,2353612
1667052000000,0.061,0.0621,0.0608,0.0614,2516040
1667055600000,0.0613,0.0721,0.0612,0.0692,34595186
1667059200000,0.0692,0.0701,0.0634,0.0655,19579891
1667062800000,0.0654,0.069,0.0639,0.0652,18821094
1667066400000,0.0652,0.0654,0.0621,0.0637,10812123
1667070000000,0.0636,0.0639,0.0624,0.063,1969260
1667073600000,0.063,0.0652,0.063,0.0641,4751871
1667077200000,0.064,0.0642,0.0624,0.0634,4895547
1667080800000,0.0634,0.0679,0.0632,0.0666,8362693
1667084400000,0.0664,0.0681,0.065,0.0665,5827553
1667088000000,0.0668,0.0684,0.0632,0.0638,13489148
1667091600000,0.0638,0.0661,0.0636,0.0652,3580046
1667095200000,0.0652,0.0673,0.064,0.0668,4179354
1667098800000,0.0667,0.067,0.0649,0.0653,1758915
1667102400000,0.0653,0.0674,0.0652,0.0659,4101477
1667106000000,0.0659,0.0684,0.0657,0.0683,2629175
1667109600000,0.0681,0.0683,0.0652,0.0656,5098576
1667113200000,0.0657,0.0664,0.0639,0.0639,4495841
1667116800000,0.0638,0.0645,0.0625,0.0635,5833710
1667120400000,0.0636,0.0638,0.0604,0.0611,4556891
1667124000000,0.0611,0.0623,0.061,0.0622,2010250
1667127600000,0.0621,0.063,0.0614,0.0618,3340754
1667131200000,0.0619,0.0621,0.0612,0.0614,1199235
1667134800000,0.0614,0.0614,0.0599,0.0601,3126374
1667138400000,0.0601,0.0606,0.0598,0.06,2191783
1667142000000,0.0602,0.0605,0.059,0.0592,2517611
1667145600000,0.0591,0.06,0.0589,0.0591,1927026
1667149200000,0.0591,0.0596,0.059,0.0596,716973
1667152800000,0.0597,0.0606,0.0596,0.0605,1732979
1667156400000,0.0604,0.0605,0.06,0.0604,729568
1667160000000,0.0604,0.0605,0.0599,0.06,766465
1667163600000,0.0601,0.0603,0.0592,0.0593,1005990
1667167200000,0.0593,0.0594,0.0582,0.0587,1829925
1667170800000,0.0587,0.0597,0.0584,0.0595,1091670
1667174400000,0.0595,0.0595,0.0571,0.0573,6806722
