date,open,high,low,close,volume
1667005200000,1.168,1.17,1.16,1.162,263510
1667008800000,1.162,1.165,1.152,1.162,214186.6
1667012400000,1.162,1.184,1.159,1.174,522702.4
1667016000000,1.175,1.175,1.148,1.151,389387
1667019600000,1.151,1.161,1.148,1.159,515587.2
1667023200000,1.159,1.174,1.157,1.159,344069.9
1667026800000,1.16,1.171,1.157,1.168,259942.1
1667030400000,1.168,1.182,1.161,1.179,464431.7
1667034000000,1.18,1.182,1.169,1.177,194754.1
1667037600000,1.178,1.182,1.161,1.166,281943
1667041200000,1.167,1.17,1.159,1.162,185871.1
1667044800000,1.163,1.175,1.158,1.173,357267.7
1667048400000,1.173,1.173,1.157,1.169,263620
1667052000000,1.169,1.179,1.162,1.165,318114.4
1667055600000,1.165,1.235,1.165,1.234,1589524.4
1667059200000,1.235,1.237,1.201,1.222,1137014.6
1667062800000,1.222,1.238,1.204,1.207,692693.6
1667066400000,1.207,1.21,1.188,1.203,612708.4
1667070000000,1.203,1.206,1.193,1.205,152563
1667073600000,1.204,1.226,1.2,1.217,511054.4
1667077200000,1.216,1.226,1.215,1.221,122226.3
1667080800000,1.221,1.231,1.206,1.216,437851.9
1667084400000,1.216,1.25,1.213,1.244,446754
1667088000000,1.244,1.249,1.211,1.212,439868.6
1667091600000,1.212,1.218,1.204,1.21,296461.5
1667095200000,1.21,1.226,1.205,1.218,261045.8
1667098800000,1.219,1.233,1.217,1.232,150061.5
1667102400000,1.233,1.233,1.211,1.213,173050.9
1667106000000,1.213,1.226,1.213,1.22,137257.9
1667109600000,1.22,1.23,1.204,1.218,361496.4
1667113200000,1.217,1.238,1.212,1.232,445351.3
1667116800000,1.232,1.232,1.196,1.211,411065.7
1667120400000,1.211,1.215,1.185,1.187,590089.5
1667124000000,1.188,1.203,1.186,1.199,233032.4
1667127600000,1.199,1.202,1.192,1.199,128755.6
1667131200000,1.199,1.199,1.185,1.193,127322
1667134800000,1.193,1.195,1.174,1.182,265448.3
1667138400000,1.183,1.191,1.177,1.191,342976.6
1667142000000,1.191,1.192,1.163,1.17,294531.1
1667145600000,1.169,1.183,1.167,1.172,244568.8
1667149200000,1.173,1.179,1.168,1.172,296214.7
1667152800000,1.172,1.18,1.168,1.177,117083
1667156400000,1.176,1.179,1.168,1.174,166530.7
1667160000000,1.175,1.189,1.173,1.18,434305.8
1667163600000,1.181,1.19,1.181,1.186,283163.2
1667167200000,1.186,1.187,1.149,1.167,717827.7
1667170800000,1.168,1.177,1.165,1.172,266472.9
1667174400000,1.172,1.182,1.166,1.168,270195.3
1667178000000,1.167,1.174,1.153,1.161,365450.1
1667181600000,1.161,1.163,1.148,1.161,275472.8
1667185200000,1.162,1.181,1.162,1.181,246019.1
1667188800000,1.181,1.187,1.179,1.181,152012.5
1667192400000,1.18,1.183,1.17,1.17,170313.4
1667196000000,1.171,1.174,1.163,1.167,224435
1667199600000,1.168,1.17,1.16,1.169,142875
1667203200000,1.17,1.17,1.142,1.147,447196.5
1667206800000,1.146,1.178,1.145,1.178,487655
1667210400000,1.178,1.185,1.168,1.18,320100.7
1667214000000,1.18,1.186,1.176,1.18,247054.9
1667217600000,1.18,1.184,1.173,1.182,171688
1667221200000,1.182,1.193,1.136,1.137,690036.4
1667224800000,1.136,1.156,1.135,1.147,510384.9
1667228400000,1.147,1.161,1.146,1.152,430956.3
1667232000000,1.153,1.165,1.149,1.158,240088.7
1667235600000,1.157,1.167,1.154,1.158,296865.1
1667239200000,1.159,1.166,1.155,1.162,198974.8
1667242800000,1.162,1.163,1.152,1.152,83112.5
1667246400000,1.152,1.16,1.15,1.154,112804.8
1667250000000,1.153,1.156,1.149,1.152,83387.9
1667253600000,1.152,1.174,1.15,1.167,579401.7
1667257200000,1.168,1.172,1.164,1.165,167600.9
1667260800000,1.165,1.183,1.162,1.176,352752.2
1667264400000,1.176,1.185,1.175,1.179,110846.3
1667268000000,1.179,1.184,1.174,1.181,75399.6
1667271600000,1.182,1.185,1.17,1.172,159555.7
1667275200000,1.172,1.183,1.167,1.178,199453.8
1667278800000,1.178,1.185,1.175,1.183,135932.6
1667282400000,1.183,1.193,1.18,1.187,169159.8
1667286000000,1.188,1.194,1.182,1.185,141312.4
1667289600000,1.187,1.188,1.177,1.185,210863.1
1667293200000,1.185,1.198,1.182,1.184,272542
1667296800000,1.185,1.189,1.178,1.187,213033.7
1667300400000,1.187,1.188,1.167,1.17,259474.7
1667304000000,1.171,1.174,1.163,1.172,254916.7
1667307600000,1.172,1.173,1.151,1.155,161215
1667311200000,1.156,1.184,1.152,1.169,876101.5
1667314800000,1.17,1.177,1.168,1.175,105896
1667318400000,1.176,1.186,1.168,1.177,346358.6
1667322000000,1.176,1.187,1.172,1.183,214859.8
1667325600000,1.183,1.195,1.181,1.193,169864
1667329200000,1.193,1.194,1.185,1.187,96194.3
1667332800000,1.186,1.192,1.184,1.188,250865.9
1667336400000,1.188,1.198,1.187,1.192,185162.7
1667340000000,1.191,1.206,1.191,1.203,336942.6
1667343600000,1.202,1.206,1.2,1.202,109119.4
1667347200000,1.202,1.218,1.191,1.216,391162.1
1667350800000,1.216,1.224,1.211,1.22,678443
1667354400000,1.22,1.234,1.215,1.223,748817.6
1667358000000,1.223,1.244,1.218,1.239,433149
1667361600000,1.239,1.242,1.223,1.228,297625.4
1667365200000,1.228,1.234,1.227,1.228,211827.9
1667368800000,1.229,1.23,1.218,1.225,261049.1
1667372400000,1.225,1.226,1.201,1.21,430472.8
1667376000000,1.209,1.22,1.206,1.22,218826.7
1667379600000,1.221,1.228,1.191,1.195,525883.5
1667383200000,1.195,1.213,1.187,1.206,532442
1667386800000,1.206,1.212,1.193,1.198,197382
1667390400000,1.197,1.2,1.185,1.185,256622.4
1667394000000,1.184,1.195,1.176,1.178,561210.7
1667397600000,1.178,1.185,1.17,1.171,218482
1667401200000,1.17,1.171,1.151,1.152,330293.6
1667404800000,1.152,1.165,1.145,1.165,481091.1
1667408400000,1.164,1.166,1.141,1.145,515857.3
1667412000000,1.145,1.203,1.138,1.165,2239023.4
1667415600000,1.164,1.189,1.141,1.146,646241
1667419200000,1.145,1.15,1.115,1.137,567211.7
1667422800000,1.136,1.144,1.134,1.144,180482.9
1667426400000,1.143,1.146,1.132,1.137,244270.9
1667430000000,1.138,1.149,1.136,1.147,191249.9
1667433600000,1.147,1.171,1.143,1.168,400666.9
1667437200000,1.168,1.184,1.167,1.179,271948.3
1667440800000,1.179,1.197,1.179,1.192,305884.1
1667444400000,1.193,1.2,1.192,1.194,186321.1
1667448000000,1.195,1.213,1.195,1.208,406920.2
1667451600000,1.208,1.236,1.207,1.235,455526.6
1667455200000,1.235,1.245,1.22,1.234,796262.7
1667458800000,1.235,1.281,1.223,1.232,1942187.9
1667462400000,1.232,1.236,1.222,1.229,463505.5
1667466000000,1.229,1.25,1.228,1.249,1213108.6
1667469600000,1.249,1.258,1.235,1.236,425845.1
1667473200000,1.237,1.238,1.205,1.218,612149.4
1667476800000,1.218,1.228,1.207,1.221,304989.3
1667480400000,1.221,1.258,1.221,1.232,618618.8
1667484000000,1.233,1.268,1.23,1.258,481857.2
1667487600000,1.259,1.259,1.245,1.247,235621.1
1667491200000,1.246,1.264,1.244,1.264,163762.7
1667494800000,1.264,1.27,1.25,1.258,374433
1667498400000,1.257,1.266,1.246,1.265,515666
1667502000000,1.264,1.269,1.255,1.259,243618.8
1667505600000,1.259,1.26,1.246,1.248,216111.3
1667509200000,1.248,1.261,1.248,1.254,244898
1667512800000,1.254,1.254,1.229,1.23,346016.1
1667516400000,1.23,1.239,1.223,1.234,214661.5
1667520000000,1.234,1.249,1.224,1.248,443563.7
1667523600000,1.248,1.249,1.228,1.231,176712.2
1667527200000,1.231,1.239,1.228,1.233,155758.1
1667530800000,1.232,1.239,1.222,1.239,171277.1
1667534400000,1.239,1.249,1.225,1.232,1805569.2
1667538000000,1.231,1.235,1.224,1.231,216520.7
1667541600000,1.232,1.254,1.232,1.253,283916.4
1667545200000,1.253,1.263,1.244,1.263,323585.5
1667548800000,1.263,1.27,1.25,1.253,342449.4
1667552400000,1.253,1.267,1.242,1.266,409323.1
1667556000000,1.267,1.289,1.26,1.282,600904.1
1667559600000,1.282,1.282,1.258,1.26,291092.7
1667563200000,1.26,1.285,1.242,1.284,593138.9
1667566800000,1.283,1.29,1.268,1.274,510058.1
1667570400000,1.275,1.337,1.272,1.318,1770052.2
1667574000000,1.317,1.317,1.282,1.283,1305869.7
1667577600000,1.282,1.301,1.28,1.297,474756.2
1667581200000,1.297,1.308,1.28,1.298,368167.5
1667584800000,1.299,1.309,1.291,1.295,210928.7
1667588400000,1.295,1.31,1.294,1.308,193507.2
1667592000000,1.308,1.31,1.295,1.3,145144
1667595600000,1.3,1.303,1.293,1.301,222186.4
1667599200000,1.302,1.302,1.288,1.294,146899.2
1667602800000,1.294,1.297,1.287,1.295,129818.4
1667606400000,1.295,1.318,1.284,1.316,447741
1667610000000,1.316,1.318,1.3,1.305,174761.7
1667613600000,1.305,1.312,1.3,1.308,202325.8
1667617200000,1.309,1.313,1.293,1.299,195664.6
1667620800000,1.299,1.306,1.283,1.284,261448
1667624400000,1.285,1.295,1.283,1.289,148005.9
1667628000000,1.29,1.302,1.289,1.298,88516.3
1667631600000,1.298,1.306,1.293,1.299,791502.4
1667635200000,1.299,1.299,1.274,1.284,327789.8
1667638800000,1.284,1.286,1.268,1.272,201874.2
1667642400000,1.272,1.283,1.271,1.282,159082.7
1667646000000,1.283,1.295,1.282,1.286,346250.7
1667649600000,1.286,1.287,1.272,1.28,361869
1667653200000,1.28,1.286,1.271,1.282,233506
1667656800000,1.282,1.29,1.269,1.278,321558.9
1667660400000,1.277,1.29,1.274,1.285,492180.1
1667664000000,1.284,1.304,1.284,1.3,393918.4
1667667600000,1.3,1.3,1.285,1.294,399672.6
1667671200000,1.295,1.3,1.281,1.282,258339.9
1667674800000,1.283,1.286,1.275,1.282,113521.7
1667678400000,1.281,1.286,1.276,1.282,95262.9
1667682000000,1.281,1.297,1.28,1.286,673010.8
1667685600000,1.286,1.298,1.286,1.295,136626.2
1667689200000,1.294,1.296,1.266,1.287,493375.3
1667692800000,1.287,1.299,1.272,1.287,500839.8
1667696400000,1.287,1.301,1.27,1.271,513981.6
1667700000000,1.271,1.295,1.271,1.286,306819
1667703600000,1.288,1.324,1.288,1.318,380194
1667707200000,1.319,1.321,1.308,1.311,149058.9
1667710800000,1.311,1.313,1.299,1.299,329041.9
1667714400000,1.3,1.31,1.289,1.291,303998.4
1667718000000,1.292,1.307,1.292,1.302,237745.3
1667721600000,1.302,1.306,1.291,1.298,178088.5
1667725200000,1.3,1.302,1.293,1.297,116830.2
1667728800000,1.298,1.3,1.29,1.299,96367.6
1667732400000,1.299,1.299,1.28,1.286,191476.1
1667736000000,1.286,1.288,1.275,1.28,121339.2
1667739600000,1.28,1.288,1.275,1.282,140888.9
1667743200000,1.282,1.29,1.275,1.286,194914.7
1667746800000,1.287,1.294,1.282,1.283,162870.9
