date,open,high,low,close,volume
1667005200000,0.437,0.4374,0.4357,0.4357,1880.9
1667008800000,0.436,0.4381,0.4321,0.4373,103966.6
1667012400000,0.4377,0.443,0.4376,0.443,141183.6
1667016000000,0.443,0.444,0.4391,0.4393,16718.5
1667019600000,0.4397,0.442,0.4394,0.4395,52446.6
1667023200000,0.4405,0.4427,0.435,0.4409,308188.4
1667026800000,0.441,0.4419,0.44,0.4418,20992.4
1667030400000,0.4416,0.4455,0.4405,0.4437,59864
1667034000000,0.4437,0.4454,0.4436,0.4448,10526.1
1667037600000,0.4451,0.4472,0.4387,0.4389,86956.1
1667041200000,0.4395,0.4406,0.4356,0.4375,41065.2
1667044800000,0.4367,0.4418,0.4367,0.4416,36087.4
1667048400000,0.4416,0.442,0.4383,0.4416,19784.8
1667052000000,0.441,0.4437,0.4387,0.4404,21463.6
1667055600000,0.4395,0.4444,0.4394,0.4427,39961.7
1667059200000,0.4434,0.4495,0.4428,0.4476,87368.6
1667062800000,0.4481,0.4526,0.442,0.444,80514.9
1667066400000,0.4424,0.4463,0.4398,0.4439,47577.9
1667070000000,0.4439,0.4441,0.4383,0.4429,65510
1667073600000,0.4434,0.4447,0.4422,0.4439,31702.3
1667077200000,0.4436,0.4455,0.4435,0.4435,5445.7
1667080800000,0.4434,0.4445,0.438,0.4392,32328.1
1667084400000,0.4384,0.4426,0.4384,0.4426,8256.2
1667088000000,0.4426,0.4442,0.4393,0.4406,24593.6
1667091600000,0.4399,0.4447,0.4399,0.4439,11213.1
1667095200000,0.4447,0.4462,0.4428,0.4451,8210.2
1667098800000,0.4458,0.4476,0.4455,0.4473,9650
1667102400000,0.4472,0.4474,0.4457,0.4459,7186.5
1667106000000,0.4471,0.448,0.446,0.447,6487.2
1667109600000,0.447,0.449,0.44,0.4472,323348.3
1667113200000,0.4476,0.4525,0.447,0.4514,23954.3
1667116800000,0.4513,0.4529,0.4429,0.4472,56197.9
1667120400000,0.4472,0.4498,0.4395,0.4424,29662.8
1667124000000,0.4421,0.4449,0.4421,0.444,17837.2
1667127600000,0.4435,0.4448,0.4406,0.4446,22878.8
1667131200000,0.4439,0.4451,0.4403,0.4438,20872.9
1667134800000,0.4431,0.4431,0.4362,0.4392,84389
1667138400000,0.4378,0.4425,0.4378,0.4423,15176.8
1667142000000,0.4422,0.4422,0.4344,0.4352,29814
1667145600000,0.435,0.439,0.4326,0.4362,91287.8
1667149200000,0.4364,0.439,0.4355,0.438,26961.7
1667152800000,0.4378,0.4413,0.4373,0.4407,8309.1
1667156400000,0.4408,0.4417,0.4398,0.4398,3454.1
1667160000000,0.4397,0.4408,0.4374,0.4408,38061.1
1667163600000,0.4407,0.4417,0.4387,0.4411,7405.8
1667167200000,0.4398,0.4398,0.4294,0.4343,22285.4
1667170800000,0.4349,0.4372,0.4344,0.4372,3307.6
1667174400000,0.4366,0.44,0.4356,0.4359,15259.9
1667178000000,0.4361,0.4393,0.4343,0.4365,10507.1
1667181600000,0.4368,0.4368,0.4316,0.4343,20582.8
1667185200000,0.4342,0.4395,0.4342,0.4392,10876.6
1667188800000,0.4384,0.44,0.4379,0.4392,8475.8
1667192400000,0.4391,0.4398,0.4378,0.4385,2522.2
1667196000000,0.4381,0.4391,0.4346,0.4369,8458.3
1667199600000,0.4376,0.4376,0.4339,0.4366,64848.2
1667203200000,0.4368,0.4373,0.4297,0.431,24785
1667206800000,0.4302,0.4408,0.43,0.4391,46411.3
1667210400000,0.4403,0.4408,0.4366,0.4392,6250.2
1667214000000,0.4402,0.4415,0.4395,0.4406,3802.6
1667217600000,0.4398,0.4423,0.4379,0.441,21968.8
1667221200000,0.441,0.4427,0.429,0.4294,26064.9
1667224800000,0.4291,0.4327,0.4247,0.4301,120425.8
1667228400000,0.4301,0.4357,0.4299,0.4321,98986.3
1667232000000,0.4321,0.4357,0.43,0.4326,14355
1667235600000,0.4326,0.4338,0.4303,0.4314,39626.5
1667239200000,0.4315,0.4334,0.4312,0.4329,6772.4
1667242800000,0.4317,0.4317,0.4291,0.4299,9278.1
1667246400000,0.4297,0.4326,0.4291,0.4301,10747.4
1667250000000,0.4305,0.432,0.4296,0.4318,12644.2
1667253600000,0.4318,0.435,0.4292,0.4341,6731.4
1667257200000,0.4338,0.436,0.4334,0.4348,14717.6
1667260800000,0.434,0.4379,0.4333,0.4353,11915.9
1667264400000,0.4361,0.4398,0.4361,0.4385,7733.7
1667268000000,0.4392,0.441,0.4385,0.4404,16353.7
1667271600000,0.4396,0.4411,0.4377,0.4383,7491.3
1667275200000,0.4387,0.4388,0.4358,0.4368,4623.1
1667278800000,0.4361,0.4378,0.4355,0.4361,2711.6
1667282400000,0.4367,0.4399,0.4362,0.4391,9962.3
1667286000000,0.4398,0.44,0.4367,0.4375,111123.4
1667289600000,0.437,0.4379,0.4369,0.4371,4375
1667293200000,0.4382,0.441,0.4382,0.4398,14698.9
1667296800000,0.439,0.4406,0.4386,0.4398,5116.7
1667300400000,0.4406,0.4406,0.4354,0.4372,22221.3
1667304000000,0.4364,0.44,0.4354,0.4388,19626.8
1667307600000,0.4387,0.4391,0.4311,0.4328,24774.7
1667311200000,0.4324,0.4345,0.4315,0.4333,3123.2
1667314800000,0.4332,0.4346,0.4325,0.4346,6620
1667318400000,0.4337,0.4352,0.4241,0.4266,222275.5
1667322000000,0.4267,0.4277,0.426,0.4266,16981.6
1667325600000,0.4267,0.4279,0.4265,0.4279,9551.4
1667329200000,0.428,0.4286,0.4269,0.4271,2337.5
1667332800000,0.4265,0.4276,0.4255,0.4276,6866.2
1667336400000,0.4272,0.4275,0.4258,0.4258,1931.1
1667340000000,0.4264,0.4268,0.4259,0.4267,2952.1
1667343600000,0.426,0.4269,0.4257,0.4266,607.2
1667347200000,0.4257,0.4264,0.4215,0.4263,40949.5
1667350800000,0.4267,0.4268,0.4258,0.4258,1878.8
1667354400000,0.425,0.426,0.4236,0.426,4429.2
1667358000000,0.426,0.4287,0.4249,0.4275,9777.4
1667361600000,0.427,0.428,0.4264,0.4265,17542.6
1667365200000,0.4265,0.4279,0.4265,0.4268,6956.4
1667368800000,0.4267,0.4267,0.4243,0.4251,7328.6
1667372400000,0.4255,0.4259,0.4181,0.4212,25048.3
1667376000000,0.4215,0.4234,0.4196,0.4233,11008.9
1667379600000,0.4227,0.4242,0.4143,0.4148,38491.1
1667383200000,0.4142,0.4152,0.4104,0.4147,31768.6
1667386800000,0.4147,0.4159,0.4141,0.4143,7703.3
1667390400000,0.4143,0.4148,0.4117,0.4124,24330
1667394000000,0.4116,0.4142,0.41,0.4128,36687.8
1667397600000,0.4123,0.4157,0.4123,0.4141,10750.9
1667401200000,0.4139,0.4142,0.4125,0.4142,3814.8
1667404800000,0.4139,0.4186,0.4112,0.4184,29883.7
1667408400000,0.4184,0.4184,0.4115,0.4136,10702.1
1667412000000,0.4125,0.4276,0.4123,0.4184,189682.6
1667415600000,0.4178,0.4239,0.4109,0.4127,42377.1
1667419200000,0.4124,0.414,0.4037,0.4089,54416
1667422800000,0.408,0.4126,0.4076,0.4116,27450.3
1667426400000,0.4116,0.4122,0.4081,0.4092,18555.2
1667430000000,0.41,0.4131,0.4095,0.4123,28997.8
1667433600000,0.4114,0.4176,0.4111,0.4168,18996.4
1667437200000,0.4173,0.4207,0.4165,0.4206,43986.3
