date,open,high,low,close,volume
1667005200000,6.17,6.2,6.17,6.2,1605.67
1667008800000,6.21,6.3,6.21,6.28,7494.26
1667012400000,6.28,6.3,6.14,6.22,20473.77
1667016000000,6.22,6.26,6.19,6.25,8974.58
1667019600000,6.26,6.38,6.23,6.37,13553.16
1667023200000,6.35,6.36,6.26,6.36,15010.29
1667026800000,6.33,6.47,6.33,6.39,25392.22
1667030400000,6.39,6.41,6.36,6.39,10994.5
1667034000000,6.39,6.4,6.26,6.35,19020.72
1667037600000,6.35,6.38,6.3,6.36,12336.01
1667041200000,6.37,6.38,6.3,6.37,8813.61
1667044800000,6.37,6.45,6.33,6.36,19475.81
1667048400000,6.36,6.39,6.28,6.3,14939.04
1667052000000,6.3,6.37,6.23,6.27,21659.2
1667055600000,6.26,6.31,6.26,6.27,11295.68
1667059200000,6.29,6.39,6.23,6.37,22638.03
1667062800000,6.36,6.37,6.27,6.29,10708.38
1667066400000,6.29,6.35,6.23,6.28,9087.84
1667070000000,6.28,6.29,6.19,6.2,7578.99
1667073600000,6.21,6.28,6.2,6.23,5484.56
1667077200000,6.23,6.28,6.2,6.23,6706.84
1667080800000,6.23,6.24,6.2,6.21,3165.28
1667084400000,6.24,6.25,6.19,6.23,4646.22
1667088000000,6.25,6.25,6.19,6.22,1952.13
1667091600000,6.22,6.23,6.17,6.18,10551.16
1667095200000,6.18,6.22,6.17,6.2,2110.54
1667098800000,6.22,6.27,6.2,6.21,3172.94
1667102400000,6.21,6.23,6.17,6.19,5339.24
1667106000000,6.18,6.19,6.12,6.16,17121.86
1667109600000,6.16,6.19,6.14,6.16,6735.13
1667113200000,6.17,6.18,6.13,6.16,11968.97
1667116800000,6.17,6.19,6.09,6.13,16452.94
1667120400000,6.13,6.17,6.1,6.12,7387.39
1667124000000,6.12,6.15,6.11,6.11,3830.33
1667127600000,6.11,6.16,6.11,6.14,6144.95
1667131200000,6.12,6.16,6.1,6.12,6131.95
1667134800000,6.13,6.15,6.1,6.12,5877.61
1667138400000,6.12,6.17,6.06,6.15,18446.73
1667142000000,6.15,6.16,6.07,6.09,11487.31
1667145600000,6.09,6.14,6.06,6.12,6993.18
1667149200000,6.13,6.16,6.09,6.12,4524.41
1667152800000,6.11,6.15,6.09,6.12,4338.17
1667156400000,6.12,6.2,6.12,6.15,3987.25
1667160000000,6.14,6.17,6.13,6.15,2278.66
1667163600000,6.15,6.19,6.14,6.16,2208.21
1667167200000,6.16,6.16,6.1,6.14,6065.05
1667170800000,6.15,6.16,6.11,6.14,2400.01
1667174400000,6.13,6.28,6.13,6.17,14509.58
1667178000000,6.14,6.29,6.12,6.28,12296.96
1667181600000,6.28,6.35,6.21,6.23,15925.53
1667185200000,6.23,6.27,6.21,6.25,3355.25
1667188800000,6.25,6.28,6.2,6.21,9277.89
1667192400000,6.21,6.26,6.19,6.21,15847
1667196000000,6.21,6.22,6.14,6.17,7494.13
1667199600000,6.16,6.18,6.09,6.16,9272.88
1667203200000,6.15,6.16,6.11,6.15,5357.76
1667206800000,6.15,6.32,6.11,6.27,16408.83
1667210400000,6.27,6.27,6.18,6.22,7875.44
1667214000000,6.21,6.27,6.2,6.23,9872.56
1667217600000,6.23,6.28,6.16,6.18,17014.82
1667221200000,6.18,6.25,6.15,6.17,15070.74
1667224800000,6.17,6.21,6.12,6.19,8270.77
1667228400000,6.19,6.19,6.09,6.17,19789.43
1667232000000,6.15,6.16,6.1,6.12,9266.47
1667235600000,6.13,6.15,6.11,6.14,4007.41
1667239200000,6.14,6.17,6.13,6.16,3750.42
1667242800000,6.16,6.18,6.11,6.16,5683.3
1667246400000,6.18,6.18,6.12,6.14,2453.05
1667250000000,6.14,6.33,5.9,6.15,118492.12
1667253600000,6.15,6.16,6.11,6.12,9436.7
1667257200000,6.12,6.17,6.12,6.16,3907.91
1667260800000,6.16,6.18,6.14,6.15,3390.7
1667264400000,6.15,6.22,6.14,6.2,4793.73
1667268000000,6.2,6.22,6.15,6.21,3207.9
1667271600000,6.22,6.23,6.16,6.22,3577.31
1667275200000,6.21,6.23,6.15,6.16,4231.88
1667278800000,6.15,6.17,6.15,6.16,2583.06
1667282400000,6.15,6.21,6.15,6.2,3219.56
1667286000000,6.19,6.27,6.18,6.24,19828.64
1667289600000,6.24,6.26,6.21,6.24,7305.21
1667293200000,6.23,6.25,6.21,6.21,8306.6
1667296800000,6.21,6.27,6.2,6.26,7080.84
1667300400000,6.26,6.27,6.18,6.25,9466.39
1667304000000,6.25,6.26,6.17,6.19,10231.72
1667307600000,6.19,6.19,6.15,6.16,6943.94
1667311200000,6.17,6.21,6.15,6.2,5582.68
1667314800000,6.19,6.24,6.17,6.24,5164.4
1667318400000,6.23,6.25,6.15,6.17,7129.14
1667322000000,6.17,6.22,6.16,6.2,2251.48
1667325600000,6.21,6.21,6.18,6.2,1858.34
1667329200000,6.21,6.25,6.19,6.22,4447.66
1667332800000,6.21,6.22,6.19,6.21,1793.8
1667336400000,6.21,6.24,6.21,6.23,6030.48
1667340000000,6.22,6.26,6.21,6.25,5006.41
1667343600000,6.24,6.26,6.22,6.26,3887.72
1667347200000,6.25,6.25,6.21,6.22,3752.14
1667350800000,6.22,6.23,6.2,6.21,5361.13
1667354400000,6.21,6.23,6.09,6.19,13328.93
1667358000000,6.18,6.18,6.1,6.11,10706.33
1667361600000,6.11,6.13,6.06,6.06,7140.63
1667365200000,6.06,6.16,6.04,6.1,16000.84
1667368800000,6.1,6.1,6.02,6.02,7588.44
1667372400000,6.03,6.06,5.8,5.92,32837.9
1667376000000,5.92,5.94,5.82,5.92,17493.42
1667379600000,5.92,5.95,5.87,5.89,9856.99
1667383200000,5.89,5.91,5.81,5.84,8101.08
1667386800000,5.82,5.89,5.82,5.85,6419.44
1667390400000,5.85,5.89,5.81,5.88,7383.83
1667394000000,5.88,5.89,5.83,5.84,6595.47
1667397600000,5.85,5.89,5.84,5.89,4023.53
1667401200000,5.89,5.89,5.85,5.86,1923.57
1667404800000,5.87,5.91,5.81,5.91,5787.81
1667408400000,5.91,5.93,5.89,5.91,4537.39
1667412000000,5.91,6.05,5.87,5.92,20655.16
1667415600000,5.89,5.97,5.82,5.86,10513.17
1667419200000,5.86,5.86,5.73,5.77,16353.45
1667422800000,5.78,5.82,5.77,5.8,1485.62
1667426400000,5.8,5.81,5.77,5.77,3672.94
1667430000000,5.78,5.79,5.74,5.75,5101.04
1667433600000,5.75,5.89,5.74,5.88,3795.18
1667437200000,5.89,5.93,5.86,5.92,3290.79
1667440800000,5.92,6.03,5.91,5.99,6351.63
1667444400000,5.99,6.06,5.98,6.05,12067.3
1667448000000,6.04,6.08,6.01,6.02,6257.34
1667451600000,6.02,6.04,5.94,5.96,9906.39
1667455200000,5.97,6.05,5.96,6.04,8243.44
1667458800000,6.04,6.07,5.92,5.97,11383.04
1667462400000,5.97,6.14,5.93,6.12,21607.57
1667466000000,6.13,6.2,6.05,6.11,20308.68
1667469600000,6.11,6.25,6.1,6.14,30933.72
1667473200000,6.14,6.15,5.99,6.05,17158.44
1667476800000,6.05,6.18,6.02,6.04,11591.72
1667480400000,6.06,6.12,5.99,6.01,11190.55
1667484000000,6.01,6.12,6.01,6.11,7946.02
1667487600000,6.11,6.2,6.09,6.14,11629.11
1667491200000,6.15,6.16,6.11,6.16,6077.24
1667494800000,6.15,6.23,6.07,6.22,24015.39
1667498400000,6.22,6.24,6.14,6.17,14677.8
1667502000000,6.16,6.19,6.16,6.16,5386.15
1667505600000,6.15,6.17,6.08,6.11,9521.5
1667509200000,6.09,6.16,6.09,6.12,4587.88
1667512800000,6.11,6.12,6,6.01,11464.64
1667516400000,6.01,6.04,5.96,6.03,7543.95
1667520000000,6.04,6.09,6,6.02,6983.91
1667523600000,6.02,6.05,5.99,6.03,4629.69
1667527200000,6.04,6.08,6,6.04,5329.79
1667530800000,6.05,6.12,6.05,6.12,3086.46
1667534400000,6.12,6.18,6.11,6.14,4996.48
1667538000000,6.14,6.14,6.06,6.11,6488.3
1667541600000,6.12,6.2,6.11,6.16,7949.45
1667545200000,6.16,6.17,6.13,6.13,5855.37
1667548800000,6.14,6.27,6.14,6.22,19208.27
1667552400000,6.21,6.23,6.16,6.18,7488.48
1667556000000,6.18,6.24,6.12,6.18,13461.92
1667559600000,6.17,6.22,6.16,6.16,8291.67
1667563200000,6.17,6.2,6.06,6.2,13840.71
1667566800000,6.2,6.26,6.16,6.21,22396.14
1667570400000,6.2,6.43,6.14,6.39,58549.02
1667574000000,6.41,6.44,6.19,6.19,20694.51
1667577600000,6.22,6.27,6.17,6.22,10811.44
1667581200000,6.22,6.23,6.17,6.22,7438.3
1667584800000,6.22,6.28,6.21,6.26,6792.63
1667588400000,6.26,6.3,6.25,6.29,3668.73
1667592000000,6.28,6.33,6.26,6.29,6904.73
1667595600000,6.28,6.29,6.24,6.27,7021.8
1667599200000,6.28,6.34,6.28,6.29,5497.92
1667602800000,6.29,6.35,6.25,6.35,8464.41
1667606400000,6.35,6.41,6.31,6.39,15724.19
1667610000000,6.38,6.46,6.35,6.39,7944.29
1667613600000,6.39,6.45,6.36,6.45,6696.43
1667617200000,6.46,6.48,6.27,6.39,25536.52
1667620800000,6.39,6.39,6.29,6.3,14137.26
1667624400000,6.3,6.33,6.25,6.3,8520.21
1667628000000,6.3,6.36,6.29,6.35,5470.47
1667631600000,6.35,6.41,6.32,6.36,6275.22
